,document,score,label
0,"실제 전쟁이란게 90%의 지루함과 10%의 처절함인데, 철부지들은 총탄이 날리고 사지가 뜯어져야 좋다고 한다. 감탄이 절로 나오는 엄청난 촬영기법과 주인공의 연기력만으로도 10점이 부족하다. 제시된 수많은 다른 여러 단점들을 모두 합산해도 여전히 9.9점인지라 반올림해서 10점을 주겠다.   이 영화는 영화가 아니라 예술 그 자체이며, 하나의 작품이다. 스토리 따지고 뭘 따질게 아니라. 커다란 하나의 새로운 틀을 열었다는 그 자체만으로도 엄청난 것이다. ",10,1
1,아카데미 작품상 1917이 받았어도 수긍했을거 같다. 정말 너무 재밌게 봤다. 왜 강력한 후보였는지 이해가 된다.,10,1
2,현실적인 전쟁을 온몸으로 느낀 기분이었음 영화 내내 전쟁 속에 있는 느낌 스토리 충분한데 왜? 뭐가 지루하지? 쾅쾅 터지는거 원한다면 트랜스포머 보시길,10,1
3,"이 영화는 전쟁의 정의 ,당위성을 설명하지는 않는다. 오직 엄중한 임무를 수행하는 사명감을 롱테이크의 1인칭 시점으로 긴장감. 고독감을 극대화하여  실제로 전쟁터에 있는 것 같은 현장감을  기막히게 표현한 수작이다.",9,1
4,묵직한 감정 단 한명의 병사가 단 하나의 메시자 전달 임무만을 보여주는데 온몸으로 전쟁을 겪은 기분.  너무도 놀라운건  이런 영화와 겨뤄서 기생충이 작품상을 받았다는 것이다. 기생충이 더욱 달라보인다,9,1
5,"세상에 이런 영화가 다 있다니! 내내 긴장감 끊기지 않고 눈과 뇌를 꽉 움켜쥐었지만, 제대로 된 전투 장면은 하나도 없는 영화. 그냥 산발적인 일대일 싸움 정도밖에 없는 영화. 보는 사람 내면에서 심리적 전쟁을 하다 지치게 만드는, 진짜 전쟁영화. 말 그대로 이게 진짜 전쟁이라는 얘기다. 제작진의 의도도 그럴 것 같다고 생각한다고 말하고 싶다고 주장하는... ^ㅠㅠㅠㅠㅠㅠㅠㅠ^ y  다만 시작부터 끝까지 느낌이 다 다르고 온갖 장르가 뒤범벅이 되어 뇌진창을 만든다. 그래서 1점 감점! 동화, 공포, 스릴러, 로드무비, 풍자, 비판, 안간드라마, 거기에 판타지(조명탄 장면)까지.......",9,1
6,이게 영화다,10,1
7,"전쟁영화로써 그렇게 대단하다거나 특별한 건 없었음. 이 영화에서 특별한 점을 하나 굳이 꼽아야 한다면 아마도 영화 전체를 롱테이크로  죽 찍었다는 바로 그 촬영기법일 것임. 사실 영화 홍보도 그걸 많이 강조했었고.  근데 단지 그것뿐인 영화는 아닌, 완성도 면에서 깔 구석이 별로 없기에  한번쯤 보면 충분히 만족할 만한 영화임.",8,1
8,아들이랑 봤는데 아들이 10점이래요 킵고잉킵고잉킵고잉,10,1
9,명작,10,1
10,이렇게 간단한 이야기를 이토록 완벽하게 영화로 구현하다니. 멋져부러!,8,1
11,"최근 1년간 감상했던 영화중 최고의 선택이었다.  내가 추구하는 전쟁영화에 가장 가까웠다. 객석에 나혼자 여서 더 기억에 남을것 같음.  전쟁통에 누구의 딸인지도 모르는 아기를 홀로키우고 있는 여인에게 연민의 정을 느꼈고 ,  물에 흠뻑 젖은채인 주인공과 함께 들은 아름다운 노랫소리가 아주 인상적이었다....  곧 파일로 나오면 다운로드해서 소장할 생각  군생활할때 나는 전령은 아니었지만  전령이나 다름없이 군생활 내내 내동료들과 동떨어져서  홀로 임무를 수행했기 때문에 주인공의 고독함과 책임감을 공감할수 있었다. 정말 죽고싶었던 기억....",9,1
12,단 한명의 짧은 스토리로 한명 한명의 인생이 영화라는 것이 전쟁 속에서 더욱 부각된 느낌,10,1
13,소설같지만 슬프게도 실제했고 지금까지 이야기거리가 될수있음에  믿어 의심치 않은 영화,10,1
14,🏆남우주연상 받아야되는데..  .,9,1
15,잔잔하면서도  배경이 아름답군요... 꼭 죽이고  피보이고  잔인한 전쟁영화가  아니라.... 한편에  뭐라고  설명을해야할지....명화   맞습니다...^^,10,1
16,"연출...정말 대단하다...진짜 미친연출...""이 전쟁을 끝내는 방법은 하나뿐이다. 마지막 한 사람까지 죽는 거지.""",8,1
17,도대체 어떻게 감독은 찍고. 배우는 연기한거냐!!,10,1
