,document,score,label
0,"영화 잘 봤습니다. 친일파들과 토착왜구들이 싫어할만 하네요. 사실 닭 시절 말기였던 2016년 4월 한반도 위기설이 있었잖아요. 볼턴이 20억 받고 회고록에서 까발린대로 북한을 4분할해서  주변 열강이 나눠먹고 일본의 음흉한 계략은 남한까지 전쟁 범위를 넓히는 거였죠. 미국의 묵인속에 한마디로 진짜 전쟁 직전까지 갔었습니다. 일상을 살던 대한민국 국민은 거의 모르던 사실이었죠. 닭의 외교가 얼마나 호구같았으면, 당시 역사 분쟁과 자위대의 한반도 전개에 대해 우려했던 오바바에게 아베 총리가 한반도의 계집은 내 손바닥에 있다며 알아서 하겠다고 했겠습니까? 한반도에서는 기필코 토착왜구들을 몰아내야 하고 일본의 간악한 야욕에 경계를 늦춰서는 안됩니다. 이 영화는 현실의 많은 부분을 반영하고 있는 것 같습니다.",10,1
1,"하도 욕먹길래 궁금해서 봤는데.. 와 기대이상이었습니다.  대사 내용상 다소 말이 길어지고 작위적으로 가르치려는듯 늘여서 하는데서 어색함이 없진 않지만, 복잡한 한반도 문제를 각국의 캐릭터를 통해 진지하면서도 재미있게 짧은시간동안 함축해서 잘 풀었다고 봅니다. 양우석 특유의 숨을 멈추게 만드는 잠수함 전투씬은 한국영화 역대급이네요.. 이렇게 시간이 멈춘듯 조용한 연출로 치열함을 표현하는건 정말 능력입니다. 1편에서 각국의 미사일 전투씬도 멋졌죠. 부함장의 카리스마는 마치 이 영화의 주연처럼 돋보입니다. 한반도 문제에 관심없는 사람에겐 굉장히 난해하고 지루한 영화일것 같은데, 관심이 있는 분이라면 초초초강추 합니다. 숨겨진 의미 포인트들도 많고 정말 잘만들었네요.",10,1
2,시간이 지날수록 통일에 대한 이유를 잊혀져 가는거 같다. 정치적이유로 평점을 0점을 주든 10점을 주는걸 말릴수 없으나 분명한건 이영화는 잘만들어진 영화이다. ,8,1
3,친일파넘들 아주 평점테러하는거 가관이네 쯧쯧쯧,10,1
4,"미국대통령은 미국대통령 같고, 한국대통령은 한국대통령 같아서 너무 현실감 있네.",10,1
5,"훌륭한 잠수함 영화이다 마지막에 대한민국 해군 잠수함 나와서 어뢰격침하고 경고방송할때 저절로 기립박수가 나왔다 ㅠㅠ  토착왜구 물리치고 대한민국 번영과 평화 이룩하자  1편에는 정우성이 북한군으로 곽도원이 남한 요원으로 나왔는데 2편에는 반대로 정우성이 남한대통령 곽도원이 북한군인으로 나와서 뒤바뀐 역할을 하면서 아주 흥미롭고 재밌었다  관람내내 우리 한반도는 어찌 이런 가혹한 운명에, 미국 러시아 일본 중국에 둘러쌓여서 이편 저편 편들어줘야하고, 중립선언했다가는 다구리 맞을거 같고, 참 힘든 국제정세인거 같아서 눈물이 날 지경이다.  1편에서는 곽도원이 정우성에게 반포에 모여살면서 가끔 소주나 한잔하자 그 말이 왜그리 서글프고 눈물겹던지 이루어지기힘든 현실때문인가. 통일을 방해하",10,1
6,이 영화를 친일파가 싫어 합니다.,10,1
7,이념 영화라기보다 국제 정세속 남북한 통일을 바라는 감동적이고 재미있는 영화인것 같아요. ,10,1
8,"코믹하면서도 현실적이고 잠수함 전투씬 백미,  양감독은 1,2  모두 미사일씬이 대단하다. 개봉관보고 올만에 1부터 다시봄. 다들 연기력또한 대단,  시기적으로 분기점을 못넘어 너무 아쉽다.",10,1
9,친일파나 극우가 평점 테러했군요 실제로 보았더니 구성과 스토리 전개 배우들 연기 모두 좋았습니다,10,1
10,코로나19만  아니면 1000만  관객 돌파했을 영화입니다 강츠합니다,10,1
11,평점이 낮아서 기대 없이 봤는데...정말 집중하고 봤어요 너무 잘만들었고..지금 트럼프와 문재인대통령 묘사한것 같아 웃겼어요 미사일씬  너무 실감나고 무섭기까지.. 정말 평화협정이 빨리 이루어졌음 좋겠어요,10,1
12,강철비2: 정상회담 확장판 블루레이 출시 꼭 부탁드립니다. 암만 비싸도 꼭 삽니다.,10,1
13,가벼우면서도 무겁고 웃기면서도 슬프고 상상력 충만하면서도 끔찍하게 현실적인 영화,10,1
14,극장에서 못보고 IPTV로 시청 했습니다.한시도 눈을뗄수 없었고 재미와 감동이 있는 영화이네요...,10,1
15,역시나 일베 버리지들의 평점테러 보면 알겠지만 생각보다 훨씬 잘만든 영화 스토리가 탄탄,8,1
16,"1편 보다  더 잘만들었네요 후반부 잠수함 씬도 헐리우드  잠수함 영화 못지않게 준수합니다  (u571,헌터킬러,붉은 10월,크림슨 타이드,울프콜) 북한 부함장의  어뢰회피는 작전 지시는 압권 이네요!",10,1
17,친일파들의 평점테러에도 굳건할 수 밖에 없는  잘 만들어진 멋진 영화 마지막에 통쾌했습니다!,10,1
