,document,score,label
0,최근  본 액션 영화 중 최고의  액션,10,1
1,"조선판 존윅이네, 조선 테이큰이네 장혁이 다 했네...등등등 참~ 말들이 많다. 한마디로 존윅 1편 스토리는 이미 다른 영화 에서도 많이 다루었던 소재다. 그걸 더 부각 시켰던것 뿐이지 검객은 장혁이라는 배우와 함께 호흡을 맞추어 주는 스턴트 배우들의 합이 정말! 좋았고 액션도 내용도 나쁜게 하나도 없다. 존윅의 내용은 좋고, 검객의 영화는 내용이 별로라고 말하지마라  지나가는 🐕♪♩♩♪♪♬가  웃는다. 검객은 간결하고, 액션의 멋이 더해져 한국만의 익스트림 검술이라는 트랜드를 만들어낸 작품이다. 아무리 멋있는 배우도 받쳐주는 사람이 없다면 이런 멋진 검술액션이 나올 수도 없다.  더 짜증나는건 검객 영화를 볼려고 해도 턱없이 부족한 개봉관도 문제였다. 난, 강추다👍👍👍",10,1
2,"일본검술, 중국검술 많이봤는데  조선검술은 간결하고 묵직하네. 그것만으로 확실히 위협적이고 멋있다. 액션보느라 시간후딱갔네",8,1
3,다른건 몰라도 장혁이 무사 액션은 최고다!!,10,1
4,이렇게 재미있고 퀄리티 있는 영화가 상영관도 없고 왜이런가 봤더니 배급사나 투자사가 듣보잡 ㅜㅜ,10,1
5,"세계적인 배우로 거듭나실겁니다! 능력, 성실성, 열정을 모두 갖추신 장혁배우님! 딸 태옥 때문에 무릎꿇다가, 뜻하지 않게 후아삼과 대결하게된 장면, 가장 인상적임^^",10,1
6,드라마로 했으면 시청률 30%는 갔을텐데 아쉽다 대길이 아까워서 어쩌나 ㅠ  대길이 표정연기 총든병사들 격투씬 볼만함,8,1
7,"시나리오가 다소 아쉽고, 장혁의 연기는 좋지만 캐릭터가 대길, 뿌리깊은 나무의 연장선같다. 액션은 좋고, 카메라 앵글, 영상미도 좋다. 정만식을 비롯한 중년배우들의 연기 역시 좋으나, 여배우의 연기력이 좀 어색한게 있는 것같다. 2% 아쉽지만 킬링타임용으로는 괜찮은 영화다.",8,1
8,장혁의 칼질은 한편의 예술이다 깔끔하고 심플하고 볼만하다 다른거 다 필요없고 걍 검술만 바라.,8,1
9,액션영화니까 액션 100점,10,1
