,document,score,label
0,"유럽 친구가 내 의견 궁금하다고 꼭 봐 보래서 구입해서 봐 봤는데 송강호가 이선균을 죽이는 장면이 가장 슬프다. 부조리한 사회 구조 속에서 서민들은 기득권에게 개돼지로 불리며 짓밟히는데 기득권은 돈, 불법(대부분의 기득권), 교육으로 '법'을 들먹이면서 서민들을 유린하고 착취한다. 이런 상황 속에서 서민들이 공부를 하고 법을 배워서  당만 보고 뽑는 게 아닌 진짜 제대로 입법을 하는 국회의원에게 투표를 해야 되는데 지역갈등이 안 통하니 성별로 옮기고 문제 핵심인 기득권은 쏙 빠진다. 이어서 '스스로' 충성하고 하층민으로 기어 들어가고 빈곤을 대물림하는 기득권의  '바퀴벌레'를 재생산한다. 애써 외면했던 바퀴벌레가 돼버린 서민 자신들을 직면시켜서 사람들이 씁쓸하고 화가나고 답답하다고 하는 게 아닐까",9,1
1,현재는시골에서  열댓마리 강아지와 살고있다. 서울서는  지하에 내리 살았어서 그 냄새를 잘안다. 송강호가 박사장을 죽인  그 심정 너무 이해가 간다. 극장에서 한번보고 다시 오늘 집에서 봤는데 너무 슬펐다.  아들의 절대 이뤄지지 않을 마지막 그계획. 두번째 보고 정말 영화가 잘만들어졌다는 생각이든다. 백점영화.,10,1
2,기생충을 처음 봤을때의 그 소름을 아직도 잊지 못함.. 영화를 보기 전으로 돌아가 다시 보고 싶다.,10,1
3,기분이 나빠진다. 김선균에게 이입하고 싶지만 송강호인 현실이 슬프다.,10,1
4,몇번이나 다시봐도 진짜 명작입니다,10,1
5,기대안하고 봤는데 시간가는줄모르고 몰입해서 봤어요,9,1
6,이제봤든 한국영화중 최고다!,10,1
7,시대의 명작. 평점이 낮은 이유는 저급한 댓글알바들과 봉준호를 싫어하는 ♪♬들이 여기에까지 출몰했기 때문.,10,1
8,"기대안했는데여 진심  잼나게 봤고,봉준호감독님  좋은작품 또기대할게여♡",10,1
9,영화에 완전 빠져드네요..,10,1
10,"박사장을 박정희로 놓고 보면 쉽게 볼 수 있는 영화. 박근혜가 사이비 최태민에 빠지는 것도, 박사장이 호화파티에서 죽는것도 술술 넘어간다. 친일파를 뜻하는 전 집주인에게서 이어받은 가정부도, 가정부가 사육하는 박씨에 죽고사는 종박조차도. ",9,1
11,단 한 순간도 지루할 틈이 없었다. 2시간이 후딱 지나갔다.  배우들 중에 연기 구멍이 한 명도 없었고 상황마다 심리를 나타내는 표정들 정말 압권이었다. 빈부격차라는 무거운 사회 문제를 다룬 영화인데도 피로감이 전혀 없었다.,9,1
12,말이 필요할까요?. 리스펙.,10,1
13,Vernis_Roxbury 참 누가 영화를 보고 그 나라 국민들이 다 저렇게 살고 저런 국민성을 가졌다고 착각하냐? 감독이 영화를 통해 무엇을 얘기하는지 잘 좀 생각하고 보든지 아니면 관련 기사라도 봐라,9,1
14,가히 충격적이었음~ 칸도 아카데미도 선택이 옳았음!!,10,1
15,"해외 비행기내 영화에 기생충 있어서 봤는데  3 번이나 볼 때 마다 ,내용의 깊이를 더 이해하게 됨. 모든 배우들 연기가 달 살아 있음. 우리 외국 선생님이 모든 배우들 다 연기 잘 했다고 극찬 했음 아주 잘 만든 수작.  최소 3회 이상 보면 진국이 우러 나옴.",10,1
16,다보고나서도 계속 곱씹게되는..재밌는데긴장감가득하고결국슬픈..명작이라고 표현할 수 밖에 없는..감독님 이하 영화제작진 모두 참 대단하십니다. Respect !!,10,1
17,극장에서 한번 집에서 두번 봤습니다. 절대 7.9 점 받을 영화는 아니라고 생각되서 전 10점 드립니다. ,10,1
18,"빈부격차를 풍자하는 설정은 흥미롭다. 하지만 거기까지. 이 영화에선 인물의 감정이 느껴지지 않고, 그래서 감정이입이 안 된다. 꼭두각시처럼 움직이는 인물들만으론 감동을 주기 어렵다. 또한 관객의 마음을 움직이는 메시지를 담아야 할 마무리 부분에서 영화는 지극히 부자연스럽고 비인간적이다. 영화 '괴물'에 비해 한참 아쉬운 작품이다.",6,1
19,영화를 보고  계속 생각나고  관련 검색을 하게 되는   그래서 10점,10,1
20,시간가는줄 모르고 봤네요,10,1
21,"초중반의 재미와 중후반의 긴장, 후반부에 사회를 풍자하는 메시지까지. 모처럼 잼나게 봤다. 개인적으로 극한직업같은 억지웃음보다 이런류의 스토리성 유머가 훨씬 재미지다.",9,1
22,이영화 강추다,8,1
23,2번째 보니 더 훌륭한 영화인 걸 알겠다.,10,1
24,일베넘들 평점 테러한거 보소 ㅋㅋㅋㅋ 한심한 넘들,9,1
25,최고다. 평가질이 필요없다.,10,1
26,보다보면 나도 모르게 뒷통수 아주 여러번 맞는 영화.,10,1
27,극장에서 봤어도 돈 아까운 영화는 아니다. 근데 전세계 영화제를  휩쓸고 칸과 아카데미마저 거머쥘 정도는 아니다.,8,1
28,기대를 저버리지 않는 봉준호,8,1
29,전 시간가는줄 모르고 재밌게봤어요~ ,10,1
30,소름돋고 감탄만 나온다 미쳤다,10,1
31,안찔리는 사람없게 세태를 세밀히 짚은 영화네.,10,1
32,사회의 계층에 따라 다른 삶을 산다  마지막 우식의 편지에 계획이 이뤄졌을까?,9,1
33,영화를 정치적으로 밖에 못 보는 사람들의 평점 그래서 난 평점 상향을 위해서라도...,10,1
34,내 인생 3번이나 본 영화는 타이타닉 다음으로 기생충이 처음,10,1
35,두번은 봐야하는 영화네 봉준호 영화 중 살인의 추억이 최고인 줄 알았는데 진정한 마스터피스.,10,1
36,정말 ...... 말로 표현하기 힘드네요....ㅠㅠ 만감이 교차하네요...,9,1
37,말이 필요 없는 영화.,10,1
38,최고,10,1
39,진정한 의미의 마스터피스,10,1
40,내검나제밋슴ㅅㄱ반박시엄준식근대안봄,10,1
41,진짜 너무ㅜ재밌ㅅ고 좋ㅇ앙,10,1
42,.,10,1
43,개재미있네,9,1
44,기우다혜커플이 제일좋았다 후에도 관계회복하면 좋을텐데 여하튼 이해하기엔 난해했다,9,1
45,오^^ 소름^^   간만에 완전 빠져들었어요,10,1
46,정말 빈부격차를 표현한 영화라고 생각하는 건가? 마지막 대목은 없는 자들이 가진자가 되기 위해서 필요한 것을 표현해준 감독의 양심이군. ,8,1
