,document,score,label
0,몰입도 최고 시간가는줄 모르고봤네요 지난 3일여의도 ifc에서 제 옆에 앉은 분 두시간도 못참고 그리 전화기를 봐야할만큼 바쁘거든 영화관에 오질말든가 젤뒤에서보든가  아오 열받아,10,1
1,"처음 볼 땐 거의 후반까지도 마르타에 대한 경계를 늦추지 못했는데, 두 번째 보니 이런 호감 캐릭터도 또 없는 듯. 고전 추리물처럼 마지막에 다 밝혀지는 거랑 다르게 '벌써?' 싶은 때 다 털어놓고 그게 또 뒤집히고... 신선하고 재밌었음. 시작과 끝을 장식한 '내 집, 내 규칙, 내 커피' 머그잔도 굿! ",9,1
2,당신은 당신의 방식으로 승리했어요.,10,1
3,권선징악을 이렇게 재기발랄하게 풀 수가!,10,1
4,겨울왕국에 묻힌 비운의 영화ㅠㅠ 타이밍 좀 잘 잡지...개꿀잼,10,1
5,진짜 재밌게 본 영화 중 하나임  반전이 많아서 재밌었음. 완전 내 인생작임,10,1
6,"추리소설 한 편을 읽은 기분, 누가 범인일까 하고 계속 보게 하는 마력! 얼마나 두뇌가 명석해야 추리소설 같은 걸 쓸 수 있는 걸까? 부럽다. 이 각본 쓴 사람, 엄청 똑똑할 것 같다.  ",9,1
7,칼로 시작해 칼로 끝나는 진정한 나이브스아웃  재밌어요,10,1
8,간만에 재밌게 봤습니다. 미장센이 훌륭하군요. 예술이란 창작자와 관람자가 재밌게 노는 거죠. ,8,1
9,간만에 정말 재밌게 본 영화,10,1
10,2시간이 어느새 지나가버렸다. 꿀잼,10,1
11,대사들에도 디테일이~ 간만에 재밌는 추리물이었다.,9,1
12,추리물에 미국 사회의 기득권들이 이민자들을 대하는 인식을 비꼬는 문제의식을 심어 놓은게 시선하다 ,8,1
13,오래간만에 짜임새있는 스토리의 재밌는 영화를 봤네요,9,1
14,bbb,10,1
15,진심으로 보살필수 있는 사람이 진정한 가족이다. ,7,1
16,예상치 못한 방향으로 정신없이 스토리 전개된다. 반전에 반전을 거듭한다. 그리고 따듯하고 유머러스하다.,8,1
17,내가 젤 좋아하는 추리물. 한국영화도 추리물 좀 많이 나왔으면...,9,1
18,시작하면 끝을 안볼수 없는 영화...  보통 난 영화 2-30분 보다 잠드는데 이건 머......,10,1
19,나이스~~~~^^,9,1
20,잘 짜여진 판에서 훌륭한 플레이,9,1
21,긋,9,1
22,올해 본 영화 중에 제일 재미있음,10,1
23,와... 최고...,10,1
24,오랜만에 재미난 셜록홈즈를 한권 읽은 느낌,9,1
25,재미있는 추리 영화 간만에 보네요!!,9,1
26,간만에 몰입도 최고의 영화를 만나다,10,1
27,기대없이 봤는데 좋은 영화였어요 꼭 보시길,9,1
28,작품성 있고 깔끔한 연출로 재밌음~,8,1
29,신개념 권선징악,9,1
30,오 너무 잼있어요 ♡,10,1
31,chlrh,10,1
32,기대  안  하고  봤더니  완전 꿀잼......,10,1
33,한 편의 잘 만든 연극을 영화로 본 기분이네요. 추리극의 모습으로 세세함이 잘 조화되어 보는 내내 즐거웠어요.,9,1
34,"시간 가는 줄 모르고 봤네요. 반전도 있고, 추리극을 좋아한다면 추천합니다^^",9,1
35,아가사 크리스티식 추리영화. 장장한 배우들 때문에 영화보는 재미가 있네요,7,1
36,시간 가는줄 몰랐던 최고의 추리영화,9,1
37,재미있게 잘 봤다. 처음엔 엉성한 거 같지만 장면 하나하나 대사 하나하나에 신경을 많이 씀. 추리소설 매니아들에겐 다소 유치하게 보일 수 있는 내용이지만 대중성을 사로잡기엔 충분히 좋음,10,1
38,몰입감  있음,10,1
39,착하게 살아야해,8,1
40,계속보게됨,10,1
41,화면이 이쁘다. ,6,1
42,정말 제대로된 재미있는추리 소설 한 권 본 듯한 영화,8,1
43,연기들 잘함.,8,1
44,내가 좋아하는 장르. 한편의 재미있는 추리소설을 읽은것 같다,9,1
45,한 명의 뛰어난 탐정이 관객들은 도저히 상상할 수 없는 범죄의 흐름과 인과관계를 모두 풀어주는 영화,8,1
46,반전에 반전이 있을거라는 생각을 하면서 봤는데 플롯 트위스트가 제대로 먹혔고 또 그것을 풀어내는 기술이 좋았다.,7,1
47,너무 재밌게 잘봤어요 보면볼수록 빠져들고 흥미로운 영화에요!!,9,1
48,굿,9,1
49,탐정친구가 앗 그래! 하고 알아내는 맛은 없는데 추리물로서 갖출거 다 갖춘 이런거 진짜 오랫만에 보는거같다,9,1
50,잼나네요 ~ 특급 배우들 다수 출연 ~!!! 다 옛날에 한끝발 하던이들....ㅋㅋㅋ ,8,1
51,별 기대없이 봤는데 꽉 짜인 스토리 전개... 정말 재밌다.,9,1
52,"깔끔담백한 추리물. 올드보이처럼 어마어마한 반전은 아니지만, 예상에서 완전히 빗겨간 결론이 맘에 든다. 후회 없이 볼 수 있는 영화.",8,1
53,최고의  시나리오,10,1
54,촘촘하게 엮어가는 좀 허튼 구석은 있어도 나름 재미 있는 추천할 만한 영화~~^^*,7,1
55,긴장감도 있고 재밌는 영화,9,1
56,현대차를 보고 한국에서 만든 영화인줄 알았음 시나리오 좋고 잘짜여진 작품이라 봄,9,1
57,"평점: 8.4   처음에 대 저택에 개가 뛰어 다녀서 뭔가 노잼일거 같은 기분이였지만, 아니였어요. 그 부분 넘어가고 나무위키에 있는 인물 관계도 보면서 보니까 이해가 쏙쏙 됐어요!  간만에 코난 보는 느낌 들었네요 ㅋㅋㅋㅋㅋ 블랑역의 다니엘 크레이그가 추리한 내용 말하고 크리스 에반스가 발뺌하다 흥분하고 ㅋㅋㅋㅋㅋ (개인적으로 크리스 에반스는 캡틴의 이미지가 너무 강해서 다른 배역 맡으면 몰입이 떨어져요ㅠ)  재미있는 소설 한 편 읽은 기분 이네요. 추천합니다!  https://namu.wiki/w/나이브스%20아웃",8,1
58,흥미진진 하고 재미있네요 셜록같은 추리물 내용은 아니지만 완전 영화에 빠져서 봤어요 ㅋㅋㅋ 전 초반에 지루함도 없고 처음부터 끝까지 몰입해서 봤네요!,10,1
59,부담없이 흥미진진 재밌게 봤네요,9,1
60,재기발랄. 미국의 문제점을 꼬집는 통쾌함은 보너스!,9,1
61,"대작이란게 거대자본과 화려한 CG, 이름값하는 배우들만의 잔치가 아니란걸 보여주는 작품이다. 몰입도를 높여주는 훌륭한 배우의 연기에 딱 들어맞는 미장센, 훌륭한 플롯과 전개, 그리고 기가막힌 연출까지. 이전의 추리스릴러들이 범인을 감추고 맞추는 단편적인 구조였다면, 나이브스 아웃은 그 이외의 많은 것을 덤으로 보여준다. 추리물 매니아들이라면 본 영화를 보면서, 각본보다도 더 그럴싸하고 멋진 스토리를 예상하고 머리 속에 그려봤을지 모르겠다. 범인을 맞추는 상상만이 아닌 관객으로 하여금 그림 전체를 다시 그려보게 만드는 힘이 있는 작품이다. 완벽하진 않지만, 좋은 작품임에 이의는 없다.",8,1
62,복고풍의 추리물 완벽재현~~ 은근 꿀맛이다~ 화려한 배역진도~~ 덤으로~,9,1
63,잼있어요,10,1
64,격조와 품위를 지닌 명품 스릴러,9,1
65,재밌다 재밌다하길래 봤다 근데 .. 재밌네 흠,8,1
66,너무 재밌다,9,1
67,추리영화 처음봤는데 고급진 분위기도 좋고 재밌었어요,9,1
68,오랜만에 적당히 정통 추리소설의 룰을 지킨 영화를 봤다.,7,1
69,"스토리 쓰는 건 작가 마음이지만 프로파간다가 구석구석 숨어있네 자본주의 미국 비판 트럼프의 이민정책 비판,  불법체류자를 ""선""으로 규정~ 동정심 불러일으킴.. 관객들의 마음에 불법 체류자가 나쁘지 않다. 파키스탄 이슬람교 창궐한 나라 높이고 난리.. ~  마르크시즘, 페미니스트 슬쩍 흘리고  ~~영화는 교묘히 프로파간다 이념 세뇌의 도구로 활용되는 것이 맞군~ 구성은 흥미진진",2,0
70,매우매우 요상하게 상당히 고전적이고 이로 인해 지루할 것 같은데 오히려 요즘이라 신선,9,1
71,심야에 보는 거라 졸릴까 걱정했는데 141분 내내 졸릴 새 없이 몰입해서 보았음. 어설픈 액션이나 CG영화보다 훠얼 재미짐~~ 셜록홈즈 시리즈 나오길 고대하던 차에 딸의 추천으로 보게 되었는데 꿀잼이었어요.~~,9,1
72,오랜만에 느껴보는 추리영화의 참 맛 ,8,1
