,document,score,label
0,모처럼  조용하면서서도  내용의깊이 가 있는   영화 를 만났다 내가 좋아하는장르가 추리극.미스터리  쪽인데 보통 그런영화는 잔인하고 살벌해서 같은 장르라도  가려보게 되는데 이영화 내가 죽던날은  뭔가 내면의 치열함 은 있지만 고급스럽게    인내핸서 정서적으로 풀어나가는 모습이 참 좋다 특히  마지막 부분은   반전 비슷한  아름다운 여운이 남는다 좋은영화  즐감했습니다 한번더 보고싶은 영화입니다,10,1
1,"극장에서  지금 막 보고 왔어요 기대 이상입니다! 좋은 영화인데 코로나로 정말 아쉽네요 김혜수, 이정은 두 분 그리고 김선영배우님  잔잔하지만 큰 울림의 연기 호흡. 미스터리같은 스토리 구성.  작지만 큰 영화로 남을것 같아요.",9,1
2,"김혜수,이정은,김선영 새배우의 케미가 좋았어요.마지막 반전도 볼만합니다.^^오랜만에 본 영화라 더 흡족하네요.",9,1
3,믿고 보는 배우 김혜수 이정은!,10,1
4,너무너무 재밌게 잘 봤습니다 관객들이 줄 서 있어서 기분 좋았어요,10,1
5,오빠는 왜 그렇게 사진첩을 찾았을까요?,4,0
6,차수현 형사의 귀환,10,1
7,말해뭐해요.. 배우님들 연기 폭풍칭찬합니다.,10,1
8,이정은..김혜수...와~~ 정말 기대만땅입니다..^^,10,1
9,조금 지루하네요,5,0
10,두배우의 연기가 영화을 세밀하게 잘 끌고가네요.스토리는 단순하나 헛투로볼수 없고 중반에 조금지루하나 결말을 쉽게 기대하면 안되는 영화입니다.해피로 끝나서 좋지만 가슴이 조금 아프네요.,8,1
11,"영화를 보고 마음이 따뜻해지고 위로를 받는 기분이 들었습니다. 사람마다 저마다 힘든 상황을 겪을 수 있는데 그 때 그 사람을 잡아줄 수 있는 한 명의 사람이라도 있다면 누군가는 삶을 멈추지 않고 살 수 있지 않을까 하는 생각을 다시금 했고 나에겐 그런 사람이 있는지, 내가 누군가에게 그런 사람이 되어 줄 수 있는지 생각해보는 시간이 되었습니다. 이런 좋은 영화에 출연해주신 배우님들 감사하고 감독님께도 감사드려요. 김혜수 배우, 이정은 배우 비롯한 배우분들의 좋은 연기 덕분에 영화보는 내내 집중할 수 있었어요. 또 보러 갈겁니다. 영화 잘 됐으면 좋겠네요.",10,1
12,지루했음..,4,0
13,기대됩니다 ♡,10,1
14,이정은 연기 기대됨,10,1
15,봐야지~!^^,9,1
16,최고중 최고 배우님들 !!!! 김혜수 이정은 배우님 기대됩니다. ,10,1
17,저희 시골집에서 일부 촬영 했답니다. 저희 동네 선착장에서두요. 기대 됩니다.,10,1
18,영화가 진행되는 내내 잔잔함.,6,1
19,궁금해서 그래요. 아직 개봉도 하지 않았는데 10점이란건 무엇인지요. 정말 급 궁금해요,3,0
20,상황설정도 이해가 좀 안되고 전개가 지리하니 노잼이네요. 여자아이 연기도 별로...,4,0
21,기대합니다.,10,1
22,힘든 상황에 있는 사람들이 보면 힘이 될 것 같다... 인생  훨씬 길어~,10,1
23,아무도 지켜주지 않아. 니가 널 지켜야지.,8,1
24,이 영화 보고나서 가슴이 먹먹한기분은 뭔지모르겠습니다.  영화를 보고나서야 좀 더 자세한 줄거리를 찾아보았습니다. 섬이라는 공간이 다했네요....배우들의 깊은감정선이 아직도 제마음깊이 울림이 되어  남아 있습니다. 뭔지모를 깊은울림이 남습니다.다들 겪고있을 외로움...,9,1
25,알바도 아니고 진짜 봤는데... 혹평도 있는거 보면 참 사람마다 다들 다른가보다 느끼는게... 나는 참 좋던데... 지루하지도 않았고... 배우들에게 계속 집중할 수 있었고... 마지막의 결말도 좋았다... 감독의 연출 의도와 더불어 그 성정까지 느껴지는.. 이런 결말도 좋은데 조금 아쉬운건 연출의 매끄러움이랄까... 내레이션이 대사가 조금 아쉽게 느껴지는거. 일부 대사가 약간 상투적으로 느껴지는거... (정말 리얼리스틱했더라면) 그럼에도 좋은 영화에요.,9,1
26,"오늘 영화 봤는데, 몰입해서 봤네요. 스릴러도 아닌데 쫄깃하고, 뒷 이야기가 궁금하고... 재밌게 봤습니다. 집중해서 보게 연기해주신 배우분들께도 감사합니다. 연출해주신 감독님도 감사합니다.",10,1
27,오늘 보고왔어요.. 뭔가 스펙타클한건 아니지만 너무 스토리가 탄탄하고  배우들 연기도 좋았어요 시간나시면 꼭 보시길 추천합니다,10,1
28,매우 신선한  영화. 행간에 많은 것이 숨어  있네요. 따뜻한 위로를 받았습니다.,10,1
29,오랜만에 집중해서 본 영화였습니다. 힘겨워하는 모든이들에게  위로가 되었으면 합니다.,10,1
30,"관람평에 지루하다 이런 평이 있더라구요 공감합니다  그런데요!!! 제가 이영화를 보면서 느낀건 관객도 그때 처한 상황, 그때 기분,. 그때컨디션에 따라서 영화도 보는 시각이 달라진다는걸 알았습니다 저는너무 재밌게봤습니다 극장에서 펑펑 울었습니다 제 이야기인거같았거든요 몰입도가좋았습니다",10,1
31,여운이 남는 영화였어요,10,1
32,어떤 화려한 수식어도 필요없는 영화,10,1
33,너무나 좋아하는 두 배우!! 얼른 보고 싶네요,10,1
34,꿀잼일듯..꼭보고싶다ㅡ코로나그만확산되기를...아니.잠시라두 몇달이라두좀..멈춰줬으면,10,1
35,많이 기대 중 입니다!,10,1
36,생각한거 이상 괜찮은 영화였습니다.  지금의 나의 보통의 삶이 망가졌을때.... 김혜수씨 연기는 정말 최고네요.,10,1
37,"김혜수, 이정은 두 배우 때문에 봤는데 기대 이하. 설정과 인과 관계가 부족하니 흡인력이 떨어질 수 밖에. 여자 아이의 연기력 부족도 한 몫.",4,0
38,김혜수님 기다리고 있었습니다. 언제나 좋은 연기 보여주셔서 감사합니다. 왕팬입니다.~^^,10,1
39,초반에 몰아부치는 긴장감이 무색하게 ... 결말이 너무 허무합니다 ..... 장면 개연성도 부자연스러운게 많음. 기대를 너무 많이함,6,1
40,음.. 전 좀 지루했는데 다들 평이 좋으니 호불호가 갈리는 영화네요. 스토리도 충분히 예상 가능했고 반전도 예상가능했던 것이라 좀 평이했네요. 혜수 누님 나온다길래 보러 간 영화였어요.,6,1
