,document,score,label
0,공과 사를 구분못하는 여주 때문에 이미 영화는 망한듯... 이런 직업의식 없는 여자가 무슨 배우를 한다고...,1,0
1,제발 연예인 기사 댓글 부활해라 사람들이 열은 받고 쓸곳은 없으니  평점테러하고 죄없는  영화 제작자들만 피해본다,1,0
2,김강우가 불쌍해서 10점.. 강우야 강우야.. 너 왜 이렇게 안풀리냐ㅠ,10,1
3,ㅠㅠ출연자 하나때문에 영화가 통으로 피해보겠네..,3,0
4,학교폭력이랑 다를게 뭐냐? 남친이하는 드라마에 동료배우 힘들게하고 작품에서 하차하고 서예지는  사과하고 은퇴해라 나오지마 짱나니까,1,0
5,감독 작가 스탭 다  제 발바닥 아래로 본다는 그 조종녀...   과연 감독 디렉팅이 먹혔을까? 연기 접고 남친들 조종이나 더 하지 왜 ㅋ 목소리도 더러워서 얘 나오면 바로 채널 돌리는데.. 전혀 기대 안된다,1,0
6,서예지가 김정현을 조정했다는.. 정말 실망스럽네요  연인이기전에 공인인것을.. 순수하게만  보이는 이미지는 가면인거 같네요,1,0
7,서예지 김정현 둘다 잘가라^^ 멀리 안나간다,1,0
8,김정현  조정 사실이라면  서예지  김정현 둘다  연예게  은퇴해라   니들  촬영장이 놀이터냐  어이없내,1,0
9,서예지때문에 흥행은 물건너 간듯,1,0
10,아니...김강우랑..제작진은 무슨죄임....,10,1
11,"직업으로서 배우를 선택한 사람이 스태프들과 모든 관계자를 무시하고 고의로 한작품을 말아먹게 했다면, 배우의 직업에서 잘려야 한다고 생각합니다. 제발 개념좀 탑재하고 인간을 존중하는 법을 먼저 배우세요.",1,0
12,뿌린대로 거둔다..3년전 남친을 조정해서..재밌었나?? 정말..사람은 현재를 이끄는건 과거이지.. 앞으로 행복하려면 착하고 남에게 해를 끼치지 말아야한다.. 진정 오늘 제대로 인생 배웠다..,1,0
13,김강우 염혜란 나와서 볼라했는데..왜 서예지가 나오는거임??패스~,1,0
14,그렇게 남친을 조종할거면 둘다 배우를 하지 말았어야지~ 소름끼친다~서예지~~ 다시는 보구싶지 않아~,1,0
15,차라리 거짓이었으면좋겠다 역대급민폐  더킹의대사중 대한민국역사상이정도쓰레기는없었습니다 라는말이 딱 맞다 진짜 사이코였네,1,0
16,순식간에 평점이 낮아 지고 있네 서예지 때문에 착하게 살자 쫌,1,0
17,서예지 스페인 유학파라는데 어느 대학나온건지 해명 좀.. 학창시절 중고등하고 졸업사진도 현재하고 너무 다르던데.. 연예인은 공인이고 공인이면 공인답게 행동해라 그 큰 돈은 그냥 벌어지는게 아니잖니??,1,0
18,주연여배우가 저모양인데 이 영화 절대 안봅니다.,1,0
19,사이코......... 김정현도 피해자 같긴 하지만  이런 여자에게 놀아나는 남자들 은근 많다.,1,0
20,사이코는 티비에 나오면 안된다.  약한사람 기빨아 먹으면서 살아온듯.  보이콧!!!!!,1,0
21,둘다 좋아햇는데 서예지 너의 인격 무엇ㅜ 너무 실망해서 경앇ㄷ럽다,2,0
22,김딱딱이랑 둘이 찍지 김강우는 뭔 죄,1,0
23,"⟨자긴 나 때문에 행복하쟎아. 나를 더 많이 행복하게 만들어.⟩  그것이 알고싶다,에서 제주도 초등학교 교사님 살해당하시기 전에 이딴 식의 가스라이팅 당했었던 거 검색하면 나옵니다. 그알팬이라 저 대목에서 소오오오오름 ㅡ.ㅡ (그 땐 가해자가 남성)  자세한 건 모르기에 그 남자 배우 옹호할 생각은 죽어도 없지만, 애정과 자해와 자살로.. 상대를 가스라이팅하는 이 여자. 시청자가 왜 봐야합니까!!!!!!!",1,0
24,인성이 글른 배우는 사라져야,1,0
25,소름끼치네 학폭보다 더 한거임. 인성이 완전 바닥 지하20층은 되는듯하다.. 사람 조종해보니 좋았나?  김정현도 조종당하고 있었다니.. 헐이다 완전.  사죄해도 모자랄판에 김정현 인터뷰 안받는다는 조건에 시사회나온다고? 안받아들여지니 불참. 허.. 와 정말 뻔뻔하네,1,0
26,서예지 때문에 못 보겠네,1,0
27,"예지님, 왜 그러셨어요.. 왜. 어쩐지.. 예지님 그 눈웃음이 예사롭지 않았는데.. 다 이유가 있었음... 김정현이야 피해자코스프레로 빠져나갈수라도 있지.. 가스라이팅은 뭘로 빠져나가려나.... ㅠ",1,0
28,"정신나간 두 아바타 연놈들,,,,,참나,,어이없어서 할말 잃었다,,,남자 새키도 웃기네,,,,,둘다 은퇴해서 꼴리는데로 살아라,,,,,,,",1,0
29,예쁜사람에서 비호감으로 변하는건 순간이네 이 영화도 끝났네,1,0
30,서예지 때문에 이게 모니?,1,0
31,영화가 많이 딱딱한 느낌이라 보기 싫네요,1,0
32,진짜실망이다,1,0
33,인과응보..,1,0
34,그 정도면 김정현도 서예지도 정신병원 가야하는 거 같네요 정상인은 아닌 듯,1,0
35,망하게 해줘요. 구역질나서 보기싫음. 아는형님때 웃는게 명랑하고 순수해보였는데...그런여자 좋다고 만나는 김정현도 한심하고 그남자좋다는 서지혜두머..끼리끼리겠죠?,1,0
36,"영화 봐주고 싶지만 많이 봐주면 서씨한테 이익이 가자나...ㅡ ㅡ 어쩔 수 없이 패스합니다. 제작진들 미안요~  이래서 학폭이나 논란 있던 사람들은 안심하면 안된다니까. 학폭 덮고 넘어갔더니 똥을 푸댓자루로 싸고 가네. 민폐가 한 둘이야? 시간팀, 이 영화, 광고주들 손해 어쩔거야 진짜.",1,0
37,영화  망했네요. 여배우 인성 덕분에.,1,0
38,민폐네요... 김강우님 보고싶었는데...,1,0
39,방송에 나오지 않았으면 좋겠습니다,1,0
40,민폐네. !,1,0
41,왜 그러셨어요...,1,0
42,"다른 배우들이랑 스탭들,제작사까지 이 무슨 날벼락..",1,0
43,서예지 학폭 의혹도 있던데,2,0
44,김강우 나오는 영화는  무슨 일이 터지든해서 망하네 ㅋㅋㅋㅋ 진짜 영화복 없는 김강우 ㅋㅋㅋㅋ,3,0
45,서예지 김정현 이 둘이 출연하는 모든 영화와 드라마는 다 보이콧.,1,0
46,남자 여럿 잡겟네요.. 소시오패스 같아요 인과응보,1,0
47,배우의 기본 소양도   갖추지 못한게 무슨  배우라고... 남의  피땀같은 작품은  다 깽판쳐놓고..지꺼라고 잘될리가.. 누구든 내주위 본다는 사람 다 뜯어 말릴꺼다,1,0
48,민폐 남녀의 추락을 기대한다.  개인의 애정사로 직업 윤리까지 선 넘으면 안되지. 특히나 노력에 비해 고수익을 얻는 주연배우라면 더더욱.,1,0
49,다른 사람한태만 딱딱 하니까 서예지가 뿔나지!! ㅋㅋ,2,0
50,그냥 보고싶지 않습니다,1,0
51,서예지는 영화제작자 및 타배우들에게 피해보상해라,1,0
52,개봉전부터 망했네..ㅋ 못된것만 시키는 쓰레기나 시킨다고 따라하는 바보나 도찐개찐.. 둘다 잘가라~~~~,1,0
53,쓰레기 같은 배우 기용하는 이런 영화는 보이콧하고 망해야된다고 생각합니다!!!,1,0
54,서예지는 맘에 안 들어도 김강우님은 좋은 이미지라 영화를 보러 갈까 했더니 그 생각마저  감독이 엎어 버리네요..아니 무슨 인터뷰를 그딴 식으로 합니까? 대중들을 상대하면서 무슨 생각이 그렇게 편협하고 주관적이신지..영화 잘되기는 글러먹었네요..  같이 작품한 서예지에 대하여 좋게 말하는거까지는 이해가 되는데 서예지와 김정현의 관계에서는 어디까지나 김정현이 피해자입니다(시간-드라마에서의 과오는 인정) 서예지가 개인들의 관계에서 뿐아니라 업계에서 소문이 파다할만큼 지대한 피해들을 준것으로 아는데  영화 홍보한답시고 자기가 선택한 서예지는 추켜세우고 김정현이는 비하하면 영화가 잘될거라 생각하신건지 인격이 보이더군요 현재 서예지의 이미지추락은 자신이  그동안 어떻게 살아왔는지 뿌린대로 거두고있는것입니다 사필귀정.,2,0
55,선 별점드립니다. 장난하세요?,1,0
56,서예지 남한테 피해주면 다 돌아옵니다,1,0
57,치료 한번  받아보세요,2,0
58,배우로써 인간으로써 기본이 안되어있네.,1,0
59,김강우 염혜란씨 팬이라서 보고싶었는데 아 ~,2,0
60,영화 망한듯     별 여자 다있네여  학폭의혹도 있다매,1,0
61,그래ㅡ보기에도 딱 그래보이더니 그런짓을 하고도 당당하지? 아파보지 않아서 겁나는것도 없는거지ㅡㅡ 김강우는 안됐지만 얜  그바닥을 떠나야한다,1,0
62,........... 진짜 가증스럽다.,1,0
63,싸이코지만 안괜찮아였음,1,0
64,우릴 우롱했다는게  화가나..니네 연애 놀음에....,2,0
65,최욱씨가 질문도 예의없게 했지만 감독님 대답 정말 어처구니가 없더만요. 1점도 아깝습니다.,1,0
66,감독의   무지한  인터뷰   정말 실망입니다,1,0
67,난솔직히주연배우 눈빛보고 처음부터 개인적으로 안좋아했다 학폭의혹 사실이면 반드시 사회에 밝혀져야한다,1,0
68,비정상,1,0
69,감독인터뷰도 봤는데 시켰다고 하는사람이 문제라고? 그럼 보이스피싱도 당한사람이 잘못이냐?,1,0
70,개봉도 못하고 망해버린 서딱딱씨의 마지막 유작...,1,0
71,내남자는 내말만을 듣는다 절대적이다 내일은 딱딱 김딱딱,1,0
72,감독도 서예지랑 똑같네.감쌀걸 감싸야지...한심하네,1,0
