,document,score,label
0,"지금처럼 돈과 사랑 앞에 갈등 하는 젊은 청춘들이나면 반드시 봐야 할 영화!  잔인한 현실, 그것이 이 세상의 모든 것이 아님을 말해주는 영화.   물질 사회 속에 진정한 사랑을 찾고 싶다면 결혼 전 반드시 봤으면 하는 영화.  ",10,1
1,지금 아내인 은비와도 이 영화 같이 사랑하리!!  인생 영화 너무 감사♡♡ ,10,1
2,얼마나  오래 지금처럼 행복하게 살 수 있을까.... ...나에게도 저런 남퍈이 있어 감사하다.,10,1
3,애절함!  가슴이 저려옴 감동이 밀려옴...,10,1
4,몇번이나 봤단 영화. 나도 내 아내를 평생 지켜줘얒겠다,10,1
5,함께 손잡고 가고 싶은 사람이 있다는게 행복   ~  가치가면 무섭지않을듯 ~  ,8,1
6,여주 약혼자 넘 안타깝 ㅠㅠ  현실이라면 사랑과 전쟁 내용인데.. 여주 남주만 보면 애틋한 사랑 이야기,9,1
7,Good~,10,1
8,"앨런의 신들린 연기와 사랑스러움, 탄탄한 스토리, 애절함을 겸비한 최고의 영화~ ",10,1
9,실화라니 더 절절함,9,1
10,멋짐,10,1
11,ㅠㅠㅠㅠㅠ,10,1
12,멋진영화네요.,10,1
13,"2가지 이유때문에 본다. 라이언 고슬링의 성장, 토렌토에 갑자기 올라옴. 레이첼의 기여움; '내 머릿속의 지우개' 같은 영화와 차원이 달랐다.",9,1
14,뭉클한 감동과 진정한 사랑을 ... 다시금 깨닫게 하는 넷플리스 노트북 영화!❣ 별⭐다섯개 만점을 주고싶은 영화 노트북 꼭 추천하고 싶은 영화입니다~👍  코로나로 방콕 Chritmas  였지만 남편이 꼭 같이 봐야 할 영화라 해서... 보는 내내 가슴이 저리고 뭉클한 감동이 밀려와... 노아와 앨리 부부❣ 진한 감동을 주는 인생 스토리~  한평생  나를 아껴주고 사랑해주는 사람! 내 사랑하는 남편이 내곁에 있어서 너무 고맙고 감사하다! 우리 둘을 짝지어 부부가 되게 해주신 주님께 감사드립니다!❣ 또한 좋은 인성으로 잘 자라준 오누이! 우리 아이들도 너무 고맙다! 우리 부부도 이만하면 성공한 부부 아닌가!!,10,1
15,처음으로 엔딩 크레딧을 흐르게 한 영화. 희망과 용기를 가지고 사랑해야 한다.,10,1
16,여러 번 보면 좋은 작품이 있고 첫번째 그 강렬함을 간진한게 좋은 작품이 있다. 이 작품은 후자인것 같다. ㅎㅎ,8,1
17,내인생은 참 씁쓸하다 ㅠ,10,1
18,사람들이 잼있다고 하는 영화는 보면 재미있다.,10,1
19,인생영화..믿고보는 레이첼 맥아담스 영화,10,1
20,이런 사랑을 의심하고 지나쳤던 옛 기억에 가슴울 울리며 보게되는 영화...,10,1
21,ㅡㅡ,8,1
22,내 인생영화...,10,1
23,이게 사랑 영화지 100번보세요1000번보세요,10,1
24,아름다운 영화,8,1
25,진짜 완벽. 더 할 말 없음 완벽.,10,1
26,좋은 영화  이런 삶을 살아간다면 .....,10,1
27,제발 꼭 보세요,10,1
28,인생영화~,10,1
29,운명의 사랑~ 나도 아내와  같은 날에  잔잔하지만 큰 울림을 주는 영화,10,1
30,인생작이다,10,1
31,최고,10,1
32,내용과 감동있는 영화였어요~,10,1
33,"내 인생영화,,, 진짜 보면서 계속 눈물 질질 흘림..ㅜ 어떤 블로그 후기에서 봤는데 해피앤딩이지만 슬픈영화라던데 동감합니다..진짜 너무 감동적이에요",10,1
34,인생이 고스란히 담긴 영화~ ,10,1
35,잔잔한 로멘스,10,1
36,슬픈 사랑의 이야기,9,1
37,.,7,1
38,내 최애 영화 ,10,1
39,사랑은 있는 그대로를 사랑해주는 것임을 알게해준 영화. 노아는 소리지르고 짜증내고 때리는 앨리에게 소리를 지르면서도 떠나지 말라고. 우리는  이렇게 사랑해 나가는 것이라고 말한다. 앨리는 자신의 약혼녀 앞에서와 노아 앞에서 현저히 다른 모습을 보이지만 노아와 있을 때 진짜 자신이 될 수 있다고 말한다.,10,1
40,"⟨노트북⟩  노인성 치매를 앓고 있는 아내를 위해 병원에서 같이 생활하면서 날마다 그들의 아름다웠던 젊은 날의 이야기를 읽어주는 남편의 지극한 사랑이 마음 속 깊이 느껴지는 감동적인 영화...  17세였던 앨라는 노아와 첫사랑에 빠졌지만 부모의  반대로 도시로 돌아가게 된다.   상심한 노아는 참전하게 되고 대학에 재학중이던 앨라는간호조무사가 되어 군에 자원한다.   ""최고의 사랑은 영혼을 일깨우고 더 많은 걸 향해  손을 뻗게 해. 우리 가슴에 불꽃을 심어주고 우리 마음에 평화를 가져다 줘"".  세자녀들과 손자손녀조차 전혀 알아보지못하는 앨라를 안타까워하며 아버지에게 이제 집으로 가자고 애원하는 자녀들. 그러나  '내 집은 바로 엘라' 라고 단호하게 말하는 노아.   서로 지극히 사랑하던 그들은 한날 한시",10,1
41,"지난 바닷가에서 진주를 발견한 느낌, 보는 내내 감동",10,1
42,감정선 건드리네..,10,1
43,서로 너무 사랑해서 잊지 못해..,10,1
44,찰나에서 영원을 꿈꾸는 모든 이들을 위한 사랑의 완성판,7,1
45,"노트북만한 멜로 영화는 없다고 생각해요. 영화 중반부에서 앨리의 행동에 답답하긴 했지만 영화속 노아가 너무 안타까웠고 해피엔딩이라지만 새드엔딩이라고도 할 수 있을것 같네요,, 마지막도 너무 씁쓸했지만 끝까지 앨리 곁을 지켜주는 노아의 모습이 ‘진짜 이게 영원한 사랑이구나’라고 생각들면서 감동적이였어요. 언제봐도 감동적이지만 슬픈영화에요.",10,1
46,잘봤어요.,9,1
47,좋았어요,8,1
48,꽤오래전 상영된 영화였던거 같은데.. 심심해서 본게..가슴 찡하네요 진부하리라 미리 치부해버리고 볼생각도안했는데 ㅎㅎ,8,1
49,그들이 사랑하게 된 과정을 보여주고 그 후 늙어서 죽을때까지의 과정은 생략이 되있다. 이러한 종류의 영화는 많지만 이 영화가 유독 이 분야에서 독보적인 네임밸류를 자랑하는 것은 지금은 대스타로 성장한 두 배우의 파릇파릇한 청춘 연기를 볼 수 있었기 때문이라 생각이 든다.,7,1
50,인생은 마완성  쓰다가 만  편지  가슴이 애려,9,1
51,"내가 왜 이걸 10년 동안이나 묵혀 두었을까. 뻔한 내용이라고 생각했었다. 맞다, 뻔한 내용이었다. 하지만 우리 인생도 뻔하지 않은가. 뻔한 삶과 세상을 채우는건 오직 사랑뿐.",9,1
52,내 인생영화 등극,10,1
53,감동이예요,10,1
54,마지막 엔딩의 짠한 감동까지.. 참 잘 만든 멜로..,10,1
