,document,score,label
0,항상 쓰는 배우만 쓰고 나오는 사람만 나오는 대한민국 영화계,5,0
1,연기들조아요 역시 특히 박정민은 천상배우임을 확인함 재개봉작도 또 봣어요 두번째보니까 더 재미져여,9,1
2,"황정민 이정재 빼면 아무것도 남지 않는 졸작 중에 졸작. 긴박감도, 스릴도 없이 다음 씬으로 넘어가기 위해 개연성따위 없이 억지로 짜 맞춘 각본과 텅 빈 특수효과를 한시간 40분 가량 봐야하는 고문을 당함. 그 와중에 신파극 요소도 덕지덕지 묻어 있는, 소재의 전형성에 전적으로 의존하며 그냥 전형적인 한국 저급 대중들의 눈높이에만 맞춘 졸작.. 하 이걸 내가 대체 왜봤을까",1,0
3,최악의 영화..애본다고 옆에 악당을 그냥 두는...제7광구와 비슷...한참 싸우다 괴물과 마주하는 여주인공과 비슷..신파의 끝을 보인다,2,0
4,아저씨와 레옹의 비빔밥,7,1
5,"황정민보다, 박정민의 게이연기, 정명훈의 교포연기, 이정재의 (초기)교포연기가 좋았다. 이정재는 중간에 한국인이 되어버렸네? ㅋ (감독의 의도인가?)",6,1
6,완전 몰입되어서 봤음. 엄지척!,10,1
7,평점이 왜 이러지??? 영화관객들은 없고 죄다 자칭 평론가들 뿐이네...,9,1
8,재밋게 잘봣습니다  결말  아  ㅠㅠ    연기력 ㄷㄷㄷ  와  스토리도 좋아요  ,9,1
9,"올해 본, 아니 코로나 터진 이후 본 한국 영화 중 최고다. 액션만 훌륭하게 아니라 배우들 연기며, 미장센이며, 삼국을 오가는 스케일이며 너무 재밌다. 사람들은 개연성을 문제 삼지만, 전혀 어색하지 않고, 무엇보다 단순히 딸을 찾는 아빠의 모습만 그리는게 아니라 각 인물들간의 다층적인 스토리가 교차하는 점이 꽤나 매력적인 영화다. 끝으로 박정민씨 왜 그렇게 예쁨?",10,1
10,"예전부터 느낀 거지만, 박정민은 연기 정말 잘하는 거 같아.",8,1
11,스케일만 커보이게 만든 b급 영화.,5,0
12,레옹을 연상시키지만 그 보다는 많이 부족한 오프닝과 엔딩.. 남는건  박정민 뿐,6,1
13,너무 진부해요.  박정민 빼고는 볼 내용이 아닙니다. 박정민 연기는 good!,3,0
14,연기 모두 최고!!! 외국영화 한편 본 느낌 박정민 연기 너무 잘함,10,1
15,재밌던데 왜들 난리.  계속 심장이 뛰던데.. 이정재말이  왜 죽이려는지 기억도 안난다고... 맹목적으로. 다만 보구선 기분이 찝찝했어요. 아이랑 같이 파나마 갔으믄..,8,1
16,박정민인지 몰랐네~~ 연기 하나로 모든 것을 압도한 배우들 전개는빠르나 중간이 잘린 것 같은 느낌은 종종 듬.. 감독판 기대 됨..,0,0
17,완전 반했습니다. 너무 놀랬어요. 대작입니다. 등장한 배우들 모두 반했어요.,10,1
18,끝까지 긴장감 놓지 못하고 진짜 재미있게 잘 봤습니다 코로나 아니었음 훨씬 더 흥행할 수 있었을 것 같은데 안타깝네요,9,1
19,황정민 이정재보다 박정민이 최고~~,8,1
20,시원한 액션 재밋었네요. ,9,1
21,명작은 아니어도 충분히 재밌습니다.,8,1
22,박정민 나의 그사람이.나와서 눈여겨 보며 연기 하나 하나 깨알 같이.봤고 이정재는 목소리 말투가 관상에서 나온거랑 비슷해서 몰입이 좀 덜 되었고 황정민의 절절한 부성애에 같이 응원하며 봤고 액션이 잼있었다 애기랑 함께 해패엔딩 아니여서 ㅠㅠ 슬픔 ,9,1
23,욕심이 많았네! 한국판 테이큰은 찍어 보고 싶은데  스토리는 더욱 복잡하게  해야겠고 양아치 이정재는 출연 시켜야겠고  하여튼 보는내네  불편하게 만드는 재주는 있더라.,1,0
24,박  정  민 정말 최고다 배우로 타고난 사람 정말 멋짐,10,1
25,평점이 너무 높다.. 기냥 죽이다 끝나는 영화...,5,0
26,시간 가는 줄 모르고 봤네요. 재미있고 감동적이었습니다. 주연부터 조연까지 연기 최고!,10,1
27,박정민이 기억에 남는 영화! 재미는 충족시킨다!,7,1
28,스토리의 개연성이 좀 부족하게 느껴진게 흠이라면 흠. 주연들의 연기력과 촬영 편집 매우 좋았습니다.,8,1
29,신세계보다 훨씬 좋아요 이정재 박정민 그리고 아역배우 연기 굉장하네요 잔인하고 슬픈 영화,10,1
30,모처럼 본 아주 괜찮은 영화다,9,1
31,주연이 모두 연기를 잘해서 재밌었어요. 확실히 우리나라 액션 영화는 진짜 실감 있게 잘 만드는듯..  특히 총 보단 칼로 싸울 때 음향 최고.,10,1
32,이런 영화는 스토리가 단순해도 재밌는거야. 색감 느낌과 연기 넘 잘했다. 특히 이정재 연기 최고~!,10,1
33,가볍게 보기 좋습니다. 액션이 불닭볶음면 마냥  화끈합니다. 스토리도 괜찮았고 배우들 연기도 좋았습니다,8,1
34," 액션 좋고,  연기좋고 감독의 데뷔작이란게 믿기지 않을뿐...!",10,1
35,Good,9,1
36,스토리 연기 액션 촬영 영상 모두 완벽해서 너무 좋았습니다!!!,10,1
37,간만에 재밌는 영화,9,1
38,코르나에 힘드는데  이런 망작까지 봐서더 힘드네요 시간이 아깝다,7,1
39,너무나 최고였다. 이정재도 황정민도 박정민도. 마지막 어린아이의 눈빛.. 슬프면서 아름답다,10,1
40,재밌었고 몰입감 좋고 지루한부분없이 시간이 어떻게 가는줄 모르고 잘봤습니다 황정민 이정재 박정민 짱~~~~~^^♡!!,10,1
41,연기 감탄~ 감동~~~,10,1
42,"존재감 없어진 이자성, 소심해진 정청...  심심해진 이런판에는 중구형이 와도 답없음",5,0
43,황가 놈 좀 그만 써먹어라...이 영화 저 영화 다 나오니까 저 새끼 대표작이 있긴 한거냐.. 저 황가 놈은 이 작품 저 작품 들어오는 대로 물 들어올 때 노를 젓자는 식으로 막 찍어 대는 쌩양아치 마인드를 가진 것 같다...그리고 저 황가 놈을 캐스팅하는 감독 새끼들... 그저 좀 흥행이나 해볼까 하고 황가 놈한테 의존질만 한다...저 황가 놈 이거 저거 가리 지도 않는 새끼니까...잘 풀려서 배우 하는 거지 순 쌩 양아치나 됐을 놈을...인상 자세 히 뜯어봐라...달콤한 인생에서 쌩양아치 짓거리하는 것이 딱 맞는 배역이었던 놈이다...,1,0
44,"♪♪♬♬♪♪ 영화네, 아저씨, 테이큰 태국 버전이고,  주인공은  아이언맨이냐.,.아무리 영화라도 적당히 해야  봐주지..시간낭비",1,0
45,복수극 지저분하네 . 태국국가위상  다 떨어지고 지져분한 영화 살빼서 이정재형 멸치되고 ㅠ,1,0
46,한국판 아저씨  액션은 좋았으나 1당백은 쫌 무리수 이정재는 걍 황정민에 목숨거는데 비현실적,8,1
47,굿,10,1
48,아저씨 2탄,5,0
49,"지루하진 않았지만 그냥  거의 예상되는  내용이라 다음 내용이 궁금하지가 않다 도망가고 쫓아가고 죽이고... 이정재는 관상, 암살에서와 똑같은 캐릭터와 목소리였고 '노인을 위한 나라는 없다' 에서 안토쉬거와 칼리의 대사를 거의 그대로 사용한 부분도 있었다. '아저씨'와 '맨온 파이어'를  적절히 섞은 특징없는 영화였다.",5,0
50,진중한 시작과 깔끔한 마무리까지 ... 생각없이 보기 좋은 영화. 박정민의 연기폭이 상당하다는걸 느끼게해준 영화.  다만 아쉬운건 황정민과 이정재가 극중 캐릭터에 완벽히 녹아들지 못하고 겉도는 느낌. 차라리 두배우의 역할을 바꿨더라면...새로운 역할을 찾는것도 좋지만 잘하는 역할을 맡는것도 실력인데...,9,1
51,그냥 그런...액션씬만 좋은;;;,6,1
52,지루,5,0
53,황정민박정민 두정민의연기죽였음~ 이정재는 첫등장씬에서 빵터짐 화이트코트끌면서 고음불가이수근인줄ㅋㅎ게다가 발성은 왜이리 인위적이냐 늘 억지스러움 하여튼 두정민의연기가 압권~~,8,1
54,천하무적 ...,1,0
55,잼써요,10,1
56,이정재목소리  암살인줄 황정민은 책읽는줄,6,1
57,마지막이 좀 아쉽지만 아주 재미짐.,10,1
58,평점이 너무 낮은거 같아서 10점,10,1
59,황정민 액션씨는 그런데로인데 리딩이나 연기는 최악! 역시 황정민은 발랄하고 욕하며 연기하는게 제격이고 진지한 킬러 연기의 무게감이 없음. 이정재 연기도 그닥! 극본 내용의 현실성과 연관성도 황당. 이정재가 추적하는 과정이 너무 황당하고 무게감과 긴장감도 그닥. 흥신소 직원도 아니고... 로케장소는 태국의 엔터쪽이 동남아에서 그나마 좋으니 택한듯...,5,0
60,이정재  연기 끝장.,10,1
61,결말은 아쉬웠지만 킬링타임용으로 집에서 보기 괜찮은 영화 박정민이 한몫했다,7,1
62,생각없게하는 단순함,7,1
63,그냥 쏘쏘,7,1
64,잼있네,10,1
65,오~ 배우들(꼬마아가씨포함) 연기 굿~  감독 연출 굿~  완전 몰입해서 봤습니다. 코로나만 아니었어도 대박일텐데...,10,1
66,킬링 타임용으로는 딱!,7,1
67,내용은 두남자가 벌이는 단순한 액션복수영화.액션 너무 잔인하고 그냥 킬링타임영화로 보면 좋음~,6,1
68,재밌는데...스토리는7점인데 배우들이 13점이라 몰입감도 있고 액션씬이 휴대폰으로 보는데도 스릴있고 멋있었음.왠만한 대작도 휴대폰으로보면 그냥그런데 처음으로 10점의 영화였음,10,1
69,새롭고 참신한  스토리는 더 이상  메말랐을까  표절 한건 아니지만  영화 보는 내내  아저씨. 테이큰. 할리퀸영화 두번째 작품 정도가  생각도  많이 나게함    이런 영화에는 꼭 달리기 와 차량 추격전. 총격전.몸싸움.협박 정도 나와야 하고  주인공 이나 중요한  인물은  죽거나  중상을 입어야 함.   그리고  화면색상 이 왜 누렇게 나오게 했을까   피흘리는 잔인성을  좀 덜하게 하는 요소로 선택했을지 신세계 의 주연들이 다시 만나 적으로  연기 하는구나,6,1
70,액션도 괜찮고 스릴도 있고 다만 잔인한게 흠이다,7,1
71,액션은 낫 배드,7,1
72,스토리는 뻔하지만 그래도 나름 재밌게 봤네요 출연진의 연기들 다좋았고 박정민의 에피소드가 좋았지만  좀 약하게 표현되어 서 아쉬웠네요  웃음포인트가 되었을텐데 ^^,8,1
73,스토리는 무협지에서 많이본 스토리  주인공과 복수 연계된 조폭집단  아저씨+달콤한 인생  킬링타임용  ,7,1
74,정말  재밌어요 이정제  연기 멋지네요  ,10,1
75,화끈하구먼!몰입도 좋네,8,1
76,"액션, 스토리 그리 나쁘지 않음.. 수준을 논하기 보다 그냥 저냥 타임킬링용...",7,1
77,중요한 순간에 꼭 딴짓하다  디지네  참 무책임하구만,5,0
