,document,score,label
0,놀란은 놀란이네요 놀랍습니다,10,1
1,"미국식 영웅얘기=히어로 물이라고 생각했던, 배트맨을  고뇌하는 인간, 철학물+영웅물로 완성   영웅물을 이렇게 풀수 있는건 이전에도 이후에도 없을듯. ",9,1
2,전작 다크나이트가 워낙 임팩트 있다보니 묻힌 케이스,10,1
3,전편에 비해 소박해진 액션...,7,1
4,"다크나이트보단 살짝 부족한 느낌이 없지않아 있는데, 그래도 진짜 재미있는 영화였다. 마지막 장면에서 울뻔했다.",10,1
5,외국영화재미있어요고마워요네예,10,1
6,액션 아주 엉성하고... 스토리 뻔하고...지루한 장광설... 커리스마 전무의 배트맨... 이영화 유일의 가치는 캣우먼의 몸매뿐. 캣우먼땜에 1점 준다.,1,0
7,차라리 전편을 보지 않았더라면... 전편을 더욱 돋보이게 하는 부실한 시나리오  어설픈 폼잡기,5,0
8,조커 역의 히스 레즈가 그리웠다..!! 이건 뭐 초반에 너무 지루해서리 원...!! 역시 박쥐 인간 시리즈는 다크 나이트가 갑인 듯..!! 나머진 다 쓰레기...!! 아무리 동일 한 감독이 제작했다손 치더라도 아니건 아니라고 할 줄 알아야 한다..!! 다크 나이트는 시종일관 지루한걸 못 느꼈다..!! 근데 이건 뭐...!!,3,0
9,내용이 유치하다!,5,0
10,너무 길고 좀 지루해서 조악한 소품들이 눈에 들어옴. 배트맨과 여자캐릭터들의 케미도 안좋고...특히 앤 헤서웨이 역할 너무 안어울림. 기대가 커서 실망도 컸다. 여러모로 전편에 비해 많이 별로;;,5,0
11,이 감독 진짜 액션치.. 제발 액션 영화 좀 찍지 마세요,4,0
12,다크나이트를 너무 재미나게 봐서그런가? 이번건 스토리도 재미없고 전개과정도 어이없고 악당베인은 허접한 마스크 설정에 목소리 앵앵도 듣기싫었고 해서웨이는 왜출연했는지 모르겠고 ,1,0
13,올레티비에서 무 료로 보여주길래 봤다. 극장에서 안 보길 잘 했다.,0,0
14,출연진은 화려한데 뭔가 좀 전체적으로 부족해보인다.,0,0
15,이해하기 어려운 전투씬,5,0
16,개망작 비긴즈만도 못하다,1,0
17,"전작보단 빌런이...톰하디 보단 히스레저가 낳다.다크나이트 트릴로지의 완결작이라 기대하고 봤는데 1점 아까움. 한국에서도 PG-13등급(12세)으로 다크나이트랑 같이 개봉했어야되.솔직히 베인이 그나마 괜찮았음(목소리).영화속에도 다크나이트처럼 배트맨의 분량이 짧고 사회의 정의가 어떻게 실현되는지 다크나이트 다음으로 보여준는 명작!인셉션 다을으로 재밌었음.마리옹 꼬띠야르,크리스천 베일,톰 하디,앤해서웨이,조셉 고든 레빗,게리 올드먼이 명연기함.마지막에 감동,눈물 나올뻔.",9,1
18,아 크리스찬 베일이 조금만 더 젊었으면 다크나이트 더 나왔을텐뎅 아쉽당,10,1
19,ㅅㄱㅅㄱ,10,1
20,기어올라서 펼쳤네 난 좋았어,7,1
21,.,9,1
22,완벽하다.,10,1
23,이건 무조건 10,10,1
24,.,7,1
25,IMAX로 재관람!!!첨 볼때 보다 더 감명깊게 봤네요.이번에 시리즈 연달아 다 봤더니...ㅠ 도대체 히어로물이 왜 감동이냐구요.보통 3편 실망하는데 이만하면 만족할만한 끝맺음입니다. 이제 다시 크리스천 베일의 배트맨 못 보나요. 그는   진정한 다크 나이트.ㅠ,8,1
26,나에게 배트맨은 다크나이트 시리즈 뿐이다,10,1
27,사요나라  우려먹기 이러고 있네 원래 3부작이였어 빡대야,10,1
28,또 다른   뉴버전의  ⟨배트맨⟩ 시리즈!!   진심으로 기대됩니다!!  사랑해요 배트맨 !!,10,1
29,지금 보니 재밌다,8,1
30,8년 뒤의 미래를 예측한 개띵작 재평가가 시급합니다.,10,1
31,내가 본 영회중 최고! 극장서 배트맨 첫 등장씬 아직도 기억이 생생.. 두근두근 했음. 스토리도 배트맨 시리즈 중 젤 좋음 몇번을 봐도 지루하지 않고 재미있음 이제 베일의 배트맨을 못 본다는게 슬픔..,10,1
32,다크 나이트 라이즈,10,1
33,영화 구성이나 스토리 전개가 좋았고 조커라는 케릭터를 탄생시킨 작품이라서 높은 점수를 줬지만 이런 류의 영화를 별로 좋아하지 않는 나에게는 좀 지루했다.,8,1
34,전작보다 나은 후작은 없지만 이정도 후작이면 대단한것,9,1
35,어떻게 보면 이런 배트맨 시리즈를 만들어 냈다는게... 놀란은 놀란이네,5,0
36,"영웅, 진정한 용기",8,1
37,베인 자체가 안무서우니 배트맨의.실력도 줄어드네,5,0
38,이게 배트맨 시리즈의 진정한 완결이다  그냥 그 한편의 뮤직비디오보듯이 봤더니 두시간이 지났네,9,1
39,"야. 이런영화는 다시 나오기 힘들어. 다른시대 다른취향 다른의식의 대중에게 또다른 영화가 나오겠지. 근데 우리시대에 나에게는 매트릭스와 크리스틒놀란의 뱃맨이 나왔어. 니취향엔 안맞겠지만, 이런게 나오기가 쉽지않아.",10,1
40,너무 기대를 했나... 좀 별로,6,1
41,"트릴로지의 대단원을 장식. 다크나이트를 완벽한 걸작으로 만들어준 히쓰 레저의 죠커,  그 카드를 더이상 쓸 수 없었던 상황에서 이 정도면 굉장히 선방한 것이다.   다크나이트에서 브루스 웨인, 배트맨, 죠커, 하비 덴트의  갈등과 폭발을 주요 소재로 펼쳐나갔다면,  라이즈에서는 다시 비긴즈 때로 돌아가  진정한 영웅이란 누구인가, 영웅이 필요한 순간은 언제인가  라는 질문을 계속해서 던진다.   배트카의 군용색 버전은 영 아니올시다 였다.  역시 블랙이 최고지.  전편에서 배트포드 바이크가 눈을 즐겁게 해줬다면,  이번에는 더 배트 비행선이 볼거리를 제공해준다.   캣 우먼의 등장과 적절한 역할 안배 좋았고,  존 블레이크 형사의 본명도 인상적이었다.  그러나..  막판의 반",8,1
42,완벽하고 거대하고 웅장한 삼부작의 마무리.,8,1
43,놀란감독님 시리즈 하나만 더 만듭시다,10,1
44,"오랫만에 소환된 캣우먼, 진화된 배트포트, 그리고 잘 안보이는 배트맨.",6,1
45,짱짱맨,10,1
46,뭐 그럭저럭 볼만했디. 조커가 안나와서 좀 아쉬웠다,6,1
47,"톰 형, 베놈 기대할게~",9,1
48,역시,10,1
49,The End,9,1
50,배트맨 특유의 분위기를 멋드러지게 각색함,10,1
51,과연  우리가 평점을 논하는게 맞을지..,10,1
52,최고,10,1
53,"다크나이트와 비교되며 약간 저평가 되는 작품이지만, 마무리 장면 만큼은 다크나이트 보다 멋있다고 생각하는 부분입니다. 마지막 15분을 정말 잘 마무리 한 것 같아요. 고든이 브루스웨인을 말하는 장면부터 알프레드의 오열, 루시우스가 자동조작 시스템을 알게된 부분, 그리고 '로빈' 이름이 나오는 순간 소름 쫘악~! 마지막 로빈의 배트맨 동굴탐험으로 마무리되는 장면도 압권~!!  ",9,1
54,영화관에서보고 후회했다,6,1
55,베트맨 시리즈는 8점이상.    ,9,1
56,하고싶어요안될까요제발보내드립니다!,10,1
57,ㅇ,7,1
58,역대 배트맨 영화중 최고~~모든 배우들 연기 짱입니다 다시봐도 재미있어요,10,1
59,놀란식의 완벽한 해석!  명작이닷,9,1
60,.,9,1
61,흠잡을곳 없는 묵직한 마무리.,9,1
62,시커먼 분위기의 히어로즈물 ,10,1
63,시리즈의 가장 힘있고 묵직한 마무리,8,1
64,.,7,1
65,이보다 더 위대한 배트맨이 또 나올수 있을까?,8,1
66,히어로 무비의  유치함이 없다 정말 이런 영웅이 있었으면 하는 생각이 들게 만드는 능력,10,1
67,재미있다.  현실을 잠시 잊게 해주는 영화. 좋다.,8,1
68,배트맨 시리즈는 언제나 좋다.,8,1
69,최고의 영화,10,1
70,소름 돋는 히어로,8,1
71,시리즈 결말이 이렇게 완벽할수 있는가?,10,1
72,배트맨 죽었나요 ㅠㅠ 대작 이다,10,1
73,재밌다,10,1
74,히스레져의 조커가 없는 상태 에서 후속작을 이렇게나 잘만들어 내다니 !!!!!!!!!!!!!!!!!!!!!!!!!  베인 이라는 캐릭터를 활용한 크리스토퍼 놀란의 신의 한수다!!!!!!  베인에 의해서 허리가 부러지지만 브루스가 그걸 이겨내고 다시 배트맨으로 돌아 올때 느껴지는 전율이란!!!!!!!!!!! ,10,1
75,전작이 10점이라 9점밖에 줄수가 없네 ,9,1
76,"'내가 가는 길이 험하고, 멀지라도..' 그것이 정의와 인간회복을 위해서라면야.  다크나이트.  음. 좀 짠하다",8,1
77,세상의 빛은 사라지고 어둠의 그림자가 고개를 든다. 곧 폭풍이 몰려들 것처럼 사방이 어둠속에 잠겨 있다.  희망은 사라지고 믿음은 깨졌으며 분노가 폭발한다. 더 이상 두려움으로부터 도망칠 수 없다. 두려움을 용기로 바꿔 새로운 빛 줄기를 내려보내야 한다. 전설은 이미 끝났다. 새로운 전설을 다시 시작해야 한다.,6,1
78,다크나이트 시리즈 다 좋음 멋찜,9,1
79,최고다,9,1
80,놀란에 인간심연 통찰력 영화 난 좋았다,8,1
81,비열함이 없는 악당과 지나치게 거대해진 스케일.,6,1
82,빈틈없는 완벽함의 연속,10,1
83,철학적인 영화..,10,1
84,개인적으로 전편보단 좀 못하지만  괜찮은 영화입니다.,8,1
85,명작!!!,10,1
86,완전재밌음 ,10,1
87,시시하고지루해서못봐주겄다,4,0
88,다시 부활하기를...,10,1
89,완벽한 영화,10,1
90,   ,9,1
91,잘 봤습니다.,9,1
92,고민하는 배트맨을 보여준건 인간의 모습이 투영되었고 이 영화에서 슈퍼맨과의 관계 구도를 색다르게 그려본점을 높게 평가합니다. 지루하다는 분도 계신듯한데 이 영화에서의 초점을 알고 봤다면 저같이 아주 재미있게 봤을겁니다! 다음 속편도 기대됩니다~,9,1
93,액션만 기대하지 않는다면 어쩌면 매력적인 슈퍼 히어로 3부작의 마무리....,7,1
94,어린 시절 아무 고민 없이 악당을 쳐부수는 히어로로만 생각한 배트맨의 모습을 끊임없이 번민하고 고뇌하는 새로운 시각의 배트맨. 고독하고 어두운 영웅으로 그려준 감독의 연출력에 감사하다. 영웅은 책임과 희생이 따르지만 그 이전에 한 인간에 다름아니다. 번민의 숲을 지나 쉼터를 찾은 브루스에게 박수를 보내본다.,9,1
95,액션이 아쉽지만 트릴로지의 무난한 종결,10,1
96,배트맨 수고했어~ 어이 로빈 이제 자네 차례야!,9,1
97,아쉬워도 멋진 마무리로 만족 스럽다.,8,1
98,"전작에서의 인상적인 영화적 체험 이후 역시 이작품도 충분히 그에 상응함을 느끼게 한다. 다시금 존재를 드러내는 절대악, 흉포성, 잔인함의 베인의  응징을 위하여 브루스는 오랜 칩거의 끝에 신체  전반적 모순을 딛고 배트맨으로서 다시 선다. 베인의 강력함을 넘어서야만 하는 배트맨의 숙명. 트릴로지의 마무리로, 다크나이트의 후속으로 부족하지 않은 작품.",9,1
99,"무엇이 옳던가 고민하던 배트맨...결국은상처받은 어린시절의 브루스웨인으로..배트와 같이공존해왔던 이중의 모습,브루스웨인으로. 이번작이 훌륭이유는 그가원래의자신세계를 나와서 낯선세계와의 조우를통해(영웅의필요성,현재의사회,싸워야하는이유)자신을 배워나갔기때문이다. 당신은 드디어 진정한행복을 찾았단것을.",9,1
100,개봉당시 영화관에서 봤는데. 역시. 베트맨 시리즈는. 더 긴말이 필요없다.,10,1
101,영화 후반부의 반전이 베인의 카리스마를 다 깎아먹는다,7,1
102,배트맨 영화다크시리즈보단 게임 아캄시리즈가 휠씬 잘만든것 같다. 먼가 심심혀~,9,1
103,아쉽고 실망스럽다. 다크 나이트를 본 후 난 크리스토퍼 놀란이 진보주의자라고 생각했다. 하지만 착각이었다. 이 영화는 놀란이 보수주의자라는 걸 증명한다. 다크 나이트에서도 배트맨은 결국 법을 택한다. 다크 나이트에서는 그게 최선이었고 옳았으나 이 영화에서는...글쎄 체제 옹호로밖에 보이지 않는다.,5,0
104,다시 봐도 멋지네요~.,10,1
105,웅장한 오페라의 마무리,9,1
106,전작보다 약한거지 절대로 볼거리가 없거나 재미없는게아니에요 전편이 그냥 역사급영화라 역대급영화인 이영화가 약해보이는거에요 ,9,1
107,아쉽긴해도... 다크나이트니깐..   ,10,1
108,베트맨 시리즈는 다 추천.,10,1
109,역시나!!!,10,1
110,놀란의 연출에 무슨 방해가 있었던거지? 믿기지 않는다.  외압을 받았다던가 뭔가 제작 이면에 비하인드 스토리가 있었을 것 같다.,7,1
111,마지막이라.. 아쉽다,10,1
112,재미있었다 We Are Family Team WAF,10,1
113,.,7,1
114,"베인, 솔직히 우물에 의사를 넣어준 이유가 뭐냐",7,1
115,놀란의 배트맨 시리즈 중 제일 적은 평점을 주지만 그래도 재미있다. ^&^,8,1
116,세상에....요런 명작이...다크나이트보다 재밌게 봤다...,10,1
117,"다크나이트만 없었다면, 다크나이트만 없었다면... 뭐 어떤가, 셋이 한 몸인 3부작인데.",9,1
118,내가 본 최고의 영화~ 배트맨도 감독과 배우가 누구냐에 따라서 이렇게 진화할 수도 있구나...,10,1
119,뻔한 히어로물을 새롭게 해석했다!,10,1
120,"역시 조커없는 다크나이트는, 놀란이 와도 별거없던것이다... 매우 지루하게 보았다. 마지막 반전이랄것도 와닿지않고 오바스러웠음.",5,0
121,재밌게 봣어요,8,1
122,"부족하다는 말을 전혀 느낄 수가 없었다. 이토록 풍성하고 씹을 수록 맛이 나는 영화는 드물다. 캐릭터의 입체성이라든지 장면과 음악의 조합, 극의 전개력은 가히 최고라 할 수 있다. 다크나이트보다는 덜 하지만 강력한 흡입력은 무시할 수 없다. 왜 다크나이트 '라이즈' 인지 제목을 정독하고 영화를 봤으면 합니다",9,1
123,very good,10,1
124,"내가 본 놀란 영화들의 특징   스케일 큰 비주얼, 스토리 진지함 딱 여기까지 관객의 감정을 움직이는 연출력 부재로 몰입도 최악",7,1
125,잘 봤지만 그렇게 인상에 남지는 않았다,8,1
126,우......................,0,0
127,스케일만 클뿐 조커를 따라올 수 없는 듯,0,0
128, 이영화 욕하는 분들 이해안된다. 영화를 비판할때 논문검증하듯이 해버리면 그것은 아니지 영화는 보고듣고 느끼는 예술인건데 거기에 이상한 잣대를 대는거지요. 결론적으로 개 쩔었고 재미있었고 흥행에 성공했고 뭐가 그렇게 화나시는건지들.,9,1
129,시리즈는 승승장구하면 후편은 기대감이 큰법.. 마지막을 장식하다보니 불만도있죠 기존과는 다른 패턴으로 간것이 확실히 큰 장점으로 부각되죠. 비긴즈는 배트맨의 공포심을 드러내기 위해 많은 효과가 사용되고. 다크나이트는 조커와의 심리전과 배트맨의 고뇌가 볼거리 라이즈는 전략전과 배트맨의 재기및 부활,9,1
130,"역시 마블과 달리 DC히어로무비는 가볍지않고 웅장,비장하다. 놀란의 연출은 정말 놀랍다못해 경이롭다. 그어느 영화에서도 볼수없던 장면들과 스케일, 특히 미식축구장신은 ㅎㄷㄷ. 게다가 어떤 히어로물이 남자인 나를 이렇게 울렸던가? 거기다 조금도 예상못한 반전까지 헐. 불만은 없지만 옥의 티랄까? 아쉬운 몇가지는",9,1
131,극장에서 본 내가 자랑스럽다 ㅎㅎㅎㅎ,10,1
132,배트맨 시리즈 갈수록 더 재밌어지네요 놓칠수가 없음 ,8,1
133,Good,10,1
134,말이 필요없는듯.. 속편속속편속속속편  나오는대로 다 볼 예정이다. ,9,1
135,이런 완벽한 시나리오에 10점 이하로 줄순 없지,10,1
136,와-  스토리탄탄..액션도 맘에 들고. 반전같지않은 반전- 그 부자여자- 이 좀 웃긴거 같아서 1점 감점. 굉장히 잘 만들어진 영화..후속이 나왔음 좋겠다.,9,1
