,document,score,label
0,왜...난 좋았어...동물칭쿠칭킈들 귀여웠다구...,10,1
1,어린이 영화는 어린이  눈높이로...,7,1
2,이영화 강추다,9,1
3,"동물들 CG가 사랑스럽고 마구 이쁨, 내용이 뻔하고 지루한 감도 있지만 어린이 영화로는 훌륭함",7,1
4,수많은 동물들이 나오는데도 매력적인 캐릭터가 없다.,5,0
5,자녀들과 함께 보기 좋아요,10,1
6,아졸려,1,0
7,.,4,0
8,편집이 끊기듯한 느낌이랑 마지막에 빨리 끝나버려서 아쉽네요,6,1
9,가슴 따뜻해지는 이야기... 꼭 한번씩 보길바람,9,1
10,어린이를 위한 영화. 내 스타일은 아님,7,1
11,딱 디즈니 만큼만 하는 건 이제 물린다.,4,0
12,너무 어수선하다~,3,0
13,흥미를 유발시키지 못하고 영화를 어수선하게 만드는 많은 동물 친구들......,6,1
14,그냥저냥 볼만함..,6,1
15,우리 엄마랑 같이 봤음 엄마가 즐거워 하셨음 다람쥐 너무 웃김 ㅎㅎ,10,1
16,...,3,0
17,.,0,0
18,아주 어릴땐 나도 동물과 대화를 할수있었는데...,4,0
19,"정말 재미있어요. 특히 우리가 엄청 공격적이고 무서운 동물로 알고 있던 고릴라가 멋진 일을 해낸 장면이 멋있었어요. (고릴라는 원래 착하지만요.) 10점을 못 드리는 이유는 제가 본 둘리틀 박사 시리즈 책 내용을 많이 각색해서 좀 아쉽습니다. 어쨋든 이 영화, 말로 못할 정도로 재미있습니다.",9,1
20,"좀 유치한 면이 없지 않아 있지만, 유쾌하게 볼 만한 영화. 어린이들은 엄청 좋아할거 같네요. 너무 유아적으로 갔음....",7,1
21,"어드밴처 장르의 소재를 모두 모아 놓아서 볼거리는 다양했는데, 스릴은 미약하고 스토리는 유치함. 그래도 내용이 선명해서 킬링타임용으로 유쾌하게 볼만한 영화.",7,1
22,다소 밋밋한 모험,5,0
23,조금은 산만하지만  가족 영화로서의 역할은 충분히 한다..,7,1
24,"호빗 시리즈 같은 양을 짧게 하려고 하니  스토리가 산으로 가지 않나...너무 개연성이 부족해 재미를 못 느끼지 않나 싶음. 차라리, 최소 2부 정도로 나눠 좀 디테일을 올렸었다면 괜찮은 영화가 나왔을 것 같음. 이건 로다주라도 방법이 없었을 듯. 일단,감독 탓이 크고,쓸데 없이 목소리 출연으로 제작비를 엄청 썼을 것 같은데 잘못된 방식이었다고 생각됨. 그리고, 프로선수도 기량이 떨어지면 연봉 깎듯이 로다주도 이제 개런티 많이 내려야 할 듯.그렇지 않으면 제작비만 올라가고 섬세하지 못한 영화만 나오게 될 듯.아이언맨1  찍을 때의 모습으로 돌아가길...",5,0
25,이제늙었나봄 동심판타지영화는  잼없네요,4,0
