,document,score,label
0,2021년 가장 기대되는 영화입니다. 빨리 개봉했으면 좋겠어요,10,1
1,벌써 기대되네요~~ 감독부터 배우들까지 완벽한거 같아요. 런칭영상 보니까 음악까지 기대되는 영화..빨리 만나보고싶어요~,10,1
2,Looking forward to this movie!! Chanyeol all rounder ace!!,10,1
3,CHANYEOL WE LOVE YOU,10,1
4,Looking forward to this movie a lot. Chanyeol you're the best!,10,1
5,"찬열아, 우리는 너의 곧 다가올 영화 “ The Box” 많이 기대돼요.",10,1
6,이 영화를 정말 기대하고 있습니다.🥰🥰,10,1
7,CANT  WAIT,10,1
8,새 뮤지컬 영화 더 박스를 기다리가가 목 빠질것 같아.,10,1
9,Cant waitttttt❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ chanyeol best actor,10,1
10,나는 이 영화를 빨리 보고 싶다. 박찬열 화이팅!!!,10,1
11,"I'm really looking forward to this movie because first of all, Chanyeol is my bias in EXO. The 'Bad Guy' teaser is so good and I heard that he's doing a Coldplay song, too, and I really like that band way before I got into K-pop! It makes me even more eager to see the movie ASAP. Fighting, our Park Chanyeol!",10,1
12,찬열이는 항상 모든 일이 열정적이고 너무 대단하고 나한테 많이 영감을 주는 사람.,10,1
13,나는 이 영화를 개봉할!!!게 넘 신나! 찬열 너무 멋져요!,10,1
14,2021년 가장 기대되는 영화입니다. 빨리 개봉했으면 촣겠어요,10,1
15,“더 박스” 너무 기대돼요~!!,10,1
16,벌써 기대되네요 ..... 2021년 가장 기대되는 영화입니다. 빨리 개봉했으면 좋겠어요  우리 오래가자 함께요,10,1
17,chanyeol is the best,10,1
18,코로나 때문에 영화관 안간지 오래됬는데 이영화는 꼭 영화관 가서 볼려고합니다. 매우 기대가 되는 영화🥰,10,1
19,새 뮤지컬 영화 더 박스를 기다리가가 목 빠질것 같아,10,1
20,곧 개봉될 영화 'The Box' 에서 찬열의 연기를 볼 수 있어서 너무 설렌다. 많이 기대돼요 ㅠㅠㅠㅠ,10,1
21,세계적으로 유명한 팝들을 새롭게 재탄생시킨다니 너무 기대됩니다 : ),10,1
22,Can't wait  찬열,10,1
23,ACTOR CHANYEOL IS BACK,10,1
24,음악 영화라 너무 기대중입니다⟩_⟨,10,1
25,제가 요즘 가장 기대하고 있는 영화입니다! 요즘 더 박스 개봉하는 날만 기다리고 있어요ㅠㅠ 빨리 영화관 가서 더 박스 보고싶습니다!,10,1
26,너무 기대 중인 영화예요! 빨리 개봉해서 보고싶네요!!,10,1
