,document,score,label
0,"가볍다. 너무 가벼워서 무게감이라곤 느낄 수 없다. 모든 일이 주인공 편한대로 진행되고, 주인공이 위험한 상황에서도 전혀 긴장감이 안 든다. 내용, 대사, 반전 모두 뻔하다.",5,0
1,간만에 극장가서 봤는데 나쁘지 않았다 생각보다 재밌게 봤음,10,1
2,2000년도에 세련되게 찍은 영화를 20년후인 지금 보는 느낌  참 여러가지로 안타깝다  배우님들 고생하셨어요,3,0
3,감독님아 님 혼자 쌍팔년도 살고 계신가요? 영화보는 내내 보는 내가 쪽팔리더라  아직도 이런 사류 영화가 나온다는게 ㅠㅠ,1,0
4,"shit! 스펙터클X, 감동X, 긴장감X, 웃음X, 문화재 훔쳐팔며 지내는 설정도 반감들고, 이제훈 입만 겁나 나불나불 (연기는 뭐 잘하지), 한국판 인디아나존스는 개뿔.. 거업나 지루함!!",4,0
5,나만 재밌냐 완전 재밌는데,10,1
6,재미없다,1,0
7,서울 한복판에서 도굴이라는 설정 자체가 신선하고 이제훈 능글거리는거 귀엽네요 ㅋㅋㅋ,10,1
8,좋은점 전개가 빠르고 빠르다...끝 나쁜점 인물의 개연성이 너무 없음 / 너무 뻔한 스토리와 반전이라고 하는게 너무 눈에 뻔히 보임            연기가 다들 뒤로감 / 짠한 형님의 오버연기가 좀 보기에 너무 어색함            억지스러운 설정으로 인한 긴장감 거의 없음 그나마 평점 5점준건 세트설치와 촬영 많은 스텝들의 고생이 느껴지긴해서 5점줌  P.s : 웃음을 원하신다면 웃긴했음...허탈한 웃음..ㅡㅡ;;;,5,0
9,대박 기원,9,1
10,정말 재미없음 졸다 나옴,2,0
11,"진짜 한국영화계 수준 제대로 떨어졌구나ㅋㅋ 이딴 평가 내릴 가치도 없는 쓰레기통으로 버려질 망작이 배우 알바들(딱봐도 이제훈,신혜선 팬덤일듯)끼리만의 조작질로 인해 평점은 9점까지 찍고 스크린은 시간대 다 빼앗아가서 독점이나 하고있고ㅋㅋ",1,0
12,뻔한 스토리 에휴,1,0
13,재미도 없고 개연성도 없고... 정말 내 시간과 돈을 도굴 당한 느낌... 이 배우들로 이 정도로 재미없고 어수선하기만 하게 만들  수 있는지..ㅋㅋ,4,0
14,저렇게 좋은 배우 조합으로 저것밖에 못끌어내는게 더 신기하다. 다른 영화에서 나온 뻔한 클리셰들이야 이해한다고 해도 편집이 이상한건지 아니면 너무 이것저것 다 끼워넣으려고 했던건지 영화가 전체적으로 어수선하다는 느낌을 준다. 최근에 본 영화 중에 제일 별로ㅠㅜ 영화 흐름과 아무상관없는 키스신.. 이런거는 왜 넣는거냐. 몰입력만 떨어뜨린다,0,0
15,평점 알바들의 공격을 저지하라~,1,0
16,모처럼 영화보면서 힐링 하려다 무기력한 하품만 무려 스무번만 하고 짜증나 죽는줄 ㅠㅠ 영화가 영화다워야지... 나~원참!! 재미있다는 평점에 낚여 이제훈 말솜씨만 듣고 나온 이 기분... 어쩔~~~ 평점 후한편인 난데 ㅠㅠ,1,0
17,코메디 영화에서 진지하게 평점 주는 ㄷ ㅅ 들은 뭐냐? 코메디 영화 인데  내용이 가볍다고 까는 ㄷ ㅅ 들은 뭐냐고 ㅋㅋㅋㅋ,8,1
18,엉성한 Plot에 주제도 없는  또 하나의 쓰레기.연기가 과하고 치졸하고 인위적이다.감독 책임이크다,3,0
19,이걸 돈주고 본 내가 호구다 이 출연진으로 이런 영화를ㅋㅋㅋ개연성 개나줌,1,0
20,이 영화가 9점대리는게 진짜..알바들 너무 한다..영화보다 푹 자서 불면증 해결,2,0
21,코믹적인 장면을 넣긴 했는데 빵빵 터지는곳이 없네요 영화 구성이 별로네요,4,0
22,신혜선. 은근히 매력 있어요.,8,1
23,"망하지 않으려는 제작사와 감독의 몸부림이 느껴지는 오락영화.  지나치게 안이한 캐스팅은 모든 배역이 누구나 예상 가능한 수준. 배역이 주는 신선함이나 반전은 1도 없다. 그 결과인지 지나치게 안이한 캐릭터들이 영화의 재미를 깍아 먹는다. 특히, 지나쳐도 너무 지나친 주인공의 너스레는 몰입과 이해에 방해가 될 정도.",7,1
24,알바들 난리났네ㅋㅋㅋ,1,0
25,"안일한 설계와 미약한 굴삭력에 엉성한 팀워크, 어디 고물이나마 제대로 훔치겠어?",5,0
26,벌써 개꿀잼각이다!!,10,1
27,이제훈 진짜 찰떡인듯ㅠ,10,1
