,document,score,label
0,이것도 연금인가? 이제 그만~!,6,1
1,8.7짜리 영화는 확실히 아닌데.. 7점정도?,1,0
2,한번도 영화를 끝까지 본적이 없다. 매번 자!,5,0
3,"재개봉해서 봤는데, 역시 명불허전입니다! 각 캐릭터가 다 개성있구요",10,1
4,설렘 가득! 겨울이면 다시 보고싶어지는 영화!,10,1
5,어이없음,1,0
6,"여자의, 여자를 위한, 여자에 의한 영화. 애들 동화인 신데렐라 이야기보다 더 심하다.",5,0
7,사랑은 변하지 않는다,9,1
8,그냥 킬링타임 용 ,5,0
9,스네이프 교수는 분명 바람난건데...   누군가에게는 상처인 크리스마스를 러브 액츄얼리라고 하다니....   그런건 좀 빼던가...,5,0
10,그냥...,4,0
11,로마의 휴일 이후 최고의 로코,9,1
12,다양한 사랑들,10,1
13,또 곧 있으면 여름 그리고 지나면... 크리스마스.,8,1
14,크리스마스는 사랑의 계절,7,1
15,평범한 사람들에게 일어나는 사랑 이야기를 솔직하게 풀어냈다...,7,1
16,명작!,9,1
17,내용이 현실과는 많이 동떨어진다. 재규어는 역시 옛날 디자인이 갑이다.,7,1
18,크리스마스니까 용서되는 '말도 안되는 낭만',7,1
19,love~ love~ love~,8,1
20,크리스마스만 되면 생각나는 영화,9,1
21,ㆍ,10,1
22,아이들에게  앞으로 이런 영화 많이보라고 할 따뜻한영화,10,1
23,해외본의 충격이란,7,1
24,"혼자가 편하고 좋다지만 사실은 둘이 될 수 없는 것에 대한 자기 위로가 아닐까. 사랑의 감정이 메말랐다면 서글픈 일이고, 사랑하고 싶지만 할 수 없는 거라면 한없이 우울한 것이다. 고백하는 사람이 한 명도 없다면 죽은 것과도 같다. 사실 영원하지도 진실되지도 않은 게 사랑인데, 있으면 행복하고 없으면 아프다.",6,1
25,기분 좋아지는 영화,10,1
26,스케치북씬보다 남편에게 씨디 선물받는 씬이 개인적으로 더 기억에 남는 영화. 그 선물을 받고 안절부절 못하는 연기는 왜 상을 못받았나 이해안갈정도.,7,1
27,사랑스러운 영화 크리스마스 캐롤같은 영화,8,1
28,감동....,9,1
29,별점 누르기도 아까운 영화,0,0
30,나를로맨틱코미디에입덕하게해준장본인,9,1
31,오래전에 보았지만 추억으로 남는영화이다.,9,1
32,믿고 보는 워킹타이틀,8,1
33,휴 그랜트 짱!!  다만 상대역 꽝,9,1
34,"이영화를 본 순간, 같이 본사람, 명장면, 잊혀지지가 않네 ㅎㅎ",7,1
35,스토리는 너무 많더라,8,1
36,꼬마의 사랑이 제일 설렘,8,1
37,"크리스마스를 위한 작은 판타지...  어떻게 보면 개막장인데... 처음 본 여자들이랑 집단으로, 사장이랑 여직원의 불륜,  친구의 아내에 대한 연정, 동생이 마누라랑...",8,1
38,언제봐도  기분좋은  연말되면  보고싶은 영화.,9,1
39,볼때마다 행복해짐♡,10,1
40,내  생애 최고의 영화,10,1
41,진짜ㅜ볼때마다 눈물나고 최고!,10,1
42,정말 재미있게 봤습니다...,9,1
43,불륜을 미화하는 영화,1,0
44,키이라나이틀리 기펴자!!!,10,1
45,사랑은 정말로 있다. 정말로 있을 수 있는 사랑의 형태를 모두 보여주려한 작품. 깨알 재미는 결코 끝까지 들을 수 없는 빌 나이의 크리스마스 노래. ,10,1
46,모르겠다... 이게 왜 좋다는 건지...,5,0
47,"원래 10점 주고 싶은데, 초딩이 보기에는 섹드립이 너무 많아서  -1점깜.",9,1
48,로맨틱 코미디 영화의 고유명사.,8,1
49,기대없이 봤다가 대박난 영화 유쾌 상쾌 통쾌한 영화 또 보고 싶은 영화다 ,10,1
50,재미없다 ............ 나홀로집에 또볼래ㅣ,3,0
51,재개봉 될 만한 가치가 있는 영화인가..  ,3,0
52,킬링타임용,7,1
53,이영화가 내가 한창 사랑으로 힘들어하고 잇었던..2003년 개봉작이라니..그때의 난 진짜 순수했었는데..지금은 권태롭고 무기력한.. 사랑따윈 없어진지 오래인 중년의 나이..근데 이영화에 나오는 노래들  정말 좋다...내가 좋아했던 노래들...예전의 감정들이 새록새록 떠오른다..순수하고 사랑에 아파한 그날들이... 종현이가 싫어한영화 나도 싫다 젠장 2003년 12월 10일 비즈수술했었는데 그때로 돌아가고 싶다 ,1,0
54,"9점대를 넘길만한 영화는 아닌데.. 진정한 사랑의 의미는 빠져있는것같아요. 꼭 보고, 듣고, 만져야만 사랑한다고 말할수있는거 아닙니다. 말초적인 흥분이 일시적인 감정이 진짜 사랑인가요? 불륜과 음란함이 가득한 영화, 러브액츄얼리! ",2,0
55,사랑하라! 365일 크리스마스 같이!,8,1
56,사랑스런 영화.  굿,10,1
57,왜 재밌다고 하는지 ,2,0
58,진심 나도모르게 기쁜눈물나는 영화네요^^,10,1
59,세상에는 여러가지 사랑이 있다는 것을 보여준 리차드 커티스 감독 인생의 역작. 다양한 사랑이야기와 OST들의 조합이 매우 뛰어난 작품.,9,1
60,"다채롭고, 아름답고, 사랑스럽다.",9,1
61,재개봉이라니!에피소드가 추가되었다니!!벌써부터 설레고 행복해지네요~^^ 추운겨울 아주 따뜻하게 만들어줄 영화를 만날수 있겠네요!! 모두를 웃고 울게 만드는 멜로 영화는 러브 액츄얼리 뿐인것 같아요♡ 12월에는 러브 액츄얼리와 함께할께요~사랑하는 사람과 손꼭잡고 볼께요^^,10,1
62,올해 불어닥친 재개봉 열풍의 정점을 찍는 감성의 영화 러브액추얼리 기적같은 사랑의 감동을 함께하고 싶습니다.,10,1
63,크리스마스엔 꼭 봐야 하는 영화. 사랑에 용기가 생기는 영화!,10,1
64,크리스마스 하면 떠오르는영화 러브액츄얼리!!! 가슴따뜻한 이야기 최고입니다 ㅜㅜ,10,1
65,크리스마스엔 역시 러브 액츄얼리!! 따뜻함을 안고있는 영화,10,1
66,열한개의 사랑이야기를 통해서 사랑에 대한 다양한 모양과 색을 낭만적으로 다시 만나볼 수 있을거라고 생각해 '러브 액츄얼리' 기대해요~ 사랑이라는 명작이 잘 담긴 영화의 명작이라고 생각하기에 다시한번 따뜻한 설렘을 안겨줄 '러브 액츄얼리' 보고 싶네요~ ,10,1
67,아직 못보신 분들은 이번 크리스마스에 꼭 봐야 할 영화,10,1
68,러브 액츄얼리 크리스마스에 가장 떠오르는 영화! 재개봉 반갑네요~ 잔잔한 감동 다시 느껴보고 싶어요^^,10,1
69, 아직까지 모두에게 익숙한 OST명곡들과 명장면이 생각나는데 영화로 꼭 보고싶습니다!,10,1
70,12년이 지났지만 배우들의 모습만 조금 젊을뿐 대사 하나하나 행동 하나하나에서 오는 감동와 메시지는 그대로인거 같아요. 러브액츄얼리가 제 인생의 열손가락에 드는 영화이에요.,10,1
71,따스한 사랑을 느낄 수 있는 정말 가슴이 따뜻한 이야기죠,9,1
72,다시 보는 러브 액츄얼리 재미도 감동도 두배가 될 것 같아요!! 기대됩니다!! ,10,1
73,심장을 뜨거워지게 만들 사랑스러운 이야기과 심장을 불태우는 배우들의 매력에 빠져들고 싶은 최고의 영화입니다. 개봉하면 바로 극장으로 달려가야 할 것 같습니다.,10,1
74,사랑을 갓 시작하는 연인들 다룬 그 분야 영화에선 최고 같아요. 지루하지도 않고 재미남,10,1
75,크리스마스에는 토마스 브로디- 생스터가 나오는 러브 액츄얼리~♥,10,1
76,크리스마스는 맥컬리 컬킨과 러브 액츄얼리와 함께...,7,1
77,진짜 내생에서 최고인 영화 ㅠㅠ 이영화는 떠올리기만해도 가슴이 설레고 코끝찡해짐 ..  초딩때 봤는데도 그 감성이 잊혀지지않아서 찾아보곤했는데.. 특히 공항에서 시작해서 공항으로 끝나는 장면은 잊혀질수가없다 ..,10,1
78,영화는 걍 그래도 솔직히 배우는 개쩜 리암니슨 콜린퍼스 휴그랜트 엠마톰스 특히 리암니슨 정말 멋있음,10,1
79,맛보단 분위기로 먹는 크리스마스 케이크.,6,1
80,비빔밥 같은 영화다,7,1
81,최악의 개쓰-레기 영화,0,0
82,크리스마스는 사랑하는 사람과 함께!,10,1
83,로맨틱 코미디가 존재해야 될 이유,9,1
84,크리스마스란 마법의 주문이 불러온 사랑의 용기. 각각의 사랑을 보고 있으면 크리스마스에 누군가에게 고백하고 싶게 만든다. 그것이 어떠한 사랑이든 조금은 특별해질 수 있음을 알리며.     ,9,1
85,영국에서 봤던 영화 더욱 감동이었다,10,1
86,재미있었다 We Are Family Team WAF,10,1
87,메리 크리스마스,7,1
88,멋진 영화.겨울 강추!,10,1
89,다시 봐도 정말 좋아요.음악도 굿.,10,1
90,크리스마스를 맞아 이 영화를 봤습니다. 말이 필요없습니다. 최곱니다. ㅎㅎ,10,1
91,돈 명예 사랑중에 사랑이 제일 낫더라~♪ 사랑이 제일 낫더라~ 사랑이 제일 낫더라~♩♪♬ ,9,1
92,모를 때 보단 알 때 봐야 보이는 영화.,8,1
93,말도 안되는 스토리와 그럴 듯한 스토리가 적절히 잘 엮어있고 밸런스도 잘 맞는 로맨틱 코메디. 칼-사라 이야기가 아쉽지만 모두가 해피엔딩일 수 없는. 빌 나이 스토리가 특히 맘에 드는 스토리. 콜린 퍼스는 이 영화에서도 말도 안되게 로맨틱한 역할. 크리스마스 클래식 영화.,8,1
94,너무 보고싶으나 청불이라서 보지 못하는ㅠㅠㅠ 어른되면 꼭꼭 보고 싶은 영화이다. 배우들 진짜 다 너무 좋다ㅜㅜ,10,1
95,정말 봐도봐도 질릴수없는 영화,10,1
96,스네이프 미워,9,1
97,참 따뜻하고 포근한 영화. 인물 한명 한명이 사랑스럽다.,7,1
98,정말 가슴 따듯하고 미소짓게 해주는  Love Actually 영화임ㅋ,10,1
99,시작은 유쾌하고 마무리는 감동을 준 영화. 포르투갈로 이민을 가야되나~,9,1
100,이 영화 이후 모든 옴니버스식 사랑 영화는 이 영화의 표절이라고.. 한번쯤 의심을 받죠. 성탄절 마다 지겹도록 틀어줘서 이제 안 볼만도 한데..  채널 돌리다가 우연히 나올때 마다 또 한참씩 보게되는.. 감동+ 재미 함께 두루 갖춘 영화.,9,1
101,이 영화이후로 어떤 로맨틱코미디영화든 러브액츄얼리와 비교되는 것을 피할수는 없을 듯. 모든 커플들이 사랑스럽고 공감가기 힘든데 그걸 해낸 최고의 영화,9,1
102,끝판왕은 같은 회사 작품인 어바웃타임에게로...ㅎ,7,1
103,나는 별로였다. 어딘가 이상함.,6,1
104,로코의 끝판왕.,10,1
105,사람들 이야기다,5,0
106,10년이 지나도 새로운 커플로 인해 조금 달라졌지만 감동적인 영화입니다. 리차드 커티스 감독의 작품은 믿고 본다는 말이 괜히나온게 아닌것 같네요.,9,1
107,10년만에 다시 보는 영화.. 다시봐도 좋은 영화로 추천합니다.,9,1
108,"사랑은 어디에든 있다. 11개의 다양한 사랑을 잔잔히 잘 전해준 영화.. 사랑하는 사람, 가족과 함께 볼수 있는 영화로 추천합니다^^",9,1
109,따뜻해지는..,10,1
110,연전에 TV로 보면서 마침내 클쓰 영화도 진화했구나..했던 유쾌한 옴니버스코메디. 특히 기억나는 장면은 에마톰슨이 남편선물에 대한 기대가 실망으로 바뀌고 아이들 앞에서 눈물 안보이려 잠깐 방에 들어가서 주르르 내리는 눈물 진정시키고 스프레드 한켠을 손바닥으로 함쓸고 나오던 장면..그외엔 깨알같은 웃음코드들 ,7,1
111,좋은영화,10,1
112,크리스마스 시즌에 가장 잘 어울리는 따뜻하고 사랑스런 영화..,9,1
113,좋아하는 배우들은 거의 출연한 듯..하지만 사공이 많아 조금 산으로 가려는 부분도.. 남편 베프에게 짝사랑 고백받던 장면은 지금도 많은 연인들이 따라하고 있고 OST 또한 최상의 궁합..야한 부분은 완전삭제된 한국판이 전체적으로 더 좋은 듯..,6,1
114,홀로 집에 있는 케빈은 놓아주고 크리스마스에는  러브 액츄얼리가 주구장창 나왔으면 합니다. 그건 그렇고 지들 기분 뿅 간다고 아무데서나 쪽쪽 물고 빠는  무개념 커플들아! 이 영화를 보고 반성해라!! 때와 장소를 가리지  않는 길거리 키스도 영화니까 예쁘게 보이는 거지 니들이 하면  외설이야!   ,8,1
115,사랑에 관한 크리스마스의 작은 기적들... ,9,1
116,정말 훈훈하고 감동적인 크리스마스 영화! 단순한 로맨틱 코미디가 아닌 인생에 대한 성찰이 돋보이는 영화!,10,1
