,document,score,label
0,"가끔 채널 돌리다가 ocn에서 하는거 보고 좀 징그러워서 채널 돌리고, 돌리고 했었는데..어느순간 첨부터 끝까지 보고 감독의 상상력과 연출에 멍 ~했음...정말 잼있음...감히 명작임.",10,1
1,"톰하드가 섹시하지만 무엇보다 샤를리즈테론에 반한 영화. 멋지다, 최고의 영화다 두세번 봐도 잼있다",10,1
2,슈퍼 명작 말이 필요 없음 처음부터 끝까지 정말 미친듯이 달리는 영화...이런 영화는 처음이었음 극장에서 '와 이건 미친 영화다.' 라고 생각되던 몇 안 되는 영화 중 하나,10,1
3,날것의 액션역작   씨지가 난무하는 액션은 가라  여기 진짜가 왔다,10,1
4,"이런 영화에 10점을 주지 않으면 어떤 영화에 주는가?  터미네이터2 이후 이토록 강렬한 충격을 주는 작품은 처음이다.  30년만에 완벽하게 돌아온 매드 맥스 시리즈.  뉴클리어 아포칼립스를 배경으로 문명이란 무엇인가,  인간의 가치와 존엄성은 어디에서 나오는가를 묻고 있다.  메시지 자체도 진지하지만, 그 메시지를 전하는 방식은 더욱 진지하다.  매드 맥스 시리즈의 상징이라고 할 수 있는 기괴한 차량들과 바이크들의 향연.  열정을 넘어 광기라고까지 느껴지는 감독 조지 밀러의 위험한 연출력.  혼신을 다한 배우들의 연기와 스턴트맨들의 미친듯한 활약.  고령의 배우들조차 나미비아 사막의 흙먼지를 뒤집어쓰고 직접 액션을 펼쳤다.  감독은 70세의 노구를 이끌고 400시간이 넘는 분량을 카메라에",10,1
5,좀 정신없어서 그렇지 킬타로는 굳이다.  극장에서 봤으면 더 좋았을뻔 아쉽군.,6,1
6,"액션영화의 새로운 지평을 열었음.~~!스토리,액션,미술분장.주인공,조연들,악역들...하다못해 등장하는 할머니들의 초월한연기까지..더군다나 10번이상을 봐야..이영화에 등장하는 깨알같은 소품들과 장치들....~~! 요새나오는 헐리웃액션영화들은 반성해야함...무려시나리오계획만 20년임...조지밀러감독의 천재성에 경의를....",10,1
7,"물은 인간 생존의 필수다. 핵전쟁으로 오염된 물로는 살 수 없다. 물을 지배하는 자가 곧 왕이 된다. 1%가 99%를 지배하는 세상에서 우리는 어떤 판단을 해야 할까. 지배자들의 손아귀에서 벗어나고자하는 인간의 본능. 인류는 어떤 고난과 역경이 닥치더라도 생존을 위해 저항할 것이며, 정의를 위해 앞으로 나아갈 것이다.",9,1
8,내가 아닌 다른 사람에게 내 피를 나눠준다는 게 어떤 의미인가. 전쟁을 위해서 흘리는 피는 차갑지만 생명을 위해서 흘리는 피는 뜨겁다. 그렇게 인간의 피는 멈추지 않고 생명을 통해 이어져왔다. 그 붉은 피가 멈추지 않는 한 인간은 어떠한 역경과 고통이 따를지라도 앞으로 나아가게 할 것이다. 내 생명을 받쳐서라도.,9,1
9,옛날 멜깁슨의 매드맥스를 영화관에서 보고 큰 충격이었지.....그때의 미묘한 느낌을 그대로 다시한번 느끼며.....,10,1
10,우두머리는 한정된 자원을 독식하고 그 자원들을 토대로 노동력을 착취함으로서 자신의 힘과 권력을 오랫동안 유지해나간다. 아마도 수 년이 흐르고 나면 제 2의 임모탄이 나오지 않을까?,10,1
11,반도보고 다시 봤는데 역시 명작이네요 수준차이가 어마어마 합니다,9,1
12,명작...멜깁슨 주연의 매드맥스보다 재밌게봄,10,1
13,매드맥스도 최고다 더록 매드맥스  누가 이런 영화를 평가하겠냐?,10,1
14,두시간이 지루하지 않음. 최고의 액션,10,1
15,원작을 넘긴 명작,10,1
16,마이클베이는 보고 배워라,8,1
17,"보고 또보고~ 또,다시봐도 재밌는영화~ 톰하디. 샤를리즈 테른~~ 멋져~❤❤❤",10,1
18,다 보고 나서도 제목이 왜 퓨리어스 퓨리오사가 아닌 매드 맥스인지 모르겠음. 암만봐도 퓨리오사가 주인공인데.,8,1
19,11,10,1
20,30년만의 부활. 멜깁슨이 아닌 탐하디 그리고 샤를리즈 테론. 개인적으로 음악이 감동 그 자체. 왕추천,10,1
21,아드레날린이 느껴지는 분노의 추격씬,9,1
22,이 영화는 감히 평도 어렵지만. 멜깁슨으로 대표되는 매드맥스 시리즈를 30년이 넘는 세월에 복구 시키고 언론에서는 말이 많았지만.   임모탄 조? 매트맥스 시리즈의 끝판 악당할아버지를   대단한 노친네들의 우정과 열정이고 영화는 보는 내내       두 노친네들 오래 사시고 자주 뵙길 바랍니다.,10,1
23,이 영화가 만점이 아니면 도대체 무슨 영화가 만점인가?!! 완벽한 스펙타클!,10,1
24,만화 북두의 권이 생각나는 시대적 배경.. 맥스와 퓨리오사의 연기에 반했어욤,9,1
25,매드맥스 매번 앞부분 쪼금 보다 끔찍해서 채널 돌렸는데 이번에 끝까지 재밋게 봤음,8,1
26,"개봉당시 봤을때는 화려한 액션장면만 기억났는데 다시 보니 철학이 담긴 훌륭한 영화네~눈앞에 보이지 않은 불확실한 미지의 세계를 쫓아 피하긴 보다는, 나에게 익숙한 것들과 싸우고 이겨내어 바꾸어라~",8,1
27,조지밀러만이 만들수있는  영화~,10,1
