,document,score,label
0,노 잼. 중국띄우기 영화.,1,0
1,아시아 영화에 영어 쓰지마라 전혀 현실감이 없다 ,1,0
2,디즈니에서 중국만세 외치는거 같다 그래서? 돈은 벌었나?,2,0
3,"이, 이, 이건.........,,,!!! 전세계인이 사랑하는 디즈니 애니메이션에 대한 너무나도 끔찍하고 더럽고 소름끼치는 신성모독이자 수치이자 명예훼손이다!!!",3,0
4,이걸 한국에서 23만명이 봤다고??  아 중국화교 들과 조선족들 이겠구나,1,0
5,디즈니 영화가 아닌것 같은 초라함.. 제작비를 많이 안들여 만든거 같음 애니 뮬란은 정말 잼있게  봤는데 차라리 영화제작이 안되었다면 더 나았을듯ㅠ,2,0
6,원작파괴...유역비 연기 너무 못하...재미가 없다ㅜ.ㅜ,3,0
7,뮬란을 이딴식으로 만들어?,1,0
8,3초씩 빠르게 넘겨보기로 끝낸 영화,1,0
9,진핑이형~ 왜 거기서 나와?,1,0
10,더 심각한 문제는 재미도 없다는거다,1,0
11,이건 검은 돈세탁을 위해 찍은 듯,1,0
12,망하는 이유가 있었네,2,0
13,정말 이렇게 재미없게 만들기도 어려울듯...  원작  만화와 비교를 떠나서  졸작.,2,0
14,전형적인 국뽕영화 노잼  ~  진핑이형은 좋아할거  같음,1,0
15,원작은 여자는못한다는 편견에 맞서 싸워서 승리하는 여성상이 주제인데 이 영화는 애매하다 공리(악당)vs뮬란 해서 여자대여자 대결이 되어버렸다..그리고 원작에서 훈련내내 무시당하다가 열심히노력해서 기둥위 깃발을 따고 훈련1등하는것이 감동이였는데 여기에서는 그냥 타고난 마법의 힘으로 해결해버린다. (감동없음) 카리스마 넘치던 빌런훈족대왕은 공리라는 이상한마녀 케릭터에 눌려 이도 저도 아니다. 중국눈치보고 나발이고 영화 자체도 재미가없다,3,0
16,영화 조까치 만들었네   개연성도 없고   유역비만   눈부시게 이삐구나,1,0
17,이 끔직한 혼종을 누가 만들어냈을까? ,3,0
18,그냥 볼만함.,6,1
19,ㅎ.. 왜 2.3점인지 알음?댓글알바 겁나게 하니까  1점에서 2.3으로 늘어난거임;;ㅇㄴ 페미인가?아 걍 페미가 아니라 걍 좋았다 하는사람은 뭐 취존할텐데.. 난 진짜 그사람들이 재미있어서 그런게 아닌것 같은데.아뭐 페미 아니였으면 기나죄 무튼 중국 겁나 빨려는 영화고 디즈니가 못만드는 회사가 아닌데ㅠㅠㅠ 왜 중국 겁나 빨다가 이렇게 중국과 pc고 망하냐고 지금이라도 소울처럼 그런 에니메이션 만들었으면 좋겠네 소울같은 그런건 스토리 그렇게 잘짜면서 왜그러는거야;;,1,0
20,중국의 황군??? 저 시대에 중국이 어딨어?,1,0
21,"국적상관없이 볼 좋은원작을 이리 망쳤네  천년된 민폐국 디즈니도 망침 내내 중국뽕, 중국 만세...   별다섯은 쪼선족이냐? ㅋㅋ 한글은 어쩌다 배워서 ㅉㅉ",1,0
22,영어로 된 3류 중국 뮤협 영화라고 할 수 밖에.. 시간이 아깝다.,1,0
23,원작을 모욕하고 망쳐도 정도라는게 있는거 아니냐!!!,3,0
24,중국 영화라서 스케일이라도 클줄 알았다. 작전없는 개싸움 감동없는 눈물  .. 보자마라,1,0
25,짱께와 pc충들이 만나서 만들어진 끔찍한 혼종,1,0
26,이딴영화는 중국에서만 보길,1,0
27,"헐리우드 영화들 중,,,,해병대,,특수부대나 등등의 군대 영화를 아시아 옛 중국판으로 만들었네...오글거려서 참내 어떻게 (돈은 좀 들인듯한데)  영화를 이따구로 만들 수 있지! 부럽다..그 신통방통한 재주가.",1,0
28,왜 망했는지 알 것 같다.. 주연보다 조연들이 더 연기 잘함. 내용도 만화 못 따라감.,1,0
29,영화는 다 봤는데 뛰엄뛰엄 본거 갔아요 흐름이 계속 끈킴 디즈니고 유명배우들 나와서 눈요기하기만 좋음,3,0
30,원작을 다망쳐놨네,0,0
31,뭐그래도 그냥 볼만하던데...내용은 좀 허접했지만..,7,1
32,악평 많아서 기대안했는데 재미있네요ㅎㅎㅎ,10,1
33,"디즈니 답게 공식을 잘 지키며 기본적인 재미는 확실히 보장해준다. 다만 페미니즘에 지나치게 집착하면서 시야가 너무 좁아지고, 개연성을 잃어버렸다.",5,0
34,...,1,0
35,진실되지못한 연기,0,0
36,"이연걸,견자단 팬이라 봤긴했지만 영화만 봤을땐 생각보다 재밌었음",7,1
37,난 재미만 있더라 ,10,1
38,디즈니가 중국 빨아주는 영화... 와 디즈니가 이정도로 타락할줄이야ㄷㄷ,1,0
39,디즈니 실사가 좋았던건. 미녀와야수.알라딘 전부 서양감성 영화들 은 비교저구잘 뽑아냄.  뮬란은 너무 무리수엿다 용 신이 3애니의3/1을 차지하는데 무슨 말도 안되는 피닉스 날라다니고. 전혀 생동감없는 여주 무술에 진짜 10년전 중화드라마 스케일에  어처구니 없다. 악당도 개 허접하게죽고. 왕이 싸움을 저리 잘하는데 왜 잡히는거야 ㅋㅋ . 디즈니는 그냥  서양 감성만 실사화해라. 포카혼타스 . 인어공주 .노틀담꼽추. 신데렐라  1점 은 악당 비주얼이 그나마 똑같아서 1점은 준다. 진짜 개실망이다. ,1,0
40,중국인들이 영어를 쓰는것 자체부터 문제 내용도 별루였다 기대했던 전쟁씬도 별루 없고 견자단이 나이먹고 무슨 죄인가,2,0
41,나는 홍콩의 자치를 지지하기 때문에 절대 안 볼거임,1,0
42,노잼,0,0
43,디즈니 영화가 아닌 중국 졸작인듯,2,0
44,"중국인을 위한 중국인에 의한 중국의 작품이라도 어느정도 몰입도와 재미가 있어야 하는데, 기대와 우려가 큰만큼 많은 점이 실망스럽다. 판타지에 가까운 세계관의 제국에서 영어를 쓰는 동양인들의 설정도 부담스러운데, 온스와 파운드 대사라니. 짬뽕에도 이렇게 많은걸 넣으면 맛이 변질되겠다. 정작 중국 상영때엔 중국어로 더빙하고  더 엉망이 되지 않았을까 싶다.  애니 뮬란의 감동이 그리워지게 만드는 작품이다.",3,0
45,와.. 대박 이렇게 재미없다니. 그리고 디즈니는 더 이상 영화 만들지 마라. 중국에서만 상영하던가.  차라리 우리나라 '살수대첩'을 주제로 영화 만들면 좋겠다.  수(중국)를 물리치는 고구려..,1,0
46,중국이 역사를 망치는한 중국영화는  오로지  잘못된  역사 영화 일뿐,1,0
47,제미있쓰겄깠은데....ㅠㅠㅠ못봤써여.....ㅠㅠㅠ,10,1
48,ㅡㅡ,0,0
49,"이건뭐... 보이콧 안해도 망할 영화네... 그래도 이렇게 알려야 모르고 당하는(?) 사람들이 줄긴하지... 어둠의 경로라도 보지마세요. 눈 버립니다. 정치적으로 시끄러운건 둘째치고, 뮬란을 이렇게 망쳐놓나?",1,0
50,2.3? 평점 왜이리 높냐?,0,0
51,쓰레기 영화.,0,0
