,document,score,label
0,윤여정님 내년 아카데미 여우조연상 미리 축하드립니다. ,10,1
1,50대 가족과는 떨어져 사는 외로운 이혼남입니다. 가족을 위해 또 나를 위해 모든 걸 바쳐봤던 사람에게는 가슴 한켠이 먹먹하다 못해 아리고 쓰린 그 때의 감정이 되살아나 뒤통수 한대 제대로 맞은 느낌. 불타는 창고를 보며 제 지난 십년이 통째로 되살아나는 느끼무이었습니다. 관객으로서 드릴 수 있는 최고의 찬사와 배우들에 대한 무한한 존경을 드립니다. 감사합니다.,10,1
2,"윤여정의 연기가 원근감이 있어 너무 좋았다 첨엔 그저 유쾌한 할머니 중반부에 몸을 가누지 못하면서 디테일해진 몸동작과 감정선 마지막 눈빛연기는 우주를 빨이들이는듯한 역대급 연기였다 짠하디짠한 딸과 손주들을 바라보며 가슴 저 깊디깊은 곳에서 솟아오는~ 가슴아파하는 연기 연기로 도저히 표현하기 불가능한 그 어려운걸 해낸  배우이자 여성이자 어머니이자 할머니인 윤여정님은 모든 여성들에게 존경과 도전하는 삶,  버텨내는 삶의 귀감이 되었다",10,1
3,뭔가  이야기를 하다가 만 느낌..  왜 감동을 느껴야 하는지 어리둥절하다.  아마 내가 수준이 너무 낮은거겠지..,6,1
4,"미국에서 만든 윌메이드 한국 영화입니다. 배우들 연기도 일품이고, 영화 취향이 다르다고 평점 테러 하지 마세요. 작품에 대한 모욕입니다.  한국 정서를 바탕으로 80년대 한국계 미국 이민자들의 삶을 잘 묘사했습니다.",10,1
5,"펜트하우스같은 막장이 재미난 거고 김소연처럼 눈 똥그랗게 뜨고 소리지르면 최고의 연기인 줄 아는 이들이 여기서 이렇게 평점 테러하는 것 같은데, 이 영화는 그들에겐 정말 진주목걸이지. 그 외에 정말 인생을 알고 좋은 영화를 원하는 이들에겐 이 영화는 정말 근래 보기 드문 반짝이는 보석이었다",10,1
6,"외국인의 입장에서는 흥미로울지 모르지만, 한국인의 입장에서는 영화 내용 중간에서 끝낸 느낌입니다. 2부작 드라마를 1부만 상영한 것처럼 '기승전결' 부분에서 '기승'만 하고 갑자기 끝. 자세히 말하면 스포가 되니 생략.",6,1
7,"낯선 이국 땅에서의 힘든 생활, 그리고 가족애가 잘 그려진 영화. 무엇보다도 그 어려웠던 시절 한인들의 고군분투한 삶을 잘 그려냈다. 물론 배우들의 연기력도 훌륭했다. 미국의 척박한 땅 아칸소 주... 스티븐 연의 대사 마지막에 ""미나리는 어디서든 잘 자란다.""라는 이 말이 잘 와닿았다. 하지만 뭔가 마무리가 너무 부족했다. 아... 정말 너무 아쉬웠다... 영화의 마무리 부분이 5~10분 정도만 더 내용이 있었어도, 어쩌면 평점 8점까지도 충분히 가능했을지 도 모른다. 완성도가 높은 영화는 결코 아니었다...",5,0
8,"부국제에서 봤는데~ 배우들 연기도 감독의 연출도 너무 좋았음! 교포감독이 본인의 어린시절을 그렸는데, 한국적인 정서도 잘 담았음! 개봉하면 꼭 보시길~",9,1
9,데이빗이 젤 연기잘하네,7,1
10,삶은 항상 선한편은 아니라는 느낌... 그렇지만 살아낸 사람들은 그 존재만으로 존중받아야함,10,1
11,"여긴 불법링크로 보고도 당당한 사람들이 많은 듯 ㅎㅎㅎ 나도 시사로 봤으니 100% 당당한건 아니지만 진짜 눈물 펑펑 흘리며 봤음. 내가 봤던 관 분위기가 너무 좋았던 터라 지금 평점에 놀라서 나도 얼른 남김.   미국에서 태어난 손자의 어색한 한국어 마저 너무 딱 어울리고 필요했고, 스티븐 연의 한국어 대사가 너무 자연스러워 놀라웠다. 윤여정 배우의 연기도 중요하지만 극 전체적으로 중심을 잡고 있는 한예리 배우의 연기가 참 인상적이었다. 어떻게 보면 아주 단순한 이야기지만 가장 개인적인 이야기가 가장 보편적인 이야기임을 다시 한번 증명.",10,1
12,음 너무 기대 했나??? 난 잘 모르겠네 그냥 다큐하나 본것 같은 느낌인데,5,0
13,기대를 너무 하고 본 영화.,5,0
14,아마 한국에 계신분들이라면 조금 재미없었을지도 모르지만 이민자로선 한예리씨가 엄마를 만나는 장면 하나만으로도 잊을수 없는 영화였어요..전 여러번 봐야 할것 같아요..,8,1
15,보이지 않는 것이 더 무서운법! 명심해라 나의 스트롱보이~~,10,1
16,방금 영화를 보고 왔습니다. 한예리와 윤여정 그리고 큰딸의 연기가 돋보이더군요. 미국에 사시는 이모와 이모부에게 꼭 보시라고 전해드릴려고 합니다. 어쩌면 이민을 가있는 사람들이 더 절절하게 잘 느끼실거 같더군요. 독립영화입니다. 비주얼 촬영기법이 물량투입많이된 영화들과 비교를 한다는건 어불성설입니다. 영화적 즐거움을 찾기보다는 평범한 가족의 이야기를 듣고 보고 싶으신분들에겐 추천합니다.,10,1
17,"초보 감독의 미숙한 연출로 흐름이 이어지지 못하는  아쉬움이 많은  영화네요.    시대를 잘 타고 나와서 아카데미 후보에 오르는  운빨이  90%랄까 ~~    마더같은 영화가  지금 나왔다면 아카데미상을 휩쓸건데,,,   아무튼 후보에 거론되는것도  살짝 민망한 정도 ~~",4,0
18,"수상작 이라는 선입견을 걷어내고 일반인의 관점에서 보기엔 명작의 수준 까진 아닌듯 하다... 연기는 흠잡을데 없었지만, 인물들 간의 감정 대립 이라던지 사건의 전개 등이 딱히 매끄럽지도 못하다... 스티븐 연의 가부장적 연기도 그렇고, 외딴 시골에서 판로도 없는 한국 농작물을 전 재산을 쏟아부어 재배 한다는 설정.. 그리고 한국 식품점 하나 계약 했다고 이젠 되었다? 윤여정의 쓰레기 태우는 씬도 몇분간만 더 설정하여 감정 이입을 유도 하였다면 어땠을까... 독립 영화라 치고 전문가의 시선으로 본다면 이런저런 채점 요인들이 있었을지는 모르나 철저히 일반 관람자의 입장에서 보자면 .... 음 솔직히 윤여정의 연기도 윤여정 일생 최고의 연기도 아니였다고 본다. 계춘할망 에서의 연기가 더 좋았던것 같기도...",6,1
19,"상 받을 정도는 아닌것 같은데. 영화보고 한참을 왜????? 그냥 외국에선 인종차별,이민자갈등 이런소재들은 다 상을 줘야하는 강박증이 있나?? 영화 집중도도 떨어짐 그와중에 아역들이 성인보다 연기를 자연스럽게함  당연 윤여정쌤 연기는 믿고 보는거고  그렇지만 상 받을 정도의 임팩트는 없어 진짜 없어 그냥 평범한 욕 좀하는 할머니 역할임 ㅠ",5,0
20,나는 진짜 너무 재미없슴 지루함  대단한반전도없고,5,0
21,재미너무없었음  끝났어? 하고본영화. 연기도다들 뭐 그저그렇던데ㅡㅜ내가 전문가가아니라 볼줄모르는건지,1,0
22,배우들의  시선에  따라 펼쳐지는 자연이나 배경의 촬영이나 연출이 인상적이었다. 한예리 연기  좋았고 삶을 돌아보게 한다. 나이가 있어 향수에 젖고 눈울이 나곤한다. 편안하고 따뜻하고 좋은영화이다.,10,1
23,전혀 세계적인 영화 수준은 아니었음... 배우들 연기도 그닥... 윤여정 씨 연기는 그저 드라마 나올 때와 별반 다름 없었음.. 그 정도 연기면 어떤 배우도 소화할 수 있는 수준. 독립 영화 수준 밖에 안 됨.,4,0
24,헐~?저만  그런가?했는데 제주위  사람들이  헐~?대체 뭐가 우수?  전체적으로 덜컹 덜컹. 배우들 연기도 ? 데이빗  연기가 최고  였어요. 미국 사람들은 무슨  관점에서  이리  높게 평가 해주는지? 정말  좋길 바랬는데.ㅠㅠㅠ,4,0
25,"기대가 컸나보다. 한예리의 연기가 이번 영화에선 너무 어색해보였고, 윤여정이야 연기론 말할것도 없지만, 평소 보던 모습이라 특별할것도 없었다. 그리고 너무 지루해서 졸리더라.  가장이라서 그 책임감을 다하고 싶은 아빠의 모습이 오히려 반감이 들만큼 독선적이었다. 볼만은 했어도 이 영화가 수많은 상을 받을만큼 명작인가하는 의문은 어쩔수 없었다.",5,0
26,잔잔하게 다가오더니.. 보고나서  잔상이 더 남는 영화.  긴말이 필요없네요.,10,1
27,보고나면...예고편만 봐도 눈물나는 영화..단 한순간도 소중하지 않은 장면이 없다..  내용을 이해못하는 이들은 아직 어리거나 고난과 역경을 겪지 못한 이들일 것이다.,10,1
28,흐음......솔직히 우리나라 저예산 영화들이 훨씬 연출력이 뛰어난것 같은데? 뭐지 왜? 왜이렇게 상주고 띄워 줄까? 자꾸 물음표만 남기게 됩니다.,2,0
29,낚였네요. ㅠㅠ,2,0
30,죄송한데 이영화 도데체 어느 포인트에서 감동을 하라는 거죠? 진짜 모르겠어서 그래요 알려주세요 제발... 그래미는 외국어 영화상은 왜 준거지? 정말 미나리로 감동 받고 싶으면 이 미나리말고 다른 미나리 추천드릴께요 미나리로 대박 눈물뽑은 헬로 고스트가 훨 낫음... 헬로고스트 미나리가 백번 감동 줌... 미나리신드롬은 마치 동화 벌거벗은 임금님 같다 기생충이 아카데미 올라왔으니 금년에도 한국꺼 뭐 없나? 어 미나리? 어라 미국 자본이야? 오 한류랑 미국 자본의 콜라보영화  이거 이슈 되겠는데? 그래서 매스컴에서 연신 띄워서 환상을 현실로 만들어준 영화 재미없는데 일단 이슈는 되었으니 상은 줘야겠고... 그렇게 상탔다니까 아 재미있는거야라고  스스로 셀프최면 거는거지... 마치 벌거벗은 임금님처럼,1,0
31,"윤여정 연기도 그다지..미국 언론에서 질문 받을 때마다 왜 본인이 항상 쑥스러워하고 관심 없는 척 하는지 이해할 수 있다. 윤여정 경력에서도 매우 흔한, 별 존재감 없는 연기고 임팩트도 없음. 영화 자체가 그냥 독립 영화라 나머지 배우들도 별로. 오히려 아역 연기자들 연기가 훨씬 좋으며, 첫째 딸은 한국어 연기 마저 완벽. 스티브 연보다 좋음. 영화 자체가 과대 평가 받고 있다 생각하는데 오죽하면 봉준호가 이마에 파리 붙은 얘기만 할까 싶다. 작년부터 개봉을 꽤 기다렸음에도 직접 보고 매우 실망. 조연이든 뭐든 이런 작품이 수상한다면 그거대로 미국 메이저 영화계의 굴욕이라 본다.",5,0
