,document,score,label
0,"웬만하면 평점 안다는데, 기대안하고 봤지만, 김영광 액션배우해도 될정도로 액션이 좋았고, 그냥 시강한 코미디 인줄알았는데, 나름 스토리도 있고 중간중간 빵방 터지네요. 코로나만 아니면 좋았을 것을....후속편 기대해 봅니다.",10,1
1,댓글 읽다보니 내가 재밌는 영화를  너무 재미없게 봤나 착각이 들정도네..  진짜   알바들 열심히  일하네..  ㅋ,2,0
2,"보고 평점테러 합니다.   보는동안 이 영화의 문제가 뭘까 생각했습니다.  이 영화가 어떻게 6.7점인지 미스테리입니다.   각본, 연기, 편집, 액션 다 별로고요. 음악도 별로고요.  영화관에서 봤는데 돈도 돈이지만  시간이 아까웠습니다. 이 영화가 박스오피스 1워라니... 코로나가 많은 것을 바꾸는군요",2,0
3,둘의 조합이 예쁘고 어울린다...대사는 깔끔하고 감칠맛나네...후반 액션도 볼만하고 2편을 기대하게 만드네..재밌어,8,1
4,"여기  평점이랑 후기 보고 기대 안하고 봤는데, 정말 재미 있었음. 제목이 '미션 파서블'이라서 오히려 영화의 매력을 반감 시키는 듯 하네요. 차라리 '시티헌터'  연상 시키는 제목이었으면 더 대박 났을 것 같습니다. 액션연기 엄청 고퀄이구요. 스토리도 코믹하고 재밌습니다. 반전도 있구요. 강추입니다. 극장에 개봉 중일 때 서둘러서 보세요.",9,1
5,시간가는줄 모르게 재밋게 잘 본 코믹 액션이었습니다 !!,10,1
6,코로나 시국에 이정도면 굿!,8,1
7,평점 주려고 로그인했네여 다 알바입니다 최악,2,0
8,그냥그랬어요,1,0
9,보지도 않고 평테 뭐냐 역겹게,10,1
10,평점 알바들이 확실한게 이런 ㄱㅆㄹㄱ 중국몽 영화도 개봉시기 맞춰서 평점 올려치기 먹는다. 미나리가 그러더니 이건 더하네,1,0
11,별롭니다.,1,0
12,잼 있게봤습니다. ^^,10,1
13,킬링타임용 오락무비로 강추,8,1
14,"누가 재미있다고 평점을 조작 하냐??  어린애들 스토리, 유치 짬뽕 .. 보다가 끔 ..",1,0
15,댓글 평점에 낚였네..시간 아깝네요,2,0
16,"그냥 별 생각없이 봤는데 의외로 재밌네.  가볍게 보기 좋은영화~ 그리고, 주연배우들이 참 쌍콤하고 이쁘네^^  젊음이  좋다는걸 젊을땐 모른다는거~  맨날 묵직한  중년에 연기파 배우들  영화만 보다가 젊은  두 배우들 케미가 참 이쁘고 기분 좋았슴~",10,1
17,...,5,0
18,"액션은 기대 이상, 유머는 기대 이하",6,1
19,간만에 괜찮은 코믹 액션 영화 ㅎㅎ,10,1
20,영화관 가서 보려고 했더니 벌써 TV에 떴네요. 기대한 것 보다는 좋았어요. 재미있고.. 시간 가는 줄 몰랐네요.,8,1
21,두 배우가 합이 진짜 잘 맞네요 저희 관 사람들 다 빵빵터지면서 봤습니다! 너무 재밌어요ㅜㅜ,10,1
22,.,2,0
23,"오랜만에 극장서 웃으면서 봄.. 두 배우 합도 좋구, 액션도 웃기면서 간지남",10,1
24,"평점이 동원된 알바들에 의해 조작된 듯한 느낌. 스토리는 뻔하며, 액션은 초딩수준이고,  코믹은 애처로움.  시간킬링은 그럭저럭, 임펙트는 전무.",4,0
