,document,score,label
0,"영웅 탄생을 빙자한 철학 논문 한 편의 영화적 표현이 아닐지... 암튼 놀란,이 양반 영화보면, 내가 놀란-다~~^^*",9,1
1,놀란은 시작부터 창대했다.,7,1
2,"놀란’s 배트맨적 정의 the beginning!!!  젊었을 때: 지루했다. 지금: 그 의미, 그 질문에 폭 빠져서 본다!   수작!",10,1
3,다크 나이트 트릴로지의 시작인 동시에 다크 나이트를 위한 초석 그 이상이다. 배트맨 비긴즈만 따로 놓고 봐도 최근 나왔던 웬만한 히어로 영화들보다 훨씬 낫다.,9,1
4,당신이 무엇을 생각하고 있는가보다 지금 무엇을 하고 있는가가 중요하다 ,8,1
5,"브루스 웨인 ""알프레드. 아직도 나를 포기 안 하셨어요?""    알프레드 ""절대로""",9,1
6,영화보면서 느낀거지만 베일형 참 잘생겼다.  리암 아저씨는 악역이여두 개멋있음.,9,1
7,다크나이트부터 보는 비람에 느꼈던 2%의 부족함을 드디어 채울 수 있었다. 감동! 다만 느닷없는 닌자의 출연에 뭔가 김 새는 황당함을 느낀 것도 사실. 서양인들은 닌자에 대한 로망(?) 신비로움(?) 같은 걸 갖고 있는 건지..  암튼 크리스찬 베일의 배트맨을 더 놓고 싶지 않구나~ 내 인생영화 시리즈의 재개봉이라니.. 3주간은 극장에서 살게 될듯. 이것도 역시 아이맥스로 보니 확실히 더 좋더라. 볼 수 있을 때 극장에서 보시길..,9,1
8,"리암 니슨의 "" 정의는 균형이다(Justice is balance)"" 이 말은 아마도 마블이 영향을 받아 타노스에게 전해진 듯. 복수에 연연하지 않고 처형자가 되지 않으면서도 정의를 실현하는 모습이나 공포의 트라우마를 극복하는 모습을 통해 재관람하니까 이 영화에 녹아있는 철학이 보인다.",8,1
9,2005 ,10,1
10,아름다운 처단! 다 썩어서 말할 곳 없다는 고든의  말이 폐부에..,8,1
11,아...명작이네요.그냥 판타지같은 히어로물이 아닙니다. 이 한편으로도 완벽하네요.격이 다릅니다. 영화관에서 꼭 재관람하시길..,8,1
12,전설은 다시 시작됩니다.  어둠의 수호자 !!   배트맨은 진심으로 최고의 전사입니다.,10,1
13,전설의 시작,10,1
14,배트맨 비긴즈,10,1
15,히어로 영화계의 판도를 뒤집을 전설의 시작.,7,1
16,이런 명작이 왜 관객수 100만을 못넘겼을까,8,1
17,다크나이트 시리즈 이해를 위한 필수 코스라고 생각함,10,1
18,말그대로 배트맨 비긴즈!,9,1
19,훌륭한 새로운 시작,8,1
20,"부모님의 죽음과 구덩이의 박쥐.  어린 시절의 트라우마로 인해 자신의 모든 것을 내던지며  다른 이를 위해 봉사한다?  선뜻 납득이 가진 않는 일이다.  전세계 최고의 부자로 태어나서  하나부터 열까지 충직한 집사의 보살핌을 받고 자라  하고싶은 거 다 하면서 살았어도,  자기 내부의 고독함과 모순은 견디기 힘든 고통이었나보다.   개리 올드만이 선역,  리암 니슨이 악역을 맡은 것이 뭔가 뒤바뀐 듯 하지만  나름대로 잘 어울렸다.  연기 내공이 그 정도인데 어떤 역이든 못하랴.   엄청난 제작비의 흔적이 영화 전반에 걸쳐 화려하게 폭발한다.  빠질 수 없는 차량추격 장면 역시 일품이다.  죠커의 출연을 기대하게 하는 연출 또한 우아했다.   그러나...  라스알굴 밑에서 ",8,1
21,제대로 배트맨에 대해 알고 싶다면,8,1
22,리메이크를 한건 역대급 한 수,10,1
23,"노블레스 오블리주. 우리나라에서는 경주 최부자댁에 얽히 이야기들이 아마 이러한 가치관에 잘 맞지 않나 싶다. 검소하고, 인근 주민들을 살피고, 또한 일제감점기에 독립자금도 지원하여 국가에 큰일을 하였으니 말이다. 가진 사람으로서 베풀 줄 아는 그런 마음은 자본주의 사회에는 별로 없는 것 같다. 최근 논란이 끊이지 않는 재벌 3세 갑질. 뉴욕타임스에서는 조현민 갑질을 소개하면서 '갑질'을 발음 그대로 'Gapjil' 이란 스펠링을 작성하기도 했다. 그룹의 토대를 마련한 장업주 (1세), 그 그룹을 거대하게 키운 2세에 이어 3세에게 그룹의 경영권이 넘어가는 과정에서 문제가 되었다. 한국 경제에 있어 중요한 위치를 자치하고 있는 '그룹'의 키를 재벌 3세가 쥐게 될 날이 멀지 않았다.",6,1
24,"히어로 영화치곤 취약한 적 들과  싸우는데도 참 재미나게 만들었네. 리뉴얼 배트맨의 리얼 비긴즈다. 우물에 빠지는거랑 박쥐떼, 부모총격 사망, 시그널 라이트는 배트맨을 상징하는 장면이 되었다. 이번  배트카는 정말 특이했슴. 마지막 조커카드  굿.",7,1
25,지루함,1,0
26,역시 믿고보는 베일의 배트맨,7,1
27,유일하게 좋아하는 DC캐릭터,9,1
28,놀란감독의 비기닝 ,7,1
29,무술 수련후 갑자기 슈퍼맨처럼 불사조(?)가 된 것은 눈에 거슬리지만 다른 영화처럼 무소불위는   아닌 것에 나름 평점을 주고 싶다.,8,1
30,다시봐도 굿,9,1
31,걸작,9,1
32,12년이 지났지만 볼때마다 명작,9,1
33,선이 지나치게 자부심을 갖는 순간 악이 될 수도.,10,1
34,ㅇ,6,1
35,하아...,8,1
36,.,8,1
37,"21세기 ⟨배트맨 시리즈⟩ 1탄! 놀란의 배트맨은, 앵글로색슨의 몸과 얼에, 일본 닌자의 무술을 익히고, 거대자본과 첨단과학으로 무장한 '미국'의 상징이다. 정의를 수호하되 음울한 마음으로 도시를 도감청하는 배트맨의 일그러진 모습은, 기자나 자유인인 다른 미국 영웅들과 달리, 재벌귀족이란 그의 신분때문인 것인가~!",10,1
38,good,9,1
39,전설의 시작이라는 것 자체에 의미를 두며,8,1
40,끝까지 니암리슨은 악역이 아닐 것 같았다.,8,1
41,다시 이렇게 나와라,9,1
42,배트맨 그 전설의 새로운 시작,7,1
43,영웅이  되는데엔 이유가 있다,8,1
44,어느날 라스알굴을 만났다.,10,1
45,브루스 웨인이 배트맨이 되는 영화 뭔말이 더필요해  다크나이트 뜨릴로지중 최고의 작품성을 자랑하는 에피소드 ,10,1
46,"나한테 불의에 맞서 행동할 것인가 묻는다면. 정의를 바로 세우기 위해 싸우자고 하면 사실 두렵다. 내 몸 하나 지킬 힘도 없는데 몇이나 지켜낼까 싶다. 촛불 들고 거리로 나간 사람들은 참 대단하다고 생각해. 결국 박근혜까지 법 앞에 세웠으니까. 이젠 판사의 몫만 남았는데, 불의와 타협하지 않고 두려움에 맞서길.",6,1
47,"정말 유치하고, 지루하고, 한심한영화",1,0
48,나름 볼만했다...  초반 좀 지루한 면이 있긴 하지만...,7,1
49,이 유치한게 왜케 평점이높지? 글구 혀짧은소리내는 배우가 헐리웃에도있었네....깜놀~ㅜㅜ,1,0
50,위대한 트릴로지의 훌륭한 초석,8,1
51,⟨다크나이트⟩가 진짜 잘 만든 거였구나,6,1
52,"3부작의 1편은 스토리상 이런 전개가 될 수밖에 없었다. 2편, 3편이 너무 대작이라 1편이 재미로는 저평가 받는지도 모르지만... 어쩔 수 없이 재미를 약간 억누른 느낌이랄까.. 그래도 최고다. 이때 당시의 레이첼 역의 케이티 홈즈는 정말 매력적이었다. 2편에도 나와주길 바랬지만 매기 질렌할로 바뀐게 아쉽다..",8,1
53,굿~,8,1
54,잘만듬,9,1
55,다시는 액션 만화 원작 영화 감독 맡아선 안될감독 1위,1,0
56,   ?,10,1
57,"이걸 이렇게 만들었네, 역시 놀란",10,1
58,크리스찬베일의 성공적 연기.,10,1
59,비긴즈에 있어서 무엇보다 가장 중요한 히어루무비의 1편이 그렇듯 주인공이 왜 ???와이??영웅이 되었는가???또는 무슨 일이 있었는가 공감하게 만드는 부분이 가장 중요하다는거다. 이 한부분이 3편의 완결을 이어주는 중심점이고 모든 작품을 관통하는 가장 중요한 내용인것이다. 이런 부분에서 비긴즈는 거의 완벽하다고 할수있다. 아니 완벽하다.,10,1
60,놀란과 웨인의 잘 맞는 궁합. 그들이 섞여서 좋은 시너지를 보였다,6,1
