,document,score,label
0,어떻게 레드룸에서 탈출했는지 그 안에서 무슨일이 있었는지 그리고 어떻게 레드룸을 파괴하는지 주 내용인 줄 알았으나 가족애를 주제로 삼아버려 명작이 평작이 되어버렸다. 가장 심오하고 진지하고 역동적인 캐릭터 블랙위도우를 그렇게 떠나 보낸 마블과 디즈니,6,1
1,음.... 평점이 높아서 기대를 많이 해서 그런가... 다소 아쉽고 조금 실망스럽기도 했다... 역시 마블매니아들의 만점 평점에 속았다.. 그렇다고 못 볼 정도 까진 아니고 블랙위도우를 회상할수 있어서 좋았지만 10점 만점 짜리 영화는 아닌듯...,7,1
2,버키 : 그거 할레? 닥스 : 가망이 없어...  다된 밥에 박지훈만 안뿌리면 된다...,10,1
3,스칼렛요한슨❤️❤️❤️,10,1
4,로봇나와서 레이져 쏘는것 보다 리얼 찐 액션씬 너무 멋짐....  기다린 보람 있음...,9,1
5,마블 액션 영화를 기대하고 간다면 후회합니다. 가족용 드라마라고 보시면  됩니다. 나타샤 얼굴 보러 온 것 같은 느낌 의 영화,6,1
6,나타샤에겐 가족이 전부였다ㅠㅠ 살려내,10,1
7,동생 엘리나 귀염 터짐.,9,1
8,솔직하게 평하자면  그간 본 마블영화 중 가장 지루했다  극장가서 볼 정도는 아니었고 뭔가 강력한 스토리가 없는 영화였네,7,1
9,"블랙위도우의 과거 프리퀄격인 영화 그래도 기존 어밴져스 와는 전혀 다른 휴머니티가 물씬풍기는 분위기. 가족은 위대하다. 그리고 약한자여 그대이름은 여자라고? 헛말이다.멋드러지게 뽑아낸 여성 캐리터들의 몸빵  일대일 격투씬, 공중전투장면이 스크린의 화려함을 더 한다 필히 IMAX 대화면으로 감상하시기를 마지막 출연이라는 스칼렛 요한슨, 그녀의 후계자를 만날수 있을듯 마지막 쿠키장면 까지 집중된다. 반가운 얼굴 멜리나역의 레이첼 와이즈 그리고 엘레나의 모티브가 된노래  Don Mclean의 "" American pie ""또한 반갑다",9,1
10,무조건 무조건 봐야 하는 영화ㅜㅜㅜ 나타샤 못보내요...ㅜㅜ,10,1
11,스칼렛 마지막영화라기에는 조금 아쉬웠다...글구 2편 제작예정이라는데 감독좀 바꾸자 연출이 젤 아쉽더라,7,1
12,오 미쳤어요!!  스칼렛요한슨😍😍😍  이건그냥봐야되요,10,1
13,보고싶었어 나타샤..... 극장가고 싶은 데 같이 갈 사람이 없다.. 혼자라도 가야하나.....,10,1
14,이런 영화가 곧 종말을 맞을 것 같다는....  또 세계 정복이냐... -_;;  진심... 세계 정복 이야기는 그만 보고 싶다.,6,1
15,마블은 진짜 퀄리티 하나 꾸준하게 뽑아내는게 진짜 신기하네ㄷㄷ 간만에 보는 마블영화라 그런지 더 몰입해서 봄,10,1
16,잘 만들면 캡틴아메리카급 시리즈인데... 이렇게 재미없게 만들다니... 캡틴마블 만큼 재미없다.,5,0
17,마블은 역시 볼거리가 많아서 지루하지는 않아,8,1
18,전투씬마다 현장감과 몰입도 오져버림ㄷㄷ,10,1
19,볼만했슴 끝나고쿠키하나있슴,8,1
20,"매력적인 도입부, 그 후로는 이미 클리어 한 게임 리플레이를 보는 기분",6,1
21,기대가 너무 컷나?,7,1
22,앞자리 분 분실물을 갖고 있습니다.  7월 7일 17시 인천 CGV IMAX관 C10 열 앉으신 분 babou34@naver.com으로 연락 주시면 감사하겠습니다.,8,1
23,코로나 시국에 마블개봉~~  땡큐하고 봤는데 노땡큐였음,6,1
24,지루하고  재미없음,5,0
25,마블영화중 최악. 웃기는것도 별로. 감동도 별로. 액션도 별로.  그저 떡밥을 위한 영화.,4,0
26,코로나 이색~!  ㅠㅠ,10,1
27,내가 본 마블영화중에서 최악이다,1,0
28,나타샤 살려내라,10,1
29,어벤져스를 가족으로 생각했던 나타샤. 그러기에 망설임 없이 죽음을 택했었다는 서사와 달리 가족이 생겨버려서 내용상 충돌은 있다. 하지만 나타샤의 과거에 대해 잘 설명된 영화고 캡틴 아메리카의 퍼스트 어벤져를 생각해보면 충분한 개연성을 나타낸다. 2대 블랙위도우로 플로렌스 퓨를 밀고 있는데 꽤 매력적이다. 페미 드립은 솔직히 느낄수 없던데 왜 페미를 갖다 붙이는지는 모르겠다. 마블은 늘 느끼지만 재미있다. 너바나의 노래도 개인적으로는 너무 딱이었다고 생각했다,8,1
30,마블에서 만든 영화인지 의심스럽다.  혹시 짝퉁 마벌에서??  최악 노잼..,1,0
31,지루함,1,0
32,마블스튜디오 영화사상 최악이네요. 전세계적으로 영화계가 퇴보하고 있는듯.,4,0
33,공들인것에  비해선  별로였다. 추격씬과 액션씬은 좋았으나 스토리와 개연성이 부족했고  어벤져를 들먹이는건 뜬금없었다,5,0
34,스칼렛요한슨의 아듀 블랙위도우... 조금 아쉬운 부분이 있긴했지만 마블 덕후인 내겐 몇년에 한번씩 주어지는 행복한시간임! 마블 인트로 음악부터 시작되는 설레임을 쿠키영상까지...또 보러 갑니다 ㅋ,10,1
35,가지마,7,1
36,요보비치 딸이 더 놀랍다...,7,1
37,"3번 졸았네...어거지 스토리,,웃지도 않은 개그샷,, 그리고 뭔말이 그리 많아  내 생애 최악의 마블.....",1,0
38,시간이 아까움....,2,0
39,기대보다 많이 약하다.,4,0
40,오랜만에 극장에서 본 마블영화라서 인트로 나오는 순간부터 가슴이 웅장해지네요 ㅋㅋ,10,1
41,아니 앞뒤도 안맞고 설정도 만맞고 상황도 안맞고 참 뜬금없네  마블영화라고 하지말고   마블영화 보면서 졸아보긴 첨이다   화가난다,1,0
42,솔직히 제 취향은 아니네요. 졸면서 봤어요.,4,0
43,가망이 없습니당,2,0
44,옐레나 캐릭터가 넘 매력적,10,1
45,그냥..좀..길고..임팩트도 그닥...,6,1
46,난 잘 모르겠다... 지루한 면이 좀 없지 않았나 싶다...,6,1
47,"블랙위도우의 어릴적 과거부터 성장하면서 가족의 화해까지, 블랙위도우가 상처를 극복하고 어벤져스영웅으로 거듭나는 과정을 잘 그린 영화. 단순히 페미니즘이라고 단정지을 영화가 절대 아니다. 혹여나 그런 말을 한 사람이 있다면 그 사람은 이 영화를 보지 않은 것이다. 어벤져스가 되기 위한 마음가짐과 전투력 주변가족과 이웃을 챙길줄아는 따뜻한 마음이 있어야 한다는 것을 보여 준 영화.",10,1
48,캐릭터 스토리 유머 전반적으로 아쉽네요. 기존의 마블 말고 그냥 액션영화한편 본다고 생각하고 보시는게 나을듯~~,8,1
49,액션은 진짜 대단했음! 근데 테스크 마스터가 너무 초반과는 다르게 너무 어설프게 끝났음.,7,1
50,뭔가 좀 아쉬웠음.,7,1
51,얼마전에 분노의 질주9를 보구  이 영화를 봐서 그런가 정말 재밌게 봤음,9,1
