,document,score,label
0,"초반, 중반, 종반에 이르는 긴장감과 의구심이 이 영화의 몰입하게 만든다. 그러나, 그 몰입감은 최종에는 허무로 바뀐다. 사라진 시간? 이 무엇인가라는 의문을 남기는 종결이 결국 관객들의 시간을 사라지게 만드는 안타까운 결말을 만들었다. 이 영화는 오직 장진영 감독만을 위한 영화 그 이상이 될 수 없다. 이 영화를 보는 사람들의 사라진 시간은 어디서 보상 받아야 하는가?",3,0
1,"한번 보면 끝까지 보게 되는 영화, 하지만 끝을 보면 욕이 나올 수 밖에 없는 영화",5,0
2,이 영화는 불교의 윤회를 말하는 것 같다.  죽은 선생부부는 말미에 다른 사람이 되어 목욕을 하고 형사가 비닐 하우스에서 죽인 남자는 고라니가 되어 죽어 있다.  형사부부는 선생과 서장부인으로 태어나고 뜨개질 여자강사는 죽은 선생부인과 같은 병을 앓고 있다.    타임슬립의 형식을 취하면서 각자 같은 시공간에 다르게 태어나는 윤회를 말하는 것 같다.   선생이 된 형사는 이상한 상황에 저항하고 화를 내지만 마지막에 자신의 운명을 담담하게 받아들인다.,8,1
3,주연 연기는 좋았는데 정말 이해가 안감  나만  그런가?,6,1
4,"정직한 제목이 스포인 영화 한번 보면 내 인생에서 100분의 시간이 사라지고  시청 후 결말이 난해해서 검색,,, 그런거 였다고?? 하면서 두번 보는 순간  3시간 20분이 사라지는 마법같은 영화.. 난 다행히(?) 두번째 중간 쯤 끊었다!!",9,1
5,마무리는 지었어야지 ,1,0
6,나만 이런 명작을 볼수 없다 ㅠ.ㅠ,10,1
7,내가 어지간하면 이런 별점안준다  영화가 꼭 개연성이 있어야하는건 아니겠지만 머냐고 도대체~~,4,0
8,정말 난해하다.........~,1,0
9,극흡입력은인정 그래서3점 마지막짜증 열린결말은능력없는감독의변명 찍다말았음,3,0
10,영화 괜찮던데요?? 추천합니다~~~,9,1
11,장자의  나비의 꿈을 해석한 영화같아요  낮잠을 자는데 나비 꿈을 꾸었다 내(장자)가 나비 꿈을 꾼건지 내가 나비가  되어  장자의 꿈을 꾸고 있는건지 나비가 내꿈을 꾸고 있는건지 나비가 내가 되어 자다가 나비 꿈을 꾼건지,6,1
12,"그래도,,,  조진웅과 이선빈이라는 연기잘하는 배우들이 나오서 봤는데... 감독의 의도가, 영화의 주제가 뭔지 모르겠다. 하루 아침에 형사가 다른 사람이 되어버렸다? 왜, 그래서 뭘 주장하려는 건지도 모호... 모든 사람들이 아픔이 있다는 걸 말하려는 건가?  참...난해하다",5,0
13,"평행우주로 온 것인지, 꿈인지, 윤회인지, 다중인격 정신병자의 이야기인지는 그다지 중요하지 않은 것 같다. 심리에 집중해서 보다 보면, 누구나 살다보면 그 전의 자아를 버리고 새로운 자아를 연기해야 할 때가 있다는 보편성과 마주하게 된다..... 그거 아파요. 과거의 자신이 사라지잖아요.",6,1
14,감독이 관객과의 소통은 포기함.  영화보는 내내 되게 갑갑해하며 사건이 얼른 풀리기를 기다렸으나 갑자기 여배우 눈물흘리며 자막이 올라감.  아... 집으로 운전하고 오면서 곰곰히 생각해봤으나 뭐가뭔지 모르겠다. 나쁘진 않고 참신한 영화이다.  중간에 조기축구회 등번호에 이름이 나그네라고 쓰여있어서 혼자 빵터짐.  뭔가 의미있는 신호인듯.... 그래 사실 우리네 삶이 나그네인거지.  곡성볼때 엄청 몰입하면서 보다가 마지막에 멍하면서 끝나는 느낌보다 더 강렬하게 멍때림...  7살이 되기전까지 나는 내가 살고있는 세상이 현실인건가? 내가 정말 태어난건가? 하고 의문을 가졌었다. 마치 환생했는데 리셋이 덜된거 같은 기억을 갖고있었다. 영화내용이 그 느낌이랑 비슷하다.,5,0
15,뭔내용입니까????ㅎㅎ배우가 아깝네요,1,0
16,매트릭스를 깨달은 네오.,10,1
17,이해하기가 어려웠다,3,0
18,해리성 장애의 고통?을 보여주는 영화 개인적으로 재미있게 봤다. 특히 마지막 대화와 마지막 장면이 좋음.,9,1
19,이 영화는 반전이 없는게 반전이다. 배우들의 연기는 절정을 달린다. 관객의 고정관념을 저격하는 감독의 노림수는 성공했다.,9,1
20,좋아요,10,1
21,나 그거 알아요 그거 아프죠 그게  많이 아파요 다들 어쩔수 없잖아요 울지마요 혼자만 그런게 아니니까.. 너무 공감되서  나혼자의 고민에서 평범함으로 받아들이려구요.,10,1
