,document,score,label
0,시작은 전설이었는데. 이게 뭐냐?,3,0
1,디즈니는 스타워즈같은 서사시를 더럽힌 장본인... 시작은 미진했으나 끝은 창대??? 농담하세요? 장대한 스토리를 좁은소견으로 어떻게 말아먹는지를 보여주는 대표적인 필름낭비입니다,0,0
2,다스베이더 개X신만들기,5,0
3,"쌍제이 탓이 아님.. 전편에서 영화 다망쳐놓고 가서 스토리 전개할 답이 없게 만든 라이언존슨 탓이지 전편에서 루크스카이워커랑 레아공주가 죽여놔서 저항군들을 이끌어갈 캐릭터들이 남아 있지도않음. 아니면 저항군들을 이끌어갈 새로운 강력한 캐릭터를 등장시킨것도 아님.  전편 보라머리 아줌마가 그나마 리더같았는데 그분마저도 죽여버림. 빌런측도 마찬가지로 스노크라는 엄청 쎄보이는 캐릭터가 있었는데 8편에서 그냥 죽여버림. 카일로렌 정도 빼면 다스베이더, 팰퍼틴 같은 카리스마 있는 빌런? 없음. 남아있는 카일로렌 마저도 성숙하지 못한 모습.. 그렇다고 9편에서 뜬금없이 강력한 새로운놈을 등장 시키면 그게 더 이상해보였을거임. 그래서 어쩔수없이 팰퍼틴을 부활시키는게 최선이었고. 라이언존슨이 다망쳐놨는데 쌍제이가 뭘하겠냐",6,1
4,팰퍼틴 뜬금 출연 이럴거면 전편 쿠키영상에 빗자루 들고있는 꼬마 빼고 팰퍼틴이 등장한다고 예고라도 했으면 좋았을 턴데.... .... 뭔가 스토리상 빌런 늘게 없어 그냥 대충 대충 집어넣은  느낌이 나서 별로 좋지는 않네요;; 결말도 뻔하고 그래도 재미있으면 됬지 뭐......  흨,6,1
5,유년시절 스타워즈 시리즈와 같이 성장하지 않은 세대들은 그 감성을 이해 하지 못한다~ 이 정도면 잘 만들었다 근데 그만 만들었으면 좋겠다 옛 영웅들이 늙고 쇠약하고 죽는게 마음 아프다~T.T,8,1
6,7편까지는 정말 재미있었다. 8편은 뜬끔없는 페미들 얘길 집어넣어 쓰래기로 만들더니.. 9편은 햐! 진짜 말이 안나온다.  8편때문에 9편은 스토리가 개판..  진심 0점도 아깝다,0,0
7,제일 아니다....뭐냐 쪼이는 맛이 하나도 없고..칼부림하다가 막다가 스타워즈가 아니라 부활워즈... 동물새끼들이 활개치고 다니고.....외계인에 동물에...갖은 오만 짬뽕들이 나오는게 시리즈가 거듭될 수록 역겨워진다..웬 짐승새끼들이 스타워즈와 무슨 관련이 있어? 이제 이 시리즈 그만 둘때도 됐다...자꾸 아쉽다 아쉽다 하니까 계속하나본데...미국이 멸망하지 않는한 계속 할래? 20에피소드30 에피 ..500 에피 스타워즈?,3,0
8,내가 이때까지 본 11편의 스타워즈 중 거의 가장 재미없었던 영화다. 마지막 결전임에도 불구하고 긴장감이 없어서 몰입도가 떨어지고 캐릭터들에게 정이 안간다. 개연성도 떨어지고 너무나 뻔한 스토리 42년을 이어온 프랜차이즈를 마무리하기에 아쉬운 완성도.,4,0
9,전설과 포스가 완전히 사라진 3부작의  마침표...,4,0
10,그만찍고 전설로 남거라. 이야기가 산으로 가면 배우들이 캐릭터라도 잘 살리던지. 이도저도 아닌 이름만 빌려 쓴 영화,3,0
11,전설을 우뢰메로 만들어버렸네;;;;,1,0
12,"다스베이더 그냥 이상한놈으로 만들어놓고 과정도 없고 그렇다고 전편에서 찾을수도 없고 뭐지 이게 10편 까지 나오던가 뭔가 스토리 하나가 빠진 느낌... 8편부터 아슬아슬하던 탑이 무너졌음...그리고 갑자기 펠퍼틴의 부활? 그냥 카일로렌 도와주는 역할로도 충분했을텐데...카일로렌은 아빠 죽이고 할짓 다하고 반성? 그걸 또 제다이처럼 죽다니 마지막에 레이 살리면 걍 제다이임? 감독 탓을 할수도 없는게 라이언 존슨이 제다이 피섞인 애들 죽여놓고 리더를 없애 놨으니...그래도 이건 좀 심했다 그냥 한 2~3편 메인만 몰아넣은 느낌 마지막은 진짜 너무했고(파워레인저?) 그리고 펠퍼틴이 데스스타에서 죽고 다시 살아났는데 저렇게 죽으면 또 살아나겠지? 7, 8, 9는 없던걸로 합시다...레전드만 남겨놓는걸로.",1,0
13,역시 시리즈 물이라서 가면 갈수록 ㅈ됀다,5,0
14,극장에서 보면서 개 벙쪘음 아나킨 헛되이 죽었넼ㅋㅋㅋㅋㅋ,1,0
15,팰퍼틴을 아무런 설명도 하지않고 그렇게 뜬금없이 억지스럽고 말도안되게 갑자기 살려내서 아나킨이 포스에 균형을 가져온 일을 그냥 없었던 일로 해버려 40여년에 전통을 지닌 스타워즈라는 전설을 이렇게 끔찍하게 더럽히고 개박살내 버리다니!!!,5,0
16,그냥 스타워즈 클론전쟁 시리즈 관련 만화나 스타워즈 애니메이션좀 제작 해주면..,1,0
17,"에피소드 7,8,9는 그냥 완전 개졸작.",1,0
18,이건 루카스필름이나 쌍제이의 문제가 아니고 그냥 디즈니가 8편 감독을 잘못 데려온거다. 차라리 8편도 쌍제이가 했다면 그나마 훨씬 나았을것 같은데...9편은 어떻게 시리즈를 끝내나 했는데 그냥 라제 문제점들을 땜빵하는 용도로만 쓰인 영화같다...,5,0
19,♩♪♩♪년들아감독을 탓하지말고 전작을 탓해라 이게 감독이 조금 살려놓은거니까 ♩♪.,5,0
20,.,10,1
21,스카이워커 사기의 싱거운 마무리,5,0
22,4~6편만 인정한다.....,0,0
23,개판이네..,1,0
24,"이럴꺼면 6편까지의 에피소드들로 평생 레전드로만 남기고 괜히 거기다 이상한것들을 더 추가해 스토리를 늘린답시고 온갖 삽질에 벌짓 다 해가면서 만든 시퀄 삼부작 7,8,9 편은 애당초 처음부터 만들질 말았어야 했다. 팰퍼틴이 부활한 것에 대해서 이해와 납득이가는 배경과 개연성을 조금이나마 추가했으면 나았을텐데",6,1
25,피보다 진한게 있다는데 그게 뭐임?,1,0
26,그냥 접어라....시리즈가 갈수록 재미없네...맘에 드는건 ost밖에 없다,4,0
27,진짜 못 만들었다 억지설정 억지 재미,1,0
28,무협에서 혈마나오고 천마나오고 그리고 영웅이 나타나 쓸어버리고 .4~6을 뭉쳐뭉쳐 종합선물만들었네요~ 포스는 영원하라~,5,0
29,다음편 만들라고 ㅇㅣ따구로 만드는건가,5,0
30,"내가 스타워즈를 보면서 3번 꾸벅꾸벅 졸을 줄이야.... 이건 진짜 너무 한거 아님??  제다이가 여자로 바뀌면서 광선검 액션은 무슨 애들 칼싸움처럼 바뀌고,  쓸데없이 등장인물들만 많아지면서 산만해지기만 함.  더군다나 거의 대부분 등장인물 별 쓰잘데기 없음. 오스카 아이작만 엄청 아까움. 저 캐릭터만 잘 활용했어도 영화 훨씬 잘 살릴 수 있었음. 쓸데없는 등장인물들만 많아지면서, 오스카 배역 할당만 너무 작아짐. ",6,1
