,document,score,label
0,시동 2  안나오나요?   코미디 영화로 보기 쉽지만 마동석과 박정우 최성은 심지어 박정우의 모 역할의 염정아와 웍 배우며 자신의 아픈 과거를 잊고 열심히 살아가는 배달하는 형 그들 모두의 성장드라마 였다고 생각함  코끝 찡해지지만 마음이 따뜻해지는 영화였음. 다섯번 이상 본 거 같아요  최성은 완전 신인인데 팬 됬어요~,9,1
1,TV에서 우연히 봤는데 영화관에서 안본게 미안할 정도였네여. 마동석의 재발견~,9,1
2,그게 뭐든 간에 하다보면 니일이 되는거야,8,1
3,너무 좋은데 왜 들어보지도 못했지!? 제목도 좀 아쉬움 ,10,1
4,우연히 틀었는데 완전 재밌어요,10,1
5,Ocn 에서 하길래 별 생각 없이 봤는데 넘 재밌음,9,1
6,OCN에서 볼 때 마다 웃김.ㅋㅋㅋㅋ 마동석 애봉이 닮음. ㅋㅋㅋㅋ,9,1
7,마동석이라서 봤는데 재밌어요. 소소하게 볼 만한 영화인듯. 스케일이 크고 의미있는 영화를 분석하느라 피로감을 느꼈다면 이 영화 추천합니다.,8,1
8,의외로 재밌네  제목을 잘못 지어서 안좋게 본것일까.... 포스터가 후져서 선입견을 가졌던건가....,7,1
9,Ocn에 나오길래 그냥 봤는데 기대보다 완전 재밌었네요 ㅋㅋㅋ ,10,1
10,은근 재밌네ㅋ,10,1
11,간만에 잼있는 영화 잘 봤습니다,10,1
12,재밌네,10,1
13,웃기고 훈훈함. 평균작 이상,8,1
14,잼나게봄 ,7,1
15,재밌게 봤어요!,8,1
16,간만에 정말 재밌는 영화봤네요 유쾌하고 행복해지는 영화예요 캐릭터 하나하나가 너무 좋았습니다 시동2가 나오긴 힘들까요?,10,1
17,아.. ㅠㅠ 넘 웃겼다 정말 ㅋㅋ 배우들 연기 다좋았어요 서사가 좀 약하지만 그래도 굿 ,8,1
18,초딩 아이들과 같이 너무 재미있게 본영화,10,1
19,청양시외버스터미널에  군산시외버스터미널 간판을 달았네요. 청양거리가 나와서 넘 반가워요.,8,1
20,이거 최애 영화!,10,1
21,엄 재미있슴,10,1
22,방황하는 아이들에게는 못된세상으로부터 보호하고 훈계해줄 어른이 필요하다  재밌고 메세지는 좋으나 연출이 아쉽다,7,1
23,별로다 ,3,0
24,겉도는 정해인,6,1
25,재밌고 잘 만든 영화.안 보신 분들 추천!!,7,1
26,기대 안히고 봤는데 상당히 괜찮네요,10,1
27,그냥 저냥,5,0
28,개념없는 것 같아도 착한 주인공과 친구.  악한거 같아도 끝까지는 가지 않는 악역들... 서로가 적당한 선에서 마무리한 디즈니풍 폭력 가족극장.,5,0
29,마동석이  살리다,7,1
30,재미나고  교훈이  되는 영화.  마블리  최고예요.,10,1
31,아쉬워요 동석이형 캐릭터가 아쉽다,5,0
32,잼있어요~,9,1
33,마동석의 매력에 푹,6,1
34,이거 완전 케웃기네요. 계속 풉풉거리면서 보게되요ㅋㅎㅎ,8,1
35,박정민.마동석연기잘하고 기대하지말고 가볍게보면잼나요 두번째보는중요ㅋ ㅋ,10,1
36,지금ocn 에서 보고있는데 동석씨 너무 얄궃게나와 더재미있어요.... 나 이렇게 웃으며 봌덕 처음이네.,10,1
37,와~~왠열~~넘웃겨 또 잔잔한 감동~~ 마동석님 눈뜨고 자는거 때문에  얼마나 웃었는지  몰라요. 단발머리하니까 김숙님이랑 넘 닮아서 깜놀~   이걸 극장에서 못봤다니ᆢ,10,1
38,그냥 마동석만 있네.,4,0
39,재밌어요~ㅋㅋ,10,1
40,영화가 무슨 애들 장난도 아니고 나도 이정도 만들겠다 아니 이것보단 재밌게 만들겠다 ,5,0
41,감독이 작가적 고민에 빠진 흔적이라도 보여줬으면 좋았을터.,6,1
42,생각없이 웃으며 봤네요. 즐거운 영화였어요.,10,1
43,박정민배우님 연기 좋아요~    잘 봤습니다,9,1
44,초딩딸이랑 지금 3번째 보고있는중~~,10,1
45,"마동석 박정민 염정아는 워낙 검증된 배우들이라 당연히 훌륭하고,  권투소녀역의 최성은 연기가 인상적이네요. 따뜻하고, 즐거운 영화에요.",9,1
46,전혀 정보없이 봤다가 깜짝 놀랐습니다. 이렇게  좋은 영화가  있었네요.  청춘영화의 교과서같은 영화입니다. 심지어 웃기고 재밌습니다.,10,1
47,마동석ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9,1
48,이영화 강추다,8,1
49,처음부터 끝까지 재밌음.,8,1
50,너무 재밋어요. 역시 웹툰원작이라 그런가 스토리가 탄탄하네용... 배우들 연기까지 완벽해서 완전 몰입해서 봤습니다.,9,1
51,영화관에서 못본게 후회됩니다👍,10,1
52,배우들 연기도 좋고 보면 볼수록 좋은 영화 다시 보라면 또 봅니다,10,1
53,시몬스  CF 그만좀 나오게  해주삼 재미도 없는  선전  60초 쉴때마다  보려니까 완전  개짜증  선전을 할거면 재미있게라도  만들어야지.,6,1
54,최고,10,1
55,.,7,1
56,또 봐도 재밌어요 시동2 나오길 바래요,10,1
57,재미지네,8,1
58,우연히 마동석 나와서 봤는데 신랑하고 한바탕 웃였네요 ㅋ 시동2기대해요^^,10,1
59,재미있게 봤습니다.,10,1
60,넘나 재밋음,10,1
61,재밌잖아! ㅡㅡ 팬데믹이 참 싫다.......,10,1
62,좀 진부한 신파. 그리고 영화에 조폭 좀 그만 나오자.,4,0
63,"넘 재미있고, 따뜻한 영화에요. 장풍반점 사장님 등 모두 힘들고 아팠지만 함께 극복하며 성장해가는 울면서 웃으면서 봤어요. 염정아 님이 나쁜놈 때리는 장면이 어찌나 속이 시원하던지 몇번을 돌려봤어요ㅋㅋㅋ 마동석님  댄스도 최고^^",10,1
64,ㅠㅠ,10,1
65,뻔한 스토리지만 재밌네ㅋ 근데 단발머리 여자에 대한 고증이 안됐음. 도대체 왜 싸우고 다니고 왜 가출한거임?,10,1
66,"와... 신선하네요. 어쩜 가장 밑바닥 인생인데, 인간미 살아있는 캐릭터들...  재밌게 봤습니다!",10,1
67,그냥 한국영화 심심할때 시간 때우기 용,7,1
68,여러 관점에서 생각하게 되는 영화입니다. 재밌게 잘 봤습니다. 따뜻한 영화네요~,10,1
69,웃김,9,1
70,유쾌해서 좋다,9,1
71,정말 오랜만에 재밌는 영화다! 라고 할 정도로 정말 재미있게 봤습니다. 배우님들의 연기가 정말 좋았던 거 같아요 스토리도 그렇고 다음 시즌이 나오면 좋겠어요!,10,1
72,보면서 웃을수있는 영화라 너무 좋았어요~!! 매력 넘치는 영화네요~^^,10,1
73,좋은영화다,8,1
74,.,5,0
75,그냥  마동석,6,1
76,기대 안했는데 명작 -,10,1
77,재밌다 박정민 마동석 최성은,10,1
78,'우리 사장이 잔소리를 안하는 사람이라 몰랐네..' 마배우 너무 좋아요 진심 어찌보면 다 비슷비슷한 캐릭터들을 맡아서 하는데도 전혀다른 캐릭터로 느껴짐.... 마배우 때문에 웃겨죽음 머리넘기는건 봐도봐도 귀여움ㅋㅋㅋㅋㅋㅋㅋ,10,1
79,와~ 진짜 재밌네요 가슴이 뭉클해지는 감동까지   배우들 한명한명 다 개성이 있어보여요 다들 주인공 같음ㅎㅎ,10,1
80,재밌게는 봤지만  조폭미화의   다른 면,9,1
81,흐뭇,9,1
82,재미지다용~~~ 여러번봐도 재미나,9,1
83,간만에 많이 웃었어요. ,10,1
84,Good ,10,1
85,.,7,1
86,"등장인물들과 다같이 반점에서 짜장면 한그릇 하고 싶어지네요,, 상큼하고 재미있게 잘 보았어요!",10,1
87,누군가에게 힐링이 되는 영화.완벽한 영화는 아니지만 팍팍한 현실에 이런 판타지 나쁘지 않아 보인다.어설픈 대작이라 내세우는 영화보다 난 이런 영화 찬성입니다.,7,1
88,사랑에 빠졌어 박정민 쵝오야^^ 장애인역도 트렌스젠더역도 뭐든 다 잘해♡♡♡,10,1
89,유쾌한 영화,10,1
90,킬링타임용  캡짱,9,1
91,팍팍한 현실속에서 마음의 위로를 해주는 영화...어른들의 동화같은 영화,10,1
92,무난하게 잘봄,7,1
93,재밌게 봤습니다,9,1
94,"볼까말까 고민중인 영화입니다. 치킨게임, 러시안룰렛",8,1
95,재밌었는데 정해인이 맡은역이랑 정해인이랑 안어울리는거 같다. 그래도좋았음,9,1
96,훈훈하지만 그것으로 끝,6,1
97,"뻔한 거 별로 안좋아하는데, 박정민이 나와서 그런가...? 뻔한 데 안뻔한 연기를 박정민이 해서 그런가, 뭔가 평점 높게 주고 싶지 않은데 뭔가 따스해지는 게 있어서 참 뻔한데 뭔가 좋네 ㅋㅋㅋ",8,1
98,이런 시나리오도 저런 유명한 배우들이 선택하고 영화로 만들어지는게 정말 신기하다. 그냥 티비에서 단편드라마정도로 했어도 그냥 보고 잊혀질 그런...,4,0
99,소소한 일상들의 결코 소소하지 않은 일상들 잔잔한 유머. 배우들의 캐미. 똥개이후 기억에 남을 영화^^,8,1
100,결정적인무언가가없는 결말이아쉬운 2프로빠진영화같지만 가볍게 그냥 웃으려고 본다면 겐찮음..,7,1
101,이 시대를 살아가는 청춘들에게 하고 싶은 말!!,10,1
102,때리는 타이밍 10 점 만점에 100만점  빵터짐,10,1
103,웃기기도 하고 따뜻한 사람냄새가 살짝 나는... 이유있는 반항이 있다고요? 반항아가 사람이 되는데 사람의 역할이 필요한거죠 . 배우들의 연기력 짱 좋아... 박정민님 하도 많이 맞아 안쓰럽고 정해인님은 착한역이 더 잘어울리는데...  재밌게 봤네요.,8,1
104,심리적 표현 사실적 묘사 괜찮았던 영화 !,10,1
105,기대않하고  봤는데  재밌네요.,9,1
106,소소한 주위의 일들 이런 약간의 감동 스토리 좋다,10,1
107,왜케 평점이 낮지? 구성도 연기도 훌륭합니다!!,9,1
108,폭력적인줄 모르고 봤는데 너무 폭력적,6,1
109,"지루하지않고, 재밌네",8,1
110,"기대없이 봤는데 다음작을 기대하게끔 만드네요. 결말은 뻔했지만 그래도 명랑, 활발, 쾌활하네요.",8,1
111,야 이건 잼있잖아!!!,10,1
112,코믹 감동 액션 총집합 좋아요.캬,9,1
113,폭력적일 거 같아 볼까 망설였는데 웃음도 감동도 있네요. 추천합니다.,10,1
114,너무 재밌었고 그 중 현실감도 있고요 재밌었어요. 마동석 진짜..ㅎㅎㅎ ...빼 줘~,9,1
115,박정민 연기 잘하네 간만에 재밌는 영화 찾은듯 8점 드림,8,1
116,잔잔하다 나는 좋았다 시간상 원작을 다 담지는 못했지만 해치지도 않았다 개인적으로 종편 같은데서 드라마로 제작했으면,8,1
117,굿,8,1
118,꼭 보세요,10,1
119,우와~ 너무재밌음. 그릇이 없어졌데욬 그리고 비데로 똥닦깈,10,1
120,.,6,1
121,새우깡ㅋㅋ,10,1
122,재밋는데 결말이 너무 허무,7,1
123,넋놓고 보다가...웃기려는 오바액션없이 다시봐도 웃기는...노래방코너 압권,8,1
124,볼만합니다.,8,1
125,아~~ 생각없이 보다가 빵터졌네 난 이런 스토리 영화 너무좋아~^^ ㅋㅋ,10,1
126,그냥저냥 시간 보내기정도 영화,6,1
127,영화로는 웹툰의 매력을 살릴수 없는 스토리.  그래도 보다보면 뭔가 빠져듦 배우들의 힘인듯,8,1
128,훈훈해서 10!,10,1
129,처음은 재미있었지만 뒤가 밋밋함,7,1
130,재밌어요. 집콕 시기에 볼 만한 영화!,10,1
131,끝에 전개가 너무 순식간이었고 피식하는 장면들도 몇 개 있었지만... 그렇게 재밌진 않았다. ,5,0
132,박정민 연기가 돋보인 영화,8,1
133,진짜 짱 재미짐!강추!!,10,1
134,짜장면 배달하고 온 김경덕 나올때 엄청 웃었어요 저 배우가 누군가 눈여겨 보게 되네요 박정민 배우 맞느라 고생 많았네요 가볍게 시작해서 몰입감 좋아요 소통이 없어도 가족은 가족인가 봅니다,9,1
135,"최성은이란 멋진신예를 알게해준 영화. 청춘들의 뒤죽박죽 인생기! 박정민 양아치 연기 쩔고, 마동석과 정해인의 연기변신! 원래 자기똥은 자기가 닦는거야! 니문제는 니가 해결해! 박정민 깡만 최고!^^ 마지막 염정아 일격 멋짐!^^♡",7,1
136,내용이 평이할수도있다 또한 많이 보던 레파토리일수도있다 허나 한국영화의 특징인 생활속의 잔잔한 감동이 특징을잘 살렸고 때론 벅찬감정이나 혼란한정세들이 다소 감정소모적인 관람이 많을수있는데 그냥 가볍게볼수있어서 좋았다  박정민의 연기력에 놀랐고 이 배우는 딱 십몇년전의 류승범을 보는듯하다 또한 동전을 자꾸흘리는 김경덕이라는 새로운 인물을 찾은듯해서 더 좋다 개인적으로 좋아하는 윤경호씨 나와서 참좋았던 영화  뭐늘 그렇지만 마동석씨의 임펙트란ㅋㅋ,10,1
137,마동석존재감이란ㅋㅋ.... 그리고 주인공  드럽게   맞고다님,10,1
138,좋아요 유쾌하고,10,1
139,잘 만들었어요...연기도 모두 좋구 ..케릭터의 생동감도 짧은시간 잘 나왔네요..굿~~~,8,1
140,시나리오 그냥그런데 연기들이 진짜 찰떡!!!!!!!!,8,1
141,생각보다 재밌음,9,1
142,해피엔딩 아니여도 해피엔딩,10,1
143,재밌게 봤습니다.,10,1
144,이런 분위기 영화 완전 사랑합니다 !! ,10,1
145,20세이상 자녀들과 함께 봐도 좋을 영화. 기대 이상이었어요. ,9,1
146,이영화는 포스터가 마이너스 포스터만 보고 딱 재미없겠구나 했는데 의외로 재미있고 훈훈한감동도있다 러닝타임을 좀 길게하고 후반후 극적은전개만 있었음 대박칠영화인데  조금아쉽ᆢ 출연배우들 연기가 참 맛깔난다,8,1
147,재밌네요 워낙 연기력이 좋은 배우들 틈에 정해인도 연기를 잘하는 배우구나를 발견! ,9,1
148,"뭐를 말하려고 하는지는 알겠으나, 여러 개의 사연들이 너무 산만하게 전개돼 이것도 저것도 아닌 영화가 된 듯. 박정민 연기 때문에 그나마 별 2개.",4,0
149,좋은 영화네요.,10,1
150,넷플릭스에 있어서 봤는데 영화관에서 보기보단 딱 넷플릭스로 보기 좋은 영화에요. 기대한것 만큼 코믹한 영화는 아니었으나 킬링타임용으로 괜찮습니다. ,8,1
151,ㅋㅋ웃겨요 어이없게 웃겨요 허무맹랑 하지만 찐함도 있네요  각자 인생을 각기 다른 그릇으로 산다는걸 새삼느끼게하는 유쾌해요 ,8,1
152,간만에 훈훈한 영화.,10,1
153,넘 재밌게 봤어요~~,10,1
