,document,score,label
0,재미있게봤어요. 뻔한 스토리이지만 볼거리도 풍부하고 윌스미스 연기도 재미있게잘하고 공주도 엄청 예쁘네요.  한번 더 보고싶을정도예요 개인적인 의견이지만 강추합니다.,9,1
1,넘 잼나요,10,1
2,"이 영화 덕분에 제가 ‘영화’ 라는 세계에 눈을 뜰 수 있게 되었어요. 저한테는 정말 소중하고 좋아하는 영화로 남겨져 있어요. 알라딘을 보고 친구와 얘기를 자주하고 관심사가 너무 맞아서 엄청 좋았고 재미있었는데 그 친구가 전학을 가서 이젠 만나지도 못하죠. 제가 쓴 이걸 보고 절 찾아와줬으면 진심으로 좋을 것 같아서 이렇게 남겨요..!! 그 친구랑 대화를 안하고 이제 서로 연락할 통로조차 없어서 매일 밤 힘들어서 운적도 있어요. 걔가 살아있기는 한지, 나를 기억은 할지.. 그 친구가 정말 많이 보고싶어요. 1000만 충분히 넘을 실사영화고 사람마다 다르겠지만 저한테는 너무너무 좋았습니다. 캐스팅 부터 ost까지.. 아그라바에 발을 들이는 순간 싱그러움에 못 빠져나오실걸요? 김00, 보고싶다 만나서 말하고싶다",10,1
3,"뮤지컬 영화인데다가 디즈니라서 초반엔 좀 별로라고 생각했는데, 지니가 등장하면서부터는 몹시 흥겨웠다. 윌 스미스가 왜 일류배우인지 알 것 같았다. 능청스러운 연기가 아주 매력적이었다.",8,1
4,가이 리치 + 디즈니 실사,8,1
5,음악 좋고 다 좋다,10,1
6,꿀잼,10,1
7,후반이 조금 지루하다,6,1
8,귀엽네요 ㅋ,8,1
9,We would only ever be as happy as our least happy subject.,7,1
10,이 영화는 지금은 안 되지만  4d  영화로 봐야 진수를 느낍니다 인생 최고의 영화입니다,10,1
11,이영화 절대강추 이다,10,1
12,최고,10,1
13,디즈니 사랑합니다,10,1
14,4d로봐야 제맛,10,1
15,와 이게 벌써 1년 되었네~  산만하긴 하지만  유쾌하고 기분좋은 영화 ost는 덤~~  이런 영화들좀 마니 만들어라~~  되도 않는 이상한 영화 그만 만들고!!!!!!!!!!!!!!!,9,1
16,어렸을 적 애니메이션으로 알라딘을 봤었는데 그 추억의 향기를 피어오르게 해주는 영화였습니다.  노래도 너무 좋고 스토리도 좋습니다. 참고로 노래 너무 좋아서 핸드폰으로 가끔씩 듣습니다.,10,1
17,.,8,1
18,"알라딘, 지니, 자스민의 흥미롭고 유쾌한 뮤지컬",7,1
19,재밌었어요~!,10,1
20,괜찮았네여 스토리만,9,1
21,현란하고 날렵하게 야마까시하는 알라딘에...정신 산만...따발총 램프 요정 지니(예상했던 것보다 비중이 많다)라니...엄청 화려하고 칼라풀한 고전영화 같은 빈티지한 실사판 알라딘...알라딘+뮤지컬...단조롭게 느껴지던 스토리 전개는 좀 아쉽...,7,1
22,최고의 영화.,10,1
23,원작 애니처럼 아기자기한 맛은 없지만 내용면에서는 원작을 뛰어넘는 큰 메시지를 담고있어서 좋았고 윌스미스가 다한것 같다.,8,1
24,예전엔 자스민만 보였는데 지금보니 알라딘 이야기도 좋았고 엔딩까지 좋았다 ,10,1
25,디지니는 어떻게 해도 날 실망시키지 않는구나 배우분들도 너무 잘 어울려서 영화 처음부터 끝까지 꽉 찬 그런 영화,10,1
26,오늘 봤는데 정말 기대한만큼 재밌진않았고 그냥 볼만했어요,7,1
27,원작의 단점을 보완했지만 제일 완벽하게 실사 영화로 구현해냈다. ,9,1
28,너무 감동스럽고 재미있어요. ,10,1
29,재밌고 이쁘다,10,1
30,초반에는 집중력도 생기고 흥미진진했으나 지니가 나오면서 쓸데없는 대사나 유치한 장면이 너무 많아지면서 스토리가 부실해졌음.,8,1
31,기대보다 별루였다 지루했고 지니만 보임지니원맨쇼,6,1
32,꿀잼,10,1
33,"디즈니 영화다운 기본기는 충실. 권선징악에 약간의 반전이 있었지만, 스토리나 편집은 아쉬움이 남는 평작.. 주인공들의 매력도 그닥..  ""Speechless""노래와 보이는 것만 바라보려는 세상사람들에게 던진 교훈은 굿",7,1
34,배리 굿 내인생의 영화 ~~~~~~~~~~~~~~~~~~~,10,1
35, 최고예요 ㅎ,10,1
36,내 인생 영화,10,1
37,1000만,10,1
38,뻔할것 같아서 안보려고 했는데 펀하게 재미있네. 디즈니영화는 권선징악 해피엔딩이 꿀맛.,9,1
39,2달 반 동안의 기다림이 헛되지 않았다. 무엇보다 speechless 는 정말 디즈니 ost에 역사를 다시쓰는 명곡이다!!!,9,1
40,디즈니 만화동산~ 그 때 그 추억. 다시 돌아가고 싶다. 만화보다 한참 못미친다. 그래도 시도는 좋습니다~,6,1
41,스토리도 짱이고 ost도 짱이예요! 기회가 되면 다시 보고싶네요.,10,1
42,딱 디즈니. 영상미랑 자스민 지니 빼곤 그닥,6,1
43,잘 봤어요.,10,1
44,ㅎㅎ 재밋게 밨어요^^,10,1
45,좀 더 보편적이고 고급져진 인도영화 느낌,7,1
46,모두가 다 아는 그 얘기. 지니가 하드캐리 #씨9네마,7,1
47,재밌네~~,8,1
48,약간 지루하긴  하지만 재미있다,9,1
49,넘 재미남!,10,1
50,"노래,배우 다 좋아요!!!★",10,1
