,document,score,label
0,아버지를 볼 수 있는 시간이 제게도 주어졌으면 하는 생각이 드네요. 잔잔한 영화. 잘 봤습니다.,10,1
1,따뜻하고 아름다운 영화~ 아버지와의 마지막 산책..결국 눈물 터짐ㅜㅜ,10,1
2,별점 10보다 더 많이 주고 싶다.. 삶과 사랑에 대해서 이렇게 따뜻하게 이야기할 수 있을까..,10,1
3,제목이랑 포스터만보고 남녀간의 사랑영화라고 생각하고 그냥 나중에 시간되면 봐야자 하고 지나갔었는데 주변 평이 괜찮아서 봐야지 봐야지 하다가 이제야 봄.  잊지못할 영화 하나 추가.,10,1
4,영활 보긴했는데 오래되서 기억은 안나지만 여운이 남고 만족할만한 영화였던건 기억남.   맨날 엽기 호러 치고박고 좀비나오는거만 보지말고  남자들도 이런영화 한번씩 봐줘라 절대 지루하지 않고 재밌으니까,9,1
5,"로맨스 영화인줄 알았는데 깨우침과 반성을 느끼게 해주는 영화. 가족의 소중함을 일깨워주고, 시간에 대해 진지한 고찰을 하게 해준다. 하루하루를 소중하고 감사하게 여기며 최선을 다해서 살아가자. 나에게 주어진 오늘을 즐기면서...",10,1
6,로맨스를 넘어  인생의 치유로  향하다.,9,1
7,이토록 아름다운 평범한 나날들이여.,10,1
8,뻔한 시간여행자 얘기가 아님,10,1
9,"우리는 극중 주인공과 달리 시간여행을 할 수 없는 존재다. 그러니 무엇을 하든, 어디에 있든, 누구를 만나든 매순간 최선을 다해 살아야만 한다. 영화가 보여주려고 한 건 역설의 메시지이다.   하고 싶은 일이 있으면 하고, 표현하고 싶은 게 있다면 당장 말하라. 안해보고 후회하는 일들이 내 안에 얼마나 많은가?!",10,1
10,"이건.. 인생영화다. 강.추.  이 영화를 보고 '깨닫음'을 '울림'을 받지 못했다면 둘 중 하나다. 정말 자기 인생을 바람직하게 잘 살고 있던지, 아님 영화를 집중해서 다시 보던지. ㅎ",10,1
11,자상한 아버지의 모습이 부럽고 인상깊다.보통의 이나라 아버지들은 밥상머리에서 훈계하는게 전부 아닌가? 누구나 꿈꾸는 평범하지만 특별한 가정..,9,1
12,나비효과와 비슷하면서도 다른 느낌의 영화였네요. 한 번쯤 해봤을 상상이 영화화되니 그 능력이 부럽기도 하고. 근데 또 한편으로는 그런 능력이 있으면 오히려 인생이 재미없어질거 같기도 하고.   마지막즈음엔 뭉클하기도 하고 또 여러 생각이 들게 만들어 준 영화였어요. 재밌게 잘 봤어요 ^^,10,1
13,언제보아도 행복해지는 영화,10,1
14,오늘 하루 알차게 보내자는 교훈 좋네요,9,1
15,"왜 이제서야 봤을까? 남자의 시간여행이라는 설정이 왠지 완벽한 여자와의 사랑을 이루기위해 어쩌고 하는 이야기일 것 같은 내 선입견 때문이었던 것 같다.  내 인생에도 지미가 있었고, 내 인생에도 맷데이먼이 있지.  맷데이먼과 함께 한번밖에 주어지지않은 평범한 나날들을 그저 즐거이 살아가고 있다는 사실에 행복하다.  이런 행복을 알려줘서 감사한 영화.",10,1
16,"인생 영화. 부모와, 연인, 자식과 친구, 동생, 모든 것이 담긴... 인생이 담긴 영화.",10,1
17,너무 좋은 영화,10,1
18,보고 또 봐도 좋은 영화 억지스럽지 않고 잔잔하지만 여운이 오래 남는 나도 시간을 되돌릴 수 있다면 좋겠다 ㅠㅠ,10,1
19,아이들에게도 보여주고싶은 영화. 재밌게 봤어요. 결말도 훈훈!,9,1
20,내 인생영화..,10,1
21,나의 특별하면서도 평범한  마지막  날이라고 생각하며   완전하고 즐겁게 매일 지내려고 노력할 뿐이다.  우리가 할 수있는 최선은 이 멋진 여행을 즐기는  것 뿐이다.,9,1
22,볼 때 마다 하루의 소중함을 일깨워 주는 명작.,10,1
23,재밌다,10,1
24,어딘가 허술한 구성과 전개지만 결론이나 주제는 매우 좋다. 설득하지 않으면서 납득하게 하는 감독의 연출이 훌륭. 남주인공의 깔끔하고 매력있는 연기가 영화를 산만하지 않게 해준다. 로맨틱코미디가 아닌데 포스터가 영화를 좀 깎아먹은 느낌. ,6,1
25,나도 아버지 보러 가고 싶네,10,1
