,document,score,label
0,다들 평점 왜 낮게주는지 모르겠네요. 박성웅연기 왜 저렇게하냐하는데 영화에 딱  맞는 그런연기 잘한거같은데 모르겠네요 보는눈없는듯  그냥 영화가 심오하거나 감동있거나 하는영화가아니라 웃으면서 그냥가볍게보는영화로서 정말 잘만들어진것같습니다. 가족들이랑 재밌게 생각없이 웃으면서  순식간에 끝나있더라구요. 요즘 이런가벼운영화가없었는데 나와서 정말좋네요. 액션이딸린다 하는데  그럼무협 영화를보세요  코미디로 분류되어있는데 액션이 약하다고하면 액션을봐야지 센스없는 사람이 많네요.  재밌었습니다.정말루,9,1
1,재밌음ㅋㅋㅋ 킬링타임용으로 굿,10,1
2,엄정화님이 나오는 영화는 마음이 따뜻해져여 외로움도 달래지구요  참 좋은 배우라는 생각이 드네여,0,0
3,간만에 이무생각없이 시원하게 웃을 수 있는 영화,10,1
4,집 티비로 봤는데 넘 웃기고 잼나요 김남길 대박~ㅋㅋㅋ,9,1
5,생가보다 잼나네요  아머 생각없이 볼만함  유치한맛에 보는거죠 ㅋㅋ,10,1
6,엄정화는 연기도  잘해 좀더  웃겨줬으면  하는  아쉬움이  남네요,7,1
7,생각보다 재밌게 봤어요 ~~,9,1
8,기대안하고봤는데 재미있다 ㅋㅋ 사회풍자도 있고 감동도있고 반전의 반전 ㅋㅋㅋ 김남길 ㅋㅋㅋㅋㅋㅋㅋ,9,1
9,특별한 내용은 없지만 재밌어요  나도 하와이 가고 싶다 ㅋㅋㅋ,10,1
10,뜻밖의 유쾌 얼마나 웃엇나 (20.9.30 vod),10,1
11,돈 줘야 볼 영화,3,0
12,화와이로 촬영 가고 싶어서 만든 영화인줄... 아무리 B급 코미디라도 너무 유치하고 억지스러워서 티비로보다가 채널돌림.,2,0
13,너무나 재밌는 코믹영화... 잔인하지 않아서 특히 좋은 가족영화... ⟨다.악.구⟩처럼 쓸데없이 사람 죽이지 않아서 좋은 영화!,10,1
14,불후의 명작 클레멘타인급인 영화!  스카이라인급 씨지와 드래그미투헬급의 짱짱한 스토리  우리 기니피그가 이 영화를 보고 관절염이 다 나았어요!  시대를 역행한 최고의 영화  꼭 보시길 바랍니다  나만 볼 수 없는 영화 강추합니다,10,1
15,국제수사보다 났다!,6,1
16,헐  극장에서 봤으면 돈 아까울뻔    진짜 헐 ~~~이다,2,0
17,영화가 왜 망했는지 알겠네요..감독이 문제인지..작가가 문제인지 둘다 문제인지..,7,1
18,"왜 흥행에 실패했는지 궁금했는데, 박성웅의 민망한 오버가 가장 결정적이었지만 시나리오와 연출 등 전반적으로 엉성. 하이재킹이 소재인데 분위기에서 긴장감이 없고, 코믹이 팍팍 터져야 하는데 웃음을 유발하기엔 너무 유치하고 어설픈 설정. 감동도, 웃음도, 액션도, 스토리도 없는, 엄정화만 고생한 영화.",1,0
19,엄정화 대단... 진짜 고생했겠네~^^;;;;,8,1
20,재미있는 영화 인정합니다,10,1
21,웃겨요 명절에 가족들과 보기 좋아요 ~~~^^,9,1
22,재미있게.봤어요. 엄정화님 나오는 영화 좋아해요.  스토리도 즐겁게.보기 좋고 비행기 타고싶은 생각도 드네요 ㅋㅋ 박성웅밈 그외 모든 배우들 다 열연해서 보기 좋았어요,9,1
23,인간적으로 이런 코미디는 이제 그만 만들자... 보는동안 시간 아까워 죽는줄 알았다,1,0
24,비싸다는거 뿌리치고 온 가족이 조금전 관람했네요. 정년퇴직하고 갑자기 감독을 할수 있다는 자부심이 드네요 저도 러시아 선상의 반란인가 그 정도 지식은 있는터라.,10,1
25,왜 저런 영화 마들지?,2,0
26,다시 보고싶지는않다.,6,1
