,document,score,label
0,내 소원은 예매하기전으로 돌아가는것...,1,0
1,1.. 신파가 2번이나 나오지만 우린 안슬픔 2. 아마존 전사들은 애기를 어떻게 낳을까? 3. 1984년도인데 1940년대 사람이 제트기 작동법을 너무 잘암. 4. 투명화된 비행기는 레이더에 안잡히는데 불꽃축제의 불꽃은 비행기에게 튕김.  물체는 존재하나 레이더에는 안잡히는 앞뒤가 안맞는 상황 5.이집트아이 구할려다가 실패했지만 결국 악당차들이 아이들을 피해감. 악당 착함. 6.스토리도 뻔하지만 액션씬도 별로 없음. 어두운곳말고 좀 밝은데서 싸웠으면함. 7. 소원은 접촉을 해야하는데 비대면으로도 가능하게됨. (안봐도 소원을 이뤄줌 혜자임) 8. 결국 나는거 비스므리하게되는데 투명화 나는거를 현대배경인 슈퍼맨과있을때는안씀 9.소원을 이뤄주면 제일 소중한것을 잃게되는데 원더우먼 지 능력이 제일 소중하긴 했나봄.,1,0
2,두시간 넘게  참은 내자신이  한심하다 첨부터 끝까지  유치하게 만든  일관됨은 칭찬한다,1,0
3,영화 수준도 1984....,1,0
4,기대 하면서 봤는데.. 기대가 넘 컸나요... 졸다..깼다가..졸다.. 깼다가..,3,0
5,"금방 영화를 보고 왔습니다. 이제 D.C.는 어떻게 해야하나.... 아쿠아맨만 남은 것 같습니다.. 원더우먼 1편의 퀄러티를 기대하고 봤으나, 스토리가 그리 세밀하게, 짜임새 있지도 않고 그래픽 또한 약간 엉성한 모습이 보이더군요. 많이 아쉽습니다. 원더우먼 1편의 강렬한 임팩트를 기대하시는 분이시라면 실망을 많이 하실 것입니다. 넓게는 중학교 2학년, 쫍게는 초등학생들에게는 어느 정도 어필이 되는 작품 이네요..",5,0
6,그냥 딴말 안하고 쓰레기 아빠랑 아들이랑 인종 다른거 부터 거슬려 중국 자본이야? 아들은 왜 아시안이지? ㅡ.ㅡ,2,0
7,해외에서이미 봤는데 손발이 오그라들어서 기어나와야함.우뢰매의추억이  떠오름.같이본외국인 친구도 너무실망,1,0
8,보는 자에겐 졸음이 밀려들고 울화가 치미는 영화.형이 최초로 평점응 달게 한 영화.댓글알바들의 위력을 실감한 영화.예고편 액션이 전부인 막장액션 영화.스토리 허접한데 말빨로 두 시간 때우는 영화,2,0
9,실제 1984년도에 개봉했으면 초초초대박이었을 전개와 스토리.  '내가 지금 1984년도에 살고 있다' 라고 최면을 걸고 보면 몰입이 될 수 있을 것 같다.,4,0
10,눈물없이 볼 수 없는 영화입니다....하품을 많이 해서...,4,0
11,최악중에  최악이다 2시간반 시간아깝다..,1,0
12,요즘 개봉 영화가 거의  없어 원더우먼 개봉일만 기다렸는데. 너무 지루해서 혼났습니다. 그리고 영화가 뭘 보여주고 싶었는지 알겠지만. 전체적으로 너무 산만하내요,6,1
13,역시 DC,1,0
14,참네 하다하다 원더우먼이 날라다니네 ㅜㅜㅜㅜ,2,0
15,왠만한 히어로물은 재미로 거의 다 보는데 이건 정말 너무 재미없다 그리고 CGV는 화질도 84년도로 돌아갔나보다,1,0
16,난생처음으로 영화 보다가 중간에 나옴...,1,0
17,음 .. 빵점도 높은 점수..,1,0
18,다이애나는 여전히 예쁨. 내용은 개연성이 너무 떨어짐.,5,0
19,이거 방금 보고왔는데 조낸 노잼 ♪♬♬♪♪~ 왠만하면 글 안남기는데  한줄평 난 이 영화를  포기하겠오 ♩♩,1,0
20,너무재미없다   욕먹을듯 관객에게,1,0
21,기대보다 못했다,2,0
22,역대 DC통털어  젤재미없음 80년대 어려서 티비시리즈로  본것보다 볼게 더없더라,1,0
23,"2시간40분을 어떻게 보나 머리 아프면서 봤음 노잼 하이라이트도  별로 액션씬도 유치함 보다가 잠들어 보기 처음 너무 재미없어서, 중간에 나올려고 했었음 돈과 시간이 아까워 보기도 처음",1,0
24,노잼.. 액션도 난감하고 내용도 별로고 빌런은 매력적이지도 않고 시간만 무지하게 늘여놓은 영화,4,0
