,document,score,label
0,영화는 영화일 뿐. 이라고 생각하며 봤는데.  저만 김대중대통령을 떠올린게 아니었네요.  배우들 연기좋았어요.  진지한역도 괜찮네요.,8,1
1,"사람사는 세상!!!  김대중대통령님도 생각나고 노무현대통령님도 그립고....  그리고  지금 우리의 대통령님 문재인대통령님이 생각나고...  배우분들 모두 연기는 👍👍👍 보면서 웃고,  울고  좋은 영화 잘 봤습니다!!",10,1
2,배우들 연기력 10점드렸습니다 김대중 대통령의 인생을 다시 한번 생각하게 되었네요,10,1
3,제주 오늘13시.... 꽉찬극장(우리포함 8명쯤 ㅎ) 웃음..눈물..흐뭇..시간가는줄  모르고  잼있는데 평점이 왜케나자?  그러게요 (짝꿍)  빠른 코로나 종식을 비라며~,10,1
4,김 대 중  노 무 현  두 분의 대통령의 역사를 재미있게 담았네요. 대통령이 되서 목욕탕에 문을 열고 들어오는 모습에  노란넥타이가 눈에 들어옵니다.  그 순간 미소가 피어오르지만 눈가가 촉촉해 지더군요.,9,1
5,배우들 연기 최고!! 초반엔 깔깔 웃다가 뒤에서 펑펑 울었네요 진심 최고입니다,10,1
6,김대중대통령님 보고싶어졌어요 울컥했구요,9,1
7,배우 정우  기다렸어요  그리고 응원해요,10,1
8,"예나 지금이나 대통령해서 한나라를 휘어잡을라고 무고한 시민들에게 총질하고.. 북한에 돈주며 미사일 쏴달라하고..  지들과 다르다는 이유로 걸핏하면 빨갱이, 좌파라 외쳐대는것들이 정작 진짜 빨갱이짓 하고 다니는...  그렇게 대통령만 되고나면 온갖 편법과 불법으로 결국엔 교도소나 들락거리고... 그런 출신당이 어디 출신이지? 당명만 바꾸면 뭐하냐 정작 중요한 인간들이 안바뀌는데...",10,1
9,평점 알바 풀었다면서 영화도 안보고  평점테러 하는 인간들은 뭔지. 그들은 알바 아니고 직원인가?,9,1
10,정우님 !!!!!!   너무 보고 싶었어요ㅠㅠ;;;; 빨리 영화관에서 만났으면 합니당... 정우님 화이팅!!!!!★★♥♥,10,1
11,한참 영화를 보고 있는데......  김대중 대통령이 보고 싶어졌다......,7,1
12,영화 재밌어요. 오달수 정우 두배우의 주연연기 좋습니다.,10,1
13,런 보러 갔다  이웃사촌하길래 이웃사촌으로 티켓구입하고  관람했는데  많이 웃고   감동적이고 생각지 않게  맘 뿌듯한 영화 봤습니다.,10,1
14,정우 배우님  영화에서 자주 보고싶습니다 ~^^,10,1
15,영화는 김대중과 김영삼의 이야기를 절묘하게 각색! 툭하면 빨갱이로 몰아 50여년 넘게 정권을 잡았던 수구권자 집단의 야욕과 그 야욕에 놀아난 어느 지역 동네 사람들의 이상한 애국심을 사실적으로 잘 그린 영화! 아직도 그 툭하면 빨갱이로 몰아가기 프레임을 가지고 조.중.동과 연합하여 이땅의 시민들에게 조롱하고 각색하고 그시절부터 지금까지 살아남은 어느 동네 집단 사람들이 이영화를 본다면 어떤 생각을 할까 고민해보기 좋았던 영화. 그리고 저항했던 시민들과 의사들이 있었기에 진보된 우리나라에서 아직도 웃지못할 블랙코미디.,10,1
16,아  내가 좋아하는 배우들 싹다 나오는데..... 극장을 못가본지가 얼마냐  이렇게 좋은 배우들이 나와 연기하는데 못보다니 오달수 김병철 김희원 염혜란 김선경 지승현 배우님들  ... 뭔말을 더할까 ..화이팅입니다,10,1
17,배우들이 살린 영화. 아직도 진행중인 민주주의 실현에 대한...21 세기 이후 많이 바뀌기는 했지만 썩은 뿌리는 쉽게 사라지지 않으니..,10,1
18,김대중 전 대통령님의 일화를 모티브로만든 영화. 집에서 봣는데 정말 볼만햇음~재밋어여~ 반드시보시기를 강추!!,10,1
19,정우 괜찮다,10,1
20,좋아요,10,1
21,"코미디가 좋겠다 싶어 본 이웃사촌  근데   배우들의 연기도 좋았지만  스토리가 배우 좋았고  80년대  시대극으로 회상  ,감상 , 웃음,감동을 선물해주는 좋은 영화 다 지금의 민주주의를 생각하게 되는 시간도 되었다~^^",9,1
22,"굉장히 재미있게 봤다. 앞부분은 옛날식 개그와 몸개그로 상당히 경쾌한 느낌을 준다. 요새 애들은 모르겠는데 나는 상당히 많이 웃었다. 끝부분으로 가면서 좀 신파로 흐르지만, 생각할만한 대사 도 있었고 개인적으로는 좋았다. 마지막 결론은 좀 그렇지. 트럭은 좀 억지라고 생각한다. 결론을 좀 성급하게 끝내려 고 한 부분은 아쉽다. 영화의 대본 자체를 상당히 재미있게 잘 쓴 영화 같다. 오달수씨가 코믹 연기뿐만 아니라 이런 연기도 잘하는구나 라는 생각을 들었다. 사생활은 모르겠고, 오달수라는 배우가 연기를 잘한 것 같다. 다른 사람이 물어보면 보라고 추천하고 싶다.",8,1
23,잔잔한 웃음 한 스푼에 또르르 눈물 한 스푼을 더한 80년대 다방커피같은 영화. DJ 전대통께서 실제 겪으신 고초의 1/10도 안 푼 것 같은데도 목이 메어오는 그 시절..  영화속 그들처럼 빨갱이 입에 달고 다니는 이들인지 그 시절을 그리워하는 것인지 어이상실의 평점테러. 유치하고 졸렬하다.  좌우를 가르는 영화가 아닌 실제 있었던 일을 극적으로 만든 영화일 뿐이다. 실제가 더 드라마틱해 보이기도 하지만.. 나도 8점 정도지만 평점테러를 생각해서 만점.,10,1
24,좋았어요~~,10,1
