,document,score,label
0,"먼저 이 작품의 감독은 전 작인 업그레이드의 연출을 했던 리 워넬 이고 연출력은 솔직히 업그레이드 보단 살짝 아쉬운 감이 있지만 무난한 소재에 무난한 연기력의 배우들을 가지고 저예산으로 잘 만든 작품임! 그리고 다른 관객들의 평 중에 여주의 페이스 가지고 자꾸 뭐라고 하시는데, 미국도 여주가 잘생기고 예쁜 배우들 선호하지만 연기력 중심으로 뽑은게 역력하고 자세히 보면 일부러 살쪄 보이게 몸을 만든 티가 남! 대사에도 임신했다는 단어가 나옴! 그리고 자세히 보면 여주가 밉상이 아님을 알 수 있음! 나무의 가지만 보시고 나무 전체 못 보신 듯 함! 어쨋든 재미 없게 보신 분들 평도 존중하지만 최소 여성을 얼굴로만 평가 하지 마시길!",8,1
1,재밌게 잘 봤어요~,9,1
2,학생인데 밤에 집에서 구매해서 봤습니다. 전 너무 재밌게봤고 겟아웃과 어스를 이은 훌륭한 공포영화라고 생각합니다. ,10,1
3,여주가 막판 갑자기  전사가 되고 악마는 막판 갑자기 저능아가 됨.,2,0
4,리 워넬의 특유의 감성이 묻어있는 영화.,7,1
5,공포라기보단 걍 스릴러.. ,6,1
6,배우의 연기와 분위기 등만으로 보이지 않는 투명인간에 대한 공포를 느끼기에는 한계가 있다.,6,1
7,"섬뜩한 남친, 주변에서 늘 그가 느껴진다.",4,0
8,최고.. 스토리 .스릴만점.. 간만에 소름끼치는영화는 오랜만이다. 수상작 해도 될듯,10,1
9,"처음엔 가볍게 생각했는데 연기력과 스토리가...저는 좋았습니다 잔잔한 사운드에, 집요함에 사이코패스가 뭔지 제대로 느꼈습니다",10,1
10,문좀 닫고살아라 인간들아 ㅋㅋ문닫으면 다 끝날것을 ㅋㅋ,1,0
11,"시작은 강렬했다. 쫄깃한 긴장감이라는 말로 시작된 스릴러는 SF를 만나 호러스럽더니 이내 엉성함으로 변했다. 공중에 붕떠서 사람을 해치는 칼은 CCTV에도 찍혔을텐데 주인공은 소리만 지르다 살인범이 되어버린다. 그러더니 병원에선 느닷없이 투명인간이 히어로 액션을 찍고, 경찰은 그 와중에도 주인공만 쫒는다. 그러다 어찌어찌 도달한 결말은 그저 웃음만 나올 뿐. 강렬한 연출 하나로 잘 끌어가긴 했지만, 각본도 연기도 그에 미치지 못했다. 주저리 주저리 단점만 나열해 놨지만, 그만큼 애정이 가고 아쉬움이 남는 작품이라 더 그렇게 느껴졌는지 모르겠다. 근래 나온 호러 스릴러 중엔 몇 안되는 추천 할만한 작품이기도 하다.",7,1
