,document,score,label
0,"인생영화. 총 7번 관람한 영화다.  놀란 감동의 끝없는 상상력과 무한한 창의력을 온몸으로 느끼며 빠져들 수 있었던 인생 최고의 영화.  배우들의 연기, 영화의 ost, 절묘한 감독의 편집까지 부족한 것이 없는 최고의 영화였다.  아리아드네가 거리를 반으로 접고 거울을 맞대어 새로운세상을 창조하는 장면, 아서가 무중력 상태에서 자신의 고지식한 내면을 버리고 상상력을 발휘해 피사체들과 싸우는 장면, 1단계 2단계 3단계, 그리고 림보에서의 상황이 절묘한 편집으로 잠깐잠깐씩 스쳐 지나가는 마지막 장면, 코브가 림보에서 사이토를 찾고 비행기에 돌아왔을 때 부터 집에 돌아가 아이들을 만날 때 까지 울려퍼졌던 time ost, 영화 곳곳에 숨겨져있는 결말에 대한 암시와 디테일, 이 외에도 많은 요소들이 나의 n",10,1
1,IQ 120이하는 3번 연속보기를 권합니다,9,1
2,테넷아. 뭘 이해해야 느끼지,5,0
3,미친 상상력. 쓸데없는 총격전만 빼면 10점이었다.,9,1
4,지렸다,10,1
5,.,8,1
6,감독님 사랑해요,10,1
7,그냥말이필요없다ㅡ그냥보면된다ㅡ놀라움그자체!!,10,1
8,이해하기 어려울 뻔 했다. 머리가 나빴거든... 재미있게 봤다.,10,1
9,와... 11년전에는 뭐하다가 이제야 보았을까....,10,1
10,안본눈삽니다..,10,1
11,자신의 무의식이 만들어낸 가짜 아내에게 진실을 고백하는 장면은 이 영화에서 좀 작위적인 부분이다. 그렇지만 잘만들었다.,8,1
12,.,8,1
13,어렵다 어렵다해서 집중해고 봐서인지 어렵긴 개뿔 꽤 볼만한 영화다 아쉬운점은 (스포주의!) 뭔 비행기에서 코브가 물에 수면제약을 넣는 장면에서 어차피 스튜어디스도 포섭했으면 스튜어디스가 애초에 물을 내줄때 약을 타고 주면 될 것을 굳이 위험을 감수하고 디카프리오가 했냐는 점과 마지막에 맬이 피셔의 위치를 너무 쉽게 왜?? 알려줫어야 하는 의구심이 든다 마치 칼같은 킥의 타이밍을 알고 피셔나 아리아드를 도와주는 것 처럼 ㅋㅋ 암튼 오픈결말이라 감독이 꿈인지 리얼인지 뭐라 했는지 모르겠으나 애들 얼굴이 보였으면 리얼세계일 확률이 아주 높다,8,1
14,나 꿈꿀때 강제종료 하고 나올 때 있는데 ㅠㅠ 그걸 또 꿔  가끔,8,1
15,2탄이 나오면 좋겠는데..,10,1
16,나와 무의식 나의 무의식 과 나의 용서.,10,1
17,인생영화,10,1
18,이해불가 ,10,1
19,인간의 상상력은 어디까지 인가? ,9,1
20,거장의 야망,8,1
21,좋다,9,1
22,제발 이건 꿈이 아니기를......,9,1
23,"호접지몽을 드라마틱하게, 넘나 완벽하게",10,1
24,개꿀잼,10,1
25,첫사랑 못헤어나는 남자들이 볼 영화,7,1
26,결말에 대하여 여러가지 생각을 해 보게하는 놀란감독,10,1
27,재개봉 놓치면 안되죠. (크리스토퍼)놀란스러운  놀람의 연속~!!,10,1
28,강추강추,10,1
29,.,0,0
30,뭔 말이 더 필요할까,10,1
31,이런 영화는 영화계의 발전을 돕는다. 놀란의 테넷 기다리며 오늘 보러 간다. 역시 명작은 극장에서 봐야 제대로지. 다만 아이맥스인데도  아날로그네. 2010년작이란 걸 잊고 있었다. 요새 나왔어도 괜찮았을 영화.,8,1
32,시간이 지나 재개봉 때 다시 봐도 이만한 상상력과 영상미는 손에 꼽힐 듯,9,1
33,재밌었음.,9,1
34,상상력의 결정판!,9,1
35,이것이 10년전 영화라니,10,1
36,처음 부분이 약간 지루한감이 있었으나 점점 갈수록  흥미진진해지고 소름이 돋는다 정말이지 최고다,8,1
37,인간의 영화적상상력에 감탄!!!!또 감탄!!!!!! 크리스토퍼 놀란은 천재다. 디카프리오가 함께 해서 더 좋은,10,1
38,"할리우드 영화 끝판왕. 인간의 상상력 끝판왕. 배우들의 연기와 OST, 편집 등 모든 것이 완벽하지만 가장 놀라운 것은 역시 시나리오! 영화 관람 후 이것이 영화고 이것이 인간의 상상력이고 이것이 우리가 할리우드 영화를 따라갈 수 없다는 것을 깨달은 영화.",10,1
39,다시 보면 더 재미있다.,9,1
40,왜 하필 지금시기에 ㅠㅠ,9,1
41,인생영화,10,1
42,최고,10,1
43,기가막힌 상상력의 끝판왕  놀란의 퍼즐을 다 풀지 못하는 나의 지적 수준으로 인한 중간중간의 지루함을 견딜수있다면  영화라는 장르가 줄수있는 최고의 선물을 새롭게 하나 더 받게 될것이다,7,1
44,정말 명작. 도대체 몇번을 봤는지 모르겠다. 봐도 봐도 묘하게 다르게 해석되는 이야기. 뫼비우스처럼,10,1
45,다시 봐도 놀랍다,10,1
46,지금 봐도 정말 놀랍다. Dream in Dream in Dream in Dream,8,1
47,인간의 상상력이 어디까지 갈수있는지... 한단계 더 발전할수 있는 계기가 되는 영화 같다. 지루하지 않은 전개와 속도감...그 내용면에서도 거의 완벽한 영화인겉 같다,9,1
