,document,score,label
0,캐스팅이 망했고 일단 영화 흐름이 매끄럽지 않았음. 가족들인데 너무 개성있는 얼굴들의 배우들의 구성이라 가족이 아닌 타인같았음. 조의 역할이 광장히 산만했고 산경질적이기만했음. 게다가 로리 얼굴이 너무 애기 같아서 ㅋㅋㅋ 오마이갓... 진짜 무슨 생각으로 배우 캐스팅 한건지 원....,3,0
1,"예전엔 미처 몰랐다. ""작은 아씨들""이 이렇게 깊이있고 주옥같은 대사가 흘러 넘친 영화였다는 걸. ""분노에 좋은 면이 잠식되지 않게 40평생 노력하며 배우고 있어"" ""해 지기 전에 화를 풀고 내일부터 다시 쓰면 돼"" ""어떤 천성은 억누르기엔 너무 고결하고 굽히기엔 너무 드높단다""  가난하지만 크리스마스 음식을 더 가난한 이웃과 나눌 줄 아는 이런 어머니의 영향이 전반에 흐른다. 영화 끝부분에 베스(Beth)를 위한 연주곡 베토벤의 비창 2악장 아다지오 칸타빌레가 아직도 귀에 은은하다. ",7,1
2,캐스팅 미스네요. 작은 아씨들 역의 배우들은 94년작이 훨씬 조화롭고 보기가 좋습니다. 특히 에이미는 어린 시절과 성인 역할 배우를 따로 갔어야죠.  그래야 조 바라기였던 로리가 성인이 되어 다시 만난 에이미를 보고 사랑에 빠지는게 공감이 되죠. 어릴때나 커서나 우악스럽고 덩치가 커보이기만 한 에이미는 전혀 사랑스럽지가 않네요. 시얼샤 로넌도 위노라 라이더에 비해 뭔가 사랑스러움이 많이 부족한 느낌이 들구요. (그렇다고 당차 보이지도 않는다는게 함정) 전반적으로 작은 아씨들 역할 배우들이 많이 아쉬운 영화입니다.  ,3,0
3,산만 그자체네요. 에이미는 미스캐스팅 목소리도 외모도 미망인 느낌인데 차라리 엠마왓슨이랑 바꿨음 나았겠어요,2,0
4,내용이 산만하게 전개되어 아쉽다. ,5,0
5,현재에서 과거로 과거에서 현재로 왔다갔다하니 집중이  안되네 ,3,0
6,"원작의 재미와 감동을 다 담아내지 못 한 것 같네요. 편집이며 구성이며 너무 산만합니다. 무엇보다 조 역할의 배우가 너무 노안이라 장녀인 메그와의 케미도 살지 않을 뿐만 아니라 중요인물인 로리와 함께 있을 때는 꼭 이모처럼 보여요. 이 배우가 연기 잘하는 훌륭한 배우일지는 몰라도, 작은 아씨들 조의 역할에 딱 맞는 배우는 아니란 생각이 들어요. 전혀 매력점을 찾질 못 하겠네요. 이 영화 자체에서도 조라는 인물이 별로 매력적이지 않게 그려진 까닭도 있겠지만요. 워낙 좋아하는 작품이어서 영화 보고 실망만 느끼게 되네요.",2,0
7,역대  작은아씨들중 최고졸작 배역은 안 어울려서 엄마도 딸들도 죄다 따로국밥에 연기는 전부 들떠있고 각자 본인만 주목받고 싶어하고   스토리는  산만하고 제대로 캐릭터 살린 배우는 단 한 명도  없고 연출이 뭘 원하는 건지도 모르겠고   최악,1,0
8,"열심히 만들긴 했지만, 구성이 왔다 갔다 혼란스럽고 .. 그냥 실망스럽다 애초에 이 작품을 본 내가 잘못한 것 같다.",4,0
9,"작은아씨들 원작을 이해하고서 절대 저렇게 캐스팅할수 없고, 저렇게 지루하게 만들수 없다! 최고의 원작을 최악으로 만든 영화. 캐스팅과 구성 모두 별로",1,0
10,명작을 망쳐논 캐스팅과 연기력.... 막내  에이미역은 소한마리 때려잡겠는데요? 어째서....앙칼지고 새침했던 에이미를,1,0
11,95년 작의 완성도를 못 따라감.  캐릭터. 연출. 모두 미달. ,5,0
12,정말 전작보다 산만하고 주인공들이 영 매치가안된다 조 역할이 너무 노안이야 언니가 훨 어려보이고 전작 캐스팅이 얼마나 완벽했는지 새삼 느껴짐,4,0
13,캐스팅 미스로 영화 보는내내 불편했음 저렇게나 나이들어 보이고 덩치큰 에이미라니..... 아역은 따로 썼어야지,1,0
14,"95년도 작품을 봐서인지 완전 대실망 95년도꺼 다시 보러감 캐스팅, 스토리전개 다 별로",0,0
15,"노잼,노잼 노잼,노잼 ",0,0
16,에이미를 보고 많이 당황스러웠음..어릴적 봤던 버젼에서 허영심은 많으나 어리고 예쁘고 귀여웠던..캐릭터는 재 해석했다하더라도 비주얼이 운동선수느낌나는 첫째보다 더 나이들어보이는..ㅎㅎ,6,1
17,전작의 위노나 라이더나 크리스찬 베일의  깊은 연기를 못 따라 가네요. 특히 티모시.. 연기.,6,1
18,"보다가 말았어요. 너무 산만하고 감동도 없고. 시얼사 로넌만 보이는 영화.. 베스, 에이미는 아주머니처럼 생겨서 몰입이 안되는.. 역시 원작 소설이 최고",5,0
19,내가 알고있던 작은아씨들이 맞나 의심하며 봤어요..캐스팅 완전 이상함..사랑스럽고 러블리하지않고  완전  정신사나움...,1,0
20,에이미 역을 한 배우 연기 잘함. 어른이 된 작은 아씨들의 어두운 분위기에 실망. 어린 시절 책으로 읽었던 작은 아씨들이 더 좋았다.,6,1
21,"다 같은 생각을 한다는 건 문제가 있다는 거,,조를 시작으로 첫 째,셋 째 나오면서 영화 초반 인데도  집중이 흐트러짐,,역시 94년작이,,,",4,0
22,에이미는 무식해 보이는 외모에 억센 목소리 로리는 7년 뒤에도 너무 애송이 엠마왓슨은 해리포터 이미지가 너무 세게 와닿고 ㅠㅠ  작은아씨들 책으로나 한번 더 읽어야겠다,6,1
23,과거와 현재를 왔다갔다하니 너무 산만. 엠마왓슨은 메그 역에 안어울리고 로리도 너무 앳된배우 여서 조랑도 뭔가 안어울림. 뱌우들을 보나 자연스러운 흐름전개를 보나 95년작이 더 나았음.,3,0
24,훌륭한 원작을 이렇게 망쳐놓다니 배우 캐스팅 연기 다 실망스럽고 정신사나운 스토리 전개는 덤,1,0
25,네자매들 전작들보다 인물이 너무 없네요,4,0
26,로리.죠.메그 빼고는 캐스팅이 너무나 불만족. 사실 매그랑 죠도 바뀌면 더 나을듯함. 특히 에이미 목짧고..기타 등등 외모에 상킁함이 없고 억처스럽기만해서. 극에 몰입이 전혀...안됨. 엄마역도 조금만 인상 바꾸면 사납고 표독해보이는 인상이라 애써 인자함을 쥐어짠 울상 느낌... 아무튼. 고전물이 더 마음에 듬. 기대했는데 아쉬움이 큼...,2,0
27,원작의 사건을 대충퍼서 페미니즘으로 반죽했더니 이도저도아닌 산만함 어릴적 읽었던 원작의감동 돌려줘 ㅜㅜ,5,0
28,원작만 못한 졸작 이야기,1,0
29,엠마왓쓴이 조마치가 되었어야 할! 보는내내 힘듬 캐스팅에서 실패 맞는 역활이 있는 법,6,1
30,비평가협회상....웃긴다.. 그레터거윅의 적어도 이 밋밋하고 따분하고 구태의연한 연출에 대한  상찬은 재능 이상으로 감독 띄워주려는  기만이다.   프랜시스 하 이후로 그레타거윅은 한계만 노출한다.  이 영화는 원작의 매력에 접근하기는커녕  자체의 장점조차 눈꼽만큼도 보이지 못한다. 10분이상 참아주고 볼 수 없었다.,1,0
31,연출이.. 원작 못따라가네.. ,3,0
32,개인적으로는 94년작이 더 나은듯..,8,1
33,별점 2개는 더 넣고 싶지만 뺀 것은 배역이 엉망이기 때문이예요. 다른 사람은 그렇다치고 에이미 너무 막내같지 않고 딸 사이 나이차가 거의 안 느껴지거나 거꾸로 느껴지고 다들 혈육인게 얼굴 너무 다양해서.. 레이디 맥베스 무섭게 잘 봤기에 그 배우가 싫어서가 아닙니다. 너무나 안 어울릴 뿐. 편집이 조금 산만하긴 해요. 어릴 때나 어른인 지금이나 로리가 누구 남편이 되는지나 조 남편 선택 이해 안가는데 그나마 이 영화에선 베어 그리 늙어보이지 않아서 좀 낫네요.,7,1
34,원작 캐릭터와 다른 이미지의 배우 캐스팅이 몰입방해됨. 과거.현재의  시점에 혼란스러움.엠마왓슨은 에이미역에 맞는듯.플로렌스휴? 자매역중  어울 리지않아.,6,1
35,전반부는 좀 지루하다가 후반부로 갈수록 재미가 있습니다. 배우들 보는 재미로 본 거 였는데 실제 자매로는 보이질 않아서 안타깝네요;;  특히 새로운 블랙위도우 플로렌스 퓨가 많이 좀 달라 보입니다ㅋ 그리고 이미 죽은 베스가 메기 결혼식에 보이고 또 조는 분명 머리를 잘랐는데 금방 자랐더라구요...이런 부분들이 좀 이상하고 아쉬웠습니다.,7,1
36,요즘 가장 핫한 배우들이 모였으나 케미는 글쎄. 산만한 흐름 속 시얼샤 로넌의 연기는 출중하다,6,1
37,전작에 비해서는 역부족이지만 그래도 자매가 많은 집에서 태어났더라면 싶어지는 자매애가 부럽다.,7,1
38,따분... 1995년작을 재미있게 봐서 그런가... 내용을 다 알아서인지 재미없음,6,1
39,옛날 티비에서 해줬던  영화 작은아씨들하고 별차이 없는듯. 지루..,6,1
40,나두 보다가 tv 껏어 늙어서 봐야지,1,0
41,"인물들의 감정선에 깊게 닿는 부분이 많아서 숨죽이고 봤습니다. 또 영상과 음악, 소품과 주제의식이 무척 좋았습니다. 다만 등장인물들의 외모는 전혀 변하지 않은채 현재와 과거가 계속 전환되는 바람에 정신이 없고 헷갈리는 부분이 있었습니다. 아쉬운 부분도 있었지만 따뜻하고 정성스런 영화였습니다.",8,1
42,지루하고  재미없음 오만과편견이 오버랩되지만 그렇다고 오만과편견 만큼의 영상미도 없음. 재밌다는 분들은 정민 개취인듯 패미충이거나,2,0
43,책을 읽었을 때의 감성을 기대했다면 후퇴하자.,6,1
44,"전반부 몰입도 떨어지는 편집 구성과 연기자들의 부자연스럽고 억지스러운 연기가 눈에 두드러져 엄청 실망했으나, 그나마 중반부 이후 연기력이 좀 안정되어져 보였임.  오만과 편견을 봤던 사람들이라면 갈등 고조에서 해결해 나가는 스토리가 많이 오버랩 됐을거라 생각 됨.  내 기억 속 작은 아씨들은 어렸을 때 보았던 TV만화 시리즈가 최고 였음.",5,0
45,기대가 컸어요...ㅜ,4,0
46,기대감이 컸나봐요  .  원래  뭐든  괜잖게  보는편인데   음.  좀  지루했음~   ,3,0
47,재미없어요. 그저 착하고 아름답게만 그렸어요. ,0,0
48,너무 지루하고 재미없어요. 원작의 감동이 안느껴지고 산만한 구성에 몰입하기 힘드네요. 비추입니다,1,0
49,과거와 현재가 왔다갔다 정신 사나웠고. 분위기는 지루했다.,6,1
50,과하게 고평가 된 영화. 영국뽕 못잃는 아카데미라 노미네이트 된거지 별 것도 없음. 그리고 자매들끼리 하는 연기 나만 오그라 들었나?ㅋㅋㅋ,5,0
51,"배급사가ㅈ소니인지 모르고봄,ㅎ,90년대 작은 아씨들에 비하면 주인공들 별로,재미도 별로,과거,현재 왔다갔다 거려서 더 정신없었음",5,0
52,"노잼. 아내와 함께 보다가 집중이 안 됐나, 암튼 중단에 끊긴 뒤 다시 보고 싶지 않다.",1,0
53,"편집의 묘미는 있으나, 고전의 감동은 1994년",7,1
54,예전에 푸른화원이라는 제목으로 명화극장에서 방영했었는데 준 메이슨과 엘리자베스 테일러가 나왔었고 너무나 재밌게 봐서 그 감동이 오랫동안 자리해서 그런가 이작품은 각색도 많이 한것같고 정말 그레타 거윅식의 영화인듯. 그래도 나름 재밌게 봤다. .,6,1
55,그 시절 여자의 잘못된 의무와 그를 상세히 보여주고 군데군데 재미있는 요소들이 들어가 있어서 보는 동안 너무 즐거웠네요.  여자들끼리 있을 때 그 유쾌함과  분위기도 잘 살렸고요. 진짜 제 인생영화로 등극해버렸습니다,10,1
56,"엠마왓슨 보러왔다가 엠마왓슨은 완전 빛을 못 본 영화네요. 조 역할 여배우와 티모시, 그리고 메릴스트립 밖에 안보임. 조 역할한 여배우가 개인적으로는 좀 생소해서 처음에는 쟤 머지 했다가, 진짜 푹 빠져버림. 스토리는 너무 잔잔해서 조금 지루할 순 있지만, 시얼샤 로넌?? 진짜 대박 여배우임. 그리고 에이미 역할 여배우가 미드소바 그 여배우였다는거 알고 아.. 하고 생각났음.ㅋㅋ",8,1
57,원작을 충실히 지키며 현대적으로 버무린,8,1
58,조 마치... 동생 베스를 그리워하며 다시 글을 적는 영화.,7,1
59,원작은 못봐서 모르지만 재밌습니다!추천! ,9,1
60,재밌더라구요 추천해요 ,8,1
61,진심으로 마음이 따뜻해지는 소녀들의 이야기라고 생각합니다. 정말로 봐야하는 영화입니다!!,10,1
62,과거와 현재를 오락가락 정신없네요 1994년작품보다 못하네요,6,1
63,여성감독다운 섬세함은 94년 만들었던 영화만큼 좋았는데. 로리역의 어색한 연기와  원작에 더 충실한 전작에 비해 감동의 깊이는 좀 떨어진다. 그럼에도 따뜻한 영상미와 그레타 거윅과 시얼샤 로넌의 빛나는 조화는 기대를  저버리지 않는다.,7,1
64,따스하고 재밌었어요,8,1
65,...,7,1
66,"조 하고  에이미 둘이  주인공인듯.  뛰어다니는  캐릭터 명랑한 말괄량이 조, 화려한 외모의 에이미가  주인공 인듯.  로리는  외모도 빈약하고  존재감이  약함.  로리가 더  잘생겼으면  하는 개인적인  바램.",7,1
67,현대적 의미와 맞닿아 있다는 것에 의의,5,0
68,"49년 95년 20년  배우와 작중 캐릭터 ,원작을 최대한 살릴 영화는 20년뒤에 한번 더 제작할려나?",5,0
69,재미있게 집중해서 봤음,9,1
70,너무 현재 과거가 왔다갔다한다  ,6,1
71,에이미 나쁜* 얄미움  덩치가 너무 커 ㅎㅎㅎ,7,1
72,"책과 영화, 만화 등등. 좋아했던 작품이기에 더욱  아쉽게 느껴짐. 전개와 결말이 이해되지 않음. 소설의 행복한 크리스마스 분위기와 따뜻한 가족의 분위기을 느끼지 못해서 아쉬움이 많은 영화 ",6,1
73,쏘니픽처스(왜놈픽처스),0,0
74,"배급사 ""소니픽처스""가 니들이 낸 돈의 50프로를 가져간다! 그 돈이 결국 니들의 목을 조여올 것! 왜 일본에선 ""혐오스러운 한국인"" 시위를 내비두고 있을까? 그 돈이 ""독도는 일본땅""이라는 광고에도 쓰일 것! ㅉㅉ",0,0
75,막내가 제일 안어울림,8,1
76,큰 기대 없었는데 잘 봤습니다!!,8,1
77,잘봤습니다. 전편작도 좋고 이번작도 좋네요 ,8,1
78,94년작도 볼만하다. 어여 인터넷에 ............,9,1
79,"어린시적 추억을 불러일으키는 너무 행복하게 만들어주는 사랑스러운 영화 이제까지 영화화 된 작은 아씨들중 최고였고, 에이미의 캐릭터를 정말 살아있게 만들어준 영화였다. 너무 사랑스러운 영화. ㄱ리고 조가 결혼했을까? 아님 안했늘까 하는 결말도 너무 좋았다",10,1
80,졸라라라라랄라 잼,9,1
81,요즘 시대에 그런 가족애는 드물겠지. 현실을 참 솔직하게 그려놓은 영화.,9,1
82,"배급사 ""소니픽처스""가 수익의 50프로를 가져간다! 그 돈의 일부는 일본의 ""혐오스러운 한국인"" 시위로 흘러들어가겠지! 니들 때문에 차별 받고 사는 재일 교포들이 불쌍할 뿐이다! 일본 불매는 무슨 뜻인줄은 아니? 왜 시작했을까? ㅉㅉ",0,0
83,기대만큼은 못한 정도. 마님은 잘 보는데 나는 중간 중간 지루했다.,7,1
84,코로나만 아니면 세번도 보고싶다!,10,1
85,누구에게나 있는 인생이야기...그이상 그이하도 아님,8,1
86,우리들의 살아가는 인생은 한편의 영화다.,7,1
87,너무 잼있고 감동도 있었어요~다시보고싶네요,10,1
88,작은 아씨들은 그동안 영화만도 예닐곱 번 정도 만들었다고 하지 않아? 연극 TV 드라마 뮤지컬 등등 다 합치면 셀 수도 없겠지......그저 또 영화화돤 작품일 뿐.,6,1
89,작은아씨들과 오만과편견을  좋아하는 사람에게는 추천,8,1
90,짅자좋았음,10,1
91,오만과편견 전쟁과 평화같은 고전명작이 생각나기도 하면서 또 한편으로는 주말연속극이 생각나는 푸근함 코로나걱정 잊게해주는 행복감 에이미와 조세핀의 특색있는 매력,9,1
92,에이미를 온전히 이해하게 해준 것만 해도 별다섯개는 당연하다,10,1
93,힘들어질 때 제일 먼저 찾게될 영화,10,1
94,고전의 무리없는 재해석 ,6,1
95,잔잔하고 따뜻한 영화,9,1
96,과거와 현재를 뒤틀어버린 영화 흐름과 자매들끼리 대화시 과장된 표정과 행동은 영화에 집중을 떨어뜨립니다.,6,1
97,집에서 봤으면 채널돌렸을꺼임 과거현재 왔다갔다 정신사납고 지루함,2,0
98,원작을 잘 실사화했지만 생각보다 크게 재미없고 밋밋했어요,5,0
99,지루하기 보다는 편안한 한편의 드라마를 보는것 같았다. 가족 드라마. 따뜻한 그 느낌이 좋았다. ,7,1
100,한 편의 아름다운 소설을 보는 듯한 영화,9,1
101,아름다워~,10,1
102,보면서 계속 울었어요ㅠㅜ진짜 최고ㅠㅜ,10,1
103,배경과 배우들의 연기가 좋았어요,8,1
104,"아름다운 화면과 음악, 배우들의 연기에 행복했다.",9,1
105,아름다운 화면과 스토리에 푹빠져 시간가는 줄 몰랐던,10,1
106,소니가 배급사라..,1,0
107,음......기대치가  커서  그랬는지 조금 지루하고....그냥  재미가  그닥..... 정신없이  왔다리 갔다리 ㅎ,6,1
108,"4대3비율에 담아낸 아름다운 화면, 이에 잘 어우러진 배경음악등은 칭찬받아마땅. 근데 좀 적당히 왔다갔다해야지. 새로운 형태의 겉멋인가?",5,0
109,길어서 지루함 ,7,1
110,"저의 어린 시절의 생각과 행동은 조와 비슷했습니다. 작은 아씨들 책은 읽어 본적 없는데 꼭 읽어보려고 합니다. 가족애가 잘 느껴져서. 실제 가족의 모습을 많이 볼 수 있어서 좋았습니다. 스킨쉽과 포옹이 정말 따스해보였습니다. 어린시절의 기억을 공유할 수 있는 자매와 소꿉친구들이 있어서 부럽습니다. 시얼샤 로넌, 엠마 왓슨, 메릴 스트립 출연해서 보러 가야지한 영화고, 아카데미 시상식 각 분야에 후보로 많이 올린 영화입니다. 해서 보러 갔는데 감독이 그레타 거윅.. 배우와 각본가로만 알고 있었는데, 너무 멋있습니다.",8,1
111,시시함. 실망했음,8,1
112,별루...,6,1
113,일본 자본 소니 영화는 극장서 안볼겁니다. ,0,0
114,재미있게 봤습니다. ,10,1
115,.,10,1
116,이 영화가 왜 아카데미상에 노미네이트 되었을까? 로컬 영화라서!!! 지루한 전개에 졸뻔했다. ,4,0
117,한편의 아름다운 동화,8,1
118,쏘쏘,5,0
119,"중학생일때 조에게 동화되어서 너무나 재미있게 읽었던 기억으로 보게된 영화,   조에 대한 기억만 남았었는데.....나의 추억을 생각하면서 재미있게 보았다",9,1
120,오래된 책의 삭은 종이 냄새와 새 책의 빳빳한 종이 질감이 동시에 느껴지는 영화,9,1
121,원작을 읽지 않았거나 내용이 잘 기억나지 않는 분들에게는 재미 없겠네요.,5,0
122,ㅎ중고딩시절  설레임으로  즐거운시간이였음^^,7,1
123,산만하고 지루함,2,0
124,졸다가 나옴. ,5,0
125,그냥  그냥... 예전에 원작에 이런내용이 있었지하고 되새기며 본영화...  그냥 원작이나 한번더 읽을걸 하게 되었다는..,1,0
126,"과거의 여성상이라고는 하나, 현재도 그러하다 미래에도 그럴것이다 사는 방식만 다를 뿐 전 세계 보편적 여성상이다   네 자매의 뚜렷한 캐릭터를 통해 여성을 잘 나타내 준 고전 명작이다",7,1
127,가난하다고 말하지만 별로 가난해 보이지 않는 가정의 둘째언니 남친 빼았는 네째 이야기.,6,1
128,정성을 들였고 영화적 기교를 주고자 하는건  인정하는데 그래서  좀 산만한건  사실.,5,0
129,"요즘 여성상을 반영한 영화,  따뜻했어요.",9,1
130,감동적이었고 잔잔한 여운을 주는 영화였어요.,10,1
131,겨울이 한층 더 따뜻해졌다.,10,1
132,어릴 적 추억 사진을 다시 꺼내 본 느낌이다.,10,1
133,로리 에이미 무엇ㅡㅡ원작파괴를 이렇게 까지 해 가면서 억지 감동 주려는게 너무 싫음,7,1
