,document,score,label
0,"왕가위 열병의 시작. 여기서 이 전염병이 퍼지기 시작해서 90년대를 거의 흽쓸었다.  지금은 많이 잠잠해졌지만 언제 다시 발병할지 모른다.  왜냐하면 현대인의 고독과 허무, 상실감을 숙주로 삼는 질병이기에.",9,1
1,"미장센과 감각적인 카메라 워크, 어둠과 밝음의 대조적인 화면 구성 등 왕가위 감독 특유의 연출 기법이 잘 묻어난 수작입니다. 두 커플의 이야기가 다른 듯 하면서도 같은 공간에서의 스침을 통해 유기적으로 연결되는 재미가 있네요. 임청하, 금성무, 왕페이, 양조위 등의 연기는 더할 수 없이 좋았습니다. 배경음악으로 나오는 California Dreaming과 몽중인(夢中人)은 여전히 가슴을 설레게 하네요. 1995년도 개봉 당시 받았던 문화 충격을 2021년도에 다시 한번 경험했습니다.",10,1
2,현대의 영화가 판타지 속의 현실을 추구한다면 이 영화는 현실 속의 판타지를 담고 있다. 별다른 변수 없이 감정선을 따라 흐르고 담아내는 사랑은 현대 영화에서 보기 힘든 것이기도 하다.,8,1
3,현대 영화사에 한 획을 그었음 독특한 영상표현 방식은 이후 CF나 영화등에도 굉장히 많이 응용되었지... 구구 절절하게 설명하지 않아도 흘러가는 배경과 인물들의 표정속에서 시나리오가 새겨지는 듯 했던 영화,10,1
4,중경삼림 리마스터 재개봉을 보고 왔는데요.   1995년도의 감성을 요즘 10대 20대가 본다면 이해 못할수도 있겠지만  90년대 감성을 이해하려 한다면 이 영화를 꼭 보셔야합니다.   홍콩이 아직 영국식민지였을 때 홍콩의 감성이 녹아들어있습니다. 홍콩 영화의 힘이 지금 한류만큼 강했을때였죠.   이 영화가 무려 25년전 영화라니 ..엊그제 같은데..  2000년경 5월 홍콩 거리를 걸었을때가 생각납니다. 빌딩에 가득 에어콘 실외기들이 달려있고 에어콘 물이 줄줄 흐르고  바다 바람이 불어도 덥고 습했던 기억이...영화를 보면서 생각났습니다.,10,1
5,한시대를 풍미한 왕가위 멜로드라마의 표뵨 같은 영화. 이 영화의 아류작들이 참 많았다. 홍콩배우들의 젊은 시절을 돌아보는 것도 또다른 재미.,8,1
6,1994년에 이런 작품이 나왔다는게. 작가주의라는 단어가 떠오른다. 시대와 장소를 넘어 작가의 뛰어난 철학과 미학은 전달된다. 왕가위감독 멋지네요. 그때의 홍콩의 번영과 자유주의 참 그립네요. 자유 홍콩 힘내라.,10,1
7,댓글에서 보다시피 극찬이 많을 정도로 아줌아재들에겐 추억의 명작이겠으나  지금의 잼민이들에겐 그저 카메라웍이 촌스럽고 서사가 불편하고 스토리가 지루한 영화중 하나일뿐. 당시의 시대적 단절과 영화적 은유에 얼마나 공감할 수 있을지 모르겠다. 잼민이들에게 수작이라고 강요하지 말고 추억은 추억으로 남기는 게 맞을지도.,8,1
8,"이념의 시대가 저물어 가고 개인주의가 기지개를 켜기 시작하던  1980년대와 1990년대를 관통하는 정서가 있다면, 아마도 풍요 속 빈곤이 아닐까. 그걸 민감하게 포착해서 잘 묘사한 소설가와  영화감독을 꼽으라면 아마 무라카미 하루키와 왕가위일 것이다.  이젠 저런 정서를 느끼기엔, 현재 현대인들은 저 시대 현대인과는 비교도 안 될 정도로, 바쁘고 즐길거리도 많다.  현재 현대인들에게 저런 정서적 사치를 누릴 여유는 없다. 그럴 필요조차 딱히 못 느끼는 것 같다.  온갖 SNS에서 나오는 잡다한 정보 쫓아가기에도 너무나 바쁜 때문이다. 온갖 문명의 이기들이, 인간을 가만히 혼자 있게 내버려두지 않는다.  혼자 고요히, 자기 자신과 마주하는 시간을 갖기 위해서는, 엄청난 용기가 필요한 시대가 돼 버렸다.",9,1
9,오씨에 왕가위 특집중  옛날에 이 영화보고 캘리포니아 가보고 싶어서 비자받고 미국갔었음,10,1
10,중학생때 뭣도 모르고 봤는데 다시보고 또보아도 좋은 나의 첫번째 홍콩영화.  양조위의 눈빛은 거부할 수가 없다.,10,1
11,1994년을 배경으로 순수함과  몽상이 혼입된 20대 청춘의 사랑법을 횐타지적으로 교차해 그려낸 수준작. 코로니 창궐 전 90년대 아나로그적 세계는 저랬었지...하는 감성을 일깨움. 익숙한 재즈명곡이 계속 울리는 호사도 덤.장면전환과 함께 단도직입적으로 울려 퍼지는 디나 워싱턴의 노래가  참 인상적이기도.,9,1
12,TV화면으로만 봐왔던 중경삼림을 이번에 재개봉한다해서 결국 스크린으로 보고야 말았다. 양조위 등장신을 스크린으로 봤다는 것만으로도 大만족!,9,1
13,말이 필요 없음,10,1
14,"이 영상이야 말로 유통기한이 없는거아닌가 볼 때마다  지금의 도시인들을 보는것같아서 새로우면서 슬픔.,  영화자체는 희망적인 미래암시",10,1
15,화려한 화면이 홍콩을 보여준다.,9,1
16,"음악, 분위기, 캐릭터, 연기 너무 좋음..",10,1
17,이영화를보고 왕정문을 좋아하지 않을수 있을까?,10,1
18,왕가위 영화중 제일 좋다. ,9,1
19,.,5,0
20,분명한 건 재미있다는 것!! 그리고 밑에 분이 말한 것처럼 감각적인 수필이자 90년대와 떠올릴 수 없는 영화라는 것.   cf에서 이를 차용한 영상이 엄청 쏟아져 나왔었지.   하지만 지금 와서 보니 세련된 영상 속에 다소 지나친 감성을 끼워넣었다는 느낌은 왜 드는걸까? ,8,1
21,미치도록 질투난다! 왕가위 감독의 재능이!,8,1
22,방금 봤는데 또 보고 싶다,10,1
23,지금보면 약간 중2병느낌...? 하지만 감각적영상 색감 촬영기법등 우리나라 대중문화에도 엄청난 영향을 끼쳤다. 양조위 왕정문 에피소드는 재밌고 귀엽고 음악도 미치지. 지금도 앞으로도 볼만한 가치가있는 영화.,7,1
24,보면볼수록 수작!!,8,1
25,"좋은 음악, 순수? 천진나만,우렁각시? 그냥 미소 지어지네요ㅡ  싸이코 느낌이 아닌",8,1
26,사랑에 정신나간 귀여운 인간들. 홍콩의 번잡함과 후덥지근함 속에서 꾸역꾸역 살아가려면 사랑에 미치야 하는 건 아닐까? 그래서 그들은 캘리포니아를 꿈꾼다.,9,1
27,두 경찰관과 두 아가씨의 사랑 옴니버스. 독특하지만 이야기를 좋아하는 내 취향은 아님.,8,1
