,document,score,label
0,원래 기대 안하고 봤는데 내가 좋아하는 장르도 아닌데 대박  스타일리쉬하고 멋지다 음악도 끝내준다,10,1
1,디즈니가  오랜만에 열일 했네요. 눈이 호강하고 두 주연배우 연기가 기가 막히네요.,8,1
2,진심 재미있었음. 백한마리 강아지들 나오는 유치한 애들영화인줄 알고 봤는데 그게 아님. 패션디자인 전공학생들은 무조건 봐야할듯!,10,1
3,엠마스톤 엠마스톤 엠마스톤...  정말 멋진 배우다.,10,1
4,다크나이트 + 악마 프라다 믹스 버전.  꿀잼 초강추,10,1
5,연기가 진짜 미침,10,1
6,원작의 요소를 환상적이게 녹여냈다. 아름다운 옷들과 신나는 음악이 크루엘라 캐릭터를 더 입체적이게 만들어줬음.  점점 멋지게 변신하는 크루엘라 모습이 엄청난 만족감을 느끼게 해준 오랜만에 좋은 영화였다~,10,1
7,개봉도안한영화 평점테러는 왜하는거야,10,1
8,기대없이 봤는데 재미있어요. 연기잘하는 두 엠마와 의상 보는게 즐거운. 귀에 익은 음악들도 좋고.,9,1
9,"크루엘라라는 캐릭터의 개성과 매력에 만점을 주고 싶지만 헐리우드, 디즈니 영화에서 드러나는 전형적인 모습들을 지니고 있던 점이 아쉽다 2시간이라는 짧은 시간 안에 크루엘라의 이야기를 담으려다보니 중간중간 급전개를 하는 모습도 보였다 그럼에도 불구하고 크루엘라가 보여주는 파격적인 행동들이 쾌락의 향연에 빠져들게 한다 어린시절의 모습도 너무 귀엽고 엠마 스톤의 연기력에 감탄하게 되는 작품!",9,1
10,근래에 보기힘든 명화를 접했습니다. 탄탄한 스토리에 거침없는 전개. 넘 잼나게 감상했네요.,9,1
11,이건ㄹㅇ...레전드다분명,10,1
12,예고편은 일단 10점임 얼마나 잘 만드는지 기대하겠어,10,1
13,ost 영상미 연기 연출 모든게 완벽,10,1
14,101마리 달마시안 프리퀄  잘 짜여진 스토리 2시간이 지루하지않았다 두 엠마의 명연기 특특한 브리튼식 발음 그리고 영화 전편에 흐르는 배경음악   70년대 영국팝이 반가움을 더하고  화려한 영상 카메라 워크  그리고 마지막 반전까지 빠지지않는다.,10,1
15,이거 꼭 보세요 이거 진짜 너무 재밌어요!! 너무 재밌어서 소름돋고 충격받았어요 와...이거 무조건 2편도 나와야해요,10,1
16,엠마스톤은 사랑입니다 ㅎㅎ,10,1
17,진심으로 디즈니의 변화가 너무 기대됩니다. 파격적인 이미지로 나온 영화인 만큼 너무 보고 싶어요 ^^,10,1
18,또 실사화냐는 생각을 다르게 한다면 디즈니가 동화적인 분위기를 탈피하고 범죄 코미디를 선택한 이 도전정신을 고평가 하게된다.,10,1
19,볼거리는 풍성 내용은 막장 어린이용 처럼 유치한데  어린이한테 보여줄 순 없다,5,0
20,"귀호강에 눈호강도하고 내용 자체도 재밌었다. 6,70년대 음악을 극장 스피커로 빵빵하게 들으니까 정말 ㅠ 일어나서 춤추고싶었다",10,1
21,우선 의상이나 화면 등 볼거리가 넘친다음악도 나름 좋은 편이다연기는 말할 것도 없이 좋다줄거리는 절대 뻔하지 않고 문제가 좀 있어서 더 인상적이다.그리고 연출도 흠잡을데 업이 좋은 듯 ~  줄거리가 반전에 반전을 거듭하는 재미도 있고 보고 나서 생각할 수록 납득이 되어지는 줄거리도 좋았음 한 번 더 볼까 생각 중 ... ㅎㅎ  너무 과하지 않은 여자 악당 이야기 ! ㅎㅎ,9,1
22,디즈니판 조커 달콤쌉사름한 초콜렛,10,1
23,때깔은 좋다,5,0
24,개봉하자마자 봤는데 너무 재밌어요ㅠㅠ,10,1
25,2엠마의 열연이 돋보이네요.  상상초월 의상들의 향연이랄까....,8,1
26,정말 재미있어요~ 코로나 시대에 만들어진 영화라 대작 느낌이 날까 싶었지만 몇년 동안 본 영화중 손가락 안에 꼽을 정도예요 그동안 저에게 있던  디즈니 이미지가  완젼 박살났어요 딸과 함께 봤는데 아이도 정말 재미있게 봤구요 CG도 거부감 하나도 없었어요 2탄이 정말 기대되요,10,1
27,크루엘라 드빌 정말 좋아하는 빌런인데 꼭 보러 가야겠엉용ㅜ,10,1
28,존멋존멋.... 카리스마 최고양 ㅠㅠㅠㅠ,10,1
29,70년대를 그대로 옮긴 시대적 배경과  영화 곳곳에  퍼저 있는 멋진 사운드 트랙들은 엠마 스톤의 매력과 함께 빛을  더 한다,10,1
