,document,score,label
0,"""이해하지 말고 느껴라!""는 광고문구가 아니라 경고문구였다.",1,0
1,나만 당할순 없다,10,1
2,유명해져라 그럼 우매한 대중은 니가 똥을싸도 박수를 쳐줄것이다,1,0
3,대체 뭔 내용인지 뭘 말하려고 하는지 당최 모르겄다 놀란 감독의 골수팬이지만 테넷은 옹호할래야 할 수가 없네...뭘 알아야 옹호를 해도 하지 배우들도 다 찍고 나서도 영화내용을 이해 못했다는 말은 들었지만 그래도 영화는 일반 대중이 알 수 있도록 편집이나 연출을 할 줄 알았는데 이번만큼은 관객들에 대한 배려나 입장은 전혀 고려하지 않은 채 본인만의 세계를 구축하는데만 힘은 쓴 듯 하다 한 가지 의문이 드는 건 놀란 감독 본인은 이 내용을 다 이해하고 연출한건지 아님 본인 조차 이해하지 못한 채 그저 있어보이는 영화를 만들려고 한건지 그게 궁금하다.,3,0
4,과거로 가서 췌장암 조기 발견하면 끝인데 이렇게 복잡하게 할 필요가 있었나?,6,1
5,평점 왜이럼?  하도 사람들이 이해안된다고 하길래 메멘토 처음 봤을 때 그 느낌 정도 되나??  하는 마음으로 봤는데  2시간 반동안 시간가는 줄 모르고 재밌게  잘봤음. 어려운 용어나 개념은 닐이나 극중 캐릭들이 다 얘기해주더만...  다만 순행의시간과 역행의 시간이 공존 되는 시점들이 영화를 한번 보고 완벽하게 이해하기는 어려운 부분이 있지만 그게 완벽 이해가 안된다고 해서 영화를 감상하는데 크게 불편을 느낄 정도는 아님.,10,1
6,어렵다,6,1
7,상상하기 힘든것을 표현해내는 감독은 위대하다.  하지만 대중들이 이해하기엔 너무 어렵다.,9,1
8,대단하네..역시...,10,1
9,영화를 제대로 안 본 사람들 많네 ㅋㅋㅋ  영화 내내 강조하는게 이미 벌어진 일은 되돌릴수가 없다인데 어떻게 과거로 돌아가서 췌장암을 조기 발견해??,10,1
10,터미네이터 존코너 + 인터스텔라 쿠퍼  +++ a (백투더퓨처2+3의  역재생 재생효과mix)  여러 내용들이 섞여 있는 느낌이 듭니다.  화면 전환이 다소 빨라 따라가기 조금 힘이 듭니다. 그래서 1번 보고 정확히 알기가 어렵네요.,9,1
11,재밌었는데 진짜,10,1
12,영화 난이도가 꽤 높음 누구나 생각해봤을법한 주제이지만 다루기 어려워 시도하지 않았던 시간이라는 설정을 영화에 담아낸게 참 도전적인거 같음 그리고 엔트로피가 역전된다는게 현실에선 절대 일어나지 않는 SF요소라서 관객들에겐 쉽게 다가오지 못함 영화가 불친절하긴했음 ㅋㅋㅋ 근데 지들 이해 못한다고 별점테러하고 까내리기 바쁜 사람들은 반성좀 했으면 좋겠음. 이해하려고 노력은 한건지?  조금만 집중해도 영화 초반 떡밥회수도 많았고 세부적인건 이해하지 못해도 뼈대만 갖추고 있었으면 충분히 재미를 느낄만한 요소도 많았는데.. 그저 눈 즐거우라고 보려는 사람들은 이영화 보면 안됨. 놀란영화 한번이라도 본사람들은 놀란이 그렇게 쉬운 영화 다루지 않는다는 것도 알텐데,10,1
13,일단 음악만으로 5점 먹고들어간다. 코로나로 영화관에서 못본게 후회된다.영화는 두세번 보다보면 절묘한 설정에 놀라게 된다. 물론 비현실적인 부분들이 눈에 띄게되지만 그것조차도 시간의 역행이 일어나는 상황이라 전혀 이상하지않게 보인다.  한가지 특이한점은 주인공 존의 연기가 좀 떠보였다.  주인공이 어딘지 현실에 발붙이지 못하는 눈빛들과 행동. 액션영화라면 안어울릴 둔한 전투씬들이 계속 눈에 들어왔다.  물론 이것조차 감독의 의도대로 연기하고 그가 비현실적인 인물이고 비전투형인간이라 일부러 현실에 부유하는 느낌을 주기 위해 그런 연기를 원했고  존 데이비드가 그걸 의도해서 연기했다면 ..대박천재들임.   어쨋든 영화해석은 각자의 몫이긴한데...그렇다고 이해안된다고 넘 별점테러들하는건 아닌지.. 쬐끔 부끄럽다,10,1
14,일반적인 타임머신 영화는 발생한 현실을 타임패러독스따위 무시하고 바꿔버렸지만 테넷은 완벽하게 그 난관을 넘어선 영화....테넷 욕하는 사람들 다시 영화보면서 놀란이 얼마나 섬세하게 과거-현재-미래가 왔다갔다 하는 상황에서 하나의 시간 흐름속에 묶어뒀는지 확인해 보시길.....미래의 인물이 과거에 개입한 모든 일들은 영화속 자주 나오는 대사처럼 '일어날 일은 일어난다'이다. 그가 미래에서 왔든 아니든간에....내가 생각하는 놀란 최고의 영화는 이제는 테넷이다.,10,1
15,아니 이게 평점 왜낮아????,10,1
16,젠장....이해는 커녕 느끼기도 겁나 바쁜 이영화 뭐냠.....다시 한번 더 봐야 긋다....ㅋㅋ,10,1
17,로버트 패틴슨이 주인공이어야했다~ 로버트 패틴슨이 멋있어서 그나마 볼만했다..,6,1
18,"타임 패러독스에 엔트로피까지 그럴싸한 논리를 가져와서 대충 퉁치고 볼거리로 뭉갠 후에 똑똑한 척하는, 하지만 모순으로 가득찬 블록버스터. 다만 이런 연출을 현실화한 장인정신은 인정한다. ㅋ   전형적인 지적사기.  인셉션, 인터스텔라, 죄다 이런식으로 비논리로 논리적인 척하더니, 현혹하는 연출 기술만 늘었네. 이걸 분석하려는 짓 하지 마라. 이해할 건덕지가 없다. 그냥 모순덩어리 시나리오에 액션을 끼얹은 거거든.  이 영화 보고 양자역학 운운하는거나 논리적이라고 하는 리뷰어들은 그냥 걸러라. 조또 모르면서 아는척하려니 개소리만 하는 거지. ㅋㅋ  현재까지 놀란 최고의 영화는 덩케르크와 메멘토인 듯.  시간물에 대해 제대로 된 걸 보려면 차라리 엣지오브투모로우나 투웰브몽키스를 봐라.",5,0
19,진정 욕나옴,1,0
20,졸라 간단한 스토린데...편집을 지룰맞게 해놨네... .,1,0
21,난해하다~ 너무 난해하다~ 고로 재미없다~~~~~~~~~~,6,1
22,닐이  살렸네,7,1
23,"복잡한, 너무나도 복잡한. 어려운 수학문제를 만들고 스스로 만족해하는 선생님. 2021.02.10.",6,1
24,어렵다.,7,1
25,믿고 보는 놀란 영화~!!,10,1
