,document,score,label
0,일단 넘 재밌고여.. 배우는 넘 귀엽고여... 그래픽과  OST도 나쁘지 않았고여....10점밖에 줄 수 없는 영화네여....,10,1
1,진짜 인생영화....배우들도 넘 귀엽고...CG랑 OST도 좋고...10점 만점에 100점..💖,10,1
2,기여워,10,1
3,넘 잼남❤️💛❤️💛🖤💚🖤💚💙🖤💙🖤💛🧡💛🧡,10,1
4,대박 수퍼대박,10,1
5,너누 재미있어욤! . 내 인생 영화,10,1
6,😊,10,1
7,진짜 너무 귀엽고 재밌음..,10,1
8,짱짱짱,10,1
9,짱,10,1
10,  ♡,10,1
11,♡,10,1
12,삶은소대가리/ 이런 곳까지 와서 정치 선동질이냐? 니 닉네임에서 니 수준 적나라하다. 우웩 헤리포터 너무 재밌어요~~,10,1
13,말이필요없음 ㅎㅎ,10,1
14,배우들 애기때 넘 귀욤,10,1
15,넘 재밌었음 노래가 명작ㅋㅋㅋ,10,1
16,상상했던 것을 눈으로 보게 되었을 때의 행복감,9,1
17,ㅎ,10,1
18,1편을 너무 늦게봤더,7,1
19,완전 재미있음,10,1
20,good!,10,1
21,너무 재밌어요 ㅠㅠㅠㅠㅠ,10,1
22,해리포터다시보는까 정말 좋네요 ,10,1
23,진짜 다시봐도 재밌는것 같아요!,10,1
24,해리포터 . . . 완전 ~~~~Good이렇게 재미있었을수가,10,1
25,첫 작이 전설이었다.,9,1
26,내새끼 해리..❤ 내 인생 영화,10,1
27,부모 덕 톡톡히 보는 해리포터... 다른 숙사 애들은 자괴감 들듯,6,1
28,해리포터재밋이서다,10,1
29,진짜 재미있어요ㅠㅠ❤️,10,1
30,⭐⭐⭐⭐⭐,10,1
31,인생영화,10,1
32,굿,10,1
33,GOOD ,10,1
