,document,score,label
0,크 명작~~~~!,10,1
1,❤️❤️❤️,10,1
2,명작이야 이시대에 다시 정주행도 추천 해요🥰🥰🌊❤️❤️❤️❤️❤️,10,1
3,완전 최고 지만 조금 어두워서 아쉽지만 진짜 명작이다 해리포터❤❤,10,1
4,트리위저드 시합을 영화로 본 것만으로도 황홀하다,9,1
5,👍👍,10,1
6,해리포터는 완벽 그자체,10,1
7,명작입니다,10,1
8,하ㅠ역시 해리포터ㅠ영화관에서 보여주셔서 감사합니다ㅠㅠ,10,1
9,하........ 진짜 너무 두근대고 하 책으로 읽으면 얼마나 재밌을까 하아ㅏㅏㅜㅠ,10,1
10,와우..,10,1
11,재미있게 잘봤어요 ,10,1
12,배우들이 최고로 귀여웠던 시리즈,10,1
13,.,6,1
14,박진감이 넘치네요,9,1
15,그래도 당대 ⟨반지의 제왕⟩과 더불어 나름 재미있게 봤던..,8,1
16,해리포터시리즈중에서 뭔가 가장 볼거리가 많았던편,7,1
17,"닉네임 ""형"" 인 사람은 영화 보긴 한건지...",8,1
18,명작이다,6,1
19,혼자서는 아무것도 이룰 수 없다. 보이지 않는 곳에서 도와주는 선생님과 나를 믿고 응원해주는 친구들이 있었다. 챔피언이란 그런 사람들로부터 만들어진다. 친구란 자신의 고민이나 힘든 것들을 털어 놓고 얘기할 수 있는 사이다. 하지만 경쟁은 상대방을 꺾고 넘어뜨리는 싸움이다. 살벌한 경쟁 사회에서 누군가를 밟지 않으면 밑으로 추락할 수밖에 없다. 그래서 누군가를 위해 희생한다는 건 정말 위대한 일이다. 큰 시련이 닥쳐와도 나를 믿고 따르는 친구들이 있다면 지금의 위기는 아무것도 아닐 것이다.,5,0
20,너무 잼써요!!,10,1
21,해리포터 영화볼때 넘 행복,10,1
22,좋ㅇ,8,1
23,영화 볼때면 행보케~♡,10,1
24,엔터테인먼트 요소와 미스테리의 조화,8,1
25,..,6,1
26,"남을 위해 희생하는 건 의식만 가지고는 안 된다. 마음이 없으면 위험에 빠진다는 걸 알면서도 뛰어들기 힘들다. 목숨이 걸린 경우라면 모른척해도 누가 뭐라하겠는가. 하지만 기꺼이 물로 뛰어들고, 화염에 맞서는 사람이 있다. 부모가 그렇고, 친구가 그렇고, 의인이 그렇다. 죽음보다 강한 건 없지만 희생은 위대하다.",5,0
27,아동용. 야동용 아니다. 아동용.,5,0
28,"4편은 무엇보다 트리위저드 시합장면들이 정말 흥미진진하고재미있다. 그러나 가장 보기역겨운 시리즈중 하나인데 이유는 바로 우리 헤르미온느가 어떤 미친새끼 꼬임이 넘어가버리는것!! 아, 그 빅터크롬이란 새끼 진짜 죽이고싶더라!! 그래도막판에 볼드모트가 부활하게되어 해리와대결하는 클라이맥스가 이영화를 살렸다",7,1
29,재밌습니다근데개인적으로는해리포터시리즈중에서는별로그닥....너어어어무어두워서그런가,7,1
30,우리 헤르미온느 한테 찝쩍대고 넘보는 빅터크롬이란 새끼 완전 개 재수없다.  ,7,1
31,인류 역사상 다신 나오지 않을 불멸의 최고에 레전드 전설 판타지 해리포터 영원하라 포에버!!!!!!!!!!!! ,10,1
32,"다음 개편으로 다 날림. ㅆㅂ 복구 안 함? 했는데 왜 내 평점은 다날라감? 다시 작성하는 것도 지침. '아즈카반'편에서 쌓아올린 호감도를 갉아먹은 편.  너무 많은 얘기를 너무 짦은 시간에 함축적으로 담아 버릴려고 함.  분위기나 영상 톤, 얘기의 색감은 그럭저력 맞춰가는 것 같으나 흐름이 끊기고, 전달력이 떨어짐",6,1
33,판타지를 그리 좋아하지 않아서...,6,1
34,"볼트모트에 대한 애정이 너무 부족한건 아닌가. 이 이야기를 떠받치는 한 축인데, 악에 맹목적으로 집착하기만 할 뿐 너무 평면적으로 보여서 아쉽다. 해리 포터가 주인공인데, 이상하게 매력이 떨어지는건 아닐까. 주인공 3인방이 너무 나이브한건 아닌가.",7,1
35,난 왜 이게 불사조기사단 보다 평점이 높은지 이해를 못하겠다,5,0
36,전작들보다 좀 어둡고 런닝타임이 꽤 길지만 볼거리가 많아서 좋다,9,1
37,용가리씬은 시리즈중 최고 장면으로 꼽아도 될듯하다 ,8,1
38,진짜 해리포터 영화는 어느편이든 다 재미있다 굳굳,10,1
39,이건좀 별로다,8,1
40,재미없었다 We Are Family Team WAF,0,0
41,1-4권까지 중에 제일 제밌다^^,10,1
42,스케일은 시리즈 중 최고다.,8,1
43,해리포터중 제일 어둡고 음침함,6,1
44,해리포터 시리즈중 가장 명작이다..,10,1
45,진짜 재밌다.,9,1
46,"꽤 흥미롭고,파타지의 혁명이다 ",0,0
47,.,5,0
48,이젠 어른 티가 나는 해리 포터 그래도 재밌다,7,1
49,Great,10,1
50,"싱크로율 완벽했던 다니엘 레드 클리프,,,흥미로운 마법의 세계~",9,1
51,배우들도 많이 크고 나도 같이크고,7,1
52,전작보다 훨 못하다. 내용들이 너무 많이 잘리기도 한듯. 그래도 역시 해리포터 시리즈...,7,1
53,아아 해리포터여 진정한 판타지의 교과서 입니다.ㅎㅎ,10,1
54,"1,2편에 비해 특수 효과와 영상미는 풍부해졌으나 모든 것이 3편보다 못 하다. ",7,1
55,이제부터 진정한 해리포터가 시작되는것같다,10,1
56,재밌었다,7,1
57,명문마법학교에서 사이비마술학원으로 바뀌고 있는 호그와트. ,5,0
58,캐릭터 캐스팅과 카메라 연출이 매력적이었다. 전편들의 덤블도어는 조용한 카리스마였다면 마이클 갬본의 덤블도어는 압도적 카리스마여서 극에 더 어울리는 연기였다고 생각한다.,8,1
59,볼드모트다....,3,0
60,케드릭 ㅠㅠ,9,1
61,"볼만하고, 꽤 재밌다",8,1
62,재밌다,10,1
63,해리가 대단하다..,10,1
64,이고르(크롬내 학교 교장)에 대한 설명이 빈약하였어요..이고르에 대한 내용도 있었으면 하는 바램이 있습돠.ㅎㅎ ,9,1
65,밑에 분처럼 저도 왜 12세 이상이란게 이상하다는게 동참합니다! 여하튼 죽음의 성물2만빼면 불의 잔이 가장 재밌었습니당!,10,1
66,짱,10,1
67,영화 뒷 부분 만 봤는데 아주 재미있네요.,10,1
68,책으로 봐서 이제 영화 봐야죠/// ㅋㅋ 쩔라 추천!!,10,1
69,아직...못본 영화지만 책으로는 봤도닼ㅋㅋ,10,1
70,"본격적인,,,",10,1
71,너무재미있어 흥분을 가라않질 않는다...아쉽고...또 보고싶다,10,1
72,재미있다. 하지만 아쉽다.,9,1
73,좋은데,10,1
74,내용이 너무 축약되있음,7,1
75,다들 시리즈중에 실망했다고 하던데 아니. 불의잔은 그 많은 내용을 잘 소화해냈다.,10,1
76,솔직히 시리즈중에 제일 재밌었음. 긴장감최고.,10,1
77,해리포터어렸을떄가더귀엽구멋져.그리고영화도정말재밌어.,10,1
78,이게 영화 중에 그래도 나았음 퀴디치가 없어서 아쉽기는 했지만.................,9,1
79,"해리포터, 너무 멋지지만 볼드모트의 무서움 때문에 매력 빼꼈어~~~!",8,1
80,해리포터 시리즈 최고,10,1
81,볼드모트의 부활과 트리워저드 경기...,10,1
82,"지나치게 단순한게 매력이자 단점, 그래도 시리즈는 계속될 것.",6,1
83,불의잔 기대 이상 이랄까요?,10,1
84,불의잔  재미있어요.,10,1
85,2편보다 더 재밌네요 다음편 빨리 보고 싶게 만들어 진다는 ㅎㅎ;,9,1
86,와~진짜 잼있어요!!!,10,1
87,해리포터 중 짱!!! 죽음의 성물 기대된다...,10,1
88,책으로 읽고 있는데 짱이다.,10,1
89,ㅇ,10,1
90,재밌기는 했는데 책의 내용을 너무 많이 자른 것 같아 아쉬움이 남았음ㅇㅅㅇ,9,1
91,재미있는 영화,8,1
92,제가 해리포터 책을 다 읽었는데 불의 잔이 젤 재밌더라구요.그래서 영화두 일부러 해리포터와 불의잔을 선택했는데 좋은 선택이었던 것 같군여.후회 않학 정도로 재밌습니당~!근데 무서운 부분도 있다는것이 흠임 ,10,1
93,재있는 영화,10,1
94,책이 4권이라 내용을 많이 빼긴 했어도 영화관에서 꽤 재밌게 봤던 기억이 남. 무엇보다 눈요기꺼리에서 볼만했음.,7,1
95,재밌어요 .. ,9,1
96,되계 재밋음ㅋㅋㅋㅋㅋㅋㅋ,10,1
97,너무 좋아 ㅋㅋㅋ,10,1
98,볼드모트의 부활!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!11,10,1
99,역시 재밌군 후훗,10,1
100,책보다 보면 항상 실망하는.. 그래도 그래픽적인 요소는 쵝오.,7,1
101,유치한 느낌 역시 아쉽네요,5,0
102,시리즈중에 가장 재밌게 본 불의잔. 어쩌다 극장에서 두번 봤는데 아깝지 않았음,8,1
103,평을 남기기 어색하다.. 좋다고도 나쁘다고도 할수 없는 영화... 하지만 확실한건 봐줘야 한다는거... 이전 해리포터 작품중에서는 나름 괜찮다..,8,1
104,책으루 보든 영화로 보든 내가 만난 책 중에서 가장 짱~,10,1
105,원작을 좋아한다면..,7,1
106,굿...,10,1
107,해리포터 시리즈에서 제일 재미있었다. 특히 용나올때 정말 재미있었다.,10,1
108,시간가는줄 모르고 재미있게보았다. 몇번을 반복해서 보아도 재미잇는 영화,10,1
109,혼혈왕자는 못봤어요,10,1
110,good,10,1
111,말이필요없음 ㅎㅎ 너무재밌음,10,1
112,시리즈 중에 제일재밌음,10,1
113,2편보단낫지,5,0
114,내용이 너무 많이 잘린듯... 잘살렸는지 잘...,5,0
115,굳,9,1
116,철 좀 들어요..,0,0
117,재밌어요 ㅋㅋ,9,1
118,용과 싸우는 장면은 정말 긴장감이 넘쳤다. 막판이 조금 아쉬웠지만 볼만하다. 해리포터 시리즈는 점점 공포영화가 되어가는듯. 왜이리 섬뜻해.,8,1
119,재밋어용,10,1
120,마이크뉴월은또뭐야,10,1
121,완젼 재밌는뎅...ㅋㅋㅋㅋㅋ,10,1
122,CG나름볼만햇음,7,1
123,"원작의 플롯을 따르기 힘든건 이해하나, 책 내용을 대부분 짤라버렸다. 해리포터 영화중엔 가히 최악",1,0
124,죽움의 성물 나오면 엄청 재밌을 듯,10,1
125,두꺼워지는 책을 영화의 러닝 타임으로 따라가는 것은 점점 버거워진다. 그래도 이만하면 불만없다.,10,1
126,이거 재밌다는데 근데 이건 판타지보다 순정에 가깝다는 ㅋ,10,1
127,점점 재미없어지는 것 같다.,7,1
128,해리포터시리즈 다 재밌던데.. ,9,1
129,판타지영화는 뭐가 재미있는지 모르겠음,8,1
130,주인공이 많이 커버렸네요 ㅋㅋ 해리포터니까 기본적으로 8점은 하는 영화죠! ,8,1
131,전에 나오던 시리즈보다 못한작품. 책에 나오는 내용도 너무 많이 짤라버려서 별로 재미없어요,6,1
132,이제는 애들을 위한 영화. 주인공들도 커버렸고 나도 성장해버려서 인지 예전처럼 재밌지가 못하네요,7,1
133,해리포터 시리즈 빼놓지 않고 봤지만 정말 그 중 단연 최고!!!,10,1
134,기대가 되어서 ㅎㅎ,5,0
135,확실히 다들 커서 그런지는 몰라도 전처럼 흥미진진한 느낌은 받질 못했다 ,7,1
136,"그냥,,,보지마,,,절대,,,",0,0
137,"싸우는 액션이 많을꺼라고 봤는데 마지막 부분 밖에 없더군요... 매우 실망감이 들고,,, 역시 책이 훨씬 잼씀니다^^",3,0
138,해리포터시리즈는 날 실망시키지않음.,10,1
139,해리포터 시리즈는  어느것보다 재미 잇는것같아요 1편부터  보구 잇지만 헐재미가 있어요,10,1
140,다들 재밌다고 하시네... 책을 읽고 봐서 그런가 그렇게 재미있지는 않았다... 역시 책이 짱이다...,6,1
141,완전 재밌어요⟩   ⟨ 다음편도 기대 만빵♡,10,1
142,시끄럽고 칙칙하고 너무 재미없음. 지금까지 시리즈중 최악인것 같음,1,0
143,완전볼거리도많고보면볼수록시리즈가지날수록더기대를더해간다^^*책이더흥미롭긴하지만영화도정말흥미롭다^_^얼른그다음을기대하고있다,10,1
144,저는 해리포터 시리즈 책은 본 적 없구 영화로만 봐서 잘은 모르지만 편집이 많이됐다고 하더라구요 그래도 넘 재밌어ㅋ주인공들 더 크기전에 빨리 영화 찍어야할텐데.. 이제 좀있음 나올 불사조 기대☆(두근두근~,9,1
145,엄청 기대하고 있었기때문에 관람 전날 불의잔 책을 읽고 갔었는데 원작이 재밌는지라 시간상 영화가 많이 편집되고 그래서 아쉬웠어요.,8,1
146,해리포터 시리즈는 어느것이 더 재미있고 없는지를 모르겠다..단지 볼거리가 만을뿐..,8,1
147,감동? 무언인가 남는거?? 그런거 없어 그냥 재미....,8,1
148,불의잔 정말 기대 많이 했는데 너무 많이 각색 됐더군요 완전 실망이었습니다. 불사조 기사단은 많이 짤리지 않기를....,9,1
149,아너무좋아,10,1
150,책보다 영화가 약간 미흡 했던것 같지만 그래도 다른 영화보다 책 내용이 좋아서 그런지 스릴있고 잘 만들어진 영화라고 봅니다 . ,9,1
151,"넘흐재밌는영화,,ㅋ",10,1
152,불의잔이 제일 재밌었던....,10,1
153,해리포터가 데스노트보다는 인기도 높을줄 알았는데 아니네...,10,1
154,zzzz,9,1
