,document,score,label
0,웃느라 정신 못 차림.  ^^ 재밌자는 영화한테 예술성을 바라나? 왜 이리 평점이 짠지? 그래서 만점 줌.,10,1
1,이정도면 킬링타임용으로 훌륭한데 평점이 너무 낮네,10,1
2,전개 빠르고 잼있고만... A급 B급 배우 는 먼말이야... 배우는 연기 잘하고 몰입 잘하면 되는구만...  난 너무 잼있게 봤어요~,9,1
3,간단하고 단순한 코미디 액션으로는 재밋게 봤어요!! 조금 어설픈 부분이 있었던건 좀 아쉽긴 하지만 그래도 많이 웃으면서 볼 수 있어서 괜찮았어요!!,7,1
4,재미있어요......,10,1
5,우울한 시기에  정말 많이 웃으며 재밌게 봤네요 ~~ 코미디 쟝르에 걸맞는 완젼 짱입니다!!! 배우들 다 코믹연기 넘 멋집니다^^,9,1
6,어색햐부분도 있지만 ㆍ가볍게 웃으며 볼수 있어요 ~ 잼있게 봤어요^^,8,1
7,비급감성이긴 한데 가족들이랑 보기 좋았음 코믹 요소가 재밌던데 은근,8,1
8,유쾌하게 봤다. 조금 미숙한 면도 있다.,8,1
9,좀 유치하고 뻔한것 같지만 나름 재밌게 봄,8,1
10,엄청 재미있어요  연출이 조금 어색한거 하고 코메디라도 약간 무게감이 있으면 좋았을걸,10,1
11,좀 유치하긴 해도 나름 잼있음 개그위주인거 감안하면 살짝 언발란스 느낌은 있지만 볼만합니다 ,8,1
12,웃음나옴. 어처구니 없어서.,1,0
13,이것도 영화라고..,1,0
14,아무 생각없이 할것없고 시간 남을때 봐라 ,6,1
15,최근 본 영화 중 최고~~ 넘 재미없다.,1,0
16,와 이걸 240만명이 돈주고 봤다고?  엄복동이 울고 가겠다.  실수로 터치한 별이 지워지지가  않네,1,0
17,재밌음 ㅋㅋㅋㅋㅋ,10,1
18,b급감성으로 대놓고 웃기자는 컨셉은 잘 잡은거 같다. 하지만 재치있다는 웃음보다는 손발이 오그라드는 유치한 장면들이 많은게 함정. 정준호는 이 영화에서 캐스팅 잘 한거 같았음. 간만에 역할에 찰싹 들어맞는다는 느낌??,7,1
19,개꿀잼~,10,1
