,document,score,label
0,"82년생 김지영이 아니라, 62년생 김지영이라고 했으면 별점이 조금은 올라갔을지 모르겠다.",3,0
1,결혼한지 20년만에 명절에 친정에 가겠다고 말했더니 쌍욕을 들은 우리 엄마 이야기이고 아들이 잘돼야 집이 잘 되는 거라는 말을 듣고 자란 내 이야기이며 명절에 결혼한 본인 딸 왔으니  빨리 상차려주라는 말을 들은 내 친구들 이야기이다. 지구가 도는 소리를 인간이 듣지 못한다고 안도는 게 아니다. 당하는 여성들이 이렇게나 많은데 언제까지 이 영화가 불편하다고 말만 할 것인가. 불편함을 지고 사는 사람들이 정말로 보이지않는가? 그런 당신이 너무 부럽다. 정말 부러워.,10,1
2,이 새벽에 보고있는 내가 참~ 뭐랄까 ? 그냥 헛 웃음만 나온다 저정도로 배려심 깊은 남편 있는데  호강에 겨운거  같으다   나도 여자고 엄만데 ᆢ배우자가 저런 급이면 초울트라킹왕짱 인생이지 너무 극단적 어거지 설정 ㅎ 결혼에는 남자나 여자나  어느정도  희생이 필요한거다 백퍼 만족하는 삶이 어딨냐,2,0
3,참...유엔디피 여성인권 10위 아시아1위 국가에서 이런 내입맛편집 조작스토리를 결국영화까지 찍어냈네요 몰카 맘충 스토리까지 들어간거보고 눈버렸지만 통신사무료표라 돈은 굳고 시간만 버려서 다행임 세계지도보면서 한국은 작아서 한국을 벗어나살거라며 한국인 없는곳에가서 산다는내용은  역겨움의 끝판을 달리는 내용이었음  자기비하의 극을 달린다는 점에서 베충이와 똑같음 페미는 베충이 취급받아도 할말없어요,0,0
4,페미물들의 시작 허영심의 끝판왕들 80년대생들 그들을 이어받아 요즘 90 2000 년도생들도 덩달아 개판될려고하고.. 배울걸 보고배워야하는데 그게안된다 80년대페미들땜에.. 그런 80년대생그들의부모세대인 60년대생에게서 저런쓰레기유전자를 받은거라면 그런 페미유전자가있어 어쩔수없이 받았다 손친다해도 적어도 그 밑에세대에는 알려주지도말아야지 .. 여전히 수많은 정상적인 요즘세대여성들은 죄가없고 ..한국남자는 다 저럴것이다 매도하고 나쁜쪽으로 몰아가는 역대급 쓰레기영화 아직도 이걸보고 감동을느끼는 페미들은 분명 문제가많다 페미는분명 사회악이다 적어도 정상적인 여성들은 그런 악의 구렁텅이에 빠져선 안되는것일테니,1,0
5,여자인 내가 왜 공감이 안되는걸까 호강에 겨운 양반계집...미스터션샤인에서의 이 대사가 생각나게 한다,1,0
6,"하고싶은  말이 보여주고자 공감을 느끼고자 하는것이 먼지 전혀모르겠다 한여성이 결혼과출산을 겪으며 생기는 이야기를 전하고자 하는건지  그냥 남자때문 난여자로 태어나서 불행해 여자는 다포기하고살아 우리나라는 그래! 를 외치는건지 이영화보면서 참 어거지 스런장면  상당히 많습니다  남자때문.남자로인한.남자로인한. 에휴..... 결혼은 자유고  군대는 의무입니다  그대들도 군대 생활을 모르면서 쉽게 편하니뭐니 ,,,  남녀누구나 다 힘들고 힘들게살아가는건 똑같다고봅니다 제발 한쪽으로 치우치지 말아주세요 ",1,0
7,82kg 김지영,1,0
8,아이를  키우고 살림하는것이 싫다는것이 아니다..엄마이기전에 아내이기전에 며느리이기전에..난..한사람이었고 ..꿈이 있었고..꿈을 이루어가는 과정에서 행복했고..꿈에 한걸음씩 다가가고 있었다..그러나!! 뭐든게 당연한거고..쉬운것이 없는데..결혼을 하고..아이를 가졌다는 이유로.. 나란존재는 100프로 없애버리고.. 엄마로  아내로. .며느리로 살아가는  삶이란.. 경험해보지  못한 이들은 절대 공감  못한다,10,1
9,가질거 다 갖은 여자가 손톱만큼의 피해? 를 못견뎌하는 이야기. 맞벌이에 아둥바둥 사는 대다수의 서민들이 보기에 심각한 우울증을 불러 일으키는 영화.  어려운 살림에 남편 좌절감 느껴 자살충동 일으키게 만드는 영화.  와이프 하는말이 저리 살고 저런 우울증이나 겪어 봤으면 좋겠다. 우리는 이모양 이꼬라지고 희망이 없다.  영화보고 집안 초상집 같음.  설거지 하는거에 불만인 부자집 여자들이나 공감할 영화.,1,0
10,정말 불편한 영화네.  2편이 꼭 나왔으면 한다.  2편은 남편의 시점으로 똑같이 만들어봐라.,3,0
11,"결혼해서 안정적이곤 싶고 애는 낳기 싫고, 대인기피증에 이기적이고. 혼자살아야지. 왜 결혼을 해서 남자한테까지 피해를 주냐 어휴. ",0,0
12,노잼 1점주기도 아깝다,1,0
13,"1점도 주기 싫지만 리뷰 땜시 어쩔 수 없이 한다 천안함 희생자들은 81년생인디 남자라는 이유 하나 땜시 학교에서 더 많고 더 세게 체벌 받고 남자라는 이유로 군대에 끌려가서 죽고 죽어서도 친북,친중 정치인,국민들과 ♪♬ 워마드,메갈들은 그 숭고한 희생양들을 욕한다 그리고 60년도 후반 부터는 여자가 겁나게 개꿀인 성이었어 뭐? 조선시대는 한남이 더 좋았다고? 예전에는 한남이 더 좋았다고? 그러면 삼국시대,고려시대때 여자가 개꿀이었다가 조선시대때 짱퀴 공자라는 놈이 유교사상을 전파해서 그렇게 된건데 그게 왜 한국남자 탓? 82톤 김치녕은 걍 느그 망상이다 내가 아는 사람은 국가의 안보를 위해  일해서 훈장 받은 사람도 있다",1,0
14,62년생 김지영이었으면 인정인데 82년생은 아님. 전혀.  누가 커피 한번 쏟았다고 ♩♪이라고 해대냐?ㅋㅋ,1,0
15,돈 아깝고 시간 아까운 영화,0,0
16,보는 내내 눈물이 났어요..  김미경 배우님 연기하는 거 보면서 특히나 더 요. 같은 여자로서 연대감이 느껴지고 말 하나 하나 대사 한마디 한마디 위로 받는 기분이었습니다 정유미 배우님 응원합니다 김지영 그 자체였어요 ,10,1
17,난 여자예요.  난 나만 힘들고 불쌍하고 ..???? 난 공유가 더 불쌍타.  진짜 힘드셨던분들은 어린아이 데리고 6ㆍ25 전쟁 겪은 그 시대  어머니들이다.  그래도 그분들은 누구보다 강했고 질질 짜지않음,1,0
18,졸작... 페미니즘 소리나 듣는게 좋은지... 김지영만 있나? 원하지 않은 남자로의  삶을 살고 군대인지 나발인지 가게 되서 목숨까지! 잃게 된거 보다 뭣이 중한지 다시 설명 혀봐... 결혼 하지 말고 애 놓지마~ 그 애들이 무슨 죄야... 누구나 삶이 만만찬은걸 겪으며 더 한걸 견디고 사는데 뭐 이딴걸 공감 하자고  만든 작가나 감독이나 지금 밥은 넘어 가나 아들  놓은 엄마들은 아들 죽여라? 댁네들 손으로?,1,0
19,지영엄마가 지영이를  안으며 울때  지영엄마가 한약을 집어던지며 울때 눈물이 펑펑 났어요 연기 정말 잘 하셔요,10,1
20,여성 스스로도 좀  바뀌길........,6,1
21,보지도 않고 평점테러라구...? 영화보고도 이거밖에 못주겠다. 시대에 편승하다못해...시대에 구걸하는 영화,4,0
22,지랄 옆차기 하고 자빠졌네 42년생이면 이해한다.  여자의 적은 여자란걸 말하고 싶은건가? ㅋ  지금 때가 어느땐대 개수작 부리고 있어.  열등감과 피해의식에 쩔어있네...  열등감은 극복을 못하면 정신병으로 분류된다.,1,0
23, 구조적 성문제를 다룬 것인지 특정 개인의 문제를 다룬 것인지 구부이 안감. 주인공이 정신과에 갔을 때 의사가 한 대사(의사 앞에 오는 순간 병이 거의 치료된 것)는 황당의 극치. 소설 영화 둘다 보편성과 개별성 사이에서 왔다라 갔다리 하다 끝남. ,3,0
24,82년생 할꺼 다하고 사는데???,0,0
25,일 안하는 김지영  수다 떠는 김지영 민원인 쳐다보지도 않는 김지영 야근 절대 안하는 김지영 무거운 건 모두 남자가 들어야 한다는 김지영  왕따 시키는 김지영은 82년생이 아니어서 그런거냐,0,0
26,공감대 없음,0,0
27,"책이 있다고 들었는데, 영화로만 접했습니다. 배우/연기 5/10점, 연기 평가를 할 수 없는 수준의 연출이라, 기본점수 입니다. 주연 2명의 원샷에서의 연기는 볼만하지만, 그게 다 입니다. 오락성, 스토리/연출, 작품성, 영상, 음향 등, 그 외 요소는 다 1점도 넘치네요. 왓챠 평점이 괜찮아서 봤는데, 정말 시간 버렸습니다. 2019년 영화라고 보기엔 그냥 쓰레기네요.  철저히 전제를 깔고가는 성차별에 대해, 작가나 감독이 주제를 풀어내는 능력이 없었던건지.... 조연들을 통해 던지는것은 성차별인데, 주인공들이 표현하는 부분은 죄다 정신병!? 이건 머지? 보고나면 주인공이 정신병이라는 느낌만 남네요..... 사회가 주는 정신병.... 영화자체가 던지는 메세지가 정신병....  너무 편협한 사",1,0
28,영화만 딱 놓고보면 그닥 공감도 잘안됨,0,0
29,남녀가 똑같이 일하고   동등한 대우 받는 사회가 됐으면 좋겠습니다.,1,0
30,우리시대엄마들은 애를어떻게 다키웠을꼬? 애를 하루종일보는것도아이고 쫌 유별나다는 생각만드네요~~,2,0
31,누가 봐도 남여 분란 조장이지 아빠가 여고생딸 데리러 나와서 하는 얘기 듣고 어이가 없었음 어느 아빠가 자기딸 그런일 당했는데 그딴 소리를 함? 여기부터가 남녀분란 조장임? 어느분 글마냥 임신이랑 경력단절에 초점을 맞췄어야지,1,0
32,완벽한 빵점,1,0
33,쓰레기 말도안되는 페미 영화,1,0
34,노코멘트,0,0
35,82키로인분들이 양옆에있어서 땀냄새 숨냄새밖에남는게없네요,0,0
36,대한민국 여성이라면 공감할 수 있는영화..7080세대 워킹맘인 나도 지영이를 이해한다.,9,1
37,81년생으로써 1도 공감없음. 심령호러물로 이해하면 편함. ,1,0
38,"화제에 비해 너무 과대평가인 듯.  같은 여자로 딱히 공감할 수 없는... 남녀를 떠나, 힘들다고 외치기에는 너무 사치스러운 것 아닌지 모르겠네요.",5,0
39,이런 것도 영화라고,1,0
40,남자도 결혼하면 나의 꿈은 사라지고 나 자신이 없어진다. 남자가 아빠가 되었다고 가정을 책임을 지는게 싫다고 징징대면 쌍욕을 박을 거면서  왜 여성들의 이기심과 철없음은 온전히  이해받아야 하냐 ㅉㅉ,2,0
41,정말 사소한것까지 다 풀기에는 영화한편으로는 부족했겠죠... 하지만 세상에는 이보다 많은 불평등과 불이익이 존재합니다. 여성으로서가 아닌 인간으로써이죠. 잦대를 여성이라는 편협적인 시작에서 본것이 남초와 여초를 분리시키는 나쁜영화가 되버린 이유라고 생각이 드네요.,0,0
42,우울하게 만드는영화 정유미 공유 좋아서 2점 (19.12.8 집에서 보다 끔),2,0
43,지나치다,1,0
44,82년생 보다는62년생 이었으면 공감했을듯.,1,0
45,별루,1,0
46,"내가 가장 원하는 삶인데  남편이 벌어다 주는 돈으로 집에서 애키우고, 게다가 남편도 좋은 남편이고 애도 없이 먹고 살기 위해 하루 종일 일만 하면 행복할라나? 김지영은? 공감이 안 가서 3 점",3,0
47,왕 별루,0,0
48,ㅎ ㅎ 빵점은 없네,1,0
49,ㅋㅋㅋㅋ 이게 영화냐?,1,0
