,document,score,label
0,내 나이 50이 다되었는데 외할머니가 보고싶다. 시골에서 치매걸리셨을 때 자신의 딸이였던 나의 어머니가 고생스럽게 산다며 밭에 있던 수박을 따다가 늘 장롱에 감춰두고 딸이 오면 수박준다고 하셨단다. 그 수박이 다 썩어서 외숙모님 속을 엄청 썩이셨다. 결국에는 한 겨울 실종되시고 다음 해 봄에 배수로에서 발견되었다. 손자인 나는 그 때 뭐가 바쁘다고 늦은 장례식에도 못 갔을까...ㅠㅠ,10,1
1,진짜 임한빈?  남자애 귀여워서 미치는줄ㅋㅋㅋㅋ,10,1
2,성인연기자야 뭐 다 아는 연기력이고.. 아역들 연기가 정말 최고네..  특히 공주.. 야무진것이 아주 매력부자. 이뽀  ,10,1
3,이거 보는 사림에게 말한다  웃긴 장면 나올때 팝콘드세요 나중에 눈물 받침데로 써야되요ㅠㅠ,10,1
4,보는내내 눈물이 멈추지 않았습니다 정말 오랜만에 감동적인 영화를 본 거 같아요..,10,1
5,잔잔한 감동  수안이 연기 정말 잘해요,10,1
6,돌아 가신 할머니가 그립습니다 ~~ 영화 슬프네요,10,1
7,"웃음과 눈물 , 그리고 감동이 모두 존재하는 영화야말로 최고의 영화가 아닐까 싶습니다 :)",10,1
8,아버지가 치매로 요양원에 계셔서 남일 같지 않았네요 그리고 사람들이 사고로 죽지 않는한 늙으면 치매가 걸리게 될거에요 나중에 다 자기가 겪어야 할 시련입니다,10,1
9,할머니와 손녀의 연기가 참 인상적이었습니다. 가족은 그 무엇과도 바꿀수 없는 소중함 그 자체라는 것을 일깨워 주었습니다. 감동을 주는 연기를 하느라 고생 대단히 많으셨고 영화관에서 보지 못해 아쉬웠습니다.,9,1
10,외할머니..너무 보고싶어요..ㅠ,10,1
11,다정한 담임쌤 박선생 천우희를 보러 1월 2일 밤 11시  MBC 특선영화 시청,9,1
12,Good good,10,1
13,전에는  그냥 스쳐  보았던  영화.. 다시 보다가 눈물 펑펑.. 팔순이 넘어가는 엄마를 보며 더  많이 와 닿았고..더  가슴 저린 영화..,10,1
14,세상에서 제일 무서운병이 치매. 막상 내눈앞에 다가오는 현실이라니 너무슬프다.,10,1
15,댓글중에  An영   니가 해라 그라믄...  본인이 영화 만들지도 못하면서  입 함부로 놀리지 맙시다,10,1
16,"얼마나 훌쩍였는지 머리가 멍..... 가족, 사랑을 다시 가슴에 심어봅니다 ",9,1
17,감성자극.  인생사 가족이란건 이런거죠,10,1
18,아... 할머니. 오랜만에 제대로 감성을 만지는 영화를 봤다.,10,1
19,할머니 생각네요~ㅠ.ㅠ,10,1
20,슬퍼요 계속울면서봤네요,10,1
21,잔잔한 감동,9,1
22,감동   최고의  영화   할매가 보고 싶네예,10,1
23,감동이네..,7,1
24,감성을 자극하는 좋은 영화.,9,1
25,참 잘 살고 있다고 그동안 잘 살아 왔다고  말해주는듯,10,1
26,눈물흘리면서 봤네요... 아주 감동적이었습니다..,10,1
27,가족의 의미..,9,1
28,따뜻.ㅡㅡㅡ,9,1
29,따듯한영화  잘 봤습니다  피가 안섞여도 서로를  지키려는  모습에서  진한 가족애를 느끼게하는 영화 네요 어린배우들 연기도 좋구요  물질적인 것보다  더 소중한  마음들을 가진  사람들 ᆢ,10,1
30,많이 울었다,9,1
31,야속한 세상 인생 운명. 그렇다고 사랑받지 못 할 자격을 가진 사람은 그 누구도 없다. ,10,1
32,혼밥하면서 펑펑 울었네요~극장서 봤다면 눈물에 화장지워질뻔!! 돌아가신 할머니 생각이 많이 나네요 더 잘해드릴껄...,9,1
33,심장이 찟어지는 줄...ㅜㅜ,9,1
34,괜히 높은 평점 운운하며 깎아내리는 사람들은 그냥 평점 못주게 했으면 싶을 정도,7,1
35,잘 뵜어요.. 연기들을 참 잘 하네요,7,1
36,두번째 몰입해서 봤습니다. 두 주인공의 연기는 최고라고 생각되요. 제 집사람과 딸아이에게 같이 보도록 권유했던 영화이기도 합니다. 다시봐도 눈물이 나고 감동이 있네요. 고맙습니다.,10,1
37,마음 따뜻해지는 영화 만들어 주셔서 감사합니다 감독님,8,1
38,뻔한   스토리ㆍ 눈물만  빼는    ㆍ 김수안양의  연기력에  그나마  8점  드려요 ㆍ  하지만  현실에서는   없겠죠 ㆍ저런  여자애는 ㆍ ,8,1
39,감동적입니다.,10,1
40,휴.. 너무 슬프다..ㅠㅠ,10,1
41,짱 감동,10,1
42,감쪽같은 영화를 만들어 준 배우와 감독 작가.. ㅜㅜ,10,1
43,연기 도 잘하고 잘만든 영화임,10,1
44,나문희 님...  아니 어머니 생각이  않이 납니다.....  얼굴을 그대로 꾸미지 않고 있으셔서....  너무 고맙습니다....  이시대 진정한 배우님~~  감사합니다~~^^♡,10,1
45,돌아가신 외할머니가 보고싶네ㅠㅠ,10,1
46,간만에 펑펑 울며 봤네요ㅠ,10,1
47,영화보다 배우들 보는 재미로 봤습니다. 영화는 거의 80년대 방화삘 나더군요~;; 나이어린 사람들은 잘안볼듯... 나문희배우는 전에도 이런 역할 맡았는데 좀 다른역을 하셨으면... 최정윤배우 올만에 스크린으로 만나서 좋았구요~ 글고 김수안배우 연기 좋았고 항상 행복하게 잘 자라길 바랍니다.,6,1
48,아 눈물이 멈추지를 않네요 ㅜㅜ  돌아가신 외할머니 생각이 나네요,10,1
49,"나공주 역의 김수안. 정말 연기력 대단하네요. 나문희 님의 연기력이야 대한민국 최고이고, 김수안과 나문희 님의 콤비 연기. 정말 최고입니다.",10,1
