,document,score,label
0,"난 재밋던데, 댓글 무시하고 본 결과 만족",10,1
1,기대 없이 봤는데 절대 지루한감 없이 스토리도 탄탄하고 배우들 연기도 일품입니다~  나름 몰입하며 볼 만 합니다~,7,1
2,신혜선의 연기가 너무좋았고 다른배우들연기도 좋아서 영화에 몰입할수있었음. 코로나땜에 500만이상 갈수있었는데 너무도 아쉽네요,10,1
3,"헉 평점왜이렇지 존잼이었는데,,, ",10,1
4,전체적으로 어설프다.  특히 손발이 오그라 들었던건 자폐남동생 연기다. 자폐는 연기 진짜 잘하는사람 아니면  소화하기 힘들다.  그리고 영화에 툭하면 자폐증 나오는데 자폐가 뭔지 잘 모르고 막 집어넣는거 같다. 자폐증 있는사람은 절대 저렇게 일반인처럼  말과행동 못한다. 차라리 지적장애로 갔으면 나았을거 같다.  법정영화는 어설프게 만들면 정말 보기 민망하다.,3,0
5,웰 메이드 신혜선씨 철인왕후 보고 반해  작품찾다 봤어요 연기 넘 잘하시는거 아녜요? 앞으로 쭉 팬할래요,10,1
6,간만에 재미있게 본 영화.. 평점이 왜 이리 낮은지 이해가 안가네요,10,1
7,영화의 소재나 시나리오는 얼마나 뛰어난 지 잘 모르겠지만 배우들의 연기력과 감정몰입은 충분하고도 남습니다. 댓글 개의치말고 꼭 보세요!,10,1
8,간만에 재미있게 봤어요 잼있네요,9,1
9,재밌게 본영화 중 한편,10,1
10,"이정도면 스토리도 탄탄하고 신파도 그리 과하지 않아 별로 흠잡을 것이 없는 영화인데 생각보다 평점들이 낮네. 배우들의 탄탄한 연기가 뒷받침되고 잘짜인 각본으로 만들어진, 명작은 아니지만 수작에 속한다고 본다.",8,1
11,아주 깔끔하게 잘 만든 영화이다. 바쁜데도 한번 보니 끝까지 보아야 했다.,9,1
12,티비로 봤는데도 몰입 쩌ㄴㅔ요,10,1
13,코로나만 아니였음 500만 갔을건데...끝까지 몰입되네여~!,9,1
14,여러 장면들이 좀 오글거리기도 하고 신혜선 배우에게 처음으로 연기가 어색하다고 느낀 작품이네 캐릭터랑 연기색이 안맞는지 아니면 캐릭터 분석에 본인이 적응을 못한건지... 대사나 플롯도 좀 오그리토그리지만 무엇보다 주연배우의 연기와 연출이 아쉬웠음,1,0
15,80년대 나왔으면 이해는 가겠는데.. 2020년에 이런게 나오다니... 경찰 검찰이 변호사까지 딱 살인의 추억 수준이네... 30~40년전 처럼 주먹구구식으로 수사하고 억지 부리고 쯧쯧 시대가 80년대면 이해하겠지만 현대인것 같으니 TV로 보면서도 짜증이 난다,1,0
16,"재미없거나 나쁘진않은 좀 진부한면이 없진않네요 예전에히트했던  영화 이끼랑 원빈이 바보로나왔던 봉준호감독의 마더 를 합쳐논 영화같아요 이끼에서는 허준호가 목사로 나왔었고 반전이 마더하고 같네요ㅎ 마더는 엄마가 바보아들 살리는내용, 이영화는 딸이 치매걸린 엄마살리는 내용 ",7,1
17,제목이 함정,10,1
18,생각보다 이 영화 잘 만들었는데 지루하지도 않고. 잼났슴,9,1
19,진부하다. 배우들이 좀 겉도는 느낌,6,1
20,비밀의 숲 외전,7,1
21,꽤 재밌게 봤다,10,1
22,동생~자폐 연기 연구 좀 해라 디지게 못하네,1,0
23,타임 투 킬? 뮤직박스? 돌로레스 크레이븐? 아니다 신파도 듬뿍 넣야지 ㅎ 그런데 첨부터 꼬여진 내 팔짱은 안풀리네 ㅡㅡ,4,0
24,단순하고 허점이 많고 이것을 메울 무언가도 없다,5,0
25,태항호씨  연기가 좋다  ㅡ왠 아이가 보았네ㅡㅡㅡ,7,1
26,뭔가 모자른 기분. 내용이 아니라 영화 자체가 답답하다.,6,1
27, 그럼에도 불구하고 괜찮네요 ^^,9,1
28,부장급 검사가  시의원출신 시장에게 굽신거리면서 시장을 위해 경찰 증인과 작당해서 증거 조작하고 사건을 왜곡한다? 비현실적인 설정... 아무리 영화라도 지나침,2,0
29,신혜선님 연기 잘 하시네요.,9,1
30,역시 믿고 보는 신혜선 연기력은 최고! 자폐 남동생도 연기력이 대단함 개인적으로 스토리는 최고는 아니지만 그래도 무난하니 잘된것 같고 끝까지  몰입해서 잘 봤네요.,8,1
31,크게 기대하지 않았는데 집중하게 만드네...근데 아들의 연기가 맥을 팍팍 끊는구만..,5,0
32,신혜선 연기 좋음,10,1
33,신혜선만으로도 충분하다,10,1
34,설날 특집 보고있는데 동생역 미스캐스팅 심각하네... 너무 몰입감 떨어져서 채널 돌릴까 말까 고민중,3,0
35,괜찮음 잼께봄,7,1
36,국민 법 감정에 따른 판결 유도한 변호사 능력 만렙이네ᆢ,8,1
37,반전이라면 반전인 듯. 배우들이 연기를 잘해서 9점.. 법정이 더 길게 많이 나왔으면 좋았을 듯,9,1
38,"아.. 진짜 여자가 주인공인 영화는 다음 평점 믿으면 안되겠다... 배우들 연기도 어색... 연기는 딱 배종옥님만 눈에 들어온다... 특히 남동생은 지적장애냐, 아니면 자폐냐? 둘중에 하나만 해야지 둘다 하고 있음...",5,0
39,여배우가 주인공인 영화로 성공한 작품 신혜선의 절제된 연기 정확한 대사전달 몰입력 캐릭터 소화력 눈빛과 감정연기 일품 여주로 드라마와 영화 끌고나가는 힘이 있어요 배종옥과 허준호 배우는 당연하고요 극본 연출 좋고 반전연기 끝까지 몰입력있게 잘봤어요 코로나 아니면 완전 대박났을텐데 아쉽네요 신혜선 배우 대성하세요~^^,10,1
40,10점과 9점준    ㅋ알바생들 넘 티난다   개판연기      봉준호 박찬욱     이후 감독들이 제작투자사에 넘 휘들린다  개성이읍다  1점은  봤기때문에  음악감독도 반성좀 하고,1,0
41,재밋어요,10,1
42,"추리물을 기대했는데 휴먼드라마에 가까움. 카메라기법 색감 등 연출은 훌륭했고, 영화초반 상갓집 씬은 특히 압권. 감독의 다음작품이 기대된다.",7,1
43,볼만하더구만,8,1
44,배우들의 연기가 돋보여 영화에 몰입하였으며 감동적이었습니다,9,1
45,몰입감있고 꿀잼이었어요. 연기도 짱이구요!,10,1
46,정말 매력있는 영화네요 코로나만 아니었으면 대박났을듯!! 아쉽네요,10,1
47,태항호 짱~,9,1
48,"신혜선, 배종옥, 허준호 등 배우들의 열연.. (약간 연극톤의 과장된 표현도 있었으나 그것도 하나의 장치라 생각하고 넘어감). 약간은 뻔한 스토리라 생각하다가 마지막 반전까지.. 나름 볼만 했음",7,1
49,생각보다 반전있는 스토리에 배우들의 멋진연기가 잘 녹아난 영화입니다,10,1
50,옛것의 향기,3,0
51,완전몰입대박 반전영화강추 신혜선배종옥미친연기와 신혜선연기매력빠지는영화 추석가족들과강추,10,1
52,신혜선의 연기가 일품이다..,8,1
53,새로운 여배우의 출연을 알리는 영화네 절제된 연기에 어울리는 여러 캐릭터 두루 섭렵하면 더 대성할듯 신혜선 배우 연기력 정말 뛰어나다.,8,1
54,"신혜선이라는 배우의 연기력이 돋보인다. 실제 있었던 사건에서 모티브를 가져와서 만든 이야기 치고는 조금 과한 느낌은 있지만, 요즘 워낙 다양하고 몰상식한 사건들이 많이 일어나다보니 그럴수도 있겠다 싶다. 부정부패와 맞서는 줄거리 자체는 마음에 든다. 법정에서의 재판 장면들이 조금 비현실적인 것이 가장 큰 단점.",7,1
55,"영화적 소재로서 다소 부족한 스토리. 구성도 약간 산만하고. 신혜선을 도와주는 초딩 동창의 캐릭터 및 개연성 확보 실패. 허준호, 상대측 검사 연기는 최고였지만(평점을 올림) 신혜선의 연기는 보통 정도. 기본은 하는 연기자니까. 킬링 타임용으로 그럭저럭.",7,1
