,document,score,label
0,"고질라는 인간편이라서 인간을 구해주는게 아니라 좋게 말하면 자연의 질서 나쁘게 말하면 자신의 서열에 도전하는 존재가 나타나면 없에버림,   인간은 자신에게 위협조차 안되는 존재이기 때문에 내버려 두는거 뿐,  반면 콩은 자신과 유대를 느끼는 존재를 보호하고자 하는 본능이 매우 강함,   오리지널 킹콩에서는 여배우 존대로우가 그런 존재였고 이번 몬스터 유니버스에서는 저 여자 꼬마아이가 그런 존재일 가능성이 큼,   그래서 굳이 따지자면 콩쪽이 더 인간편에 가까움",10,1
1,"이 영화를 보며 잘 수 없는 이유 1.  격투가 멈추지 않아 눈을 감아도 색감이 춤추며 자는 시야를 방해함 2. 극장에서만 저장할 수 있는 빵빵한 사운드, 최근 몇 년간 봤던 사운드 중 최고, 시끄러워서 잠을 절대 못 잠. 3. 다시 오지 않을 신과 왕의 대결. 결론 : 봐라.",8,1
2,여긴 어디?나는 누구?이걸 왜 보고 있지?,2,0
3,내용이 허술하고  옛날 갬성 좋아하시는 분들은 추억 삼아 보시길 추천은 안함 ㅠㅠ 지루하네요,1,0
4,CG도 화려하고 볼거리는 풍성해졌으나  이해할 수 없는 전개와 떨어지는 개연성은 아쉬움이 많이 남는다.,7,1
5,괴물들의 자존심 싸움에 수만명이 죽어도 ... 콩과 고질라가 무사하니 괜찮다는 영화... 뭔가 싶다. 댓글에 착한 콩과 고질라?? ㅎ 어이없다.,2,0
6,비추천,4,0
7,아무리 CG로 먹고사는 류의 영화라지만 최소한의 스토리는 있어야지 얘기가 너무 맥락이 없고 엉성함.,5,0
8,도끼에 뭐쏘고 에너지모으는건 대놓고 어벤져스 따라한거 아니냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,0
9,"더빙이 아닌 자막 영화를 초등학생 자녀 둘이 끝까지 집중해서 재미있게 관람한 최초의 영화.  고질라, 콩 고마워.",10,1
10,"초반 40분, 중간에 30분은 졸리면 자도 됨. 나머지 40분의 액션씬만 보면 됨. 스토리는 트랜스포머급...",7,1
11,"댓글들..왜 이렇지..다들 알바뿐인 것인가..  심야 영화로 보러 갔다가.. 진심 코미디영화 보는 줄..어이 없어서 배꼽 빠져라 웃다가  나왔어요..  킹콩이 인간보다 진화된 문명이 있고, 도구를 쓰는데.. 영화 내내 끝날 때까지  아무도 언급을 안함. 관련 내용조차 없음..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  화면상 싸우는 장면만 볼만 하고  싸우는 장면도 볼수록 배꼽 빠질 코미디..  내용은 유치원생 투니버스 만화 설정보다 못해요. 이걸 만들 생각을 하다니..대단..!!!!!!!!!!",1,0
12,"ㅋ 그냥 콩스 아일랜드를 한번도 보시길,  귀여운 꼬마 밖에 기억이안남  꼬마는 참고로 청각장애인임, 잘 풀렸다고함, 모든 아기들이  최소한 태어나서 부터는 건강하게 살면서 동등한 환경에서 건강하게 잘자랐쓰면 함!",1,0
13,"절대 개인적인 생각.....  ⟨GOOD⟩ 1. 나름 CG는 괜찮았음.     CG기술 때문인가? 콩, 고질라의 표정을보면 심리상태를 어느정도 느낄 수 있었음. 2. 스토리?      상상했던것 이상으로 전개되는게 아닌 상상했던대로의 스토리라 뿌듯했음. 3. 싸이언스?     콩을 가둬두었던 돔, 메카 고질라, 미국에서 홍콩으로 지하배송 시스템...     나름 미래 과학을 상상해볼 수 있었음. 정말 그랬으면 좋겠다. 4. 뭐 등등등...  ⟨BAD⟩ 1. 봤던 영화들이 스쳐지나감...     용가리, 퍼시픽림, 트랜스포머, 중국무술영화(이연걸 정무문)... 2. 스토리전개     스토리 흐름이 너무 스킵된다. 아마 편집에서 엄청 짤렸을듯. 3. 배우들의 연기등등  딱, 킬링타임용!",3,0
14,눈물이 앞을 가려  끝까지 볼수없었습니다. 인간을 위해 싸워준 콩..뒤늦게 한편이된 질라.. 대서사시 앞에 숙연 해집니다. 국민콩질라...포에버~~오늘이후로 둘은 아웃여!,2,0
15,"고질라와 콩의 우정을 써내려간 괴수 대서사시......... 싸우던 괴수들이 공공의 적을 만나 같이 싸우고 친해진다는 아주 주옥 같은 요즘 유딩들이나 공감할 경의로운 내용의 영화...... 지금 바로 예매하셔서 극장가로 달려가세요.  여러분은 인생 최대의 빡침과 욕나옴 그리고 돈과 시간의 아까움을 체험하실수 있습니다. 억지스러움 , 도시를 때려부수고 인간을 헤치는 괴수들을 걱정하는 인간들의 괴수애등 당신이 상상하는 그 이상의 괴랄스러움을 바로 체험하세요. 싸우다 우리는 친구 아이가 하며 그마해라 마이 맞았다 아이가 하니  오키 안녕하고 돌아가는 고질라의 무림고수다운 뒷모습 아 정말 이영화를 찬양하게 될 빡침을 지금 즉시 체험하세요.  - 절찬 상영중 - ""7세 이상 (정신연령)의 어른이는 상영시 빡침주의""",1,0
16,"왠만하면 고생해서 만든 영화에 대해 긍정적으로 봐주는 편이다. 기대 많이 하고 봤던 영화는 두 괴수의 싸움과 대형 화면으로 보는 박진감은 있었으나 개인적인 감상은 뭔가 혼잡스러운 분위기 였다고 생각한다. 배우들의 연기도 그렇고(하긴 두 괴수가 주인공인데 배우들이 무슨 상관이 있겠냐마는) 집중하면서 보기에는 다소 산만스러웠다.  초반에는 잠시 졸았고 딱 초등학생들에게 재미있겠다는 생각을 해본다. 차라리 그냥 콩, 그냥 고질라가 더 재미있었다는게 나의 평이다. 그래도 재미있다는분들이 훨씬 많으니 많이들 보시기 바란다.",5,0
17,아...,1,0
18,IMAX 로 보니 그냥 몰입감이 끝내주네요  고질라와 콩  그리고 여주인공은 꼬마소녀,10,1
19,예고편보다보면 3초에 메카고질라나오는데 둘이서짱뜨다가 팀먹구 메카고질라 조질듯,8,1
20,기대만 하는 중. 전작들 처럼 볼거리만 있는 영화는 아니길.... 아니면 압도적인 스케일로 스토리를 찍어 누르던가.,8,1
21,괴수 영화가 이정도면 8점이상은 된다고 봄.   알럽~! 콩.,8,1
22,나는 괜찮은데 다들 왜이러지;;;,8,1
23,난 재밌던데 댓글이 왜이렇지;;;;  충분히 볼만하던데ㅈ,8,1
24,고막이 찢길거 같았는데 장모님은 주무심..  초딩 저학년인 아이들도 소리가 컸다고 하지만 무지 좋아함. 나의 국민학교 시절로 돌아간 것 같은 기분이 들어 살짝 설레였음.,6,1
25,"이종격투기하는 고질라와 프로레슬링하는 콩의 싸움  이빨공격, 레이저쏘기, 발톱공격까지 콩이 상대하기에 고질라가 너무 사기캐릭터임",6,1
