,document,score,label
0,b급이라 하기도 민망한..관객을 조롱한 수준,1,0
1,혼자  당할 순 없다.,10,1
2,배우들이 좋아도 감독 제작이 형편없으면 이렇게 되는 영화... CG도 어설프고..,4,0
3,보다가 나가는 사람있더만...  억지로 다 봤지만 그럴 필요가 없었음.  감독에게 하고 싶은 말이 있는데 영화연출 공부 좀 하고 영화 찍으세요 담부턴~~,0,0
4,이것도 영화라고 만든건지....,1,0
5,다양한 캐릭터 가볍게 소모 되어진 초호화 캐스팅,7,1
6,내용은 둘째치고 시대에 뒤떨어지는 cg를 보고 우뢰매 보는줄 알았네,3,0
7,배우들 땜시 그려두 뭔가가 있겄지 있겄지 하며 참고 참고 보다가 결국엔 포기 했구먼유~~ 뭐시 중헌디?,2,0
8,재미 진짜없어요. . 어느한부분 만족스러운부분이없었음.,1,0
9,사투리가 상당히 어설픕니다. 쓰지를 말던가 쓰려면 제대로써서 완성도를 높이던가 보는내내 신경이 너무 쓰였습니다.,5,0
10,나도 감독할레...,1,0
11,삘리삔  두친구가 주인공?,6,1
12,따지지말고  재밌게 보시면 됩니다,6,1
13,모 재미만 있구만^^ 배우들 연기도 좋구만유~~,0,0
14,제작자는 무슨 되냐?   이 좋은 배우들을 다 쓰레기로 만들다니.,2,0
15,진짜 단 한번은 웃을수 있을 줄 알았다. 근데 이건 뭐...,1,0
16,감독이 편집이랑 심하게 싸운듯 편집이란 영역이 존재하지 않는다. 스토리가 진행이 안될 지경. 촬영과 내용도 폐급이다. 이런걸 영화라고 개봉한다니. 개그나 코미디 이전에 스토리 진행이 안될 지경이다. 심하게 재능이 없는 감독,1,0
17,알아서들 까 주시니..난 걍 침묵,1,0
18,난 재밌는데 나만 재밌나봐.,7,1
19,웃다가 배꼽 빠지는줄... 그냥 가볍게 보면되는거 아녀?,9,1
20,가볍게 보기 좋다. 웃기는 부분도 꽤 많고,8,1
21,국민들 수준을 뭘로보고!! 이따위 개연성 없는 코미디(?)라고 하기에도 부끄러운 영화를  만들었나 감독에게 묻고싶다.,1,0
22,재미나유,7,1
23,나  혼자만 당할순 없지 모두같이 죽자 ㅋㅋㅋ,10,1
24,이런 영화에 투자하는 회사가 더 신기할 때름,1,0
25,정말 재밌게 보았습니다 생각보다 평점이 너무 낮아 의아할정도로 웃기네요,9,1
26,이걸 필리핀에 수출한다고?    지능적 혐한 세력이냐?  그 나라에 팔꺼면 립서비스라도 그 나라 장점을 부각시켜야지  뭔 생각이지?,2,0
27,OCN에서 보다가 너무 지루해서 여기까지  왔습니다,1,0
28,심심풀이로 보면 잼나요,8,1
29,"배우가 너무 아까운 영화입니다. 멋있으려고 하는 장면은 멋이 없고, 웃기려고 하는 장면은 재미가 없습니다. 시나리오, 연출이 다 문제네요. 이 영화 감독과 시나리오 작가는 앞으로도 피해야됩니다.",1,0
30,나름 볼만합니다,8,1
31,편하게 잘봤어요,8,1
32,어설픈 사투리부터 진부한 연기와 내용,1,0
33,완전 잼있음.   코로나  스트레스 완전해소!!!,10,1
34,그냥 큰 기대없이 보면 킬링타임으론.... 시나리오가 너무 허접하네... 요즘 한국영화 수준이 엄청 높아 졌는데...이건 좀~,6,1
35,킬링타임으론 지루하지 않고 잼 남.  평점이 왜 이래?,8,1
36,재밌게 잘 봤어욬ㅋ,10,1
37,연출가 시♪~♩♩♪♪ 배우는 입에 거품물고 연기하는데 이것밖에 못담아내냐 내가 니미 곽도원하고 1도 모르는데 저녁에 반주삼아 혼술하다 ♬♬ 댓글ㅢㆍㄴ다,9,1
38,영화 다 보고나서 눈물났다.. 진짜 이렇게 재미없는 대체 얼마만에 본건지... 앉아있는 내낸 고통스러웠다..,1,0
39,곽도원 혼자서 7점은  먹고 들어가는 영화 5.1은 넘 했네,10,1
40,심각한 척 할 필요없이 가벼운 마음으로 보는 영화로 시간가는줄 모르고 봄.,9,1
41,재밌게봤음 ㅋㅋㅋ,8,1
42,필리핀 조연 2명이 주인공인 줄... 보통사람 만든 김봉한 감독이 맞나?,1,0
43,유쾌하게 봤습니다,10,1
44,배우라도 믿고 보려고 했는데... 이 배우들 내가 알던 그 배우들이 맞는지...,2,0
45,저는 12살인데요 너무~~~~~~재밌었어요 믿고 보세요!,10,1
46,진짜....할말이 없다.....,2,0
47,한번보면 끝까지 보는 성격이라 다보긴했는데 처음 5분의 느낌이  마지막까지  변함없이 갈줄이야,1,0
48,편집을 안한 듯 삭제할 부분이 너무 많음 넷플릭스에서 보다가 아내한테 혼남 이게 뭐냐고,2,0
49,흥미로운 소재인데 참 멋없게 그려냈다.. 이렇게 지루할수가ㅜ,5,0
50,난 이 영화를 보고 목 디스크가 완쾌됐습니다. ,10,1
51,재미있게 봤음.,9,1
52,유쾌하지 않는 코로나 정국에 필리핀여행 소재  시기가 안좋았다,3,0
53,뭔가 영화감성이 안조은 날인가? 몰입도 안되고 웃기지도 않고 어수선하고 곡성때 그이미지 고대루고 자꾸만 잠오고.. 해서 보다 꺼버림 (20.10.20 집),2,0
54,"감독아, 브이로그 찍냐? 유튜브가 니 쓰레기 영화보다 더 재밌다. 근데 아니? 유튜브는 공짜야.",1,0
55,B급 영화에서나 나올수 있는 심폐소생술을 하고도 소생 시키는 어처구니 없는 영화 어지간한 학생들도 소생술 위치를 다 아는데 이 영화관계자들은 어지간하지 않은걸로...,1,0
56,영화 평점 먼저 볼껄;;;;,2,0
57,이거..홍보하러 라스 나오셨드랬어요?,1,0
