,document,score,label
0,"제발 일본 작가들은 전범 미화나 자살테러 카미카제 미화 좀 하지 마라. 물론 소재로 삼을 순 있다. 하지만 전쟁 학살 약탈, 인권 차별과 인권무시가 미화를 시켜서 작품으로 내보일 주제냐? 일본 작가들은 그런 근원적 무지를 좀 부끄러워 해라,",1,0
1,"작화와 그래픽은 좋았으나 단순한 스토리, 참수 등 핏빛 장면의 연속, 검법 시전을 위한 끊임없이 지속되는 샤우팅 등 컨텐츠는 부실하네요. 전범기인 욱일기 사용은 최악이며 용서 불가.",1,0
2,일본흥행 1위..센과 치히로를 제꼈다는게 이해안되는 평작. 코로나 영향때문인가.,6,1
3,욱일기 논란,1,0
4,진짜 일본은 이딴게 1위하는게 트루??? 왜 일본 영화계가 망하고 히키코모리 오타쿠들만 득실대는지 잘 알겠다. 현실에서는 꿈도 못꾸니까 애니로 망상이라도 해야 살아갈 수 있나 보구나.,3,0
5,대단한 애니까진 아녔음,5,0
6,"쓰레기 영화, 네일베 애들만 10점 주는 영화",1,0
7,1. 귀칼좋다고 애니보는 사람: 정상  2. 귀칼싫다고 애니 안보는 사람: 정상 3. 귀칼 굳이 싫다는 사람한테 애니 보라는 사람: 비정상  4. 귀칼 좋다는 사람한테 일본꺼 왜 보냐면서 욕하는 사람: 비정상  걍 취향대로 삽시다,10,1
8,연출이랑 작화가 좋다. 엄청 노력한듯한 작화에 액션씬은 화려하고 전환도 빨라서 지루하지 않다. 적재적소에 브금도 잘 넣어서 흡입력 있게 빠져든다. 근데 스토리는 별로엿다. 개인은 전체를 위해 희생한다는 전체주의적 사상을 미화시키는데 영화의 반은 질질 짜고 웅장한 브금을 넣어서 감동을 강요하는게 기분 나쁘다. 여운은 남는데 솔직히 영화관에서 본게 빡치고 돈 아깝다. 끝나고 이게 왜 이렇게 별점이 높은지 모르겠다 는 생각만 든다. 과평가된 영화다.,4,0
9,독립운동은 못해도 불매운동은 해야지? 이토왜 매국노의 씨앗드라~~,1,0
10,"소울은 이미 봤었고.. 일본 애니를 극장에서까지  보고 싶진 않았는데.. 진짜 볼게 너무 없어서 봤다.  일단.. 극장까지 가서 볼만한 수준은 아니다.  이게 일본에서 역대 흥행 1위라니.. 일본도 진짜 끝인듯..  너무 지독한 신파에.. 초중반까지는 지루함의 연속.  막판 렌고쿠 vs 아카자 전투만 아니었으면.. 3점 줬다.  TV판 보다 조금 더 나은 정도를.. ""극장판""이란  이름으로 내는 호기는 참.. 어이가..;;  일본 불매를 떠나.. 돈 내고 보지는 마라.. 꼭...",5,0
11,일본에서  흥행해서 재밌을줄 알았는데 많이 유치함,1,0
12,요괴를 퇴치하는 주인공의 숨겨진 서사와 성장기...나루토나 블리치의 아류작 정도인데  한 나라가 들썩거릴 정도라는 게 믿기질 않는다.,1,0
13,진심 환불받고싶다 잔인한 마법천자문,4,0
14,최악.. 센과치이로를  넘어섰다는건  절대  이해도 안되고 옥일기  귀걸이와 자살미화는  청소년들이  보기 최악임 아이들이 하도 보고싶다길래 어린이날겸 같이왔는데 최악중에 최악임 앞으로  책으로보 보여줄 생각없음,1,0
15,티비애니를 본 사람이라면  대단히 재미있는  내용이지만 극장판으로선 센과 치히로에 턱없이 못미칩니다 ㅜㅜ,5,0
16,보다잠들었음,1,0
17,요즘 일본에도 볼 애니가 그렇게 없었나 보다....,1,0
18,"1. 지나친 신파 - 감정선 잡을때 잡아야하 허구한날 울고 있음 2. 질질 끄는 스토리 전개 - 싸울때 빨리 싸우자... 뭔 생각하는것까지 다 중계하고 있니 3. 좀 심각해지는 상황이면 어김없는 훈수질 - 교훈을 끼어넣고 싶으면 은근슬쩍 넣어야지 대놓고 계속말하니까 잔소리 듣는 기분  딱 일본애니 수준임. 작화도 괜찮고 전체 스토리, 액션신도 괜찮은데 전개속도나 지나친 신파로 몰입도 반감.",3,0
