,document,score,label
0,오늘  봤다 진짜 기대안하고 봤는데 곤지암 보다  무서웠다  간만에 주먹에 힘들어가고 등짝 으슬~ 돈 진짜 아까우면 어쩌나 했는데 강하게 추천,10,1
1,김강우 홧팅!,10,1
2,오우 쫄보라 그런지 무섭네요 ㅎㅎ 계속 긴장하고 봤어요,10,1
3,무서울 줄만 알았는데 스토리도 추리해가는 맛이 있는게 재밌었다,10,1
4,이거 꼭 스크린엑스로 봐야돼요ㅎㄷㄷ ... 옆에서 막 귀신 나옴 넘 무서움,10,1
5,ㄱㄱ,10,1
6,최고입니다,10,1
7,이거 꼭 4DX로 보세요 완전 귀신의 집 그자체..,10,1
8,김강우 연기야 말할 필요도 없으나 신인들이 김강우를 받쳐줄 수 있을지.. 그래도 믿보배 강우형 때문에 십점 줌.,10,1
9,김강우는 정말 열심히 하는데 나오는 영화마다  뭔 사건터지고  논란생기고 ㅠㅠ 이 형님은 이젠 정말 잘 되셨으면 좋겠다 ㅠㅠ,1,0
10,두근두근  하며  기다릴께요,10,1
11,귀문은 한국 공포영화중 작품이기도 합니다. 그리고 내일의 기억(영화)에서 선우 역을 맡은 김강우가 새로운 한국 공포영화에서 서도진이라는 역할을 맡았습니다.,10,1
12,이거 왜이래 다들 알면서,1,0
