,document,score,label
0,보다보다 졸았다,1,0
1,세상엔 2가 안나와야 하는 영화가 있다. 이게 그 중 하나인듯,2,0
2,모두 어린시절 우리를 괴롭혀온 심연의 공포가 하나씩은 있다. 빌이 자신을 힐난하는 동생의 환영과  죄책감에 괴물이 되어버린 자신의 환영을 모두죽이는 장면이 이 영화의 상징인듯.,10,1
3,지루하네요,1,0
4,"런닝타임이 약 2시간 50분으로 공포영화치고는 상당히 긴 영화이다. 이유는 단순히 공포영화에 성인들의 성장드라마를 덧붙인 데에 있는 것 같다.  기억과 상처  그리고 우정과 사랑 등에 관한 스티븐 킹 식의 닳고닳은 트라마트루기로 도배된 영화이다. 굳이 장점을 꼽으라고 한다면, 공포 씨퀀스는 편집이나 촬영 등 꽤 좋은 편이다.",6,1
5,러닝타임이 너무 길어서 지루할줄 알았는데 영화가 주는 메세지도 있고 1편만큼이나 볼만했다...,7,1
6,아이들이 더 크기 전에 2편을 찍을수 밖에. 그러나 1편에서 내재된 이야기는 이미 다 소비했으니 어쩔수 없이 새로운 이야기들을 만들어 내지만 와닿지 않는 급조된 피상적 내용들 뿐. 어디서 본 내용들을 짜깁기한 씬들 뿐이다. 스타를 내세우고 괴물을 내세워도 전혀 몰입이 안되는 엉성한 연출과 시나리오. 수없이 잡아먹어도 전혀 무섭지도 않은 그것. 화면 안에서만의 호들갑. 처음과 마지막을 장식하는 동성애 코드까지. 지루하고 재미없는 영화. 스티븐 킹이 직접 나온 장면은 나름 재미있었다. ,5,0
7,아쉬운 부분은 너무 많았다 페니와이즈는 광대공포를 불러오기에 역부족이었고 영화는 늘어져서 지루하고 놀래키는 것 외에는 아무것도 없었다  판타지 부분은 연출이 너무 유치하다 또 결국 페니와이즈를 물리치는 방법이 그냥 입으로 비난해서 끝난다는 건 허무하기까지 하다  베벌리의 남편의 등장도 적었다  역시 1편과 2편으로 나눈 것은 실책이었다고 생각한다  별로 무섭지 않은 TV 드라마 정도의 완성도 그게 ⟨그것: 두 번째 이야기⟩ 의 정체다,6,1
8,스탠리- 난 어릴때부터 너희들 짐만 됐으니  난 먼저간다. ⟨- 이게 젤 멍청한 짓.  에디의 감정기복:  반갑다. 오예~ - 무서워. - 나를 따르라. - 으엌.  - 나도 따라 간다.  짝사랑 벤 ♡ 이혼녀 베일리ㅋㅋㅋ 몸만 들어감.  근데 베일리 할매씬은 가슴 딸랑딸랑 거리는거 역겨움,8,1
9,공포영화인줄알았는데 SF 괴수영화였다니,5,0
10,좋은친구는 친구가 잘될거만 해둬야지 ~ 친구가 괴로워할것 뻔히 알면서도 강요할것은 망할친구다 ~ 마약쟁이에 환각에 사로잡힌 친구 ~ 모두 망해라,1,0
11,헐,4,0
12,애들은 가라  아니 애들이 낳다~,7,1
13,.,6,1
14,뚱뎅이만 성공했네.  좋아하는 여자랑 해피엔딩하고...,8,1
15,"재미는 1,교훈은 2",7,1
16,나름의 지워지지 않는 공포하나쯤은 갖고 있다는 전제하에 오락적인 감상이 와 닿는다.,10,1
17,1편의 성장물,7,1
18,"그냥 1편으로 끝냈어야 .... 굳이 주석을, 그것도 이렇게까지 장황하게 길게 달 이유가 있을까   ",5,0
19,지루하고 이것저것 다 때려넣음. 또 그놈의 성장에 의미 찾는 사람들 ㅉㅉ,2,0
20,"1편의 잘 만들어진 구성과 공포감을 지나치게 늘리고, 이유를 찾고, 주인공 하나하나의 개별적인 이야기를 다 열거하느라 길어진 상영 시간하며... 갑자기 공포 영화에서 판타지 영화로 바뀐 듯한 느낌이 들어서, 그리고 인디언들의 샤머니즘적 의식을 어설프게 갖다 붙여 기원을 찾으려 했던 것 등등 무리수가 여기 저기 보여서 1편의 공포감을 많이 감소하게, 심지어는 코미디 영화같이 우습게 (에디와 리치의 끊임 없는 코믹 대사 등) 보이는 등 많이 실망은 했지만, 89년 뉴키즈언더블록을 실제로 좋아했던 세대로서 그리고 80년대의 영화나 순수함을 그리워하는 세대로서 친구들끼리의 우정은 정말 감동적이었음. 욕설과 잔인한 장면이 의외로 많이 나와 성인이 봐도 좀 무섭고 불편했기에 청소년 영화로 분류하면 안 될 듯 하네요. ",7,1
