,document,score,label
0,그린랜드 : 민폐 가족 이야기 재난 상황에서 억지스런 고집을 가족애로 포장 명대사 군인 : 만성질환자는 제외입니다. 여주 : 봐주세욧! 당신의 가족을 만성질환자라고 탈출을 안시켜주면 어쩔거에욧! 군인 : 저흰 선택조차 받지를 못했는걸요. 여주 : 죄송합니닷!,1,0
1,발암영화 자기 자유가 소중해 코로나 퍼뜨리는 미국 상황을 이해하겠더란. 이기적인 것들.,1,0
2,"배우만 블록버스터인 가족드라마. 민폐 가족의 재난 생존기가 부제쯤 되겠다. 아무런 효용성도 없는 거부된 팔찌를 끝까지 사수하고 가족과 떨어지지 말라는데도 자꾸 나서는 아빠의 오지랖, 눈치없고 능력없는 엄마, 그리고 사고를 부르는 입을가진 아들까지, 눈치없는 뻔뻔함으로 많은이를 천국으로 인도하는 가족의 눈물겨운 이기주의가 돋보인다. 배경만 2012였지, 실상 제작비는 전부 출연료에 쓰인게 아닌가 싶을 가족 드라마다.",5,0
3,코로나에게 감사. 극장에서 봤으면 돈과 시간이 아까워 홧병으로 죽었을 듯.,1,0
4,보면  볼수록  화만 나는  영화... 비행기  폭발도  결국  주인공  때문... 애휴..  눈버림,1,0
5,정말 한심한 영화다~ 그냥 집에 있지 왜 나와서 민폐를......,1,0
6,민폐가족의 재난 영화... 충분히 저런 상황이 있을거라고 생각은 하는데.. 너무갔다...,2,0
7,지금까지 봐왔던 재난영화중 진심 역대 최악이라고 봄.,1,0
8,딥임팩트에 1/5정도수준...보는 내내 답답...,3,0
9,혜성의 비주얼에 집중했다면 2012보다 나았을까? 비주얼보다 재난상황에서 충분히 있음직한 현실적인 모습을 보여주었기에 좀더 와닿지 않았나 생각들었다,10,1
10,감동입니다. 재난 영화 중에서 잘 만들어진 영화라고 생각해요. 재난의 피해와 무서움을 표현하기 보다는 재난에 처했을 때 사람들의 행동과 심리에 대해 지금까지 다루지 못했던 부분들을 잘 묘사한 영화네요.,10,1
11,느낀점이 많은 영화 재난시 제일 중요한건 선택과 집중.  당뇨약 빠뜨렸어도 비행기는 탔어야 했다 아빠가 가지러 갔음 엄마하고 아들은 비행기 타고 있어야했다 길이 엇갈렸음 차든 검문소든 있어야 했다 저런 나라에선 남의차 타면 안된다  자신이 선택받았다는걸 못받은 사람앞에서 얘기 할 필요 뭐가 있나. 팔찌를 숨기든 버리든  팔찌가 공격의 대상이 되는데. 혜성 파편이 떨어지는데 불타는 차에 사람은 왜 구하고 있나  애와 엄마는 다리 밑에 두고 왠 정의감인지 비행기 추락도 마찬가지 검문소와 벙커 들어갈때 급박한데 아이는 안고 뛰자 부모라서 몰입하고 보긴 했지만 쓸데없이 이산가족 찾기가 영 불편했던. 아버지는 끌고라도 모시고 가야지 앞으로의 재난시 대처방법이라도 생각하게 하는 영화임,6,1
12,이 가족과 영화가 재난임,1,0
13,애미는 지만 알고 정작 애한테 필요한건 다 빼먹고....애는 사고는 사고대로 치고.....애비가 불쌍한 영화...,2,0
14,마누라 발암캐릭터 진짜... 어휴,6,1
15,평점을 주기가 아까울정도로 망작이다~ 제라드 버틀러의 영화중 가장 큰오점으로 남을 영화 제목을  발암가족으로 지어라~,1,0
16,이기적인 와이프로  민폐총출동. 동감 안가는 비굴한 행동들. 주인공들 매력 없음,2,0
17,지구 멸망 재난 영화는 무수히 많았지만 이영화를 봤다는 시간낭비의 느낌..보편적 가족애라고 보기엔 무리가 있는 설정. 예전 이런류의 영화들에 비해 현저히 낮은 수준의 영화,1,0
18,마누라하고 애새끼 진짜민폐네,6,1
19,고구마 10개 먹은듯 꽉 막힌 영화....,4,0
20,"내가 본 최악의 재난 영화. 아무런 긴장감도, 전율도 없는 추레한 가족 신파극. 억지스러운 전개와 막장과 같은 CG는 영화 중반부 이후 집중력을 고갈시키기에 충분함. 유일하게 기억에 남는 점은 실제로 저는 재난이 일어나면 아내랑 애는 무조건 버리고 가야 한다는 점이다... 민폐도 저런 민폐가 있을수 없음",1,0
21,재난영화의 짜증 전개는 다 모아놓은 구질구질한 영화인듯... 항상 문제있는 부부와 몸이 안 좋은 아이 등장 그리고 재난을 극복해 가며 가족애 확인과 화해! 헐리웃 영화의 포맷은 이제 지긋 지긋 그 자체! 근데 이영화는 재난 영화 특성상 제공되는 볼거리도 별로 없고.... 전개 과정은 관객들 답답해 죽으라고 억지 스토리 입빠이 삽입..... 다른 재난영화에 비해 내용은 좀 더 현실적이었으나 영화는 자고로 무조건 일단은 재밌어야 한다는 대전제로 본다면 언 OUT!,2,0
22,억지스러운 스토리.보는동안 재미보다는 답답하고 영화가 끝이나면  짜증남,1,0
23,미국이라는 나라가 맛이 가는 것처럼 헐리웃도 같이 가는구나.,2,0
24,보는 내내  답답 진상 가족 절대 비추,1,0
25,뷰웅딱같네 가족이 전부 발암이여,2,0
26,재난 발생시 미국인들의 인간성을 볼수있었다.,1,0
27,재미없슴 재난영화인줄 알았는데 갑자기 이산가족찾기로 변해버림...,1,0
28,어제 남편이랑 보고왔는데 시간가는줄 모르고 재밌게 봤네요,9,1
29,미개한 미국인,6,1
30,혹시나 해서 봤는데. 진짜 고구마네 시나리오 쓴 새끼 나한테 좀 맞자,1,0
31,이 영화를 통해 배운 점 1. 차 안에 두고 내린 물건이 없는지 잘 살피자. 2. 중요한 순간일수록 내 개인 상황에 대해 함부로 타인에게 발설하지 말자. 3. 갑자기 헤어지면 원래 만나기로 한 곳이나 원래 있던 곳에 가있자. 멋대로 싸돌아다니지 말자.,5,0
32,"재난 영화 특성 상 민폐 가족이 없을 수 없다 이해합니다만,,,,  상황 파악 못하는 여주인공에 감성팔이 민폐 가족 스토리  2012도 지네 가족 살겠다고 인류의 상당수가 탄 배 1척을 침몰시킬 뻔 했는데 지 멋대로 비행기 멈추고ㅋㅋㅋㅋㅋㅋ 선택 받지 못한 채, 의무를 다하는 군인들한테 윽박지르고 지가 멈춘 비행기는 지체된 일정 탓에 따라온 폭도들 때문에 폭발했네?????  역겹다 솔직히  + 그리고 도움 준 모든 사람한테 고맙다는 말 단 한 번도 안 하냐 공무원, 군부대, 멕시코 가족까지,,, 어우 역겨워",1,0
33,한번 에  다가져오던가 그와중에 꼼꼼챙기네 아놔 월드워 z 민간인버전,2,0
34,내 소중한 두 시간이 덧없이 날아갔다,1,0
35,이거 로드무비인가요? 영화 3분2가 가족찾아 삼만리네요... 지루하고 재미없어요,6,1
36,"간만의 수작이었음.  인류의 멸망을 앞두고 내 이웃, 피난민, 군인, 환자, 정부가  어떻게 대응하고 생각하고 행동하는지 리얼한 민낯을 까보인 영화.  정의로운척 하면서도 스스로 우월함을 느끼고 약자의 것을 뺏으려는  인간의 본성이, 재난을 앞두고 여실히 보여주는 모습에서 씁쓸함을 감출 수 없었음.  다만 벙커 도착시점과 행성 충돌 시점을 너무 인위적으로 조합해 놓은거 같아서  1점 깠음(물론 영화적으로 극적인 구성을 만들기 위해 그랬겠지만)",9,1
37,"제라드 버틀러 망작.. 이라 생각될 정도.. 제라드 특유의 액션은 전혀 나오지 않고, 스펙터클한 혜성 충돌 장면도 나오지 않고.. 대통령 발령에 의한 선택된 자라는 알람이 스마트폰과 IPTV를 통해 알려지면서, 아들과 부인을 데리고 공항에 도착하지만, 제 1형 당뇨질환을 겪는 아들 약으로 인해 가족이 이산가족이 되었다가 우여곡절끝에 그린랜드에 도착해 구원 받는다는 내용인데.. 긴장감이나 기대감이 구성되질 않아 지루했어요.",3,0
38,부인이 너무 눈치없다,7,1
39,전혀 미국식 스럽지 않은 영화. 이번 코로나로 들통난 그들의 자유민주주의 모순...보는 내내 뭔가모를 짜증이 밀려왔지만 그나마  가족애로 밀어붙힌 재난 영화....,4,0
40,와이프진짜 발암이다 목소리만 크게내면서 우기고 답답하게굴고....토나옴,6,1
41,사람들 생각은  다똑같구만ㅋ  자기중심  이기적인 지금 미국인들을 보는거같음,2,0
42,살짝 지루함,4,0
