,document,score,label
0,웃겨요 ㅋㅋㅋ 재미있음,9,1
1,우리집 준호 알게 되어  결국 기방도령까지 봐버렸다~~ 준호 연기잘하고 참 사랑스럽다. 남자답고 볼때마다 이미지가 다른 멋진 배우,10,1
2,곳곳에 나오는 위트와 재미 흡입력 있는 정소민 연기 천연덕스리 잘하는 준호 연기 추천해요,10,1
3,넘 잼나는뎅...ㅎ,9,1
4,잼나는데;;,10,1
5,왜 이런 재미난 영화가 28만이지? 대박은 아니어도 280만은 될 영화 아마 감독과 배우만 보고 선입견으로  패스한 것 같다,8,1
6,가볍게 보기 좋아여~~~~  볼만함,8,1
7,잔잔히 웃으면서 감상할수 있었던 재밌는 영화였어요~👍,9,1
8,"처음 봤을때 2점주고 ""허술한 코메디""라고 썼었는데, 우리집 준호 입덕하고 봐서 그런가 다시보니 재밌네... 심지어 감동스러움, 이루어지지 못한 사랑도 너무 가슴아프고... 여튼 일종의 기생이라고 할수 있는 아이돌 준호  입장에 빙의해서 시나리오 쓴듯... 함부로 연민한 죄, 방관한 죄... 술을 몸에 붓고 불속으로 들어가는 장면은... . 많은 생각이 스쳐지나가게 하는 좋은 대사였음 7점정도 줄까 하다가 지난번 2점이 넘 박했던것,같아...",10,1
9,재밌고 여운이 오래가네요,10,1
10,동양화 몇점 보는것 처럼 영화가 예쁨. 간간히 재미도 있고.. 첨에는 약간 지루하나 뒤로갈수록 좋아요. 평점이 넘 낮네요.,10,1
11,준호보려고 본 영화인데 예쁘고 서정적이기도 하다. 그림도 곱다. '태을미 '같이 말의 재미도 좋았고 소민배우를 아씨라 부르는 아역배우 연기 찰져서 좋았다.  최귀화배우 등장씬이 좀...  너무 이질적이었나 싶기도 한데  후반부에 이르러 영화에  좀 더 스며드는 캐릭터였다.,10,1
12,좋았어요,10,1
13,재밌어요~~,8,1
14,유쾌한 영화,9,1
15,조연들의 감초같은 열연,8,1
16,이렇게 좋은 영화가 언제 개봉 했었죠? 영화관에서 보면 더 좋았을텐데요. 명절에 가족들과 TVN에서 해주길래 정말 재밌게 봤습니다.,10,1
17,재밌게봤어요 준호님 연기 잘하세요 !! ,10,1
18,와~ 아무생각없이 보기 시작했는데 재밌네요^^ 색감도 이쁘고 연기자들도 이쁘고ㅎ 굿!,9,1
19,준호연기 잘하네 이젠 가수보다 연기자~,8,1
20,예상외로 상당히 재밌게봤다,9,1
21,잼나네,8,1
22,기대안하고봣는데 재밋엇어요♡ 엔딩도 적당히 슬프고 좋앗던거같애요,9,1
23,마지막이 진짜 반전이 였어요.... 사랑에 감동하여 눈물까지 흘리면서 봤어요 ~~,10,1
24,욕먹을영화아닌데...코믹속에서 풍자도있고 연기도좋고 슬프고짠한부분도있고...영상미도좋고 다만 텔미같은 유치한대화들만뺀다면... 준호연기 참 잘한다 매력있다~,9,1
25,웃으며 보다 울며 보다 ~ 예상 외로 괜찮았 던 영화,8,1
26,남주 연기 좋았다 담엔 더 좋은 시나리오로 명성 떨치시길. 여주랑 나이든 남주는 왜 연기가 안느냐,3,0
27,"코미디와 드라마 사이에서 줄타기를 하지만 어느 쪽으로도 강조되지 못했다. 비록 오래 기억될 인상깊은 장면은 없지만, 작고 소소한 웃음과 잔잔한 애잔함이 뭍어 나온다. 헌데 이 영화조차 남녀에 대한 편견적 시각으로 바라보는 사람들이 있다니 영화 속 개그코드보다 그게 더 우습게 느껴진다. ",6,1
28,왜 욕하는지 모르겠다,10,1
29,심파만 뺏다면 백점 만점 이였을것인데.. 약간의 아쉬움은 있지만 웃으면서 잼나게 잘봣습니다...,9,1
30,웃을 수  있으면 충분해요,10,1
31,"영상 이쁘고, 중간 중간 빵빵 터지고, 예지원의 팔색조 매력 팡팡 터지고  초지일관 주제 확실하고, 무엇보다 신파없이  신선한 해피엔딩- 감동은 없지만 이정도면  세련되게 잘 만든 티라미수 같은 영화! ",9,1
32,"엔딩 크레딧... 예지원 배우의 ""살펴서 가십시요""  영화평 보다10점!! ",10,1
33,뭐 나쁘지 않음.,8,1
34,코믹 이란 장르에 적합하게 재미있었고 영상 또한 아름다웠네요. 개인적으론 진부한 결말이 아쉬웠지만 재미위주로 본다면 즐거웠다고 하고싶네요,9,1
35,남주 연기짱,9,1
36,재미있게 볼 만한 영화임 ㅋㅋ,9,1
37,보다가 울었어요...사랑 과 가족에 대한 영화...윸모코드도...저랑 닥 맞았그요   전 개인적으로 너무 재밌었음 ,10,1
38,마음에 많이 와닿는 좋은 내용이 많았습니다^^,9,1
39,그냥 3류 시간 때우기용 영화라 생각하고 봤는데 의외로 디테일이나 흥미로운 요소가 많은 오락 영화!,9,1
40,"처음엔 그냥 웃긴건줄만 알았는데  조선시대 남존여비, 가부장적 시대 여인들의 슬픔도  느껴지네요  지들이 잘난줄 알고 여자 무시하던  한심한 양반가  남정네들 풍자가 잘 드러나네요",10,1
41,0점도 아깝다,0,0
42,풍자도 녹여내고 재밌고 또 애절하고 연기력도 좋아서 2번째 보는데도 오열하면서 잘 봤습니다. 로맨스 코미디 요소에 애절한 사랑까지 더하려다보니 사극 말투가 아니어서 조금 거슬렸습니다. 너무 코믹하게 잘 풀어냈는데 개인적으로는 애절한 시랑쪽이 더 좋았어서 말투가 조금 오글거렸답니다. 그래도 잘 감상했습니다. 영화를 개봉하고나서 금전적인 손해도 보셨겠지만 남들이 이 영화를 못 본 것이 저는 더 안타깝네요.,10,1
43,재밌습니다 ㅋㅋㅋㅋ3 번 더 볼 수 있을 것 같습니다 ㅋㅋㅋㅋ,10,1
44,너무나 저 평가 되었군요. 관객수가 아쉬워요.,9,1
45,엄청 웃기고 감동과 안타까움까지   이게 왜 28만명인지 참나,10,1
46,너무재밌어요유쾌해요,10,1
47,준호 잘생기고 꿀잼♡,10,1
48,예전엔 다 이랬지 내 어릴적만 하더라도 여자의 도리는 저랬었지 시대가 변해 여자의 지위가 올라갔다고 해도 더 잘해주어야 되지 않을까 싶다 허나 여자들 스스로 지키는것도 좀 있었으면...,10,1
49,중간부까지는 유치한 코믹사극인 줄 알았는데 후반부는 애틋하고 아련한 사랑이야기... 몇가지 유치한 장면만 없었다면 훨씬 완성도가 높았을텐데 하는 아쉬움이 남는다.,6,1
50,생각보다 너무 재밌는데?! ,10,1
51,겁나 재밌게 봄~~ㅎㅎㅎ,10,1
52,뒤로 갈수록 너무 진지해지는 것 말고는 UBD수준의 영화는 아님. 웃음포인트도 간간히 있음,6,1
53,난 왜 마지막에 눈물까지 나냐고요,10,1
54,코미디라길래 마냥 웃길줄로만 알았는데 코미디에서 사극으로 넘어가면서 가볍게 보기는 커녕 은근히 진지하면서 재미있네요.,8,1
55,내용이 코미디에서 시작해서 로코로 가려다 사극으로 끝났어. 장르를 헤매고 있으니 이야기가 여기저기로 튀어서 대략난감. 소재와 배우들이 아까워.,4,0
56,이렇게 진지한 영화일줄은..,7,1
57,이명벅의 기방난동 사건이 있었쥐 유인춘 조연 겸 성매수 사건,3,0
58,"조선시대  호빠,  소재  신선하고  독특한  깨알  개그도  재밌었으나  스토리  전환  강약조절이 잘  맞지  않아  부자연  스럽게  느껴졌음 과유불급의  무대설정이  좀  조악스러워  아쉬웠고   대놓고  하는 알순이  개그가 최고  매력적이었음",6,1
59,이상한 줄거리 선입견보다는 괜찮은 편,6,1
60,좋았다.  정소민 좋다.,9,1
61,남자는 여자에게 보이는 세상이 잘 안보이면서  지들이 다 아는 줄 안다. ,4,0
62,나름,6,1
63,결말에 잼있었어요,7,1
64,3점도 후하게 쳐준거다 유치찬란,3,0
65,"이상하게 생기고, 연기 더럽게 못하는 배우들만 모아서 하이틴 로맨스 류의 영화를 찍었다. ",2,0
66,여러모로,3,0
67,영화 보면서 지겨울 수도 있구나... 멋진 소설감이었는데 영화 흥행은 망했겠다.,3,0
68,흥미로운 소재를 가지고 시원하게 말아드신 감독님 ㅋㅋㅋ,4,0
69,고민스럽다 어디서 웃어야할지,4,0
70,",,,,",0,0
71,이정도면 괜찮지~머리 안아프고 가볍게  봤고 한복도 예뻐서 눈도 호강함,8,1
72,스토리와 장르의 선택이 명확해야 한다. 영상만 아름다워서야..,6,1
73,지금 시대에 맞지않은 유치함이 사회의 성숙함을 방해하는 소재.빵점,0,0
74,재미가 없음.중간보다 나옴.~!,2,0
75,인내심 부족해 끝까지 못봤음 ,1,0
76,"위대한 소원을 보고 너무 재미있게 봐서 그 이후 작이라 기대를 했었나 보다. 코믹은 따라가지 못했고, 후반에 감흥도 좀 떨어진다고 봐야겠다. 단지, 화면속에 아름다운 채색을 위해 상당히 노력한 것은 좋았다고 할 수 있을 듯.그 채색을 위해 아무래도 웃음 포인트 같은 것은 결국 못 잡아낸 게 아쉽다.",6,1
77,식상한 3류라하지만 나는 가슴에 찡하게 와다왔당~~~,10,1
78,3류,0,0
79,발판으로 삼으시길,9,1
80,식상하다.,0,0
81,다듬어 지겠지요,6,1
82,"조선시대판 호빠에 멜로. 뻔하디 뻔한 식상한 전개이지만, 가볍게 웃으면서 볼수 있는 영화인듯. 최귀화 등 감초역할이 많아서 나쁘지 않았다.",6,1
83,아~~~~~~~아~~~~~~~야~~~~~~,0,0
84,밑에 파스텔레보 네놈이나 지능 좀 높여라. 일제가 우리를 인간답게 살게 해줘 그쪽 출신이냐?,6,1
85,돈아깝고 시간 아깝고 기억이 없는 영화,1,0
86,관객모독 ,1,0
87,그냥 볼만했어요~~,8,1
88,"전반전까지는 너무 웃었던거 같음... 후반에 드어서 좀 진지하게 전개되어 지루할 뻔 했지만... 전체적으로 감동도 있거, 말들을 멋있게 꾸며서 좋았음...",8,1
89,이런것을 영화라고 그리고 아무나 연기하는거 아니다 제발 연기공부좀 해라  관객한테 미안하지도 않은지,1,0
90,별기대없이 보았는데 나름 웃다가  눈물짓고 남주 연기 넘 능청 스러워 찾아봤데니 가수였네!  노력한만큼 좋은결과나오면 좋겠네요,10,1
91,주인공이 너무 못생겨서 감정이입이 안됨,1,0
92,"단편 드라마 정도로 나왔다면 좋았을 것을.. 조선시대 여성의 애환은 나름 잘 그렸으나,  스토리, 주연 조연 배우들, 연기력 등등...  아쉽네요.",2,0
93,초반에 코메디  후반에 첫사랑 이생각나는 영화 막판에 감수성이 터졌네 . 좋았어요 저는 ~~♡,10,1
94,스토리가 아쉽긴하지만 애틋한 첫사랑의 감정을 실어 나르기엔 부족함이 없는 영화.,9,1
95,미루다 미루다 그내의 보는 영화  아무 생각없이 보다가 가끔 웃음을 유발하는 대사들 그냥 피식 웃긴 정도? 가볍게  생각없이 영화 한 편  보고 싶을 때 보는건 추천 재미를 벗 삼아 보려ㅡ한다면 맘대로 하시길,5,0
96,장르가 뭔지 모르겠고 스토리도 허술함 시간아까움,0,0
97,조선시대에 태어났다면 이렇게밖에 살수없는 패미년들 달창들 알라나 모르겠네 ㅉㅉㅉ 일제가 대한민국을 침략한것은 나쁘지만 인간을 인간답게 살수있게 해주었으니 이또한 감사할것은 감사해야지 않겠는가 뇌에 지식을 쌓으시오 문빠탈출은 지능순이니,10,1
98,.,0,0
99,정소민과 조이현 이쁘다~^^,10,1
100,쓰레기는 소각장에~~~~,1,0
101,전혀 기대 안하고 봤는데 많이 웃었네요.  저는 재밌게 봤습니다. 볼만합니다.,10,1
102,정소민이 다 망친 듯... 사극에 안 어울리는 얼굴이며 연기며... 그것만 아니면 8점정도 줄 듯...,5,0
103,노잼.. 1UBD급,1,0
104,뭔생각으로 이런 영화 만들엇는지 모르지만 돈많으면 불우이웃이나 도와라,2,0
105,이정도면 재미있고 좋던데..,8,1
106,조금만 진지했었으면,6,1
107,연출 왜이런가요? 에구구,1,0
108,우리 대한민국의 괜찮은 영화중 하나에 자리잡을 영화. ^ㅎ^~,9,1
109,기방도령은 낭만도령.,9,1
110,에휴~~,0,0
111,그저 그러려니 했는데 의외로 코믹하고 괜찮았어요 전소민 시종드는 꼬마가 넘 귀여웠어요 ,10,1
112,생각보다 볼만하네요 ,8,1
113,'음란서생'을 기대하고 보았으나...총체적 난국...,5,0
114,뭔얘기를 하고싶은지 든든함이 없네요,3,0
115,의상 소품 촬영에만 주는 점수 1점이다. 옛다,1,0
116,시간이 아깝다.,1,0
117,정소민 배우님 ‘위대한 소원’ 책을 보며 대사 한마디 “쓰레기 이예요” 기방도령은? 분리수거!!,5,0
118,재밌었어요!,10,1
119,짱,10,1
120,재밌네요,10,1
121,"엄복동 , 심형래의  라스트 갓파더.  어쌔신크리드  급이다",1,0
122,우리 준호 나와서 보긴 했지만 최귀화 님과 준호의 케미가 너무 좋았고 영화 너무 강추해드려요 ~ 다들 연기를 너무 잘해셔서 더 몰입 된듯 ㅋㅋㅋㅋㅋㅋㅋㅋ 너무 재미있었고 이준호 최고❤️,10,1
123,주말에 바람불고 비도오고해서 볼 영화가 별로 없어 기대없이 가족이랑 보러갔는데 볼거리 웃음거리. 생각거리가 많아 기대이상이었네요~ 상투적이었으나 아름다웠던 영화. 강추합니다,9,1
124,영화보고 왔습니다. 감독 누군지 아이디어 신박하네요 ㅋㅋ 여자들을 위한 남자기생이라~~ 필요할때 대화해주고 춤과 노래 보여주고 좋습니다 ㅎㅎ 간만에 웃으면서 왔네요. ㅋㅋㅋㅋㅋㅋㅋ 극장 안에 사람들 다 웃음터짐 ㅋㅋㅋㅋ 특히 기억에 남는거. 태을미. ㅋㅋㅋㅋㅋㅋㅋㅋㅋ드립력 무엇 ㅋㅋㅋㅋ 코믹영화 오랜만에 봐서 좋았어요^^ 다들 연기들 잘하셔서 좋음요 ㅎㅎ ,9,1
125,똭 제스타일 넘잼 꿀쨈 꼭꼭 추천~! 이런영화흔치않아요. 배꼽준비하고가세요. 굿굿,10,1
126,이런 쓰레기영화.  최악이엇음,0,0
127,예지원 최귀화 님 ㅋㅋㅋ 네가 몇살로 보이냐 거기서 빵 ㅋㅋㅋㅋㅋㅋ,10,1
128,지루하지 않고  즐겁게  봤음 ,8,1
129,"평점보고 에이 다 상술이겠거니 하면서도 심야영화 중 딱히 볼게 없어서 선택했어요. 10명 남짓 관객들이 박장대소를 하면서 봤어요. 영화 후반부에서 조금 물음표?를 주며 흘러가는 내용이 약간 어색하긴 했지만, 초중반에 너무 재치있고 재밌는 대사와 씬들이 많아서 만족에 만족을 하며 봤습니다. 추천이에용",10,1
130,열심히 만든 흔적은 보이는데 뭔가 임팩트가 없는 영화. 빵은 잘 만든것처럼 보이나 속에 앙꼬가 부족한 허전함이 가득한 영화. ,4,0
131,영화보다가 잤음. 내용도 유치하고 돈아까운영화.,0,0
