,document,score,label
0,"훈민정음 해례본 발견 안됐으면 어쩔뻔 ㅋㅋㅋ 떼놈이고 왜구고 다 자기네 거라 했을듯, 조선구마사 뒤에 인민일보가 있듯 나랏말싸미 뒤엔 중앙일보가 있다 ㅋㅋㅋ",1,0
1,이영화 일본자금으로 제작되었나요?  ,0,0
2,일본주장을 영화로...,0,0
3,줄거리부터 대사 하나하나까지 일본놈이 만들었다고 해도 믿겠다. 여기 출연한 배우들도 부끄러운줄 알아라.,1,0
4,"이런 쓰레기같은 영화 송강호, 박해일은 대체 뭔 생각으로 참여한거냐.  우리나라 영화역사에 길이 남을 반민족적인 쓰레기 영화. ",0,0
5,개독만 미친줄 알았더니 땡중도 미쳤구나,1,0
6,아무리 영화는 창작물이라고 하지만 정말 엉터리영화다. 차라리 한글을 일본인이 만들었다고 각본해서 방영해라.  ,1,0
7,"이런 역사왜곡  영화는,특히 왜구가 만들었나싶은 왜구가 주구장창 주장해온 한글폄하 내용의 영화는 영구파묻어야함. ",1,0
8,친일 매국 영화,0,0
9,1점도 아깝다. 한글이 몽골 파생어나 따라한 삼류급 언어인듯 취급하고 역사왜곡은 물론 세종대왕까지 폄하했다. 감독이 토착왜구가 분명하다.,1,0
10,창제설같은 소리 하고있네ㅋㅋ 이딴 걸 창제설이라고 부를수가 있나 어거지로 만들어놓은 위작에 개인집안에서 쓴 족보가지고 창제설이라고 할거면 개나소나 다 지가 만들었다고 주장하겠네 이건 창제설이 아니라 아예 허구임  영화니까 그냥 보라고? 이딴 영화를 해외수출까지 하는데?ㅋㅋ 일본이 독도는 지네땅이라고 영화만들어서 전세계에 수출하면서 이 내용은 아직 밝혀지지않은 역사에 대한 주장 중 하나입니다 라고 하면 그럴수도 있지 넘기실건가요들?,0,0
11,감독은 토착왜구일것이다! 배우들은 시나리오 읽고 이걸 만들었단 말일가?,1,0
12,감독 새끼가 무뇌. 송강호 박해일은 뭔 배짱으로 찍은거냐?,0,0
13,정신상태가 의심스런 천한감독이 만든 천한영화. 소위 대한민국의 대표배우들이라면 아무거나 출연료만보고 연기하지말고 내용좀보고 연기하시길..,0,0
14,여러분들이 이 영화에서 말하고자 하는 것을 상상이 아닌 하나의 '가설'로 받아들이시는 그 것이 이 영화가 역사 왜곡인 이유입니다. 차라리 그냥 픽션이라고 할 것이지...,0,0
15,"왜 이 영화가 그렇게 논란이 되었는지 영화보고 확실히 느꼈음. 조선왕조실록에서도 세종대왕이 한글을 창제했다고 기록되어있음에도 불구하고, 이 영화에서는 신미라는 중이 거의 다 만들었다고 보면 됨. 세종대왕은 아무런 도움도 안되고, 검사만 함. 한국 역사상 가장 존경받는 위인 중 한명인 세종대왕을 완전 무능력한 허수아비로 비춰버림. 이건 완전 대놓고 역사왜곡한 영화임. 학계에서도 실록의 기록에 의하면 세종대왕 혼자 단독적으로 한글을 창제했다는게 정설이라고 함. 주연은 거의 박해일 혼자라고 봐도 됨. 송강호가 연기한 세종대왕은 그냥 거둘 뿐, 떨거지로 나옴.",1,0
16,이렇게 살지 마라. 인간이 조상님한테 그러는 거 아니다.,1,0
