,document,score,label
0,"주연들에 대한 배경이나 심리에 대한 묘사가 좀 부족하단 느낌을 받았습니다. 호다카가 도쿄에서 온갖 고생을 하면서도 가출을 굽히지않는 이유라던가 히나와 부모님에 관한 얘기도 없다시피하는 등 주연들의 캐릭터성이 좀 더 심층적으로 표현됐으면 어땠을까하는 아쉬움이 남습니다. 히나도 아버지, 어머니의 역할을 혼자 이어받게 된 소녀가장으로서 정신적으로,신체적으로 몰린 묘사가 더 자세히 표현되었으면 어떨까싶네요. 오히려  조연인 스가가 주연들보다 심리묘사가 잘된거같단 느낌을 받았습니다. 세계관 내 판타지에 대한 룰도 ⟨너의 이름은⟩의 경우 몸바뀜을 경험하면서 자연스럽게 주연들이 꿈에 대한 룰을 깨닫거나 히토하가 집안이 만드는 매듭을 인연에 빗대어 설명하는 등 자연스럽게 소개받는 느낌이었는데, 이번 영화에서는 할아버지가",5,0
1,ㄴ ㅏ는 이런 영화가 나와주는 것만으로도 너무 좋다 너무 재밌고 아련하다,10,1
2,너의이름은 타키가 특별출연 하였네요,10,1
3,스토리가 너무 빈약하다. 개연성이 부족하여 뜬금없는 장면들이 자주 연출되며 사건 구성과 진행도 억지로 끼워 맞춰서 시간때우는 컷수 늘리기라는 느낌을 강하게 받는다. 감독이 의도하는 메시지도 전혀 전달되지 않으며 전달하려는 메시지가 있는지도 의문이 들 정도이다. 미야자키 하야오의 뒤를 잇는 사람이라 하여 기대하고 봤는데.. 정말 많이 부족한듯하다. 적어도 미야자키 하야오의 작품은 재미와 감독의 메시지는 확실히 대중에게 어필하고 있다. 신카이 마코토가 미야자키 하야오의 뒤를 잇는다는 말은 아직은 시기상조인거 같은 느낌이 든다.,1,0
4,너무 재미있어요ㅠㅜ 진짜 강추입니다 제 인생 영화 할게요,10,1
5,"평작이라서 6점, 개인적으로 신카이마코토에게 기대한 정서가 나오지 않아서 1점 더뺌. 3분짜리였던 '그녀와 그녀의 고양이'에도 미치지 못한다고 생각.",5,0
6,"힘든 상황이지만 긍정적이고 남을 돕는 착한 여주 그런 여주의 좌절과 고통을 바라보는 남주 나약하지만 OST 제목처럼 사랑 하나만으로 여주를 지키는 남주 남주의 의지, 절규, 간절함, 그리고 때묻지않은 순수한 사랑을 느낄수있는 최고의 영화",10,1
7,소년의 마음이 너무 맘에든다,9,1
8,기대에는 못 미치지만 영상미는 괜찮은편.... 처음과 끝이 뭔가 아쉬움,7,1
9,애니 에도  일본인 특유의 오버가 있다.후반부가 다소 아쉽내요,6,1
