,document,score,label
0,김재규는 민주주의 혁명가였다  김재규 아니었으면  박정희가 다 말아 먹었을 것이다 전두환이는 박정희 재산 가지고  대통령까지 했다니ᆢ 박정희나 전두환이나 똑같은 쓰레기다,10,1
1,다까끼 마사오를 처단한 김재규의사의 의로운 죽음으로 부산 마산 시민의 목숨을 구했고 민주주의가 좀 더 빨리 올 수 있었다 그 다음 쓰레기만 아니었어도.. 슬픈 역사,10,1
2,"부산, 마산, 양산 시민 죽음을 김재규가 막았네...  새로운 사실을 많이 알게 됨 강추!!!",10,1
3,전대갈 금고 터는거 봐라 ㅋㅋ 빈 옥좌를 보고 군침도 질질 흘리고,8,1
4,김재규는 재평가 되어야합니다.이병헌 연기  최고! 이성민 씨 연기최고,10,1
5,부산 마산 시민들은 투표 좀 잘 하시길  김재규 아니였으면 몰살 당했을텐데 통닭을 뽑는 이유를 모르겠네,10,1
6,김재규가 아니었음  부산에서 제2의 419가 벌어질뻔했지  부산 부마항쟁  문서로도 있었으니까 탱크로밀고제압하라는  근데도 희안하게 박정희를 추앙하고있으니,9,1
7,영화 자체만으로도 볼만하나 이게 실화를 바탕으로 제작했다는걸 생각하면 꼭 보라 추천하고 싶다.,9,1
8,실화를 드라마틱하게 잘 버무려냈다. 김재규로 분한 이병헌의 연기가 압권,10,1
9,"어느정도 다 아는 뻔한 내용일 줄 알았으나, 주인공의 심리상태에 초점을 맞춘 점이 좋았다. 이병헌이 연기는 진짜 잘하는 듯..",7,1
10,박근혜가 대통령이 되던날이 기억난다. 대한민국이 수렁으로 빠지던날.,10,1
11,와~ 대박! 최고의 영화! 영화 대부 못지 않았어요. 연기 연출 음악 모두 너무 좋음. ,10,1
12,"김재규열사 께서는 차지철이는 덤으로 보낸 놈이고 목적이 인간 천황충견 다까끼 마사오(박정희) 처단이 목표였다죠.. 매일 양주처먹고 여대생끼고 간음질 하면서 낮에는 막걸리쇼,, 독재를 위해서 무고한 사람 고문하고 죽이고 살인미수하고.. 부산 마산 사람들 100만 200만 대량 학살계획까지 세운 희대의 살인마 인간백정 얼마나 부도덕하면 김재규님이 처단 하면서 민주주의 외치셨는지 유튜브에 다 나오지롱.. 이세상은 악인들은 언젠가 패망한다 2차세게대전 일본놈들도 그랬고 나찌도 그랬지.. 박정희도 부관참시 되고 김재규는 영웅이 되어 현충원에 안장 될 날이 머지 않은 듯 하네...",10,1
13,김재규가 육본으로 가지 않고 남산으로 먼저 갔다면 역사는 어떻게 되었을까 하는 생각이 듭니다,10,1
14,광주 전에 부산 경남이 피로 물들었을 것이다 김재규 부장에게 고맙다고 말하고 싶다 개 돼지들은 아직도 잠자고 있음,10,1
15,김재규 열사. 영면하소서. ,10,1
16,김재규 재평가 되어야한다,10,1
17,이성민은 도대체 진짜 얼굴이 뭐냐! 미생의 오상식 과장일 때도 만화를 뚫고 나왔는데 이번엔 박정희랑 존똑 아닌가!! 돈에 집착하는 독재자를 참 잘 표현했다.,10,1
18,"역시 연기로는 이병헌을 깔게 없다. 그의 심리 변화와 묘사가 보는내내 나를 영화속으로 끌어당겼다. 역사적으로, 거사 후 의사의 후속 처리는 아쉽지만 그 사건이 신군부가 6.29로 인해 정권을 내놓게 하는 경고도 되었으리라.",10,1
19,마지막 만찬에서 이병헌의 살기어리고 단호한 눈빛에 진짜 오금 저렸다... 남산으로 갔으면 어땠을까...,10,1
20,이병헌의 고뇌가 잘 들어나  역사적 사건임에도 시간가는줄 모르고 봤네요. 그때 남산으로 갔어야 하는데하는 진한 아쉬움이 남습니다.,10,1
21,김재규 이병헌의 절대감.,9,1
22,이미 아는 얘기도 이렇게 흥미진진 할 수 있다. 결말이 전두환이라는 것이 유일한 흠이지만 어쩌랴 영화의 책임이 아닌 역사의 아이러니인 것을..,10,1
23,혁명가는 명을 구걸 하지 않았는데ㅡㅡㅡㅡㅡ 이분과 그부하분들 나중에라도 꼭 다시평가 이뤄지길 바랍니다  그리고 이분들 중심(시각으로)으로 영화가 한편 더 만들지면 좋겠다는 생각이 듭니다  박씨네 전씨네는 대대손손 호의호식 하는데ㅡㅡㅡ,8,1
24,부산 정신줄 챙겨라 이게 진실이다,10,1
25,어느분말대로 다 아는 내용인데도 심장이 쫄깃쫄깃 몰입도대박. 저런 뒷얘기가 있는줄 처음 알았네요 즐겨보는주제아니었지만 넷플릭스덕에 끝까지 눈 부라리며 비통한맘으로 봤어요  내나이 열살때 박통서거했다고 티비에서도 슬픈음악만 나오고 엄마랑 동네사람들 죄다 울 때 같이 울었는데 지금 생각하면 어처구니가 없고 결말에서는 이가 갈리더라 씹어먹어도 시원치않을 대갈ㅅㅐㄲㅣ..,8,1
26,김재규 열사 재평가가 시급하다.,10,1
27,"배우들의 연기가 모두 좋았지만, 특히 박정희 역이 인상깊다. 막바지에 이른 독재자의 광기와 피로를 잘 표현한 것 같다.",10,1
28,아무리 미화해도   팩트는 ..... 쿠데타로 정권찬탈한 마사오 다까끼 밑에서 권력을 나눠먹다가 팽당할 위기에 처하자  한참 밑에 계급출신에 거슬리는 차지철 을 죽이고  신분세탁(친일파; 독립군 킬러 -⟩ 공산주의자 -⟩ 반공주의자)  두번이나한 박정희도 죽인것이지.  아무 준비없이 일을 치른탓에  뭘 어찌한다는 계획도 없었고 그야말로  선지름 후 생각....  결국은 무주공산이 되어버린 대한민국을 마사오 다까끼가 키워놓은 전두환이 차지한것  죽쒀서 개준꼴이 되버리고 대한민국의 역사는 다시한번 뒤틀리며 전두환 살인마 학살자는 광주시민들을 무참히 대학살함.  김재규 아니었으면 부산에서도 킬링필드 재현할뻔했다. 박정희와 차지철이 부산시민 100만명쯤 쓸어버릴뻔.....  한,8,1
29,한국인이면 봐라,10,1
30,"김재규 의사, 지금이라도 명예회복 해드리고 추모비라도..!",10,1
31,슬픈 우리의 현대사.  아직도 안믿는 수꼴들의 아집이 더욱 슬프다,10,1
32,나  초등시절  박정희는  신이었다 중등때  친구가  궁정동의  여인들이야기를  했을때 헛소문인줄  알았다 권력은  인간을  타락  시킨다 그래서  국회의원도  정년을  만들어야  한다 철면피들이  권력자가  되는것이 인류 역사의  한계치인거  같다,7,1
33,앞으로 더 이런영화가 많이 만들어졌으면 해요 잘보고가요 ! ,10,1
34,박정희 국립묘지 파묘.악마 전두환  노태우 처단,10,1
35,전깨비는 청와대  금고털이를 시작으로 일반 국민들한테도~~~,10,1
36,사전준비가 철저하지 못했던게 아쉽네. 결국 과실은 대머리 섀키가..,10,1
37,몰랐던 내용들도 있어서 재미있었고 연기력도 엄청났던 영화,10,1
38,흥미진진 왜 이병헌 이병헌 하는지 알겠네요,9,1
39,역시 이병헌~ 연기는 잘하네요,7,1
40,이병헌 연기 짱. ,7,1
41,이병헌 연기 굳...,8,1
42,"이변헌 배우 연기 진짜 쩌네요... 무표정 인데도 다 느껴지는 감정, 대단하다. ",8,1
43,"나라를 위한 행동이었던건지 , 자기 자존심이 짖밟아 져서 그랬던건지  ....내면을 잘 표현한것 같아요.   정말 이병헌 연기 잘 하네요.  ",10,1
44,실화바탕   스토리   연기 다좋아 ,10,1
45,굳!! 이병헌씨 연기는 진짜~~♡.♡,9,1
46,죄짓고 너무 오래산 놈의 인과응보 쪽바리 앞잡이 즉결심판 영웅 김재규,10,1
47,훌륭하다. ,10,1
48,영화 그때 그사람들에서 김재규를 찌질한 혁명가로 묘사해서 어이가 없었는데 이 영화는 재조명하는 의미가 있어서 괜찮았음 김재규의 결단이 없었으면 민주주의가 많이 늦어졌었을 수도 있었음,10,1
49,이병헌 연기 소름돋았다 진심 ㄹㅇ 너무잘함 보통 영화드라마는 배우와 연기 생각나는데 이병헌은  케릭터가 생각나는 최고의 배우ㅎㅎ,10,1
50,방아쇠를 당기도록 만든 정황과 심리 변화를 잘 보여준거 같다.,10,1
51,일베들이 부들부들 거리지만 스토리를 알고도 이정도면 정말 굉장했다,9,1
52,울쩍 해지네요 ㅜㅜ 전두환 어부지리 였던거여? 에휴,10,1
53,한가지 분명한점 문재인은  박정희 발톱때만도 못한 작자 ?  일베냐 ?   반대지  다까끼 마사오는 문재인 발톱때만도 못한 쓰레기 ,10,1
54,팩트!!!!,10,1
55,와 연기 미쳤어... 진짜 미쳤어 ㄷㄷㄷㄷ 차지철 ♩♪. 진짜 그딴 넘을 옆에두니까 박정희 말로가 그따구지. 정승화는 차려진 밥상도 못먹는 ♪♬...,10,1
56,이런게 영화다 라고 보여주는 우민호의 우직함이 좋다. 이병헌의 연기는 뭐.. 평가한다는 거 자체가 예의가 아닌 느낌.. 차지철연기하신 분은 살짝 어색한 부분이 있었음.. 이성민도 말할 것 없고.. 연출 최고~! 보고 또 보고 싶은 영화.,10,1
57,별 내용 없고 펙트로 만든 영환데 이상하게  몰입되고  잼있단 말이지~~  연기력과 연출의  궁합이 너무 좋았다,10,1
58,"10점 주고 싶을 만큼  잘 만든 영화다.  흠 잡을 곳이 없다.  감독의 연출력이라 본다.  4명의 배우에게도 박수를 보내고 싶다. 코로나가 아니었음 6,700백만도 가능했을 것이다.",10,1
59,다시 그시절 생각나네요 20대초반  박정희 그인간 그전은 어땠는지 모르지만 그무렵은 정상이 아닌 비정상. 국민의 목숨을 파리목숨 같이 여겼고  희생된사람  젊은이 부터 무수한 선량국민을 죽음으로  몰아 쳤던 그시절  그인간 .그딸 . ㅠㅠ ,9,1
