,document,score,label
0,백번을 봐도 대단하다. 어설픈 영웅 영화도 아니고 히어로물도 아니다. 인간으로서의 조커가 가진 악인의 면모도 대단하고 배트맨도 대단하다. 어설픈 철학으로 포장한 영화가 아니다. 정말 어떻게 시나리오를 썻는지 알수가 없는데 아마 놀란 감독은 두번다신 이정도 시나리오를 못 쓸거다. 아오... 진짜 히스레저도 대단하고... 와... 정말 뭐라고 할 수가 없다. 대단하다.,10,1
1,마블이 DC로부터 이기지 못한것,10,1
2,마블처럼 초능력을 사용하지 않는다는 것이 이 영화의 매력인것 같다. 마지막 장면이 인상깊었다. 단순한 히어로물이 아니다.,10,1
3,재개봉으로 방금 보고 다시 지려버림... 마블은 죽을 때까지 못 뛰어넘을 DC의 걸작,10,1
4,내가 평가할수 있는 영화가 아니다,0,0
5,최고의 히어로영화,10,1
6,오락성과 작품성을 모두 잡아낸 최고의 블록버스터중 하나,10,1
7,미쳤다,10,1
8,몇 번을 봐도 만족스러운 명작.,10,1
9,사상 최고의 히어로 영화.평론가&관객 평점 역대급!사화 정의를 표현한 크리스토퍼 놀란감독 최고의 명작!!!! 4번을 본 내인생 최고의 영화. 13년간 마블이 못이기고 프로듀서가 호평한 영화. 죽기전에 반드시 봐야됨.,10,1
10,잠시라도 눈울떼면 무슨 내용인지 알수가 없다 긴박하고 빠른 전개 무엇보다 전편에 흐르는 비트빠른 음악이 넘도 좋다,10,1
11,.,9,1
12,쪼커 너무 귀여워~~~,8,1
13,개간지 오토바이,9,1
14,명백한 수작... 의심없다,10,1
15,세계 최강 불록버스터,10,1
16,한 순간도 눈을 뗄 수 없다.,10,1
17,11년이 지나도 최고의 슈퍼히어로 영화는 여전히 다크나이트다,10,1
18,이영화의  깊이를  마블은 따라갈수가 없지,9,1
19,단순한 슈퍼히어로 영화가 아니다. 할리우드 영화의 절대지존,10,1
20,"배트맨 시리즈의 정점을 찍은 걸작.   배트맨과 죠커는 동떨어진 존재들이 아니다.  한 인간 안에서 부딪히는 가치관의 혼란과 고뇌를,  배트맨과 죠커라는 캐릭터로서 표현한 것이다.  또는 개인 뿐만 아니라 사회 전체가 지닐 수 있는  공리주의 관점에서의 모순까지도 짚어낸다.   배트맨과 죠커가 대립하며 서로의 가치관을 역설할 때,  관객은 배트맨의 입장에 공감했다가도  죠커의 카리스마 궤변 역시 일리가 있다고 생각할 것이다.   히어로물에서 ""정의는 결국 승리한다!"" 라는 공식은 깨진지 오래다.  선과 정의라는 개념 자체에 질문을 던지고 있다.  깊이 들어가지 않더라도 이 영화의 승자는 죠커다.  온갖 템빨과 재력과 피지컬로 무장한 배트맨이었지만,  홀홀단신으로 덤빈 죠커의 손에",10,1
21,완벽한 시나리오 완벽한 연기력 완벽한 OST 완벽한 연출 모든게 완벽한 영화!!!정말 강추 최고!!,10,1
22,100점 주고 싶은데 10점 밖에 못줘서 아쉬운 영화,10,1
23,명작 중의 명작. 최고의 명작. 설명이 필요 없는 명작.,10,1
24,크리스토퍼 놀란 한마디면 말다했음,10,1
25,솔직히 말해서 별 10개도 모자라다. 이건 영화가 아니라 예술이다 예술 철학을 품은 예술... 오프닝과 엔딩은 이 영화를 따라올 영화가 없다. 이거 재미 없고 지루하다는 새끼들은 그냥 애들 만화나 봐라 이해 못하겠으믄,10,1
26, 이 영화를 재관람으로 이제사 봤는데...정말 단순한 히어로물이 아닌 철학이 있는 영화였다. 뭔가 관객에게 던져주는 묵직한 메세지까지...히스 레저의 조커는 단연 최고. 크리스챤 베일의 배트맨도 배트맨 중에선 제일인 것 같다. 진정한 다크나이트...,8,1
27,오프닝 시퀀스  너무 마음에 든다,9,1
28,정의란 무엇인가? 인간은 누구나 이중적이다. 다만 상황이 그렇게 만드는 것이다. ,9,1
29,이건 진짜 볼때마다 놀랍다...최고의 영화,10,1
30,마블팬이지만 이건 명작이라고 할 수밖에 없다,10,1
31,그냥 최고,10,1
32,드디어 용아맥에서 보다,10,1
33,배트맨 시리즈 중 최고 그리고 최애 영화!   두개의 터지지 않는 배를 통해서 희망을 얘기하지만 하비 검사를 통해서 희망 같은건 개나 줘버리라는...  어떤 씬 하나도 벌리게 없는,10,1
34,구원자. 개봉한지 오래됐는데도 이만한 영화를  볼수가 없었다. 영화라 다행이다. 이제야 보다니....,10,1
35,하비의 광기어린 잘못된 행동은 공감이 안 되지만 영화 자체는 지금봐도 재미있다.,10,1
36,무슨 말이 필요하리요~~ 이번에는 배트맨과 조커 둘 다 주연이다!!!!!,9,1
37,진심으로  멋진 어둠의 전사!!!   2020년 버전 ⟨배트맨⟩을 제대로 봐야한다고 생각합니다!!   완전 최고!!,10,1
38,이게 벌써 12년이나 흘렀다니;; 시간은 흘러도  여전하네,10,1
39,말이필요없는 명작이다,10,1
40,그냥최강이다,10,1
41,원작 파괴는 싫어하지만 이 영화는 인정할 수밖에 없다,10,1
42,진정 악에 맞서는 정의가 되고자 한다면 어둠조차 받아들여라,10,1
43,영화,10,1
44,정의란 무엇인가.  인간은 자신의 이익에 따라 두가지 가면을 쓰고 있다. ,8,1
45,DC영화중에서 가장 재미있고 명작이다! Why so serious?,10,1
46,히어로물에 연기력과 철학까지 담아낼 줄이야. 조커 연기는 다시 봐도 압권. ,9,1
47,디씨의 다크함이 잘 드러난 영화이자 디씨의 마지막 호황기,10,1
48,good,9,1
49,10년이 넘은 영화지만 너무나 잘만들었고 조커의 연기는 너무나 완벽했다 배트맨.슈퍼맨 시리즈는 좋아하지 않지만 이 다크나이트 만큼은 정말 재미있게 보았다 너무나 유명한 영화라서 더이상 설명은  무의미한 영화...,9,1
50,조커가 히스레저 그사람이란걸 뒤늦게 알았음. 히스레저  당신은 훌륭한 배우였어요,10,1
51,그냥 말이필요없다,10,1
52,캐릭터들이 주는 몰입감. 혼돈은 모두에게 공평하다.,10,1
53,크리스토퍼 놀란의 배트맨이 아닌 다른 감독의 배트맨은 어떨지 상상도 안되지만 진정한 슈퍼히어로는 진짜 크리스찬 베일의 배트맨!!!,10,1
54,조커 보고 .. 다시 보니  지금의 개검과 자한당 기레기가 자꾸 떠오른다.,10,1
55,명작,10,1
56,질리도록 봐도 질리지 않는 영화!,10,1
57,다시 봐도 역시 히스 레저.,7,1
58,조커 를 보고 생각나서 놀란 배트맨 3부작 다시 정주행. 다시 봐도 다크나이트는 짱.,9,1
59,조커를 보고 다시 한번 다크나이트를 봤다. 아까운 배우. 히.스.레.져.,9,1
60,히스레저라는 진짜 조커를 탄생기킨 시대의 명작  배트맨 영화 중 최고다  배트맨보다 조커가 더 강렬했던,10,1
61,정의란 무엇인가?,10,1
62,이건 뭐.. 다시봐도 레전드..,10,1
63,"연기를 잘 하는 수준을 넘어선 히스 레져. 걸음걸이, 시선처리, 숨 쉬는 것. 하다 못해 머리카락 한올 까지도 조커 그 자체 였다. 너무 아쉽다. 그런 배우가 더 이상 이 세상에 없다는게.",10,1
64,10년만에 다시봐도 걸작. 배트맨이라는 캐릭터를 가진 미국 헐리우드가 부럽다.,10,1
65,재미+작품성 동시에 갖춘 최고의 영화. 호아킨 피닉스의 조커도 매우 훌륭했지만 그래도 조커다운 조커는 역시 히스레저임,10,1
66,말이 필요없다.,10,1
67,배트맨 최고의 영화! 조커역의 히스레저를 못본다는게 마음아팠던 영화 ,10,1
