,document,score,label
0,전부다 내용면이나 스토리 감정 이 영화의 모든게 만점 입니다  코로나로 인해 박스오피스에 오르지 못한것이 가장 아쉬운 면도 있지만  이런 영화들이 대 성공을 이루어야 합니다  삼류 쓰레기 영화보다 이런 감동적인 영화 극찬에 큰 박수와 응원을 합니다,10,1
1,오랜만에 감동적인 영화를 봤어요 성동일과 어린담보 연기 너무 좋았어요 보는내내 웃다가 울다가 했네요 가슴따뜻해지는 영화였어요,9,1
2,"남잔데,,,,,,, 쳐 울면서  봤네요 꼭 봐야할 영화",10,1
3,진짜  성동일 같은분이  현실에  있을까? 마음  따뜻해지는 영화입니다ㆍ 펑펑 울고  나왔어요ㆍ 성동일  연기짱  입니다ㆍ,10,1
4,정말 인생영화 입니다 우리들은 잘 살지만 참 가엽네요 ㅠㅠ 아역배우 정말 연기 잘했구요 성동일씨랑 김희원씨도 너무 잘하셨구요 하지원 언니 예뻤네요 ㅎㅎ 강추입니다 영화보는 내내 울어서 눈이 밤만해졌네요ㅠㅠ 진짜로 추천합니다,10,1
5,친부보다... 친자보다도 더 정성들여키우고... 낳아준 부모보다  키워준 부모가 정이 더 깊네요. 감동에 감동이네요... 어느 누구도 못할것을...,10,1
6,뻔해서 절대 울지 않을 줄 알았는데 눈물남. 예상 가는 시나리오라 기대 안했는데 배우들 연기가 다했음. ,10,1
7,슬프고 재미있고 감동적인영화입니다 오래간만에 감동적인 영화를봤습니다 돈이아깝지않는 영화입니다. 아역배우가  연기를 잘하는것같습니다 오랜만에 김윤진씨 조선족으로 나오고 성동일과 김희원도 감동적인연기 잘봤습니다 하지원연기도 따뜻했습니다,10,1
8,여배우는 예쁘고 비중 높은 역만 대부분 고집하는데...  누구나 피할 역할을 김윤진은 한장면 한장면 정성스레 공들여 표현한다  나문희의 리얼한 완숙미 또한 몰입도를 한 층 높인다.  두분의 명 배우를 섭외한 캐스팅 담당자의 노고에 박수를 보낸다.,6,1
9,"별 생각 없이 봤는데 너무 재미있고 감동적인 영화였어요, 초2딸과 함께 봤는데 강추해요~",10,1
10,"앞에 스토리 전개보고 설마했습니다. 이렇게  진부하게 계속? 하지만 역시 성동일님,김희원님,하지원님,나문희님,김윤진님  이 배우분들이  스토리 안에서 꽉차게 채워주시니 한가위처럼 풍성한 감동이 있네요~  이 시대에 살았던 관객으로 삐삐라는 친구를 오랜만에 생각나게 하고 시대를 아우르는 감동이 아직도 눈에 눈물이 고여있으며 여운에 잠기네요~ 코로나시대에 힘든일만 있는것 같았는데~  단비처럼 찾아와준 영화 ""담보"" 아이들과 보셔도 강추입니다. 내일은 우리 딸들과 함께 보렵니다~  정말 오랜만에 눈물흘려 머리 띵하네요~  좋은 영화 만들어 주셔서 감사합니다.",10,1
