,document,score,label
0,생각보다 재밌었어요 ^^,10,1
1,배우들이 아깝다는 말이 이해가 됨................대본은 단순 쓰레기,2,0
2,개쓰레기,0,0
3,재미있는데  어째 평점이 왜이리 박하노,9,1
4,영화 코믹하게 재미있던데 평점 왜 이래?,10,1
5,시나리오 누가 썼냐?,2,0
6,말죽거리잔혹사 생각나서 빵 터졌어요^^,9,1
7,너무 재미있게 봤어요! 앤돌핀이 많이많이 돌았어요~,10,1
8,무엇을 말하고 싶었는지????,5,0
9,진짜 너무 너무 아까워서 적는다 초반 참신하고 재미있게 로코로 진행되다가  아침드라마 처럼 바뀌는거는 머니...이혼식 이후 코메디로는 500만 관객돌파 해야정상인데 ㅄ처럼 어느순간 ...남자가 ㅄ짓해서 결국 이혼하게 되었다로 귀결되는...아침드라마냐..;;그래서 누적관객수가 17만이야..솔직히말해 중간에 시나리오 바꿨지.아니고서는 이럴수가 없다...   ,1,0
10,이혼 위기까지 갔던 와이프와 너무나 재밌게 공감하면서 봤습니다! 이 영화는 결혼 무경험자와 이혼 위기를 겪지 않은 커플들이 보면 딱히 공감도 안되고 재미없을수도 ,10,1
11,뭔 이런......  끝의 결말을 위해서 도입부부터 전개가 전부 ㅄ같다.  배우들은 좋은데 각본이 ㅂ맛.  보면서 계속 토를 달게되는 각본... 이걸 수락하고 찍었단 말인가???,1,0
12,연기를 못하는 사람은 없는데 몰입이 잘안되는 영화. 크게 지루하지는 않는데 재미가 없다.,4,0
13,웃기다고? 그래 극한직업만큼 웃겨? 아니지? 억지 웃음 맞지? 상우놈이랑 정현이가 그럼 그렇지... 아재와 아지매 나와서 모하는 거니?,1,0
14,이건 아니지...,3,0
15,♬♩♪♪♩♬같은 영화....  영하 볼려고 투자한  내 시간이 어깝다...,1,0
16,명절맞이로 가볍고 재밋게 볼만했던것 같아요!! 평점에 비해 좀더 재미있게 느껴지네요.,7,1
17,유치하지만 킬링용으로는 좋네요. 권상우 성동일은 역쉬 웃기네요,6,1
18,TV로 음식을 먹으면서 봤습니다.,10,1
19,뻔한.... 말죽거리잔혹사가 우스개꺼리가 되는....  2020.02.2x.,3,0
20,여기 저기 영화들 쪼가리 복사 붙이기... 찌질함 극치...,0,0
21,...,4,0
22,한국영화 이런류 안좋아하는데 요즘 하도 볼끼 없어서  봤는데.  그럭저럭  웃으면서 봤음.   재미 없지는 않음.  ,6,1
23,이정현 머리 가발아닌가 왤케 어색한가 계속 생각하게 만들어서 집중도 안되고 개연성 없는 내용도 어이없네요,0,0
24,ㅠ,1,0
25,"권상우, 이정현 주연으로 너무 아까운 영화 여기 나오는 여자들 완전 이상한데... 결혼?? 미친짓이지... ",1,0
26,배우들의 톡톡 튀는 연기도 없고 시나리오가 새로운 것도 아니고 관객들을 우습게 본건지...  이정현을 이따위 쓰레기에 출연 시키다니....,2,0
27,이혼식이라는  별종으로  시작해서  갈수록  이해불가  대략난감  전개로  차마  끝을  보진  못했으나  망작의  향기가  솔솔  느껴졌다 이영화를  만드신분들은  현실인지감수성이  많이  떨어지는거  같다 권상우  돈도  많은데  영화좀  골라  찍었으면  좋겠다,4,0
28,많이 아깝다. 내 시간이,2,0
29,개노잼,0,0
30,권상우가 도대체 무슨잘못을 했길래 이혼하고 나중엔 미안하다 하는지 모르겠슴 이정현은 정말 현실에도 없는 개또x이 아님? 권상우가 사과 받아야 하는거 아냐? 도대체 이런영화가 어떻게 투자받고 스크린걸렸는지 이해가 안감,1,0
31,선영아 나는 네가 잘  살길  바래  !  라고 하고는 다시 찾아간다 ? 유치하지만  해피엔딩이라 덜 서운 ?,3,0
32,로맨틱 코메디인데 80년대 로코물 보는 것 같았어요. 조금 유치해요. 이정현도 권상우도 하는 행동이 이해가 안 돼요. 요즘 관객 수준 많이 높잖아요.,6,1
33,권상우 영화는 자막 있어야 볼수있겠다...ㅡㅡ,4,0
34,ㅅㅂ 이혼식은 뭐고 견혼식은 또 뭐임 전혀 공감가지않음 또 중간에 말죽거리잔혹사가 왜나옴 ,5,0
35,여기서 말죽거리가 왜 나와....ㅋ.....시나리오가 약간 아쉽지만 재밌게 봤네요.,7,1
36,중간중간 웃었네요 이종혁님의 반복 대사 - 119좀 불러주세요 ^^; 극장에서 봤음 조금 아까웠을거 같긴함 ,7,1
37,그런데로봄,4,0
38,코믹을 더욱 강조했으면 로맨틱코메디로 흥행할수 있었는데 배우들 연기가 아쉽다,6,1
39,힘들었다,3,0
40,이왕 유치한김에  서너번할까요로 뽕을 뽑자,4,0
41,"권상우, 아정현 콤비가 헤어짐에 미학을 과거 말죽거리 잔혹사의 후속편 같은 깨알같은 구성과 재미로 그려냈다. 단, 좀 늘어지고 뻔한 전개는 두 콤비의 캐릭터를 잘 살린 연기에도 킬링타임 무비 수준을 벗어나지 못해 아쉽다.  ",5,0
42,1. 주변에 실제로 있다면 욕먹을 민폐커플.   2. 절대 알 수 없는 게 여자의 마음.   3. 이정현이 작을까 아이유가 작을까. ,7,1
43,뭐이런 영화가 왜이혼하는지 제대로설명도 왜다시 합쳐지는지 개뿔설명도 없고 개결혼식서는 실소가 진짜재미없음,1,0
44,ㅠ,1,0
45,재미없음,0,0
46,상업영화다운 특성을 절절히 표현한 감독휘하 전 참여인원들. 보는 즐거움만은 충분.,5,0
47,권상우가 대단하긴 대단하네. 그래도 권상우가 연기해서 그나마 지루하진 않았음. ,6,1
48,재밌어요. 추천,10,1
49,이것도 영화인가 ㅠㅠ 내가 더 잘만들게따 빵점 ,0,0
50,.,1,0
51,와..진짜.. 이정현 연기 너무 못하네요..  목소리는 왜그러는건지...  듣기시른 목소리에 표정도 예전같지않고 .. 영화 흐름 다 깨ㅠ 스토리도 이상해ㅠ 말죽거리부분만 웃기공ㅠ,1,0
