,document,score,label
0,위화감 없는 실사화에 놀라움을 감추지 못했다 명작임에 틀림없다 ,9,1
1," 동물캐릭의 실사화로 인해 표정에 감정표현이 잘 나타나지 않아 배우 목소리도 겉돌고 스카의 사악함, 품바의 유쾌한표정 등 원작 애니의 과장된 몸짓과 표정이 빠진게 아쉽지만 완벽에 가까운 그래픽과 살아 숨쉬는 배경, 원작의 감동과 노래를 감상하기에는 충분하다",9,1
2,이 영화에서 CG 기술은 그야말로 압도적인 수준이었다 배경의 디테일과 동물들의 움직임이 너무나 사실적이어서 경탄을 금치 못했다  하지만 이 완벽한 CG는 원작과 리메이크의 결정적인 차이를 만들어냈다 바로 많은 사람들이 공감했을 표정이다  만화라고 하는 것은 기본적으로 데포르메가 전제된다  하지만 리메이크의 심바는 다르다 이 친구는 그냥 사자다 아무리 봐도 사자다 그렇기에 이 친구는 원작 애니메이션의 심바처럼 과장된 행동과 움직임을 보여주지 못한다  이 영화가 원작의 스토리 라인과 구도까지 전부 복사 붙여넣기 했던 것에는 다양한 시각이 공존할 것이라고 본다 하지만 좋은 리메이크는 아니라고 말할 수 있다  원작의 좋은 부분을 건드리지 않는다고 해도 실사화인 이상 연출의 차이는 드러날 수밖에 없다,5,0
3,이영화 강추다,9,1
4,어릴적라이온킹이 트랜스포머급라이온킹으로 ,10,1
5,25년만에 애니메이션에서 영화로 보게 되어 반갑고 즐거운 시간이었습니다.,9,1
6,이정도 그래픽이면 이제 사람도 풀3D로 영화를 만들 수 있을듯. 실사인지 3D인지 구분도 못하게. 가장 이상적인 배우를 창조할 수 있다면 엄청난 배우들이 나오는 영화가 탄생할듯.,8,1
7,최고!!,10,1
8,시부랄 흑크린 쿼터제  다행히 다스베이더는 원래 흑인이어서 계속 무파사 배역을 할수있었음  티몬의 경박한 목소리는 애니가 더 좋았고 무엇보다 스카의 야비하지만 무게감 있는 목소리는 원조 제레미 아이언스를 따라가지를 못하네,7,1
9,라이언킹 내용 자체를 안좋아하지만 동물원 온거 같아서 좋음 ,4,0
10,"무파사,품바, 티몬 다 괜찮은데  정작 심바나 날라 사라비.하이애나 여자대장 등등 목소리가 영..몰입에 도움을 안준다.",9,1
11,잼나다,10,1
12,실사라 놀라울뿐 단지,1,0
13,옛날 라이온킹... OST가 더 좋았던 것으로 기억 하고 싶다. 정글의 왕이 사자라니... 공감 할 수 없다! 코끼리가 짱 아닌가?! ㅎㅎ;;,0,0
14,라이온 킹 실사! 놀랍네요. ^^,8,1
15,...,8,1
