,document,score,label
0,대박! 우리나라에서 이런 애니메이션을 만들다니!,10,1
1,자랑스럽습니다 솔직히 역대 디즈니시리즈 하고 비교해도 뒤지지 않아요 ,10,1
2,우리 나라서 만든 거라니. 와  그냥 봐도 퀄리티 있는데 자막에 한글 제작진들 이름 보니 뿌듯했어,7,1
3,"국산이지 모르고.봤는데, 잘 그렸네요~",10,1
4,진짜 디즈니 찌발랐다ㅠ 개갓명작입니다ㅠㅜㅠㅜ 그래픽 내용 성우연기의 삼위일체 지금의 이백만배쯤 더 흥행했어야 하는 갓띵작임 좀만 더 흥행했으면 애들이 레릿고가 아니라 아돈케어 부르고 다녔을 명작인데 대체 왜ㅠㅠㅠㅠ,10,1
5,크레딧에 한국제작진 이름 올라가는거 보고 깜놀  대박,10,1
6,재밌음..,10,1
7,너무 재밌게 잘봤어용,10,1
8,너어어무 재미있는 영화입니다,10,1
9,좋아오!잼있게봤어요,10,1
10,난 왜 이걸 못봤지..,10,1
11,재밌네요,10,1
12,너무 재밌게 봤어요!  퀄리티 좋고 중간에 노래 부르고 유머코드 좋고 당연 디즈니인줄 알았는데!  세상에 우리나라 제작이라니 깜짝 놀랐어요!ㅎㅎ,10,1
13,굿,10,1
14,애니명작,10,1
15,와 진짜 흠잡을 데 없이 너무 좋았어요. 마지막 엔딩 크레딧에서 한국인 이름이 줄줄이 나와서 그제야 국산인 줄 알았네요. 와 진짜 너무 좋아요.,10,1
16,최고에요,10,1
17,재미도 있고  피씨 이런게 아닌 진정한 자존감같은 교훈도 느낄수 있음..채고다,10,1
18,대박,10,1
19,즐거리가 너무 식상해요,7,1
20,디즈니 애니인줄 알았는데 댓글보고 우리나라인걸 알았네요. 진짜 잘 만들었어요!,10,1
21,당연히 미국거라 생각하고 보고 있었는데 우리나라 제작! 정말 재밌게 잘봤어요 멀린 내 스탈이야~~^^♡,10,1
22,디즈니껀줄?? 대박!!!,10,1
23,겉모습이 중요한게 아니란걸 가르쳐 주는 것 같네요 ㅎㅎ,10,1
24,잼있네요~,10,1
25,여러가지 동화와 애니메이션을 짜집기 했지만.. 그건 겉모습일뿐.. 중요한건 겉모습이 아니다!!,8,1
26,스토리도 탄탄하고 내용도 재밌고 잘보고 갑니다~,10,1
27,기대 이상이었어요!,9,1
28,우와 아이들 때문에 갔다 우리 부부도 만족하고 왔어요 정말 재미있어요 ^^겉으로 보이는 모습이 전부가 아닌듯 강추요♡,10,1
