,document,score,label
0,기 발암 승 발암 전 발암 결 발암,0,0
1,여기 평점이 낮아서 별 기대안하고 봤는데  난 볼만하던데 ㅎㅎ 시간나면 가볍게 보는것도 좋음,10,1
2,볼만은 하지만 죽기살기로 막 싸우고 갑자기 결혼? 토나올뻔했다,4,0
3,이영화 비추다,4,0
4,공주년 개노답,10,1
5,서로 싸우면서 엄청나게 죽었는데 갑자기 희희덕 거리며 결혼식을 하는 사이코패스 영화,1,0
6,사랑스런 엘르와 여전히 매력적인 안젤리나  다소 뻔한 스토리지만 ㅋㅋ,8,1
7,애들이 봐도  쌍욕을 할 영화   남자에 미친 ♪♪이 얼마나 무서운지 알려주는 영화  ♬♬의 해피엔딩 인데 난 고구마 수천개 먹고 물 안마신 기분인 영화  말레피센트가  개호구 인걸 알려주는 영화 두번 다시 떠올리기 싫은 영화 베스트1  첨으로 평점과 리뷰를 남기게 하는 힘을  가진 영화 아c   근데  내평점 0인데 왜 안지워져,1,0
8,답답. 천불남.,1,0
9,와 스토리 정말 갑갑하다,3,0
10,스토리가 뭐 이따구냐.. 공주랍시고 깝치다 다죽이고 마지막엔 좋단다..,1,0
11,말피 1에 비해 후반부 내용이 좀 지루해지긴 하는데 그래도 연출이나 액션이 만족스러움 말피 1이 워낙 재밌던 터라 좀 비교되는 느낌도 있고 아쉬운건 마지막부분 피닉스 액션씬이 더 있었으면 어땠을까 하는것,8,1
12,"극적 전개가 불만인 사람도 많아보이지만 그래도 디즈니가 어린이 관객 못 버려서 그런 것도 있겠다 생각하구 재밌게 봤어용ㅎㅎ 말레피센트랑 오로라 공주 둘 다 너무 예쁘고, 오로라가 필립의 어머니? 부모님이 나의 어머니가 보고싶대요 했을 때 말레피센트 표정이 잊히지 않네요ㅜㅜ ",10,1
13,"'잠자는 숲속의 공주'의 스핀오프 '말레피센트1'는 말레피센트라는 인물에 주목하며 이야기를 흥미롭게 각색해냈다. '말레피센트2'는 요정과 인간 사이의 화합, 평화가 주제인데, 이것이 말레피센트라는 캐릭터를 평범한 존재로 만든 것 같아 아쉽다. 흔한 만화 속 마족과 인간 사이의 화합이라는 이야기 말이다. 또 힘에 의한 거짓 평화 느낌도 없지 않다. 그러나 칭찬할 것도 분명히 있다. 못된 지도자들의 공포심 조성은 덤이고. 남녀성비도 꽤 적절한 듯하다. 이 역시 '말레피센트'라는 압도적인 캐릭터 덕분일터. 꽤 괜찮은 남성들 몇이 조력자로 등장할뿐, 극의 전개를 이끄는 건 온전히 여성이라는 점에서 젠더영화로도 나쁘지 않다. 어린이들의 위한 현대동화 같은 영화 한 편.",7,1
14,와 미친...처음ㅇ엔 볼만했더만 끝으로 갈 수록 내용이 산으로가네 ㅅㅂ,1,0
15,어어....결말이좀....그래도 이 고구마 다 견디고 나중에 말레피센트가 능력으로 뭐 애들 다 살려주겠지 싶었는데...왜 희생자들 걍 놔둔거야...?왜 안살려...?똥싸다 말았는데 빨리 나온 느낌이네...적어도 희생자들은 살려 줬어야지...ㅜ,7,1
16,"1편 보고 바로 이어서 보니...1편의 아쉬움을 달래주는...단, 마지막 극적 전환은 좀...",7,1
17,고고고고구구구구마마맘,1,0
18,"진짜  밑도 끝도  없고,  무능력한  공주에  다가 어휴~~  애들도  안보겠다. 그저  안젤리나  졸리만  이쁠뿐~~",3,0
19,제작진의 열정과 노력이 대단한 영화다.,10,1
20,"왜~, 전쟁 중에 용서도 해주지 그랬어? ",2,0
21,원작만 못한 속편,4,0
22,초~중반까지 무지 지루함..  후반의 영상미와 볼거리는 괜찮은 편이지만..  근데.. 개연성 1도 없는 평화 모드.. 발암캐 여주 등..  졸리는 아깝지만.. 제발 3편은 만들지 말자..,5,0
23,영화가 지루하게 흐른 건 이해하겠다.  스토리 엉성한 것도 이해한다. 어차피 1편의 성공에 기대서 만든 거니까. 그런데... 마지막에 서로 죽고 죽이며 싸우다 갑자기 평화롭게 결혼식?  작가냐? 감독이냐? 머리에 총 맞은 인간이.,5,0
24,선악구도 전환에 열심이지만 1편과 이어지는 정체성 만큼 진행이 따라주진 못하네.,5,0
25,재미있는데 오로라 병 딱같은 캐릭터 때문에 답답하다,4,0
26,영상으로 보는거지비,9,1
27,전작의 후속작이라는 기대가 너무 컸나보다 ,5,0
28,애들 보여줘야겠다,6,1
29,아오 12세 영화라 유아용이었네 첨부터 주인공 민폐년 막판까지 짜증 전쟁으로 서로 쳐죽인데 우리 없던일로 합시다  뜬금없이 화해 ㅋㅋ 12세 이용가 본 내가 죄인이요 애들을 위해서 그래도 4점 드림 애들용임 애들용,4,0
30,"말레피센트 성공에 기댄 후속편, 말레피센트 성공이 고무적이라서 억지로 짜낸 이야기, 거칠고, 다듬어지지 않은 이야기와 설정들. 설정들이 그럴듯 하다고 막 갖다 붙이기는 했으나 정제가 안 되었다. 말레피센트의 특징인 뿔과 날개, 분명 동족들이 있을것이다! 말레피센트와 적대하는 막강한 인물을 넣자! 숲속 친구들을 위험에 빠뜨리자! 다 좋은데 어설프고 급조된 스토리텔링. 디즈니는 가끔 이런 후진 내용을 정성들인 영상미를 가진 실사영화화한 작품들을 낸다. 연기자들의 연기력으로도 커버가 안되고, 스토리 때문에 연기자들의 연기마저 어설퍼 보이는 영화.",5,0
31,돈 아까워요..  걍 핵 비추!!!!!,0,0
32,고구마 천개!!!!!! 속 터져 죽을뻔함,1,0
33,영상은 이쁘네요,3,0
34,그냥 애들만 보여주면 된다.,6,1
35,보다 암걸리겠네 죽은자가 몇인데 겁나 행복해하네 ,0,0
36,"평화를 추구하는 바는 알겠지만, 잘못에 대한 댓가를 치르지 않는 해피엔딩은 쓰레기다. 요정들은 마치 요즘의 각종 차별받는 이로 볼 수 있는데, 그저 개죽음 당해도 용서하라고만 강요한다.  니들은 다들 기생충이야.",0,0
37,오로라 공준지 멍청인지 때문에 짜증나서 못보겠다 이렇게 만들 바에는 1편에서 끝냈다면 더 좋았을 것을...,1,0
38,오로라가 암이다 살육 현장에서 바로 웃으며 끝내다니...,4,0
39,이게 7.2점이라니...다음 평점도 이젠 믿을게 못되는구나  ..,4,0
40," 왕비와 말레피센트 연기, 공주의 속 터지는 모지리 연기...  볼거리는 가득하고 좋았다. 다만 말레피센트 종족이 넘 약한게 티라면 티... 영환 전반적으로 답답했다.   그리고 아이가 볼만한 내용은 아니다.",7,1
41,충분히 잼있음. 살짝 열받긴 하지만....성 너무 이쁘다 레고로 나왔으면,7,1
