,document,score,label
0,"서울역, 염력, 반도가 실력이었고, 부산행이 실수였다니...",1,0
1,"반도 네이버 영화 평점 실화냐? 알바가 얼마나 많이 활동한다는 말인 거냐! 앞으로 네이버 영화 평점은 거른다.  감독아, 너는 양심이 있으면 앞으로 영화판에 기웃거리지 말고 노가다라도 해서 성실히 살려고 노력해라. 딴에는 영화감독이라고 괜히 똥폼 잡으면서 요행으로 대박 하나 터뜨려서 일확천금 노릴 생각하지 말고.",1,0
2,왜 망했는지 확인하려고 봤다 보고 알았다,3,0
3," 도데체 우리나라  영화는  언제까지  징징짜고 울고불고  이런거 꼭 나와야 하나?   엄마~,아빠~ 오열하며...   빨랑빨랑 안움직이고 속터진다. 또  무서워서 으으으으 하며 덜덜떨기만  하는 장면들 나오는것도  지겹고   눈에 확연히 띄는 CG가 자동차 경주게임 과 흡사하더만    초코시럽.딸기시럽.오징어 먹물  입에 물고 있으면서  뛰어다닌 좀비 엑스트라들 에 수고의 박수를",0,0
4,"개떡같은 개연성은 둘째치고, 좀비는 4년동안 광합성으로 버틴거야??",4,0
5,"아오... 중간에 맥 끊으며 빡치게 만드는 뻔한 장면들과 만화영화 수준의 차량 추격 장면은 그렇다쳐도.. 결말은 진짜 최악이다. 모하비는 레이싱카 성능에 탱크의 방호력을 가졌고, 치누크 헬기는 무소음 스텔스인가?",1,0
6,돈받고도 보지말것,1,0
7,부산행의 감독이 맞나 싶다. 부산행은 좀비영화의 수작이라면 반도는 그저 cg영화에 불과하다. /킬링타임용 영화일뿐 ,3,0
8,관객들은 좀비영화를 기대했겠지만 관객들의 기대를 철저히 부수고 CG로 만든 매드맥스의 아류 같은 레이싱과 억지 신파 엔딩에 답답함을 느낄 수 밖에 없는 영화다. 초반에 화려한 스토리 전개에 영 부합해 주지 못하는 중후반부 이후는 거의 기억이 안 날 정도.,5,0
9,꼭 해피엔딩일 필요는 없다  그리고 마지막에 헬기가 앉으면 프로펠러 소리에 온 세상 좀비들 다 모여야 정상아닌가?,3,0
10,연상호 최대의 실수는 부산행 이었네. ㅋ 실수로 잘 만들어 버렸어,1,0
11,시나리오 개허접,4,0
12,부산행 보고 기대가 넘 컸던 탓일까? 이걸 영화라고~~스토리도 없고 CG도 개판이고.... B급 영화임... 보고나서 어이없없음...,1,0
13,돈주고 극장에서 본 분들에게 심심한 유감을 표합니다.,1,0
14,여객선 첫장면부터 감정적으로만 대응하며 런닝타임을 질질 끌어대는 그야말로 눈물을 쥐어짜게끔 만든 요소들만 넣어논 신과함께 급의 드러난 신파극 덕지덕지인 쓰레기 영화.. 전개도 매우 답답하고 개연성 1도 없는 진행,1,0
15,나는 전설이다 매드맥스  바이오하자드  총기액션은 존윅  카체이싱은  매드맥스와 분노질주 믹싱  되도 않는 스토리와 어색한 연기 수준이하 요즘 싸구려 중국 게임보다 못한 3류 cg  빨리감기 뭐냐고  그냥 이걸 촬영할때야 그렇다해도 편집을 하면서 본인들도 알텐데 완성 시키고 보긴 했을거 아냐  이건 본인들 커리어 종결자 라는걸  세상에 나와선 안될 영화 부산행도 폐쇄된 기차가 주는 소재 선택이 좋았을 뿐인데 신파는 못버리나???  시나리오 쓸 능력이 안되면 돈주고 시나리오를 사서써라 소재와 배경 설정 연기 어느것하나 제대로 된게 없는 쓰레기,1,0
16,CG는 그냥 현실감 하나도 없는 만화네 중간 중간 맥을 끊어 버리는 연출  방금까지 숨쉴 틈도 없이 싸우다 신파가 섞이는 장면은 적들이 마치 기다려 주는듯 시간은 안가고  제목이 7광구 였던가? 암튼 그보다 못한듯  난 부산행 하고 진짜 같은 감독인가 몇번을 확인했음  부산행은 운이였던걸로,1,0
17,뭔 이따위 되도않는 전개와 클리셰를 덕지덕지 붙여넣은 개떡같은 영화가 다있는지 시간돌려줘,1,0
18,4년동안 악착같이 견뎌내면서 겨우 헬기 바로앞에서 포기할려고 했던게 각본의 미스...억지감동 만들어낼려고..,1,0
19,쓰레기. 개연성 전혀없다. 시간 때우기도 아깝다. 내돈 돌려줘...ㅋㅋ,1,0
20,안 본 사람이 승자.,1,0
21,당신이 어느날 아무리 외롭고 헛헛한다해도 이 영화를 봐서는 안됩니다. 분노와 배신감에 빠져 성격이 나빠지거나 가족들과 불화를 초래할수 있습니다.,2,0
22,감독 연출 정말 잦같네.. 무슨 긴박한 순간마다 신파극이냐... 고구마 한박스 먹은듯 답답하네,3,0
23,연상호감독의  서울역보면서 정말 감탄했었고 부산행 약간의 신파는 있지만 일관성있게 마지막까지 스릴있는 수작이었는데 반도는 진짜  전작들에 반도 못 ㅁㅣ쳐서 반도인가? 달러찾는다는 초반부의 발상은 기가 막힐  정도로 뛰어난데 이후에는 지겹도록 컴퓨터게임같은 자동차추격신 CG+신파의 반복 (자동차 추격신에 어린 소녀가 무슨 F1카레이서 수준? 현실감 떨어지게  ) 악역들도 카리스마없어 긴장감없고 좀비물인데 좀비는 주가 아니고 보조축에도 못들고 이정현과 아역들 권해효 연기 매우 어설프고 개연성은 하나도 없고 본 사람들이 입을 모아 욕하는 이유를 알만하네 그나마 강동원과 서대위 역할 배우 봐서 3점 준다,3,0
24,올해본 영화 중 최악의 영화 억지스러운 신파+ 어설픈 연기와 cg의 향연,2,0
25,영화보면서도 아무생각없이 볼수있다는 나자신이 신기하다. 수많은 좀비들이 아무것도 안먹어도 얼굴이 포동포동하면서  힘이 넘쳐서 뜀박질도 선수급이고 한국에서 좀비영화만들려면 내용도 있고 깊이도 좀 있게 만들었으면 한다.,1,0
26,개연성이 전혀 없는 심파극..,0,0
27,"내가 왠만하먼 영화댓글 않다는데, 진짜 욕나오네요  진짜 오랜만에 쓰레기같은거한번 보네요 이걸 영화라고....,.....,..",1,0
28,부산행과 같은 감독이란게 정말 아이러니하다. 부산행은 혹시 뒤에 실제 감독이 있는거 아니냐???,1,0
29,;; 그냥 액션만 보라고 만든 영화같은데 액션도 쓰레기;; 21세기에 화면 빨리감기 촬영이라니;;; ;;;대체 얼마를 받으면 이영화를 재밌다고 개구라를 치는거지?헐;;; 이런 3류 영화를 만든 이유가 뭐냐,0,0
30,영화보다 짜증나긴 첨이다,1,0
31,튼튼한 모하비 타시고 건강하세요 - by 철이 -,1,0
32,어설프기 짝이 없다. 한심한 영화.,1,0
33,망작.. 연기자들 연기도 못봐주겠음 홍콩에서도 그냥 영어사용하는 사람들 원어민 쓰던가 되지도 않는 영어 사용하는 것도 별로...,1,0
34,개 쓰레기 연출...,1,0
35,방금 티비에서 하길래 봤는데ᆞ  질질 끄는 신파극 결말이 영화를 완전히 망쳤구만  외국인들도 부산행 한류 바람타고 봤다가  열라 빡쳤겠다  매드맥스  표절에  느린음악에 질질끄는 신파극 마무리가 영화를 개판으로 만들었네 답답혀,1,0
36,부산행 감독이 맞나요?,1,0
37,아....내 시간 돌려줘...그 시간에 잠이나 더 잤으면..ㅠ.ㅠ,1,0
38,"반도에 보낼 사람이 그렇게 없었나 ..택시 아줌마랑 .. 일반인, 주인공만 그럴듯하게 군인출신 .. ",1,0
39,평가 자체가  하기싫다 돈아깝다.,1,0
40,욕나오네,1,0
41,구정 연휴 최악의 영화 아니 최근 30여년 동안 최악의 영화 이런 영화 사니리오 작가나 영화감독은 무슨 생각을 가지고 있는지 원..,1,0
42,와...  B급도 아니고 C급 영화다.,1,0
43,액션이면  액션으로 가야지  이상한 휴먼을 덮어쓰기 하니 이상한 영화가 되네. 휴먼도 억지스런 휴먼   가상휴먼을 가미하네 참 어려운 영화 만들었어요,4,0
44,이런영화 찍지마..,1,0
45,지금시점에서 이작품은 정말 개 망작이다. 배우들과 스텝들 고생 많았지만...    감독 넌 무슨생각으로 저딴 영화를 만든거냐? 각본의 배경은 괜찮았지만 그것 말고는 전부 쓰레기네.. 다음작품도 말아 먹으시려면 각본 작업하세요. 돈이 아깝다 돈이.  내 시간이 아깝다 시간이,0,0
46,"시간만 축내는...나름 철학이 있어 보이는 감독인듯 했는데, 그냥 투자자 눈치만 본듯.",0,0
47,저기 정말 큰 깨달음 얻기 전까지 절대 감독하지 마시길 조언드립니다. -__-,1,0
48,감독들은 자기가 만들고 싶은 영화를 만들지 말고 관객이 보고 싶은 영화를 만들어랏.,1,0
49,"왜 내나라 내조국을 세계각국에서 배제된  없는 나라로 만드냐고요.지금도 일본,러시아,중국,미국은 호시탐탐 노리면서 통일이 안되는 이유가 있는데~보다가 ;;;욕 나왔어.",1,0
50,"이 영화 비밀 폭로 합니다, 연감독 외국 출장 간 사이에 초딩 아들 둘이 몰래 만들었다고 하네요 ㅋㅋ",2,0
