,document,score,label
0,이 이상의 판타지는 본 적이 없고 앞으로도 보기 힘들 듯 하다.,10,1
1,말해 뭐해..,10,1
2,짱짱♡♡♡♡,10,1
3,최고,10,1
4,두말이 필요 없는 판타지의 걸작,9,1
5,인생 최고의 영화.   엄청난 계시적 판타지 .  서사적 배경과 사운드   모든게 퍼펙트 .   보르미르가 죽을때  아라곤을 보며  ' 나의 왕이여   ' 할때  한번도 경험하지 못한 전율을 느꼈다.,10,1
6,최고,10,1
7,전설의 시작,10,1
8,.,10,1
9,누가 과연 보르미르를 욕할 수 있을까,10,1
10,판타지에 관심이 없던 나를 사로잡은 영화,9,1
11,사랑해요 간달,6,1
12,전설의 시작  드라큐라원조 크리스토퍼 리를 다시보다니,7,1
13,우리말 더빙으로 다시 한번 봐서 아주 새로웠다.,10,1
14,어느것하나 버릴게 없는 영화 ,9,1
15,"상상한것을 그대로 영화한것 이이상 훌륭할수없다. 배우, 음악, 배경 모든게완벽했지",10,1
16,인생영화. 인간의 욕망과 고뇌를 저리 디테일하게 표현했을까. 2019년에 다시봐도 세련되기 짝이 없는 영화.,9,1
17,전설을 시작하는 작품으로 이만한 작품이 있을까... 어릴적 반지의 제왕을 읽은 나는 이 영화 이후에 직품속 인물들을 책안에서 지워버렸다..  반지의 제왕 3부작에게는 줄수만 있으면 11점을 주고싶을 뿐이다... 책을 지워버린 영화.. 반지의 제왕...,10,1
18,상영시간 내내 몰입을 놓을수 없다,8,1
19,박수치지 않을수 없었던 판타지. 아드레날린이 뿜뿜했던 기억.,9,1
20,My precious ,10,1
21,반지의 제왕 시리즈 명작 몇번 재탕중인데 안질리고 또봐도 재밌다,10,1
22,웅장한 서사와 연출이 돋보이는 판타지 여정의 시작,9,1
23,몇번을 보아도 재미있다.,10,1
24,3편까지 정주행으로 봐도봐도 질리지 않음,10,1
25,러닝타임 조금긴게 흠,9,1
26,.                         ,9,1
27,...,8,1
28,이들의 여정 자체가 인생의 진리,10,1
29,"누적관객수 19명? 실화냐? 내가 영화관 갔을 때 같이 본 사람들만해도 이거보단 많은데, 차라리 올려놓지를 말든가...",9,1
30,기품 있는 판타지의 장대한 서막,9,1
31,"게르만 문화의 세계관을 바탕으로, 켈트족의 신화요소들을 가미해 창조해낸, 톨킨의 위대한 대작~! 영국의 고군분투, 나치 독일의 초강력 파워, 프랑스와 유럽의 참패, 러시아의 입장과 역습, 미국의 참전과 반격, 최후의 승전.. 여러 전장을 넘나드는 2차대전의 침투전과 첩보전과 외교전들을, 판타지 소설로 은유해냈다~!",10,1
32,완전 최고,10,1
33,유일하게 3편까지 가도 인기있고 망하지 않은 영화,10,1
34,가장 영화화되기 힘든 원작을 가장 완벽하게 영화화한 사례,9,1
35,최고의 판타지 영화,10,1
36,말해야 입만 아프다... 무슨말이 필요하냐?,10,1
37,내 인생의 역대 영화 1위. 이 영화가 2001년에 나왔다는게 더 대단하다.,10,1
38,뉴질랜드  자연다큐로써  손색이 없다.,6,1
39,이 영화에 10점을 안 준다면 어떤 영화에 10점을 줘야 할가. ,10,1
40,말이 필요없는 영화였다.보면 절대 후회하지 않을 완벽한 영화 반지의 제왕 3부작.,10,1
41,권력의 단맛은 사람을 병들게 만든다. 한 번 빠지면 헤어나 올 수 없는 마약과도 같다. 그래서 제왕의 자리는 외롭고 험난하다. 권력을 쥐고 있어도 언제 뺏길지 몰라 뜬눈으로 밤을 새운다. 정신 바짝 차리지 않으면 언제든 빼앗긴다. 절대 권력은 절대 부패한다고 했던가. 이루기 힘들어도 쉽게 무너지는게 권력이다. ,8,1
42,천재와   또라이의  중간계,10,1
43,반지의 제왕: 반지 원정대 ..   신비한 모험의 세계에 빠져들다 !,9,1
44,재관람하고 왔습니다. 너무 행복합니다. 명작의 클래스는 이런것이군요. 10년이 지났지만 아직까지 이 분야에선 최고입니다.,10,1
