,document,score,label
0,"호빗 1,2,3 편을 드디어 모두 보게 되어 이어서 11년만에 다시 반지에 제왕 3 에피소드를 다시 한번 모두 순회공연 하였다!!! 역시 해리포터와 더불어 두번 다신 나오지 않을 최고의 불후에 판타지 명작!!!",10,1
1,이게 말이 되는 영화인가 세편다 완벽한 영화,10,1
2,수세기가 지나도 최고의 판타지 영화가 될듯...,10,1
3,인생영화 중 하나.,10,1
4,최고의 명작은 반지의 제왕 시리즈임!,10,1
5,완벽한 내 인생 명작이다 유일무이한 판타지 명작,10,1
6,역대급 명작,10,1
7,인생영화,10,1
8,아. 씨 몇번을 봐도 새롭냐.   감사하다 프로도야.   골룸 고마워. 샘도 고마워.  백번째 보는 중,10,1
9,방대한 스케일의 스토리와 개성있는 케릭터 묘사...역대급 재미 1위!!!,10,1
10,환상적인 판타지의 제왕,10,1
11,어마어마한 대형 판타지 소설을 말도 안되게 영화로 만들었다 오히려 더 재밌게,9,1
12,프로도를 구하는 샘의 얼굴을 잊을수가 없다  이런 사람이라면 생을 바칠수도 있을거 같다,10,1
13,샘이 주인공이었네,9,1
14,"그때 당시에 영상,음악,스토리 더 이상은 나오지못할 판타지 영화는 분명해 보인다.",10,1
15,반지의 제왕 시리즈는 사람에 따라 다르겠지만 확장판으로 보시면 더 재밌습니다.,10,1
16,정말 봐도봐도 재밌다!!!!,10,1
17,전설,10,1
18,you will suffer me,10,1
19,진짜 인생영화♡♡♡♡,10,1
20,명대사 : you know nothing john snow..,10,1
21,.,10,1
22,수세기가 지나도 최고의 판타지 영화로 남을듯,10,1
23,시간을 타지않는 명작ㅁ,10,1
24,명작중의 명작..,10,1
25,판타지에 관심이 없던 나를 사로잡은 영화 3,9,1
26,사상 최대의 마지막 전쟁이 시작됐다!,10,1
27,.,10,1
28,인간은 절대 유혹에서 벗어날 수 없다는 것  그만큼 인간은 약하다는 것  그 약함은 오직 서로간의 우정과 사랑으로 해결될 뿐 이라는것을 알려주는  피터 잭슨의 완벽함과 노력에 10점 만점을 줄 수 밖에 없는 영화  2000년대초 메트릭스와 더불어 시리즈 물로 1년마다 극장가는 행복을 느끼게 해준 명작.,10,1
29,여정은 여기서 끝내는걸로 ,7,1
30,잼남~~^^,10,1
31,"최고의 판타지 영화! 완벽한 서사, 버릴것없는 캐릭터들, 웅장한 배경과 그에 걸맞는 아름다운 사운드트랙까지 두루두루 소름끼치는 조화를 이루는..지이이인짜 이만한 판타지 영화 없음.. ",10,1
32,프로도 응근 저평가되서 말하자면  반지가 마약이라고보면됨 한번도 안맞아본사람은있어도 한번만 맞아본사람은 없을꺼라고 평가해도 된 마약을 프로도는 원정이 끝날때되서야 현혹된거,10,1
33,메리 피핀 사루만이 멍청함 프로도도 쪼금 ,7,1
34,역시 반지의제왕 시리즈 만한 판타지 소설 영화는 없다. 해리포터 빼고 ,10,1
35,좋아요,9,1
36,시리즈 세편이 연달아 호평받는건 너무 어려운 일이다.  아직도 잊혀지지 않는 케릭이 너무 많다.,9,1
37,억지스러움이 유독 있다,8,1
38,2편보다는 몰입도가 좀 떨어진다. 우리편이 너무 강하니까 긴장감이 떨어짐,7,1
39,최고다,10,1
40,골룸,10,1
41,러닝타임 4시간 넘다니 너무김,1,0
42,살아 생전 다시 이런 영화를 볼 수 있을까?,10,1
43,기력이 소진될 정도의 압도감,10,1
44,어마어마한 양을 이렇듯 준수하게 3부작으로 뽑아내는건 기적이라 말하지 않을 수 없다. 한 번도 똥볼 차지 않고.,9,1
45,경외감이 드는 판타지 대서사시,10,1
46,내인생 최고의판타지무비~,9,1
47,"이걸 넘어설 판타지 영화가 언제쯤 나올까,, ",10,1
48,아마 다시는 같은 수준을 볼 수 없을 거라 생각하는  영화,10,1
49,영화 역사상 가장 위대한 트릴로지의 마지막을 장식하며,10,1
50,소설이든 영화든...  다시봐도 명작 중의 명작... ,10,1
51,반지의 제왕 3부작을 잘 마무리한 것 같다,10,1
52,대 서사시같은 3부작의 대미를 장식하는 작품. 전편에 이은 전개가 아주 탁월하고 장엄하다.,9,1
53,반지의 제왕 3편까지 모두  감동의 시간이었다 ..,9,1
54,그 쬐만한 요물반지 하나 버리러 가는데. 무슨 험산준령이 높고도 험한지 ~숨넘어갈뻔~~울기도 많이하고 평생 두고볼 수작입니다~~별을 다섯개밖에 줄 수없다니 슬프네요 삶에 대해 돌아보게까지 하고 감동 교훈 여운 정말 대단하다는 말밖에  정말 감사하네요 이런 영화를. 이렇게 볼 수 있다는게 끝나고 박수친 분도 계심,10,1
55,드디어 3편까지 완주했네요. 이렇게 완벽한 3부작이 또 나올까요? 지금까지는 최고입니다. 요즘 영화들도 아직 못 넘어서는군요.ㅠ 4시간 넘어서까지 마지막 자막 스크롤 올라가도 꽤 많은 분들이 자리를 못 떠나시더군요. 감동의 여운이...ㅠ,10,1
56,마지막이라는 아쉬움에 슬프지 않은데 슬픈 영화,9,1
57,최고의영화,10,1
58,come back,8,1
59,판타지 최고,9,1
60,판타지의 역사,8,1
61,다시 봐도 볼 때마다 재밌는 영화. 반지의 제왕보다 재밌는 시리즈를 다시 볼 수 있을까?,10,1
62, 볼거리가 많았고 줄거리도 참신햇던 영화,9,1
63,   ,10,1
64,오랜만에 다시 봐도 괜찮은 영화... 판타지물 중에 반지의제왕이 제일 좋다.,9,1
65,그냥 최고~! 영화관에서 본 첫장면은 그냥 충격...,10,1
66,에필로그가 너무 길고 쓸데없다,7,1
67,아!!!! 이런 영화 또 나올까?? ,10,1
68,무슨말이.......,10,1
69,  ,8,1
70,오늘로써 반지의제왕을 4번째 봣다..  난 개인적으로 프로도보단 샘이 더 대단한거 같다..  묵묵히 정의로움과 사명감 그리고 반지앞에서도 흔들리지않앗던 샘의 용기가 대단햇음,10,1
71,"씨리즈중 가장 볼거리도 많고 여운도 많이 남는 작품..3를 위해 1,2가 존재한다",10,1
72,그저 감사한 마음.  ,10,1
73,경이로운 피터 잭슨의 마법.,9,1
74,한 세기동안 잊지 못 할 판타지의 레전드 이야기는 잔잔하게 전투씬은 웅장하게,10,1
75,감사합니다,10,1
76,드디어 막을 내린 위대한 여정...,9,1
77,씨지가 많이 나오니 cg가 식상해져 버리는 실감은 점점 떨어지고.. 전투의 후반부에는 지루하단 느낌 조차 생기더라는.... 혼령들이 휩쓸면서 전투는 급작스례 정리되는 느낌도 과히 좋지는 않았던.... 7-8 점 사이가 적당한 평가라고 본다. 프르도와 샘 골룸이 없었으면 그것조차 주기 힘들었을....,7,1
78,10년이넘엇는데도 요새 엥간한 영화보다 cg 가 뛰어나네 머하나 나무랄데가없다.,10,1
79,역시~! 실망 안 시킨다. 반지원정대 귀환 추카추카,10,1
80,"마지막, 반지의 사악함을 이기고 모든게 끝날때 여운이...",10,1
81,잊지못할 전설일듯,10,1
82,앞으로도 없고 이전에도 없던 존재 자체가 왕인영화네요 ,10,1
83,"고난, 역경, 웃음, 회한 을 관객과 함께한다",8,1
84,판타지라는 장르의 본좌는 바로 반지의 제왕이다. 모든 것이 완벽하다.,10,1
85,웅장한 마무리,10,1
86,보고 보고 또 봐도 재미있다,10,1
87,하....진짜 프로도 암걸린다....  힘도없고 멘탈도 약하고.... 평범한사람보다 더 약한거같음...,0,0
88,대박재미있다.,10,1
89,제목 그대로 왕의 귀환. 역시 가 나오는 반지의 제왕,9,1
90,최고!!!!!!!!!!!!!,10,1
91,아카데미 14개부분 노미네이트 11개부분수상 벤허 타이타닉 최다수상 타이기록!! 더이상 말이필요없다 ,10,1
92,기나긴 러닝타임에도 지루하거나 어색함을 느끼지 못했다. 봐도봐도 몰입하게 되는 영화. 최고의 판타지!,9,1
93,인간적으로 취향 좀 안 맞아도 이런 대작에는 7점 밑으로 주지 말자,9,1
94,"드뎌 1,2,3편 다 봤다. 편당 3~4시간의 런닝 타임도 너무 길고, 4군데에서 일어나는 일이 무슨 이원 생중계 하듯이 왔다갔다.;; 비슷하게 생긴 인물이 하도 많이 나오고.. 되돌려보며 겨우 이해했다만, 그다지 여운이 남지 않는다. 샘의 희생정신 정도만 빼고.",1,0
95,3부작의 마무리 아무리 봐도 주인공은 샘임 ,10,1
96,봐도 봐도 또 보고픈 영화~명작중에 명작이다~~~~,10,1
97,앞으로도 이런영화는 나올수없다. 10점이 모자르다.,10,1
98,영원한 명작 더이상 수식어가 필요없는 영화,10,1
99,극장판/감독판/확장판 모두 다 보았지만 정말 볼때마나 새롭게 느껴지는 정말 위대하고 경이로운 최고의 판타지 걸작영화...앞으로 이런영화는 더이상 안나올 것 같다...,10,1
100,그냥 대단하다는말밖에,10,1
101,어떤말로 표현해야 할지 모르겠다..정말 와..엔딩크레딧 올라가는데 짜릿하면서도 아쉬운기분..정말 대단한 시리즈 였다. 호빗시리즈도 다봤고 이제 12월에 개봉할 마지막 호빗이나 기다려야겠다,10,1
102,책을 다시 읽으면서 영화를 1.2.3편을 또다시 보게 되었는데 위대함과 감동을 느끼게 해줬다.,10,1
103,21세기를 여는 거대한 영상 서사시의 마지막 장.,9,1
104,반지하의 제왕에서 호갱들의 모험까지 ..  멋지군 .,9,1
105,이전까지의 판타지를 모두 압도하며 앞으로의 판타지의 지평이 될 영화,10,1
106,스케일 ㄷㄷ.. 화장실 못가서 오줌보 터지기 일보직전이었던 기억이..,9,1
