,document,score,label
0,대한민국 cj enm 제작 배급 영화의 나쁜 예시. 좋은 소재 좋은 배우 허접한 시나리오와 연출력.  요새 드라마 영화들이 얼마나 현실고증 잘하고 액션연출하는데  농담 아니라 27년전 미국영화 스피드가 이것보다 100배 잘만들었다. 제일 꼴받는건 다른 영화는 하루에 두번 상영하면서 이딴 영화를 1시간마다 상영해준다는거 이러고 뉴스에서는 코로나 시국 이래 최대 예매 이딴 기사 싸지르면서 돈 회수하겠지?,1,0
1,와   영화보는동안 고구마 천개는  먹은듯... 더 웃긴건 경찰이 신원조회도 빼먹고 지창욱 투입시킨거ㅋㅋㅋㄱ,6,1
2,감독이 무식해서 너무 이상하게 쓴 각본을 너무나 훌륭한 배우들이 최선을 다해 커버했음에도 개연성 상실로 폭망,1,0
3,"해운대해수욕장 도착 이후로는 영화 밸런스가 급격히 무너지기 시작함. 하이바도 안쓰고 폭발물에 다가가는 진경, 문짝 다 뜯고 플리스틱 바리케이드만 설치하는 장면, 자기만 살자고 보호조끼입은 류승수 등 그냥 전부 어설픔.  무슨 생각으로 투자를 하고 만들었는지 이해가 되지 않음.  부산구경, gv80, 안쓰런 조우진 빼고은 볼게 없음. 비추.",4,0
4,"얙션을 보여주고 싶은건지,가족애를 다루는것인지, 사회부조리를 다룬것인지 이것저것 썩어 스피드한 얙션 살짝 가미해서 전개는 빠르게 빠르게 하면  좀 있어보이나? 얙션도 허접하고 시나리오는 개차반에 조우진 아까운 배우 데려다가 이게 뭔짓이요? 거기다가 한국영화의 고질병인 신파는  요소요소에 너무 자주 나와 지루하다 못해 중간 이후부터 화가 나더이다. 멋만 배운 감독잘못인지? 시나리오를 뒷발로 쓴 작가의 잘못인지?",1,0
5,현대차광고  부산시광고  본것같음 예매순위 1위라고해서 봤는데,1,0
6,카레이싱 5%에 신파 95% 그냥 영화내내 신파 메들리를 틀어놓으니 성질만 나는.. 경찰이 신원확인도 안하고 그냥 아무나 막 보내주고 있고… 스피드를 기대했지만 기억남는건 g80과 신파에 지친 내자신,2,0
7,중반까지는 그런대로 스릴도 있고 좋았으나 이후에는 영.. 적룡이나 유덕화가 주연으로 나오는 짱개 폭탄소재 영화보다 더 못함.글고 한국식 신파는 이제 그만..,1,0
8,"배우 연기도 좋고, 시나리오도 괜찮았으나.. 결말이..영화사 높은 분들의 입김이 심하게 들어간듯한... 지창욱 저렇게 죽을려면 뭣하러 저런 소동을 부리는지, 조우진 마지막에 증거가 없으니까 '제가 증거입니다' 이거 뭔소리래?? 존재감 하나도 없던 진경배우..세상에 어떤 고딩 딸내미가 살려고 내라라니깐 덥석 조수석으로 달려가서 아빠랑 죽을래 그런데??? . 등등등...말도 안되는 내용들 몇있고... 조우진의 연기가 영화를 재밌게 만들었음, 아 조우진 딸내미도 연기잘하데.. 오랜만에 김지호 보니 많이 늙었네",6,1
9,현대차 GV80  광고찍는  줄  알  았네요? 차문짝을 다 뜯어내고 달리면서도 전화통화를  한다는  말도 안되는 설정.,4,0
