,document,score,label
0,보스베이비 1보다 더 재밌어요!,10,1
1,아니 너무 귀여운거 아니냐고ㅜㅜ 1보다 더 잼남ㅜㅜ,10,1
2,잘모르겠어요 ㅠㅠ 3학년 6학년아이들 만화영화중에서 제일 재미 없다고 차이는 있겠지만 저희도 잘,5,0
3,넘 집중하며 봤네용 가족의 소중함~~♥,10,1
4,넘잼나,10,1
5,꿀잼,10,1
6,어른들이 보기에도 감동ㅎㅎ,9,1
7,역시는  역시다..,10,1
8,웃긴 데 웃을 수 없는 애니메이션...,10,1
9,우와 재밌겠다!!,10,1
10,제가 06인데 요즘 제 친구들 사이에서도 인기많고 재밌다고 해서 개봉하는날 바로 혼자서 영화보러갔거든요. 근데 진짜로 엄청 재밌었어요! 그레서 다음날에도 친구들이랑 보러갔어여ㅋ 이 영화 꼭! 추천해여~!,10,1
11,보스 베이비 디 오리지널 시즌 2가 시작한다고 하니 정말 기대됩니다 ^^,10,1
12,4학년 2학년 아이들이 너무 좋아했어요~~,10,1
13,기대했던만큼 재미와 감동을 느끼고 옴!!,10,1
14,웃긴 장면도 많고 상당히 유쾌한 애니메이션입니다!,10,1
15,"매력적인 캐릭터와 스토리,모두가 공감할 수 있는 메시지를 담고 있어 가족용 오락 영화로 적합하다",10,1
16,어린시절은 영원하지 않지만  가족은 영원하다  !  - 티나,8,1
17,아이들이 너무 재미있다고 또 보고 싶다하네요~~,10,1
18,1 보다 조금 아쉬웠지만 그래도 재밌게 봤어요 졸귀탱,10,1
19,정말 무해하다 무해해!♡,10,1
20,정말 재미있습니다!이건 제 개인적인 의견이지만 이번에 나온 보스 베이비가 더 귀여웠던 것 같았고 내용도 더 재미있어졌습니다!!1보다는 2가 더 흥미진진하고 뭉클했습니다. 이거 완전 강추하는 영화입니다!!!!!!!!!!,10,1
21,최고~~!! 1편 못지 않네요!,10,1
22,오랜만에 영화 보고 힐링하고 왔네요:),9,1
23,애니 안좋아하는데 보스베이비는 다르다...,10,1
24,넘 귀여운거 아니냐고ㅠㅠ,10,1
25,재밌어요! 3편도 나왔으면 좋겠어요!,10,1
26,보스베이비 존귀 ㅠㅠ 재밌고 감동있고 귀엽고 다하네 증말,10,1
27,넘 귀여워서 심장아파,10,1
28,아이들이 너무 재밌다고 하네요 탁월한 선택이였어요^^,10,1
29,1편도 재밌었는데 2편도 재밌게 잘봤어요ㅋㅋㅋ,10,1
30,오늘오후1시10분에 보고 왔어요~  완전 재미있어요~,10,1
31,보스베이비는 못참지,10,1
32,1편도 재미있게 받어요. 2편은  지금   폰에 소장완료..킬러  보디가드도 👈요  이득...,10,1
33,"보스 베이비 1,2 다 본 사람으로써 1,2 할 것 없이 둘 다 재밌었어요ㅠㅠ남녀노소 가리지않고 모두 재밌고 편하게 만드는 영화인것같아요!",10,1
34,약간 졸림,8,1
35,가족영화로 좋았습니다. 스피드 있는 전개감도 굿.,8,1
36,감동입니다,10,1
37,보스가둘 새요원여자등장이네,10,1
