,document,score,label
0,귀엽고 재밌고 감동적이에요.. 보스베이비한테 정들어서 몇 번을 다시봤는지 몰라요.. 보스베이비2 도 나온다고 하는데 나오면 집에서 보려구요.. 진짜 귀엽고 감동적이에요.. UP(업)이라는 애니메이션도 재밌게 봤는데 이것도 재밌네요..ㅎㅎ,10,1
1,다시봐도 명작..,10,1
2,전혀 기대안하고 보다보니 끝까지 다보게 되는 영화. 알렉볼드윈 목소리 역쉬 매력만점. 스토리도 기발하고 너무 재미있었음. 이렇게 재미있는 애니매이션 정말 오랫만.,10,1
3,다시 과거로 돌아간다면 동생들에게 좋은 오빠 형님이 되고 싶다.,10,1
4,혼자 보려고 틀었지만 가족 모두 마지막까지 보게 된.. 재밌고 따뜻한 영화!,10,1
5,넘나 귀여운 보스 베이비 마음이 힘들때 위로받는 애니메이션~~♡,9,1
6,세번을 봤는데도..너무 재밌다..ㅠㅠ,10,1
7,킹왕짱 재밌슴,10,1
8,"아이디어 참신, 어른이 봐도 재미있어요.",8,1
9,2나왔길래 내일 보러 갈려고 1 봤는데 진짜 졸귀네요 하 기대됩니다 진짜 너무 귀여움 ㅠㅠ 졸귀탱,10,1
10,동생이 생긴 형아의 성장기. 반려동물의 등장과 출산율 저하를 흥미롭게 엮었다. 아이들의 상상력을 영상으로 재현해낸 장면들이 특히나 인상적이었다. 빛바랜 산문체를 총천연색 운문으로 표현해낸 그 지점들.,7,1
11,몇번을 봐도 재미나네요. 더빙판이 더 좋은거 같아요.,10,1
12,"아이 보여주려고 켰는데, 내가 보고 있음. 마무리도 깔끔하고 감동적.",10,1
13,"있다 없으면 허전하지,,, 나도 내 동생 보고싶다ㅠㅠ",8,1
14, .,10,1
15,징그럽지만 재밌어,6,1
16,많이도 본것,9,1
17,무지무지 재밌다,10,1
18,아기가 공장에서 나온다는 약간은 뻔한?스토리를 출산율 저하 방지와 가족애로 승화시킨 나름 유쾌상쾌한 코미디. 토이스토리의 향수도 약간이나마 느낄 수 있어 개인적으로 좋았음,8,1
19,너무 귀엽고 앙증ㅋㅋ 웃기기도 하고ㅋ 보는내내 즐거웠습니다,10,1
20,와ㅡ진짜 재밌네요 저런 애니메이션은 어떻게 만든지 진짜 완전 최고최고~~,10,1
21,.,10,1
22,넘귀엽다 칼라도 넘이쁘고,8,1
23,코믹한 영화에요,7,1
24,ㆍ,8,1
25,사이다처럼 톡톡 튀기는 아이디어와 찰랑이는 전개는 굳게 다문 입을 웃음으로 중독시킨다.,9,1
26,이런 애니 넘 좋음~,8,1
27,출산장려정책을 피는 정부관료자들이 좋아할 영화네....^^ 부담없이 보기 좋을 가족 애니다... ,7,1
28,보는 내내 웃음짓게 만드는 영화 5달 뒤 둘째가 태어날 예정이라 더 와닿는 스토리,8,1
29,애.땜에.자주 보는데.볼때마다 감동,10,1
30,내 생 최고의 애니메이션. 백번도 더 본듯. 더빙을 너무 잘해서 깜놀. 우리 성우들 최고네요.,10,1
31,10번 봤으니까 10점,10,1
32,.,7,1
33,"독특하고 참신한 소재와 상상력이 절묘하게 가미된, 박진감 넘치고 흥미로운 첩보 액션 애니메이션",9,1
34,..,5,0
35,이렇게  웃긴건 처음,10,1
36,"우와 최악 스토리 전개, 결말 다 뻔하다  재미없어",1,0
37,짱짱짱짱x10000000000000000000000000000000000000000000000000000000000재밋어요,10,1
38,육덕진 아기의 귀욤,10,1
39,괜찮아요,6,1
40,아기의 귀여움에 빠져든다,10,1
41,재미없을수 없는 등장인물과 스토리,8,1
42,     굿,9,1
43,기발한 상상력이 녹아있고 많은 생각을 하게 하는 영화,10,1
44,판타스틱 베이비,7,1
45,연기력은 정말 엄청난데..,6,1
46,○○을 아직 받아들일 준비가 안된 누군가(?)에게...영화 속 장면이나...소품들이 정교하다...시선강탈  치명적인 궁딩이~~♡♡♡,7,1
47,유치하지만 본래의 색으로 발칙해서 사랑스럽다.,6,1
48,너무 귀여워뇨ㅠㅠㅠㅠ,10,1
49,많이 웃었습니다.허허,8,1
50,진짜 재밌게 잘봤습니다,10,1
51,너무 귀엽다 유ㅠㅠㅠㅠ,10,1
52,울었는대ㅠㅠㅠㅠㅠㅠㅠ왜져??,10,1
53,영화보는내내 귀여워요ㅎ♡,8,1
54,너무 귀엽고 재미남...ㅜㅜㅜ 가족영화로 보기 좋을듯!!,10,1
55,귀엽다,10,1
56,최악,0,0
57,귀여운 상상.... 누가 이런 상상을 했을까?ㅋ,9,1
58,이게 전체관람가라구요? 케릭터만 아기들이지 배경이나 대화나 행동 다 성인물인거 같습니다.  대단히 폭력적이고 파괴적이고 섬뜩하기까지 합니다.  댁에서 아이들에게 보여주실 계획이라면 보호자가  먼저 관람해 보시는 것이 좋을듯 합니다.,2,0
59,"음.. 머랄까.. 너무 어중간한 설정에 스토리.. 귀엽게 갈라면 아예 귀엽게 가던지, 코미디로 갈라면 아예 웃기던지.. 아님 스토리로 갈라면 감동적으로 마무리를 하던지.. 아무것도 못잡은 애니로 남았다. 나쁘진 않지만, 주목할만한 애니는 못되는듯...",7,1
60,난 얼라들이 싫어요,6,1
61,"이 영화는 [강아지 대신 애낳아 / 형제애]를 말하는게 아닙니다. [자원에는 총량이 있다는 경영학과 그 해고성을, 사랑에는 총량이 없다는 것을 '당신들이 학습한 형제애'를 통해 떠올리라]는 메시지가 있는 영화입니다. 경영학을 까는 어른 영화입니다. ""야간대 나와 보너스 달라하느냐?""가 나쁜말이라고 지적하는 영화.",10,1
62,역시 총기의 나라 미국.아이들에게 어릴때부터 장난감총을 가지고 놀게하고 그 총으로 사람을 쏘는걸 장난처럼 아동영화에 그려지는게 이젠 섬뜩하다. 아기와 강아지가 공장에서 만들어지는 듯한 상상도 기괴하고. 강아지만 좋아하지 말고 애를 많이 낳으라는 메시지인가?그런 사상을 억지로 주입하려니 내용이 기괴해져,0,0
63,유쾌하게 잘 보았습니다,10,1
64,톰 맥그리스 감독의 천재성의 끝은 어디일까? 애니메이션계의 에드가 라이트 같달까? 그의 작품들을 보면서 느끼지만 어른이지만 아이의 감성을 놓치지 않고 사는 사람같다 때론 동심이라는 질문에 어떻게 대답해야하는지를 잘아는 감독 세심한 연출과 아이디어들이 내 뇌를 아주즐겁게해준 애니메이션이었다 ,10,1
65,귀여움과 경악스러움이 공존하는 베이비. 이야기가 점점 산으로 간다.,5,0
66,"나도 동생이 태어 났을때 저런 걱정을 했을까?ㅋ 한살 터울 동생이라 그런 기억나지 않지만, 충분히 공감간다. 귀여운 캐릭터에 형제가 생김으로써 겪게되는 소외감과 고민을 아이들 눈높이와 회사라는 어른들 감성까지 폭넓게 담아내서 어른 아이들 모두 재밌게 볼만한 애니~",7,1
67,ㅎㅎ귀엽고 재미있어요~ 어린이들하고 같이 봐도 좋을듯 ,7,1
68,엔딩노래까지도 좋네ㅎ,9,1
69,캬~ㅋㅋㅋ좋다~ 재미있다~ 유쾌하네,10,1
70,애기의 비주얼에 5점을 다줌 스토리는 망망,5,0
71,깜직한 표정 베이비 ,6,1
72,2탄 개봉 벌써부터 기대됨 너무귀여움 힐링영화 아무생각없이 보면 재밌다,8,1
73,귀여운 내용  킬링타임용으로 좋음,6,1
74,소소하게 볼만한 영화 귀엽고 깜찍합니다,7,1
75,학교에 보다가  배꼽 빠지는 줄 알았음! 핵 폭탄급 꿀잼! 보스  베이비가 내 동생이었음 좋겠다~~,10,1
76,딱 애들용,5,0
77,얼굴표정 압권 ...이모티콘 나왔으면  ,7,1
78,드림웍스의 상상력은 늘 유쾌하다. ,8,1
79,아기들이넘귀여워서 좋았구그리고보스베이비너무웃기고재미있어요별1000000000개고여보스베이비강력추천합니다♥♥,10,1
80,아이들과 함께 재미있게 감상했습니다. ^&^ ,8,1
81,애기들넘조음,10,1
82,..,6,1
83,재미있어요!!!!!!,10,1
84,"이게 재밌던가요? 저만 예민한건가요? 이상한 편견이 기본으로 깔려있어서 저랑 신랑은 보는 내내 불편했어요. 분명 개그적요소도 있고 캐릭터도 귀엽고 사랑스럽고 스토리 자체도 나쁘지는 않은데.  강아지가 더 귀엽고 사랑스러워서 아기보다 강아지를 더 사랑하고 아기도 버리고 강아지한테 뛰어드는게, 정상인가요",1,0
85,"온가족이 다같이 봤는데, 처음에 어떤 내용인지 전혀 모르는 상태에서 봐서 그런지 이게 꼬마의 상상인지 현실인지 구분이 잘 안가서 긴가민가했었네요~ㅎ 기대했던 것보단 약간 별루긴 했지만, 아이들은 그래도 가끔씩 웃고 그래서 잘봤습니다~^^",6,1
86,뭔가 내용이 아쉽다,3,0
87,귀엽고 재밌었어요. 아이들 영화처럼 보이지만 아이들 영화가 아니라는,8,1
88,너무 귀엽고 재밌었어요 ㅎㅎㅎ,10,1
89,사랑과 상상력이 넘치는 영화.  편안한 즐거움을 끊임없이 제공한다.  그냥 즐기면서 편안히 볼 수 있는 영화 완성도도 높고 코믹함이 가득한 영화이다,9,1
90,정말 재밌었어요^^~♥ 감동까지~,9,1
91,개인적인 신조가 '내가 봐도 재미있으면 아이가 봐도 재밌다'는 건데 정말 이렇게 재미없는데 아이가 봐도 재미있을까 싶다... 아니면 내 눈높이가 달라진 걸까...,2,0
92,애니메이션은  드림웍스와 픽사  이 두군데는 믿고 봐도됨 절대 실망시키지않음 ,9,1
93,첨부터 넘 집중이안됐다 ㅜㅜ 다보고난후에도 딱히ㅠ기억에 남는게없는...무슨내용이였는지..,6,1
94,집에서 봤는데 나름 괜찮아요,7,1
95,너무귀여워여!!!! 완전귀엽ㅋㅋㅋㅋ강아지분장할땤ㅋㅋㅋㅋ우유안먹어서 애기로변할때도귀엽곸ㅋㅋㅋ노래도좋구 모든점에서 다마음에들었어요!!!,10,1
96,아이들이 보는 애니라기보다는 어른이 봐야할듯 너무 잼있게 밨음 아기가 어떻게 생길까 하던 초반장면은 너무 귀여움 ,9,1
97,정말 유쾌하고 재미있게 봤네요 형이랑 아기가 넘  사랑스러웠네요,10,1
98," 귀여운짓 할땐 귀엽고, 그냥일땐 안귀엽고...  그것이 절묘하다. 내용은 그냥저냥...",7,1
99,"의외로 귀여운 캐릭터 이외엔 스토리도 연출도 평이한 애니메이션. 가족이 같이 보기에 아쉬운 점도 보이고, 아이들이 보기에도 다소 아쉽고, 어른들이 보기엔 더 엉성해 보일지도. 나쁘진 않지만 주목받는 기대작이란 타이틀은 과장된 듯 보인다.",6,1
100,귀엽고 신선함. 하지만 다 어디선가 본장면같은 느낌,8,1
101,캐릭터도  귀엽고  스토리가 재밌고 좋습니다!,10,1
102,저 꼴통 같은 얼굴이 끝내 귀여워질 줄이야.. 많이 웃었다 그럼 됐다.,7,1
103,그남저냥,5,0
104,초딩용,1,0
105,...,8,1
106,또보고 싶은 마음 있음. 재밌어요~,10,1
107,삼류 에니메이션 극장에 나오지 말어,1,0
108,재미나게 봤어요~ ,8,1
109,신박하다,8,1
110,0점도 아깝다.. 정말 이딴 걸 슈렉을 탄생시킨 드림웍스에서 만들었다는 건가..  한 때 믿고 보던 드림웍스였는데.. ,0,0
111,마치 톰 과 제리를 보는듯 ! 톰은 언제나 제리에게 골탕을 먹지만 사실 톰 과 제리는  무척 사이가  좋다는 . 베이비를 보니 짱구도 생각이 나고 ㅎ  동생이 생겨서 발생한 질투를 상 상력으로 풀어서 무척 재밌고 유쾌하게 보여준 성인 동화같은 느낌 ㅎㅎ,9,1
112,귀여움.. 그리고 오랜만에 듣는 피비 목소리 엄청 반갑더군요 ㅎㅎ,5,0
113,귀여웡 +_+;;,9,1
114,.,10,1
115,귀엽다. 그게다다.   스토리에 화가난다,1,0
116,귀여워~,8,1
117,개인적으로 공감하기 힘들었음.,6,1
118,시종일관 큐트!! 유쾌하고 깨물어주고 싶고 ㅋㅋㅋ,10,1
119,34개월 아들도 낄낄깔깔,10,1
120,대학생인데 친구랑 영화관에서 보다가 배꼽 빠질뻔 했어요 너무너무너무 재밌어요.. 역시 드림웍스의 상상력에 감탄 하고 갑니다! 삶에 지쳤을때 혹은 웃음이 필요할때 가서 꼭 보세요!,10,1
121,전 혼자 봤는데 별로 재밋진 않고 아이들에 대한 모든걸 기억하고 잇는 무언가를 다시 없애버렷어요. very bad 5백명 형제보다는 외동아이가 보면 좀더 안좋을거 같네요. 그리고 와닿는건 1도 없어요.  ㅉㅉ 그리고 육육 여섯개 그리고 오레니와마다 야루코토가아루 느아아아아아아아아아아아아아앙아이ㅏ아ㅏ으어러어렄ㅋ,10,1
