,document,score,label
0,이 땅 에   살 고 있 는 토 착 왜 구   몰 아 내 자 !.,10,1
1,"잘 만들었는데??  추격전은 마치 ‘활’을 보는듯한 긴박감이 들고 유해진은 아주 딱맞는 옷을 입은 모습의 느낌일만큼 구현을 잘 해냄. — 하늘이 이 나라의 독립과 광명을 위해 땀과 눈물과 피를 바친 그들 하나하나 고귀한 영령들의 희생을 거룩히 기리며 거둬가셨기를 염원하며,  지금까지도 뿌리를 박고선 오로지 자기들의 권력과 탐욕을 위해 이 나라를 갉아 먹으며 왜국의 더러운 공격을 당해도 먼저 머리를 조아리자는 새빨간 혓바닥질과 더러운 토사물을 끊임없이 뱉어대는 토착왜구들과 그들의 개돼지들과 버러지들이 절멸되도록 보살펴주기를 간절히 바라는 마음으로...",8,1
2,전투씬이나  배우들의 연기력 다 좋았고 일본의잔인한 천성은 현재진행형이므로 노재팬도 영원할것.독립투사들께감사.,10,1
3,조상님  ㅠㅠ 정말로 존경합니다 고맙습니다.,10,1
4,역사에 이름 한 줄 남기지 않았지만 야만의 시대를 맨몸으로 맞선 민초들의 항일  피끓는 애국심은 구겨 집어던지고 그저 그때의 그 사실을 기억하는 계기가 되길........,8,1
5,어떤 죽음은 태산처럼 무겁고 어떤 죽음은 깃털처럼 가볍다. 독립군 영전에 삼가 고개를 숙입니다.,10,1
6,"대한 독립 만세!!!!!!!!!  역사를 잊은 민족에게 미래는 없다. 지나간일이고 과거라고 시간이 지났다고해서 있던일이 없던게 되는게 절대 아니며, 죄에는 기한이란 것이 없다.  특히 일본은 잘못했다고 반성조차도 안 함. 독일은 자신들의 부끄럽고 수치스러운 과오를 어떻게서든지 반성을 하는데.  일본은 개떳떳ㅋ 무지하고 미개한 것들. 오히려 방구뀐놈이 성낸다고 혐한 해대고 어이가없음ㅡ 절대 용서는 있을수없지. 그 악행과 잔혹한 만행들 절대 잊지 않을것이다.",10,1
7,고맙습니다. 미안합니다.,10,1
8,대한독립을 위해 목숨 바친 모든 분들께 감사드립니다.,10,1
9,역사를 잊은 민족에게 미래는 없다는것을 일깨워주기위해 영화든 티비에서든 자주 봤음합니다 나라를 위해 목숨을 기꺼이 아끼지 않은 분들이 있었기에 지금에  대한민국이 있겠지요 잔악무도한 일본의 만행 반성과 사죄가 아직도 없는 일본. 우리 국민은 앞으로도 올바른 역사의식으로  현재와 미래를 정신 바짝차리고 바라봐야할것입니다,10,1
10,마지막 홍범도장군이 태극기 드는  장면에서  눈물이 주룩  ...ㅜㅜ,10,1
11,"끝까지 보세요~ 저도 영화광이지만, 이영화는 실화를 토대로.. 목숨건 애국지사들의 전투",9,1
12,내  나라 산천에 와서 주인 행세하는 왜구들과 태산 보다 무거운 죽음으로   맞선이들의  기록,9,1
13,다시보고싶다. 마지막 완전 소름,10,1
14,최고!!,10,1
15,이런영화는 돈주고 봐도 안아까움.,10,1
16,별 100개를 줘도  아깝지 않은 영화에 8.8이 왠말이냐??!!,10,1
17,이영화 절대강추 이다,10,1
18,대한독립만세,9,1
19,감사합니다,10,1
20,굿,8,1
21,홍범도장군님의 생전영상을 TV에서 봤네요!!,8,1
22,추천합니다.,10,1
23,"잘 알려지지 않은 역사적 사실을 바탕으로 흥미로운 스토리를 써냈고, 영상미까지 살렸다 #씨9네마",8,1
24,아 너무 감명 깊은 영화 입니다! 대한 독립 만세!,10,1
25,진정한 애국이 뭔지 보여주는..,10,1
26,역사를 모르는 민족은 미래는 없다 일본제품 일식 다  불매!!!이런 영화를 보고도 일식먹고 일본제품 쓰면 한국사람 아님,10,1
27,"분노, 아픔, 감동적입니다 잊지말아야할 우리의 역사입니다  다음에는 청산리전투도 이어서 봤으면 좋겠네요",10,1
28,이런 대작은 감동도 오래 갑니다,10,1
29,유해진좋아~♡,10,1
30,"끝부분 조금만 봐도 감동이 오는데, 욕하는 사람들은 평생 남탓만 하면서 살겠지..",10,1
31,눈과 귀와 마음이 모두 시원한  영화,10,1
32,대한독립만세,10,1
33,감사합니다.지금 나라가 친일파들 속에서 분전하고 있습니다. 힘내서 바른 나라가 되게 하늘에서 후손들 보호 해주세요,10,1
34,감사합니다.,10,1
35,굿,10,1
36,잘 만들었네요~,10,1
