,document,score,label
0,"분노의 질주 이름을 가지고 왔지만, 분노의 질주 시리즈와 다른 액션영화라고 생각하게 했습니다. 시종일관 시원시원하게 액션장면 보여주고, 현재의 기술이 아닌 미래기술이 접목된 장비들을 볼 수 있었던 것도 재미있었습니다.",10,1
1,시원통쾌한 영화 아무 생각없이 즐기기에 전혀 무리 없는 영화 간간히 터지는 폭소와 스케일이 완벽한 ㅊ 긴시간인데도 지루하지않다,10,1
2,두번 봤네요~~,9,1
3,분노 시리즈 중 수작입니다 ost도 좋고 꼭 보세요~,7,1
4,최고의 액션에 스토리도 좋고  교훈적이고 감동적이고 간만에 흡족하게 봄,10,1
5,식상해진 분노의 질주보다 참신한데,8,1
6,진짜 개재밌음;; 인생영화 top 3,10,1
7,스핀오프라 하지만 분노의 질주 타이틀을 달았으면 화끈한 자동차 질주라도 있을줄 알았는데.... 그래도 둘의 케미는 최고!,6,1
8,이영화 강추다,9,1
9,분노의 질주 본편도 재미있지만  이것도 볼만한데? 다음 분노의 질주 시리즈에 홉스하고 쇼 안나오는것 같은데 좀 아쉽네  ,10,1
10,나만 마르가리타? 그 스파이 잡는여자가 제일예뻤나,6,1
11,괜찮은데...나는 분노의질주식 개그가 좋아!!,7,1
12,tv에서 생각없이 보기에 따악~,1,0
13,",,,,,,,연기자가  바꾼거내에 이름없는연기자",2,0
14,둘은 다시 뭉쳐 팀플 해야한다 ㅋ,10,1
